date,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyInventory,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyDilutedEPS,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyGrossPPE,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2007-12-31,0.0,552000000,5473000000,6648000000.0,667000000,88609000000,2427000000.0,,25492000000.0,17983000000.0,2160000000,2160000000,12041000000,122999000000,2868000000,136277000000,1487000000,144954000000.0,,,72281000000,6023000000,132000000,237000000.0,48480000000.0,6344000000,3589000000.0,-56345000000.0,54144000000.0,63901000000,18137000000,13278000000,964000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,6395000000.0,4378000000,9963000000,,756000000,91201000000,,0.0,28826000000.0,,2265000000,2265000000,12041000000,127074000000,3021000000,143091000000,8847000000,91201000000.0,0.0,,74858000000,6790000000,2745000000,,54932000000.0,6161000000,,,,68137000000,18032000000,16017000000,1512000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,1221000000.0,1282000000,5655000000,5205000000.0,662000000,89123000000,0.0,,23383000000.0,18033000000.0,780000000,780000000,12031000000,121562000000,3313000000,132831000000,1119000000,146514000000.0,,2214000000.0,69709000000,5919000000,7742000000,366000000.0,47608000000.0,6435000000,3722000000.0,-57391000000.0,53765000000.0,63017000000,15944000000,11269000000,945000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,4955000000.0,4652000000,9086000000,,731000000,93391000000,,0.0,28203000000.0,,2327000000,2327000000,12031000000,128790000000,5179000000,142234000000,7334000000,93391000000.0,0.0,,76322000000,6365000000,1169000000,,52618000000.0,6707000000,,,57886000000.0,65813000000,18436000000,13444000000,2847000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,4038000000.0,341000000,6150000000,6766000000.0,715000000,96604000000,1472000000.0,,32539000000.0,,10587000000,10587000000,12031000000,137202000000,6892000000,156531000000,3593000000,159547000000.0,,,85663000000,3368000000,0,,55352000000.0,7009000000,,-62943000000.0,63225000000.0,70761000000,22438000000,19329000000,1074000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,3911000000.0,4646000000,11739000000,,689000000,103278000000,1583000000.0,0.0,,,2045000000,3628000000,12031000000,144112000000,4786000000,160302000000,9390000000,167754000000.0,0.0,,88219000000,7865000000,0,,58792000000.0,7190000000,,-64476000000.0,69516000000.0,71987000000,18703000000,16190000000,59804000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,932000000.0,433000000,7425000000,7701000000.0,751000000,117460000000,336000000.0,,36807000000.0,24366000000.0,4023000000,4359000000,12031000000,160641000000,7816000000,179355000000,1449000000,185852000000.0,,64252000000.0,99597000000,11344000000,10179000000,165000000.0,64252000000.0,7590000000,3979000000.0,-68392000000.0,73366000000.0,79661000000,26231000000,18714000000,1276000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,4213000000.0,-28120000000,19701000000,,1591000000,131061000000,2301000000.0,0.0,,,3799000000,6100000000,12031000000,153424000000,11865000000,180971000000,28175000000,,0.0,,98108000000,15461000000,0,,68325000000.0,7675000000,,,64200000000.0,82771000000,33908000000,27547000000,55854000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2212000000.0,353000000,19419000000,,1470000000,128571000000,0.0,,52925000000.0,20979000000.0,3866000000,3866000000,12031000000,187233000000,12596000000,214288000000,29180000000,204235000000.0,,2310000000.0,132936000000,16990000000,21719000000,143000000.0,65754000000.0,7979000000,4297000000.0,-75664000000.0,94498000000.0,81259000000,38438000000,27055000000,3316000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,1749000000.0,141000000,14074000000,21507000000.0,1536000000,131314000000,0.0,0.0,56392000000.0,20942000000.0,6963000000,6963000000,12031000000,187178000000,9632000000,217020000000,5654000000,209271000000.0,0.0,1275000000.0,136999000000,21336000000,1476000000,374000000.0,65457000000.0,8156000000,4361000000.0,-77957000000.0,97270000000.0,79927000000,39729000000,29842000000,3291000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,141000000,15536000000,22225000000.0,1667000000,134329000000,1759000000.0,,59303000000.0,,11890000000,11890000000,12632000000,191603000000,6895000000,228756000000,6254000000,215972000000.0,,,137555000000,9704000000,1991000000,,67900000000.0,8370000000,,-81643000000.0,100107000000.0,91127000000,37448000000,37153000000,2456000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,131000000,17126000000,19838000000.0,1772000000,129408000000,1258000000.0,,52043000000.0,,7640000000,7640000000,12632000000,182569000000,10612000000,214763000000,5658000000,211969000000.0,,,127917000000,9439000000,940000000,,64643000000.0,8464000000,,-82561000000.0,91493000000.0,86733000000,36424000000,32194000000,1958000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,147000000,13864000000,19109000000.0,1482000000,128682000000,1005000000.0,,48933000000.0,,4784000000,4784000000,12632000000,184966000000,7118000000,211685000000,4738000000,216947000000.0,,,124204000000,11336000000,997000000,,64134000000.0,8548000000,,-88265000000.0,89072000000.0,87361000000,35132000000,26719000000,1446000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
