date,quarterlyTotalAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyBasicAverageShares,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyDilutedAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyRepaymentOfDebt
2000-03-31,,,,,0.065,,,,,,,,,26017000,26017000,215750000.0,,26017000,,,,,,,,,,,,,,,,,,,,,,,215750000.0,,,,,,,,,0.065,,,,,,86693000,,,,,,,,,,,,,,,,,,,86693000,86693000,
2000-06-30,,,,,0.065,,,,,,,,,26017000,26017000,215750000.0,,26017000,,,,,,,,,,,,,,,,,,,,,,,215750000.0,,,,,,,,,0.065,,,,,,86693000,,,,,,,,,,,,,,,,,,,86693000,86693000,
2000-09-30,,,,,0.065,,,,,,,,,26017000,26017000,215750000.0,,26017000,,,,,,,,,,,,,,,,,,,,,,,215750000.0,,,,,,,,,0.065,,,,,,86693000,,,,,,,,,,,,,,,,,,,86693000,86693000,
2000-12-31,463347000.0,,92000.0,46359000.0,,18958000.0,,,75326000.0,,56067000.0,,,27611000,27611000,,,27611000,251731000.0,,251731000.0,9616000.0,89855000.0,,,,,587000.0,,,4774000.0,,,98108000.0,5848000.0,,,13716000.0,,,,,,1082000.0,22496000.0,,,-22908000.0,,,365239000.0,,-20100000.0,64704000.0,,-130786000,,,,,,,,,253140000.0,,,,,,,388021000.0,84804000.0,42041000.0,-130786000,85662000,
2001-03-31,478885000.0,1287000.0,0.0,43983000.0,0.11,8571000.0,12507000.0,39616000.0,76039000.0,48575000.0,52620000.0,,,23799000,23799000,216484000.0,9259000.0,23799000,253019000.0,-980000.0,253019000.0,8637000.0,85756000.0,,,,15555000.0,,253019000.0,768000.0,,-2812000.0,2384000.0,88907000.0,7956000.0,0.0,2638000.0,0.0,4280000.0,,217216000.0,,,1082000.0,15209000.0,,45918000.0,-21968000.0,251732000.0,0.11,389978000.0,1897000.0,-20100000.0,68083000.0,8102000.0,32747000,,,,-19249000.0,339000.0,-2484000.0,,,276939000.0,6296000.0,,7347000.0,31901000.0,-4709000.0,,402846000.0,88183000.0,36287000.0,30363000,85534000,
2001-06-30,498504000.0,25759000.0,575000.0,37867000.0,0.17,10265000.0,14111000.0,48584000.0,75155000.0,54444000.0,46663000.0,,,36603000,36603000,216484000.0,9801000.0,36603000,278777000.0,8397000.0,278777000.0,8221000.0,73347000.0,,,,16566000.0,,278777000.0,459000.0,,-3717000.0,2654000.0,84505000.0,6614000.0,0.0,36575000.0,0.0,11171000.0,,217296000.0,,,1082000.0,13466000.0,,55050000.0,-34550000.0,253019000.0,0.17,413999000.0,416000.0,-20100000.0,68541000.0,12463000.0,41138000,,,,6951000.0,-1024000.0,-6133000.0,,,313542000.0,6765000.0,,40708000.0,49066000.0,-4133000.0,,423349000.0,88641000.0,37842000.0,38484000,103634000,
2001-09-30,523299000.0,34492000.0,1021000.0,35544000.0,0.115,8367000.0,14212000.0,39201000.0,83834000.0,43190000.0,44781000.0,,,25001000,25001000,216484000.0,9663000.0,25001000,313269000.0,246000.0,313269000.0,8216000.0,65840000.0,,,,16969000.0,,313269000.0,522000.0,,-10486000.0,1755000.0,82022000.0,15044000.0,-150000.0,45581000.0,0.0,7563000.0,,217198000.0,,,1082000.0,14662000.0,,47729000.0,-32125000.0,278777000.0,0.115,441277000.0,-8505000.0,-20100000.0,68790000.0,8501000.0,32515000,,,,18831000.0,0.0,-2539000.0,,,338395000.0,7306000.0,,47562000.0,33502000.0,-1981000.0,,439465000.0,88890000.0,37241000.0,30760000,86930000,
2001-12-31,532155000.0,-120427000.0,0.0,28011000.0,,15752000.0,10262000.0,43559000.0,179420000.0,47998000.0,29158000.0,,,28045000,28045000,,9986000.0,28045000,233677000.0,4096000.0,192842000.0,1147000.0,61132000.0,,,,17783000.0,4177000.0,192842000.0,425000.0,16985000.0,-141375000.0,4075000.0,78186000.0,92349000.0,0.0,30314000.0,0.0,-56000.0,,,-9684000.0,,1078000.0,18837000.0,,49462000.0,-39327000.0,313269000.0,,453969000.0,-2345000.0,-25181000.0,70086000.0,9521000.0,35754000,,,,-5231000.0,5491000.0,-11332000.0,40835000.0,,365087000.0,7797000.0,,34374000.0,37565000.0,-4060000.0,,352735000.0,95267000.0,49028000.0,31679000,93021000,
2002-03-31,569479000.0,33037000.0,0.0,28011000.0,0.0625,20125000.0,17499000.0,46364000.0,202414000.0,48296000.0,29641000.0,,,26761000,26761000,431108000.0,11239000.0,26761000,254095000.0,-662000.0,225879000.0,1630000.0,53725000.0,,-8949000.0,,19212000.0,1334000.0,225879000.0,371000.0,16388000.0,-12974000.0,2929000.0,87824000.0,113920000.0,0.0,44683000.0,0.0,7077000.0,,432548000.0,,,1078000.0,19225000.0,,54492000.0,-38402000.0,192842000.0,0.0625,481655000.0,-382000.0,-25181000.0,72106000.0,9111000.0,38209000,,,,16641000.0,201000.0,-2851000.0,28216000.0,,391848000.0,7973000.0,,48326000.0,35872000.0,-3643000.0,,367065000.0,97287000.0,58183000.0,35280000,100856000,
2002-06-30,596708000.0,-79304000.0,0.0,18666000.0,0.15,18768000.0,10172000.0,55176000.0,180563000.0,53169000.0,20366000.0,,,32146000,32146000,215576000.0,11099000.0,32146000,303327000.0,-8911000.0,146575000.0,1700000.0,46371000.0,,-93632000.0,,18575000.0,1334000.0,146575000.0,346000.0,28448000.0,-108108000.0,3410000.0,68640000.0,79013000.0,0.0,28515000.0,0.0,9623000.0,,216430000.0,,,1078000.0,18000000.0,,67662000.0,-24298000.0,225879000.0,0.15,528068000.0,-12671000.0,-25181000.0,73102000.0,9440000.0,52497000,,,,-3903000.0,-525000.0,-9380000.0,156752000.0,,423994000.0,7476000.0,,30320000.0,41586000.0,-1805000.0,,416145000.0,98283000.0,48274000.0,49087000,122838000,
