date,quarterlyStockholdersEquity,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalRevenue,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital
2002-06-30,105843681300.0,683172708.0,,,3000957300.0,3000957300.0,8.2671,11342461200.0,8200963200.0,0.0,18410831700.0,10449614400.0,-71915502900.0,5224807200.0,231404396100.0,,13128154800.0,49056971400.0,5439751800.0,0.0,,,983784900.0,159488893200.0,97642718100.0,6911295600.0,173766174900.0,5704299000.0,13202558700.0,8.2671,,6555810300.0,186894329700.0,2256918300.0,4241022300.0,4241022300.0,24082062300.0,31018159200.0,683172708.0,17104629900.0,206677500.0,9639438600.0,80075130600.0,7407321600.0,380286600.0,4241022300.0,,8267100.0,7266780900.0,1049921700.0,12706532700.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,,683172708.0,,,,,4.13223,,,,19272720720.0,19272720720.0,,,,,,,19272720720.0,,,,,,,,,,,4.13223,,,,,4181816760.0,4181816760.0,,,683172708.0,,,,,,,4181816760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,124982451840.0,,,75595426560.0,16415432640.0,16415432640.0,,14395581120.0,38824195200.0,2781434880.0,19396907880.0,-34708623000.0,-82714575360.0,,252158594880.0,,26498134080.0,57615436800.0,-34708623000.0,3841029120.0,,,,169444019520.0,7201929600.0,5960217600.0,184303173120.0,,10264819200.0,,,4850954880.0,210801307200.0,,4209560700.0,4209560700.0,21605788800.0,27069321600.0,,21390558720.0,,9743300160.0,84684758400.0,7723448640.0,612577920.0,4209560700.0,,,,1067872320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,,756141865.0,,,,,6.000003,,,,19768222200.0,19768222200.0,,,,,,,19768222200.0,,,,,,,,,,,6.000003,,,,,4627485850.0,4627485850.0,,,756141865.0,,,,,,,4627485850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,133592784700.0,756141865.0,,75596065800.0,17831135100.0,17831135100.0,6.000003,11846032650.0,38791410900.0,405629350.0,19768222200.0,11531462950.0,-82715274800.0,5993380600.0,250769997950.0,,28567895650.0,51514927450.0,6100996550.0,2044703050.0,,,1365894750.0,168054723150.0,15844379100.0,7433778700.0,183079565400.0,5496691600.0,12052986400.0,6.000003,,4933777400.0,211647461050.0,2740067650.0,4627485850.0,4627485850.0,19577824750.0,25364251600.0,756141865.0,18601003050.0,157284850.0,9701991800.0,76879179050.0,6970202300.0,852649450.0,4627485850.0,,8278150.0,8170534050.0,1150662850.0,14271530600.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,,734783980.0,,,,,10.500005,,,,39461941050.0,39461941050.0,,,,,,,39461941050.0,,,,,,,,,,,10.500005,,,,,7715235800.0,7715235800.0,,,734783980.0,,,,,,,7715235800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,131274902700.0,,,75612622100.0,10115899300.0,10115899300.0,,20132460800.0,36556310400.0,2458610550.0,39453662900.0,-46548037450.0,-147996765700.0,,406001866750.0,,25504980150.0,96663957550.0,-46548037450.0,3394041500.0,,,,258005101050.0,15745041300.0,10190402650.0,280099483400.0,,15985107650.0,,,49668900000.0,305604463550.0,,7706957650.0,7706957650.0,25389086050.0,76399046350.0,,46548037450.0,,13783119750.0,173063003900.0,10604310150.0,1324504000.0,7706957650.0,,,,2326160150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,767250000.0,,,,,9.500005,,,,40107636750.0,40107636750.0,,,,,,,40107636750.0,,,,,,,,,,,9.500005,,,,,7350997200.0,7350997200.0,,,767250000.0,,,,,,,7350997200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,145115969500.0,767250000.0,,80935472550.0,17061267150.0,12466893900.0,19.00001,34594388850.0,64180496950.0,0.0,40107636750.0,21995044550.0,-147996765700.0,9197024650.0,491241977300.0,,39188762100.0,161812998050.0,10364243800.0,3667220450.0,4594373250.0,,1837749300.0,343245211600.0,,15182127100.0,372525028150.0,11059608400.0,30298029000.0,19.00001,,72491759550.0,411713790250.0,7052983800.0,7350997200.0,7350997200.0,29213591350.0,103435484250.0,767250000.0,80596068400.0,1258278800.0,18617559350.0,265248482300.0,12657291350.0,1572848500.0,7350997200.0,,33112600.0,18683784550.0,3228478500.0,29048028350.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,,783015193.0,,,,,8.500004,,,,40496709800.0,40496709800.0,,,,,,,40496709800.0,,,,,,,,,,,8.500004,,,,,6655632600.0,6655632600.0,,,783015193.0,,,,,,,6655632600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
