date,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2014-12-31,1976071210.916099,5296627305.017822,7128104350.895602,2426853260.042411,9554957610.938013,9831117400.937176,15127744705.954998,1166304224.540597,0.0,971309528.443347,3020241.568319,5572787095.016984,1133798844.67505,2067373345.422084,802102433.706098,614219738.802555,802102433.706098,-3752602570.036159,7910568417.464727,3644481600.235905,13009348.709289,410120337.781588,43593992.475523,2854753600.808266,2854753600.808266,,11663170987.500887,82614841.840319,181518.357429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,2204397755.235943,5358221607.722807,7260037323.769466,2007567528.253069,9267604852.022535,9706544934.847042,15064766542.569849,1083603360.771249,0.0,1231390070.218002,3020404.494179,5797161690.547314,1318367304.46245,1783329333.698347,685069400.031471,530335760.248106,685069400.031471,,7910091663.212582,3734522654.462579,13034207.086419,440775559.401739,63764183.895815,2973701189.249775,2973701189.249775,,7910091663.212582,82709410.705856,4262215.360486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,2129038012.057984,4823882634.638454,7082567966.349093,1868427849.166854,8950995815.515947,9753160396.636457,14577043031.274912,764273984.853996,0.0,862338689.890023,3018753.995465,5626047215.758964,1184983619.353141,1654311522.084375,933290713.410057,597081069.391451,933290713.410057,-4208576832.387837,7972121498.084499,3539382293.764366,13623331.137924,300783456.35366,80383431.634019,2758884076.271777,2758884076.271777,,12180698330.472336,82143603.866604,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,2161830378.320078,5256546950.631156,6715402441.020777,2342508029.485746,9057910470.506523,9413716198.43667,14670263149.067827,1254694791.195254,0.0,925223880.87666,3019420.104222,5612352678.561304,1195432897.971228,1718623130.370241,1142511786.966069,609661120.953152,1142511786.966069,,7634022088.85928,3327375294.058523,13915848.633311,314674896.448103,101152284.211042,2708738027.333783,2708738027.333783,,7634022088.85928,70558630.14087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,1946790649.444096,5732430167.506132,6696631041.942297,2880471697.421257,9577102739.363554,9193299692.4541,14925729859.960232,1577174374.73404,0.0,1040301213.316931,3017509.613227,5348627120.596678,959634316.861252,1790314420.227623,1775195533.040875,574094187.266439,1775195533.040875,-4721645928.788617,7563018939.334153,3235674662.860061,14567318.663974,273249374.231135,143565406.927713,2972415304.876633,2972415304.876633,,12284664868.12277,62520650.217797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,1968938000.0,5703179000.0,5547036000.0,3766674000.0,9313710000.0,9069443000.0,14772622000.0,2906002000.0,0.0,972199000.0,3031000.0,5458912000.0,1107941000.0,1951351000.0,1522064000.0,563766000.0,1522064000.0,,7439280000.0,2099724000.0,15237000.0,293646000.0,149084000.0,3040620000.0,3040620000.0,,7439280000.0,66479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1930986000.0,5764926000.0,4789319000.0,3880762000.0,8670081000.0,8346920000.0,14111846000.0,3317509000.0,,,3031000.0,5441765000.0,1173082000.0,2302860000.0,1593768000.0,362667000.0,1593768000.0,-5407836000.0,7046399000.0,1138257000.0,15237000.0,,150797000.0,,3268323000.0,,12454235000.0,84947000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,6267262000.0,5406273000.0,3478941000.0,8885214000.0,8145329000.0,14412591000.0,3054666000.0,,,3031000.0,5527377000.0,1388134000.0,2442514000.0,1664287000.0,309845000.0,1664287000.0,,6851865000.0,1593298000.0,15346000.0,,160808000.0,,3353171000.0,,6851865000.0,80263000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,6697008000.0,6515197000.0,1965058000.0,8480255000.0,7905289000.0,14602297000.0,1583316000.0,,,3031000.0,6122042000.0,1464661000.0,1109231000.0,1578540000.0,296866000.0,1578540000.0,-6034200000.0,6724650000.0,2553176000.0,15346000.0,,141337000.0,,3700672000.0,,12758850000.0,77453000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,7577318000.0,8012913000.0,936396000.0,8949309000.0,7692306000.0,15269624000.0,604823000.0,,,3031000.0,6320315000.0,1524036000.0,1115909000.0,2630396000.0,259726000.0,2630396000.0,,6624189000.0,3828592000.0,15346000.0,,135880000.0,,3932470000.0,,6624189000.0,70894000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
