date,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyCurrentDebt,quarterlyGoodwill,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyCashAndCashEquivalents,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyPurchaseOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyCurrentLiabilities,quarterlyGrossProfit,quarterlyResearchAndDevelopment,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentAssets,quarterlyEbitda,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory
2012-03-31,0,,0,2688000,2688000,,,,,,,0,,411000,,,0,,0,,2688000,0,0.021247,,,,0.021247,,,,0,,,,126512822.0,,,-1248000,,,2688000.0,,,3099000,126512822.0,2688000,,,,,-224000,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0,,0,6474000,6474000,,,,,,,0,,1266000,,,0,,0,,6474000,0,0.051173,,,,0.051173,,,,0,,,,126512822.0,,,-4411000,,,6474000.0,,,7740000,126512822.0,6474000,,,,,1460000,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,0,,0,11768000,11768000,,,,,,,298000,,686000,,,0,,0,,11768000,0,0.093018,,,0.0,0.093018,,,,0,,,,126512822.0,,,-11753000,0.0,,11768000.0,,,12454000,126512822.0,11768000,,,,,1759000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0,0.0,0,20317000,20317000,84000.0,534876000.0,,289756000.0,,,406000,,3515000,,0.0,0,0.0,0,245036000.0,20317000,0,,462000.0,,0.0,,,156520000.0,378356000.0,0,0.0,,,,403000.0,15526000.0,13481000,0.0,,20317000.0,,289756000.0,23832000,,20317000,,,,,1547000,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,0,,0,13075000,13075000,,1693100000.0,,1420611000.0,,,899000,,2719000,,,0,,0,236555000.0,13075000,0,0.103349,2839000.0,,,0.103349,,925681000.0,767419000.0,0,735710000.0,,,126512822.0,,31709000.0,-16251000,,,13075000.0,,1318023000.0,14825000,126512822.0,13075000,,,,,4659000,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,209699000,,18053000,109222000,109222000,,2742442000.0,,1759239000.0,,,2651000,,1480000,,209699000.0,209699000,,-178284000,454573000.0,109222000,-38104000,0.86,1036000.0,,,0.86,,1496717000.0,1245725000.0,0,2530000.0,,,128329744.0,,19214000.0,-1798000,,,109222000.0,,1759239000.0,110702000,126512822.0,109222000,,,,,808000,,,66939000.0,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,-37496000,,86527000,63145000,63145000,,2931844000.0,-166000.0,1861200000.0,,,3443000,,7008000,,172203000.0,172203000,,-122770000,665600000.0,63145000,-130574000,0.48,2276000.0,,118709000.0,0.5,,1670808000.0,1261036000.0,209699000,2532000.0,,-168909000.0,129944642.0,149181000.0,15688000.0,-1412000,-1253000.0,-217101000.0,63145000.0,,1861200000.0,70153000,126536394.0,63145000,,,,,2628000,,0.0,85776000.0,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,99791000,2488618000.0,48360000,80507000,80181000,7548000.0,5958658000.0,242176000.0,4638740000.0,2488618000.0,,8031000,,15924000,,271994000.0,271994000,-44308000.0,-692399000,676917000.0,80507000,24420000,0.62,6857000.0,,-19736000.0,0.64,,4445583000.0,1265850000.0,172203000,2532000.0,,-74853000.0,129898246.0,253770000.0,3214000.0,-5900000,743830000.0,-23940000.0,-20386000.0,,1973189000.0,96566000,126593203.0,80181000,,,,,12749000,,0.0,102986000.0,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,-131499000,3234805000.0,2064000,48772000,56865000,5968000.0,6998834000.0,22569000.0,5802606000.0,3234805000.0,,38997000,,5413000,-3117213000.0,140495000.0,140495000,-63297000.0,-1400500000,680011000.0,48772000,-17068000,0.38,7977000.0,287000.0,1442648000.0,0.38,,5438185000.0,1276314000.0,271994000,2532000.0,-2276993000.0,-1131552000.0,129919967.0,7606000.0,9928000.0,-42834000,1266937000.0,-19132000.0,-9899000.0,,2345221000.0,62729000,126604509.0,57152000,,,78000.0,,-5731000,,287000.0,107446000.0,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,170631000,3289445000.0,25371000,123503000,182208000,5936000.0,7039316000.0,-33906000.0,5143008000.0,3289445000.0,,36512000,17645000.0,24607000,-1099772000.0,311126000.0,311126000,-44312000.0,320375000,702636000.0,123503000,-10786000,0.88,8579000.0,527000.0,1615609000.0,0.9,,5227536000.0,1498479000.0,140495000,2823000.0,-1748636000.0,-314195000.0,139668127.0,7135000.0,8988000.0,-30908000,-175115000.0,-36157000.0,-29522000.0,,1463903000.0,228503000,136465453.0,203603000,,,251000.0,,7292000,,21395000.0,160396000.0,,,,,,,,,,,,,,,,,,,,,,,
