date,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyBasicEPS,quarterlyCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangeInAccountPayable,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyInventory,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,,,,286056000.0,,,,,,,,,,,,,,,,,,,,,,,,308800000,0.09,,,,,,,286056000.0,,,308800000,,308800000,,,,,,,,24200000,0.09,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,286056000.0,,,,,,,,,,,,,,,,,,,,,,,,310900000,0.09,,,,,,,286056000.0,,,310900000,,310900000,,,,,,,,23500000,0.09,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,284664000.0,,,,,,,,,,,,,,,,,,,,,,,,303400000,0.1,,,,,,,284664000.0,,,303400000,,303400000,,,,,,,,27900000,0.1,,,,,,,,,,,,,,,,,,,
1984-12-31,,72000000.0,72000000.0,,,,183400000.0,,,,,,,,,58800000.0,14400000.0,-145300000.0,159900000.0,,,,,328700000.0,,,,,,,196500000.0,,,,,-747100000,,255300000.0,,,560500000.0,,,,103800000.0,554600000.0,365400000,,-747100000,359100000.0,918200000.0,,,357700000.0,16700000.0,,24900000,,4900000.0,,,,559100000.0,,,,73100000.0,,14000000.0,,,,,223200000.0,,,
1985-03-31,,,,,,,,,,,,284768000.0,,,,,,,,,,,,,,,,,,,,,,,,358500000,0.09,,,,,,,284768000.0,,,358500000,,358500000,,,,,,,,23900000,0.09,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,284768000.0,,,,,,,,,,,,,,,,,,,,,,,,370400000,0.09,,,,,,,284768000.0,,,370400000,,370400000,,,,,,,,24300000,0.09,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,283640000.0,,,,,,,,,,,,,,,,,,,,,,,,353700000,0.08,,,,,,,283640000.0,,,353700000,,353700000,,,,,,,,20800000,0.08,,,,,,,,,,,,,,,,,,,
1985-12-31,,184500000.0,184500000.0,,,,186100000.0,,,,,,,,,61900000.0,8100000.0,-171400000.0,165700000.0,,,,,357500000.0,,,,,,,226200000.0,,,,,-921800000,,288100000.0,,,657100000.0,,,,103400000.0,624600000.0,356900000,,-921800000,391500000.0,1017000000.0,,,359900000.0,14300000.0,,31000000,,5400000.0,,,,625500000.0,,,,73500000.0,,15600000.0,,,,,201800000.0,,,
1986-03-31,,,,,,,,,,,,283640000.0,,,,,,,,,,,,,,,,,,,,,,,,355000000,0.07,,,,,,,283640000.0,,,355000000,,355000000,,,,,,,,18800000,0.07,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,281904000.0,,,,,,,,,,,,,,,,,,,,,,,,364700000,0.08,,,,,,,281904000.0,,,364700000,,364700000,,,,,,,,22100000,0.08,,,,,,,,,,,,,,,,,,,
