date,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyChangeInWorkingCapital,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
1996-03-31,1906552094400.0,,1906552094400.0,1906552094400.0,564625850304.0,,,,927647059.0,,,,,,,,,,,608.664518,,,,,,,,,,,,,564625850304.0,564625850304.0,,,,,,,,,,,,,,,,,,,927647059.0,,,,,,,,,,,,,608.664518,,,,,,,,,,,
1996-06-30,1906552094400.0,,1906552094400.0,1906552094400.0,564625850304.0,,,,927647059.0,,,,,,,,,,,608.664518,,,,,,,,,,,,,564625850304.0,564625850304.0,,,,,,,,,,,,,,,,,,,927647059.0,,,,,,,,,,,,,608.664518,,,,,,,,,,,
1996-09-30,1885069817280.0,,1885069817280.0,1885069817280.0,573934837056.0,,,,942941176.0,,,,,,,,,,,608.664518,,,,,,,,,,,,,573934837056.0,573934837056.0,,,,,,,,,,,,,,,,,,,942941176.0,,,,,,,,,,,,,608.664518,,,,,,,,,,,
1996-12-31,-2426065162752.0,,-2426065162752.0,1971356963712.0,536340852096.0,,,,,13396348012032.0,,30658431791808.0,3487289652480.0,,,3198711063168.0,,3547081990464.0,,,,13322234155968.0,,,,,,6647332616832.0,,,1725026852736.0,,536340852096.0,536340852096.0,247762262784.0,,10197636948864.0,,,561045470784.0,,,-9829215896256.0,2402076619968.0,,1825277479296.0,328678839936.0,,,,,,,,,20829215895552.0,1039742212608.0,,,23231292515520.0,26718582168000.0,,1833870390144.0,1833870390144.0,,,1597923379776.0,,,,,,,,,,
1997-03-31,1475474400192.0,,892230576384.0,2034371643264.0,590404582848.0,1941997851648.0,0.0,0.0,942285714.0,13167919798656.0,,31310060864448.0,3472610096448.0,,,2943071965440.0,,4051557464832.0,,626.566416,,13681346221824.0,,,92373791616.0,,,6775868241600.0,1049767275264.0,,1634801288832.0,466523451456.0,590404582848.0,590404582848.0,286430361600.0,,10224847833216.0,,181167203712.0,582169709952.0,,,-10264590045888.0,2331185105472.0,,1814178302784.0,362692445376.0,74113856064.0,,0.0,,243465807360.0,942285714.0,,833870390208.0,21045470818560.0,1485857500800.0,588256355136.0,,23376655924032.0,26849266020480.0,0.0,1150375939776.0,1738632294912.0,,626.566416,875044754688.0,,6907268169984.0,0.0,,,,,,,
1997-06-30,1284282133824.0,,798782670912.0,1792337987712.0,502327246656.0,1680630146688.0,0.0,0.0,935333333.0,11971356963072.0,,29212316503680.0,2709631220736.0,,,2735409953280.0,,3692445398976.0,,537.056928,,12388113139200.0,,,111707841024.0,,,6143931256320.0,881847475776.0,,1414249910400.0,396348012864.0,502327246656.0,502327246656.0,261367704960.0,,9235947009792.0,,145721446464.0,558181167168.0,,,-9707482992576.0,2145005370432.0,,1677765843072.0,252416756160.0,36877909056.0,,0.0,,222341568192.0,935333333.0,,724668814848.0,19504833511104.0,1458288578496.0,215538847104.0,,21649838881536.0,24359470102272.0,0.0,895094880000.0,1110633727104.0,,537.056928,718940207616.0,,6211242391296.0,0.0,,,,,,,
1997-09-30,691013247360.0,,409953455040.0,962047977024.0,138918725376.0,919799498688.0,0.0,0.0,862222222.0,10379162190528.0,,24978159683328.0,2518080916416.0,,,2341568206080.0,,3366988900608.0,,161.117078,,10509129967104.0,,,42248478336.0,,,5488721804160.0,509846043648.0,,1113498030720.0,228786251328.0,138918725376.0,138918725376.0,235588972416.0,,8037593984448.0,,98460436800.0,488005728576.0,,,-8418546365376.0,1810597923264.0,,1435374149568.0,177944862144.0,-138560687424.0,,0.0,,53347654848.0,862222222.0,,192266380224.0,16559613317952.0,1265306122368.0,264948084480.0,,18370211241216.0,20888292157632.0,0.0,1021482277056.0,1286430361536.0,,161.117078,588256355136.0,,5101682778048.0,0.0,,,,,,,
1997-12-31,1269532599192.0,,723007382584.0,1815994018528.0,56146422660.0,1702712898040.0,0.0,0.0,,11544276469520.0,,27294276485396.0,2507019440972.0,,,2649028080424.0,,3470842336112.0,,,,10773218153408.0,,,113281120488.0,,,6300215989072.0,979705515456.0,,1087473003256.0,433180298848.0,56146422660.0,56146422660.0,226781857680.0,,8895248389096.0,,159964088560.0,546436285648.0,,,-9002159836288.0,1518358532848.0,,1507559396768.0,143628509864.0,-559904080448.0,,0.0,,6222939892.0,,,62369362552.0,18292116649108.0,1093952484904.0,382289417232.0,,19810475181956.0,22317494622928.0,0.0,848272139084.0,1230561556316.0,,,1008639309872.0,,5215982726640.0,0.0,,,,,,,
1998-03-31,1141014617556.0,,673258813524.0,1531384351068.0,-398968185792.0,1465176268512.0,0.0,0.0,928000000.0,12214961308968.0,,25915735171920.0,2705073087288.0,,,2273430782832.0,,2705932932516.0,,-429.922614,,9238177129632.0,,,66208082556.0,,,7666380052848.0,791917454988.0,,926913155784.0,324161650956.0,-398968185792.0,-398968185792.0,523645743852.0,,9941530526136.0,,196044711984.0,576096302760.0,,,-8518486673796.0,1350816853188.0,,1348237317504.0,123817712832.0,-1118658641628.0,,0.0,,-191745485844.0,928000000.0,,-590713671636.0,17397248498124.0,1064488392264.0,65348237328.0,,18748065351312.0,21453138438600.0,0.0,1092003439560.0,1157351676888.0,,-429.922614,632846087808.0,,4665520207128.0,0.0,,,,,,,
1998-06-30,840409955882.0,,546120058439.0,1058565153489.0,-653001463978.0,1001464128612.0,0.0,0.0,892000000.0,17767203509805.0,,31770131764257.0,3846266470561.0,,,3194729135426.0,,1672035138706.0,,-732.064422,,9136163980320.0,,,57101024877.0,,,12017569543344.0,455344070173.0,,999999999769.0,161054172730.0,-653001463978.0,-653001463978.0,1076134699605.0,,14572474374379.0,,183016105375.0,860907759684.0,,,-10203513906867.0,1490483162174.0,,1554904831266.0,111273792068.0,-1481698389116.0,,0.0,,-344070278105.0,892000000.0,,-997071742083.0,21566617857390.0,1322108345229.0,11713030744.0,,23057101019564.0,26903367490125.0,0.0,1510980965976.0,1522693996720.0,,-732.064422,1011713030513.0,62957540249.0,5286969252073.0,0.0,,,,,,,
