date,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyBasicEPS,quarterlyCostOfRevenue,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment
1984-03-31,,,108700000,108700000,,,,,,,,,,,,,,,,,,,108700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,974500000,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,94900000,94900000,,,,,,,,,,,,,,,,,,,94900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1027200000,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,61200000,61200000,,,,,,,,,,,,,,,,,,,61200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1041500000,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,37700000,37700000,,,,,471300000.0,,,,,,,,,,,,,,31800000,,11624900000.0,,,8806400000.0,,,,,,,,2818500000.0,,,,,,,2633900000.0,,,,,,,,,1127600000,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,80000000,80000000,,,,,,,,,,,,,,,,,,,80000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113700000,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,84600000,84600000,,,,,,,,,,,,,,,,,,,84600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283500000,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,100500000,100500000,,,,,,,,,,,,,,,,,,,100500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446500000,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,,108500000,108500000,,,,,730300000.0,,,,,,,,,,,,,,102600000,,15570700000.0,,,11867300000.0,,,,,,,,3703400000.0,,,,,,,3015600000.0,,,,,,,,,1795600000,,,,,,,,,,,,,,,,,,,,,,,,,
1986-03-31,,,123900000,123900000,,,,,,,,,,,,,,,,,,,123900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1773400000,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,153900000,153900000,,,,,,,,,,,,,,,,,,,153900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129200000,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,176200000,176200000,,,,,,,,,,,,,,,,,,,176200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2249100000,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,202600000,202600000,,,,,919300000.0,,,,,,,,,,,,,,191400000,,21022900000.0,,,16155100000.0,,,,,,,,4867800000.0,,,,,,,3763700000.0,,,,,,,,,2568600000,,,,,,,,,,,,,,,,,,,,,,,,,
