date,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyCostOfRevenue,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyDepreciationAndAmortization,quarterlyDilutedEPS,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyNetIncomeContinuousOperations,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyOtherIncomeExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyBasicEPS,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfInvestment,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyNetIncome,quarterlyInterestExpense,quarterlySellingGeneralAndAdministration,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOperatingExpense,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit
2000-12-31,652000000.0,3089000000,3528000000.0,15297000000,12354000000,1392000000.0,,6617000000,,221000000,221000000,,,985000000,1000000.0,492000000.0,3302000000,9123000000,345000000,3299000000,376000000.0,1362000000.0,5800000000,-9361000000.0,9051000000,,2126000000,,18412000000.0,2506000000,2943000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,1395000000.0,2156000000,3192000000.0,14888000000,11929000000,1334000000.0,,6289000000,,603000000,603000000,941000000.0,,827000000,1000000.0,496000000.0,1257000000,9151000000,195000000,3067000000,541000000.0,971000000.0,5613000000,-7907000000.0,10209000000,,2005000000,,18116000000.0,2862000000,2959000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,11074000000,,27313000000,21713000000,3257000000.0,,11074000000,,836000000,661000000,,,1507000000,9000000.0,,2425000000,14812000000,0,1160000000,3065000000.0,,12179000000,-7907000000.0,19279000000,175000000.0,7362000000,,27186000000.0,3738000000,5600000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,0.0,5987000000,,29552000000,22728000000,,1553000000.0,10641000000,9000000.0,1616000000,1499000000,,,1457000000,,,987000000,16870000000,0,4303000000,,,12356000000,,20179000000,117000000.0,7461000000,,,6229000000,6824000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,963000000.0,2914000000,6668000000.0,27459000000,22895000000,2126000000.0,,10947000000,,874000000,874000000,1365000000.0,,1294000000,488000000.0,1269000000.0,5887000000,15251000000,270000000,3511000000,334000000.0,2072000000.0,11900000000,-11879000000.0,16086000000,,8055000000,,27965000000.0,4304000000,4564000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,0.0,3238000000,6414000000.0,35001000000,29417000000,,2668000000.0,13189000000,3186000000.0,1765000000,1552000000,,,1328000000,56000000.0,898000000.0,281000000,17840000000,129000000,8727000000,,2267000000.0,16832000000,,22232000000,213000000.0,7982000000,,,4651000000,5584000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,11988000000,,29723000000,22351000000,3033000000.0,,11988000000,,997000000,812000000,,,1658000000,7000000.0,,1779000000,16367000000,0,1234000000,1808000000.0,,13042000000,-15850000000.0,20565000000,185000000.0,9482000000,,36415000000.0,4379000000,7372000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,0.0,2781000000,5452000000.0,36675000000,29814000000,,2467000000.0,11864000000,2648000000.0,1985000000,1818000000,,,1715000000,54000000.0,1134000000.0,287000000,17520000000,176000000,8767000000,,2833000000.0,18802000000,,23297000000,167000000.0,9652000000,,,5656000000,6861000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,6196000000,5615000000.0,32253000000,23733000000,3269000000.0,,11811000000,,1242000000,1016000000,,,2212000000,33000000.0,,1759000000,17485000000,1797000000,2825000000,-12000000.0,,14346000000,-16959000000.0,21941000000,226000000.0,11015000000,,38900000000.0,5674000000,8520000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,0.0,346000000,9622000000.0,47647000000,39805000000,,2639000000.0,17126000000,2610000000.0,1684000000,1418000000,,,2465000000,49000000.0,1500000000.0,458000000,25643000000,160000000,8537000000,,4051000000.0,21658000000,,32431000000,266000000.0,13077000000,,,8517000000,7842000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
