date,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyDilutedAverageShares,quarterlyStockBasedCompensation,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings
2011-03-31,,,,2400000.0,8900000.0,14400000,,94400000,-188900000.0,,55000000,,37200000,,,36000000.0,,1.006725,60300000,-200000.0,36600000,,,,11900000.0,-100000.0,,46200000,,,26600000,,,36951515.0,,200000.0,-200000.0,,0,,,37200000,2300000.0,1.006725,,97700000.0,100000,-5300000.0,97900000.0,,,,37200000,37200000,,,,31200000,0.0,0,,,,,,1000000.0,,63200000,-158200000,0.0,-5600000.0,,36951515.0,,,,
2011-06-30,,,,300000.0,8800000.0,8200000,,102800000,-71700000.0,,21400000,,32800000,,,275700000.0,,0.88765,27400000,400000.0,39200000,,,,-14500000.0,0.0,,41700000,,,19800000,,,36951515.0,,0.0,-100000.0,,0,,,32800000,-300000.0,0.88765,,14300000.0,100000,-6000000.0,14400000.0,,,,32800000,32800000,,,,43800000,-239300000.0,-7500000,,,,,,-3400000.0,,59000000,-41300000,400000.0,,,36951515.0,,,,
2011-09-30,,,,-1500000.0,9700000.0,10700000,,109300000,0.0,,43000000,,39300000,,,0.0,,1.063556,53900000,13300000.0,46500000,,,,6500000.0,-100000.0,,49000000,,,23100000,,,36951515.0,,400000.0,-200000.0,,0,,,39300000,-3100000.0,1.063556,,-94800000.0,0,-10900000.0,-94600000.0,,,,39300000,39300000,,,,39700000,65100000.0,-7400000,,,,,,1800000.0,,69600000,54200000,13700000.0,,,36951515.0,,,,
2011-12-31,,51100000.0,298700000.0,-2000000.0,8900000.0,40400000,12800000.0,104100000,-220000000.0,63900000.0,12700000,1303100000.0,24700000,1004400000.0,,0.0,1240800000.0,,40300000,-13600000.0,3100000,1700000.0,,34700000.0,8700000.0,0.0,,33700000,,0.0,52400000,100000.0,,,100000.0,13700000.0,-100000.0,,100000,,866800000.0,24800000,100000.0,,700000.0,19500000.0,0,-27600000.0,19600000.0,-374000000.0,3400000.0,,24700000,24700000,0.0,200000.0,134200000.0,48600000,174200000.0,0,15600000.0,6400000.0,1239200000.0,11200000.0,,1500000.0,,55500000,-73400000,100000.0,,9000000.0,,,,,
2012-03-31,,45800000.0,327000000.0,-1400000.0,9200000.0,16600000,12500000.0,102100000,-36600000.0,58300000.0,32800000,1341800000.0,35200000,1014800000.0,,0.0,1258800000.0,0.9526,50400000,5100000.0,34900000,2400000.0,,30900000.0,7400000.0,0.0,,44500000,,,29500000,5200000.0,,36951515.0,5200000.0,100000.0,-100000.0,,100000,,876600000.0,35300000,1800000.0,0.9526,700000.0,8900000.0,0,-17600000.0,9000000.0,-382200000.0,4000000.0,,35200000,35200000,0.0,0.0,134200000.0,37700000,0.0,0,13800000.0,,1283500000.0,11100000.0,,800000.0,,64400000,-54200000,5200000.0,-7200000.0,8200000.0,36951515.0,,,,
2012-06-30,,220900000.0,449100000.0,-1600000.0,9200000.0,17000000,12200000.0,110400000,36600000.0,233100000.0,7300000,1501600000.0,29800000,1052500000.0,,0.0,1267300000.0,0.806462,44500000,-4600000.0,36800000,169200000.0,,41000000.0,6800000.0,0.0,,39100000,,,29200000,600000.0,,36951515.0,600000.0,5200000.0,-200000.0,,100000,,914300000.0,29900000,-2500000.0,0.806462,700000.0,121900000.0,0,-37200000.0,122100000.0,-353000000.0,4000000.0,,29800000,29800000,0.0,500000.0,134200000.0,44400000,-170400000.0,-7300000,16300000.0,3600000.0,1268500000.0,10900000.0,,-300000.0,,66000000,-171000000,600000.0,,8500000.0,36951515.0,,,,
2012-09-30,,62600000.0,152500000.0,-2200000.0,9400000.0,11200000,12000000.0,121100000,0.0,74600000.0,-27500000,1250200000.0,36900000,1097700000.0,,0.0,1334200000.0,0.998606,26900000,67900000.0,44000000,1600000.0,,42500000.0,-17100000.0,-100000.0,,46200000,,,23600000,68500000.0,,36951515.0,68500000.0,600000.0,-200000.0,,-100000,,958300000.0,36800000,2600000.0,0.998606,700000.0,-296800000.0,0,-54400000.0,-296600000.0,-375900000.0,5200000.0,,36900000,36900000,0.0,500000.0,134200000.0,53500000,392200000.0,-7700000,13700000.0,8100000.0,1175600000.0,10700000.0,,-1600000.0,,67600000,337800000,68500000.0,,10100000.0,36951515.0,,,,
2012-12-31,,63300000.0,283800000.0,-3700000.0,11600000.0,11700000,11200000.0,108600000,0.0,74500000.0,42400000,1301300000.0,-89000000,1017500000.0,,221700000.0,1186300000.0,,68800000,148200000.0,21500000,3000000.0,,39000000.0,18800000.0,0.0,,55200000,,,4900000,216700000.0,,,216700000.0,68500000.0,-200000.0,691100000.0,200000,,910000000.0,42300000,-3900000.0,,700000.0,104600000.0,1300000,-26400000.0,-99600000.0,-276300000.0,2800000.0,,-88800000,42100000,0.0,2600000.0,104700000.0,82200000,-220500000.0,21000000,17600000.0,0.0,0.0,10600000.0,,100000.0,,26400000,-25200000,216700000.0,,8900000.0,,,,,
2013-03-31,-13300000.0,64600000.0,295700000.0,2000000.0,11700000.0,13500000,11100000.0,109900000,0.0,75700000.0,37500000,1311900000.0,17200000,1016200000.0,,,1196100000.0,0.23,46700000,11200000.0,35500000,2600000.0,,34300000.0,-2300000.0,,,47000000,,,22100000,227900000.0,13200000.0,74000000.0,227900000.0,216700000.0,-200000.0,,0,,909000000.0,35300000,3600000.0,0.23,700000.0,-26300000.0,0,-9200000.0,-12800000.0,-287100000.0,2500000.0,,17600000,35300000,0.0,2400000.0,104700000.0,52300000,0.0,0,14000000.0,,0.0,10400000.0,,-1800000.0,,57600000,-9200000,227900000.0,-7100000.0,10700000.0,74000000.0,,,,
2013-06-30,-20600000.0,78100000.0,180900000.0,-4600000.0,11900000.0,13900000,11000000.0,116100000,0.0,89100000.0,30300000,1217700000.0,18300000,1036800000.0,,,1225800000.0,0.25,61900000,-112600000.0,35200000,1100000.0,,43300000.0,19800000.0,,,46800000,,,21500000,115300000.0,18300000.0,74000000.0,115300000.0,227900000.0,-200000.0,,100000,,929800000.0,34900000,1200000.0,0.25,700000.0,-142900000.0,0,-31600000.0,-22100000.0,-296000000.0,2300000.0,,18600000,34800000,0.0,3300000.0,104700000.0,59400000,0.0,-23800000,12800000.0,,1128600000.0,10200000.0,,1700000.0,,56700000,-31600000,115300000.0,8200000.0,12400000.0,74000000.0,,,,
