date,quarterlyNetIncomeCommonStockholders,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyDilutedAverageShares,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyGoodwill
1998-03-31,148970200,,,,555088960,136972600.0,-399020180.0,-81983600.0,,-78984200.0,,2176564600.0,,5553089160.0,39992000.0,,354697721.0,1366926560,10429013780.0,294041180,,1494001140.0,2537992300.0,,61987600.0,2478004300.0,537092560.0,0.419992,,,668866200.0,,3015096860.0,698060360.0,354697721.0,,7088981920.0,142971400.0,150969800,150969800,-75984800.0,,75984800.0,-5998800.0,271045780.0,10381023380.0,-47990400.0,90981800.0,,,90981800.0,1231953560.0,57988400.0,404019180.0,64987000.0,0.0,226954600.0,-1999600.0,855028960.0,,,-323035380.0,363027380.0,,12795040480.0,537992380.0,,-37992400.0,,11301039340.0,261047780.0,,768046360.0,174965000.0,,0.419992,
1998-06-30,156968600,,,,609878000,118976200.0,-416916600.0,-78984200.0,,-261947600.0,,2252549400.0,,5920415680.0,147970400.0,,356775207.0,1407818380,10486902200.0,343931200,,1562887360.0,2662767340.0,,39092180.0,2426714560.0,830933780.0,0.439965,,,654968980.0,,3257648340.0,752849400.0,356775207.0,,6934312860.0,142971400.0,158968200,158968200,-79984000.0,,76984600.0,-41991600.0,260947800.0,10438911800.0,-47990400.0,99980000.0,,,99980000.0,1246850580.0,63987200.0,408918200.0,75984800.0,0.0,235952800.0,-85982800.0,924914980.0,,,-336932600.0,484903000.0,,13002698940.0,658968180.0,,-17996400.0,,11439811580.0,265946800.0,,756948580.0,136972600.0,,0.439965,
1998-09-30,158968200,,,,574885000,128974200.0,-304939000.0,-83983200.0,,35992800.0,,2334533000.0,,5749449880.0,165966800.0,,353290938.0,1392821380,10486902200.0,301939600,,1535892760.0,2516796540.0,,44091180.0,2406718560.0,825934780.0,0.449964,,,665966780.0,,3232653340.0,726854600.0,353290938.0,,7093281060.0,151969600.0,161967600,161967600,17996400.0,,74985000.0,-1999600.0,273945200.0,10438911800.0,-47990400.0,108978200.0,,,108978200.0,1236852580.0,59988000.0,424915000.0,72985400.0,0.0,236952600.0,-173965200.0,943911180.0,,,-322935400.0,488902200.0,,12991701140.0,521995580.0,,9998000.0,,11455808380.0,272945400.0,,757948380.0,118976200.0,,0.449964,
1998-12-31,115076980,,,,481103760,94981000.0,-388122360.0,-81083780.0,,165966800.0,,2277044500.0,,5786042560.0,-64987000.0,,,1332433460,10539991580.0,206058780,,1554988940.0,2422015500.0,,45990800.0,2577984300.0,786042760.0,,,,690261920.0,,3364027060.0,642171540.0,,,7208957920.0,161067780.0,117076580,117076580,-19996000.0,,36092780.0,-26994600.0,262047580.0,10512996980.0,-26994600.0,69986000.0,,,69986000.0,1252049540.0,64987000.0,436112760.0,84983000.0,0.0,153169360.0,50989800.0,993001360.0,,,-368126360.0,303139360.0,,13145970280.0,381923600.0,,-33993200.0,,11590981340.0,275044980.0,240951800.0,788042360.0,128974200.0,3529993860.0,,
1999-03-31,108045950,,,,495951900,123038450.0,-276961450.0,-81959000.0,,-181009450.0,,2304447200.0,,5779908600.0,-29985000.0,,348709677.0,1379010150,10479957400.0,248975450,,1672963100.0,2268964950.0,,44077950.0,2753022800.0,757920850.0,0.309845,,,731034300.0,,3510943650.0,647975850.0,348709677.0,,7317039650.0,152023950.0,110044950,110044950,-23988000.0,,49975000.0,-11994000.0,253972950.0,10452970900.0,-26986500.0,94952500.0,,,94952500.0,1185007200.0,74962500.0,399000400.0,103048450.0,-99950.0,160019950.0,81959000.0,1012993250.0,,,-252973450.0,222988450.0,,13241975700.0,339929950.0,,27986000.0,,11569012600.0,246976450.0,,744027800.0,94952500.0,,0.309845,
1999-06-30,192003950,,,,607995850,106046950.0,-130034950.0,-80059950.0,,-95952000.0,,2418390200.0,,5943027000.0,196001950.0,,355705170.0,1564017600,10356019400.0,358020900,,1787006050.0,2511043850.0,,44077950.0,2706046300.0,725936850.0,0.539784,,,797001300.0,,3431983150.0,767016300.0,355705170.0,,7197999200.0,159020450.0,194002950,194002950,49975000.0,,63968000.0,-20989500.0,260969450.0,10329032900.0,-26986500.0,78960500.0,,,78960500.0,1167016200.0,75962000.0,408995400.0,97951000.0,-87856050.0,257970950.0,-262968450.0,985007250.0,,,-180009950.0,376011900.0,,13198997200.0,662068800.0,,-16991500.0,,11411991150.0,249974950.0,,681958850.0,123038450.0,,0.539784,
1999-09-30,221977800,,,,1686031380,,,,,,,,,,,,352313845.0,1686031380,,1686031380,,,,,,,,0.630057,,,,,,,352313845.0,,,,221977800,221977800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.630057,
1999-12-31,-49047390,,,,-3094037050,,,,,,,2435000000.0,,5483000000.0,,449000000.0,,1968962950,9530000000.0,-3094037050,,2467000000.0,2796000000.0,,219000000.0,2045000000.0,642000000.0,,,,,,2687000000.0,,,,7375000000.0,,-45047390,-45047390,,,,,278000000.0,9297000000.0,-233000000.0,530000000.0,,,81000000.0,1363000000.0,,,89000000.0,,,,1065000000.0,,,,,,12918000000.0,638000000.0,,,,10451000000.0,,249000000.0,795000000.0,,3530000000.0,,
2000-03-31,306969300,,,,2164783500,,,,,,,,,,,,352725175.0,2164783500,,2164783500,,,,,,,,0.870279,,,,,,,352725175.0,,,,306969300,306969300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.870279,
2000-06-30,306938600,,,,2164567000,,,,,,,,,,,,352718286.0,2164567000,,2164567000,,,,,,,,0.870209,,,,,,,352718286.0,,,,306938600,306938600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.870209,
