date,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentAssets,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyInventory,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,14029000000.0,,16849000000,6815000000,6685000000,12497000000.0,736000000,33563000000,10034000000,-3185000000.0,0.0,0,0.0,,0,2513000000.0,,,10844000000,40000000,7039000000,3206000000,45783000000,52468000000,243000000,3206000000,3304000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,17242000000,7356000000,7324000000,6051000000.0,723000000,34239000000,9886000000,,0.0,0,0.0,,0,2513000000.0,,,10613000000,41000000,6799000000,3995000000,46398000000,53722000000,243000000,3995000000,3282000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,23629000000.0,,28980000000,11246000000,13618000000,6531000000.0,2065000000,39042000000,17734000000,-6794000000.0,0.0,0,0.0,1525000000.0,0,,,382000000.0,16835000000,159000000,13072000000,6352000000,64733000000,78351000000,246000000,6734000000,1748000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,,30639000000,13427000000,15146000000,19874000000.0,2344000000,41843000000,17212000000,,0.0,0,0.0,1020000000.0,0,,,390000000.0,17316000000,212000000,13253000000,6841000000,68456000000,83602000000,246000000,7231000000,2211000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,26261000000.0,,32326000000,11710000000,15172000000,1683000000.0,2351000000,43405000000,20616000000,-7992000000.0,4000000.0,1049000000,0.0,985000000.0,-2000000,,-4000000.0,963000000.0,18269000000,240000000,14474000000,6811000000,71914000000,87086000000,247000000,7774000000,2231000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,,38660000000,16040000000,22667000000,548000000.0,2409000000,43414000000,22620000000,,4000000.0,1073000000,0.0,1593000000.0,-2000000,3333000000.0,-4000000.0,708000000.0,17556000000,287000000,11090000000,12220000000,71364000000,94031000000,247000000,12928000000,1010000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,31752000000.0,294000000.0,23784000000,8801000000,6052000000,1196000000.0,1693000000,45542000000,14983000000,-6943000000.0,0.0,1489000000,6035000000.0,11801000000.0,111000000,3293000000.0,852000000.0,369000000.0,24809000000,89000000,4796000000,4192000000,71414000000,77466000000,0,4561000000,7021000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,26949000000.0,3302000000.0,33410000000,8257000000,7426000000,555000000.0,1743000000,45348000000,25153000000,,0.0,1509000000,3302000000.0,21901000000.0,480000000,3307000000.0,1057000000.0,439000000.0,26949000000,111000000,4553000000,4059000000,79010000000,86436000000,0,4498000000,4696000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,34929000000.0,334000000.0,32765000000,4752000000,5802000000,1390000000.0,1949000000,48599000000,28013000000,-7928000000.0,0.0,1523000000,1687000000.0,24541000000.0,136000000,3318000000.0,895000000.0,558000000.0,27001000000,94000000,5274000000,3205000000,83389000000,89191000000,0,3763000000,2417000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,26926000000.0,3967000000.0,32191000000,10974000000,20029000000,24361000000.0,1949000000,64069000000,21217000000,,0.0,1536000000,3967000000.0,17732000000.0,1575000000,3310000000.0,1171000000.0,592000000.0,26926000000,116000000,5720000000,15673000000,84180000000,104209000000,0,16265000000,6719000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
