date,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyGrossProfit,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyBasicAverageShares,quarterlyPurchaseOfBusiness,quarterlyOtherIntangibleAssets,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,quarterlyBeginningCashPosition,quarterlyCapitalExpenditure,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyBasicEPS,quarterlyStockBasedCompensation,quarterlyEbitda
2004-03-31,,12434840,1653052153,575014221,94504050.0,,397898517,27306329.0,-198677634,186936986,-2093043.0,2214291431,26843225,972912738,3867343584,8612721,-116776413.0,27452147,27452147,0.00546,32589744.0,0,1579300000.0,126781003,1373072249.0,2894430846,-225570899.0,116812161,,50978423.0,445071.0,-15555274.0,,1868584,,85479153,60155983,397898517.0,,,33312758,,264100000.0,,95948300.0,,7280694,2115338834,1400378578,1373072249,,445276334.0,-225979371.0,95991558.0,2743377.0,,3004297,-315993086.0,12041434.0,1044175701.0,109202958.0,2018387.0,927795915.0,-2003478.0,2431331920.0,,-12516850.0,309071430.0,,,-206156709.0,1048867018.0,16539866,118972810.0,0.0326,,121347275
2004-06-30,,11495345,1574785559,850021930,111475355.0,,413965135,90463911.0,-164512236,220988561,-64132303.0,2754708756,36390337,1263987065,4329494315,34165398,-217291841.0,34165398,34165398,0.01882,32591632.0,0,1814700000.0,159507009,2571664672.0,3065507250,-412596247.0,131707549,,54243275.0,-1080832.0,-28083387.0,,1337955,,113562540,61481552,413965135.0,,,25091215,,1789700000.0,,96581107.0,,7289927,2658127649,1289056334,1198592423,,1373072249.0,-351833464.0,95991900.0,2759605.0,,0,-501436777.0,55227190.0,103460357.0,134541623.0,4010274.0,-174479826.0,0.0,3159564426.0,,-11400197.0,699586755.0,,,-71963942.0,32166207.0,13532637,200000.0,0.0191,,147865692
2004-09-30,,5730443,1396350701,994984877,132920637.0,,544453946,90823297.0,-125168942,274897225,0.0,3255999773,-29972266,1539438823,4652350474,39343294,-497769897.0,39343294,39343294,0.02158,24875320.0,0,1822500000.0,202387456,3521829581.0,3112911651,-614662535.0,187235125,,65244711.0,2296589.0,-21194466.0,,-2687195,,134757006,72509769,544453946.0,,,102482035,,1796100000.0,,94350492.0,,7291249,3161649282,1040988206,950164909,,2571664672.0,-617011320.0,211983707.0,3614187.0,,-1,-623572186.0,0.0,246976390.0,119241423.0,0.0,-248427514.0,0.0,3785221468.0,,-52601132.0,717756459.0,,,-60228302.0,495772.0,20688265,0.0,0.0219,,102948371
2004-12-31,,24484003,955417859,730329536,132428505.0,,544462074,20364184.0,-136384949,291841924,427.0,3428857672,72274711,1274791610,4384275531,-11216007,-495580797.0,-11216007,-11216007,,1831972.0,0,,232725307,607172570.0,3109483921,-573956871.0,169188287,,82857551.0,-8968824.0,-9260846.0,,-13013825,,144017852,59116617,544462074.0,,0.0,-13158094,,,,116933073.0,,7292872,3311924599,627536754,607172570,,3521829581.0,-651257230.0,282986372.0,4580725.0,,0,-772416194.0,0.0,75151514.0,155676433.0,78148088.0,-342992339.0,,4084340793.0,152000.0,6839289.0,364333613.0,,,-50789899.0,-64669846.0,27406568,0.0,,,202795979
2005-03-31,,9084818,813118537,784438292,182772188.0,,541134032,10349390.0,-166379946,248808088,-5280500.0,3598709633,-21973941,1325572324,4411828170,-29994997,-108673653.0,-29994997,-29994997,-0.01662,1831972.0,0,1805400000.0,240277048,438801533.0,3086255846,-241963053.0,180877544,,84038636.0,1878435.0,-30507400.0,,-2252173,,174525252,8531040,541134032.0,,,30504981,-29986283.0,1805400000.0,,241659209.0,,7293320,3354240115,449150923,438801533,8714.0,607172570.0,-248495009.0,366957352.0,7688304.0,,2810309,-772416194.0,12134618.0,-66169385.0,139821356.0,9932932.0,-168371037.0,,4126656309.0,,-13433377.0,333442304.0,,,-43855518.0,196032.0,17933336,0.0,-0.01662,,160798247
2005-06-30,,8409169,968091225,798965896,202737114.0,,628010292,2768085.0,-206825234,279500151,-6735980.0,3551041147,-32080507,1426976188,4519132372,-40445288,-92121190.0,-40445288,-40445288,-0.02226,1831972.0,0,1816900000.0,273111545,1015093712.0,3053111332,-227533144.0,196132014,,77655608.0,-3642579.0,-1977063.0,,-1293508,,176502315,6388606,628010292.0,,,38469113,-40314892.0,1816900000.0,,231575397.0,,7298647,3309941020,579060264,576292179,118449.0,438801533.0,-227154585.0,471715699.0,8970776.0,,9524730,-772416194.0,39051554.0,230312710.0,135033395.0,10000000.0,137490646.0,,4082357214.0,,-28217026.0,249594589.0,,,-37294703.0,777415.0,16343815,0.0,-0.02226,,170656607
2005-09-30,,13193937,990605199,885621377,208920092.0,,576354649,5581511.0,-232940702,309959083,-14817982.0,3544213680,-20946589,1461976026,4534818879,-26115468,11158171.0,-26115468,-26115468,-0.01436,0.0,15039304,1818000000.0,284686533,1591860303.0,3034236960,-198635168.0,212822764,,93576700.0,1950766.0,-6348289.0,,1453794,,182850604,25272550,561315345.0,,,46219139,-26548334.0,1818000000.0,,240980535.0,,7312888,3284892971,582348102,576766591,6068.0,1015093712.0,-188180850.0,532247701.0,10333503.0,,18340174,-772416194.0,6496978.0,-137183.0,199339021.0,2412898.0,474412.0,,4057309165.0,,16226567.0,259796976.0,,,-30446204.0,561806.0,19229715,0.0,-0.01436,,187973503
2005-12-31,,22725892,1047464887,896038125,218483627.0,,622497219,13795859.0,-247919043,333051413,7016937.0,3535950844,-8798392,1518535344,4583415731,-14978341,-34777918.0,-14978341,-14978341,,0.0,24686398,,290093917,585796887.0,3026098524,-191521032.0,241333914,,92916030.0,-24120390.0,-8387032.0,,1819244,,191237636,42957496,597810821.0,,,51755888,-13271625.0,,,229946416.0,,7320674,3285631131,599592746,585796887,151636.0,1591860303.0,-208688953.0,540803663.0,11791740.0,,20373297,-1515923860.0,-57291774.0,26358011.0,173911035.0,3983468.0,9030296.0,,4801554991.0,,-31371673.0,262318432.0,,,-24710554.0,39767923.0,28645996,0.0,,,209685235
2006-03-31,,17719045,942614233,863629846,227783565.0,,561039416,3525210.0,-256662052,351137952,,3538975525,-5965140,1424669262,4481589758,-8743009,5529275.0,-13896995,-8743009,0.00282,0.0,25395010,1827800000.0,307767802,485120565.0,3019085996,-187539526.0,241020392,,89469845.0,-1439000.0,-5346923.0,,-1259211,,196584559,43370150,535644406.0,,,49335290,-13771819.0,1827800000.0,,233325848.0,,7327361,3286544385,488645775,485120565,13985.0,585796887.0,-197518652.0,487181931.0,12201407.0,,19105292,-1515923860.0,0.0,-116188858.0,203047927.0,10250212.0,-100676322.0,,4802468245.0,,-12416164.0,286884436.0,,,155062.0,736003.0,20592655,93634.0,0.00282,,221818425
2006-06-30,,20755363,1088925543,709892715,237349950.0,,954788043,3486997.0,-254420190,361445898,,3641081163,-6924655,1664680758,4730006706,2241862,3075413.0,2241862,2241862,0.0012,5782422.0,33507429,1872900000.0,312229121,1069763972.0,3028259100,-159507917.0,257248338,,85373210.0,7070255.0,-21007826.0,,-2318174,,217592385,49216777,921280614.0,,,56141432,-16415408.0,1830300000.0,,223206153.0,,7337094,3378265128,588130404,584643407,-18891787.0,485120565.0,-166626355.0,194685830.0,12214076.0,,20717486,-1515923860.0,-3596938.0,89280481.0,169701768.0,30704.0,99522842.0,,4894188988.0,,-71111254.0,429813127.0,,,196061.0,883777.0,24344979,20548.0,0.00122,,230425295
