date,quarterlyOtherCurrentAssets,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyRetainedEarnings,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAssets,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyTotalNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2004-06-30,,0.41,,,,,,,,,21108000,42465000,,,,,,7808000,,,,21693000,,,21061000,,,180354000,,,,,,,21357000,,,,,,31060000.0,137889000,,,,,,19197000,0.41,,12648000,13253000,30801000.0,12648000,,,,110000,,,,,,,,,,,,,,,,,,,
2004-09-30,,0.04,-30084000.0,,,,,,,649000.0,19464000,35811000,-225000.0,,,-276000.0,,5950000,,18863000.0,,20482000,-23675000.0,983000.0,16187000,,,169203000,-8017000.0,,16281000.0,,-8070000.0,,16347000,,,,,,31060000.0,133392000,,-28000.0,,,,17537000,0.04,,1166000,10237000,30801000.0,1166000,-8292000.0,,621000.0,-20000,,,,,4135000.0,,,,,,-16087000.0,16557000.0,,,,,,,
2004-12-31,5944000.0,,26829000.0,,,,,,-2462000.0,621000.0,24850000,38776000,332000.0,-497217000.0,,535000.0,125246000.0,5028000,,17615000.0,,16407000,19843000.0,1255000.0,13724000,,,179486000,34809000.0,56926000.0,-29774000.0,159783000.0,-5747000.0,125246000.0,13926000,632922000.0,28296000.0,473139000.0,1431000.0,,,140710000,,-456000.0,,20538000.0,81241000.0,18022000,,308695000.0,8446000,8696000,,8446000,-5491000.0,32407000.0,165000.0,-195000,115294000.0,215000.0,165000.0,165000.0,2481000.0,,,138167000.0,39198000.0,0.0,29062000.0,-30309000.0,,,,,,,
2005-03-31,,0.36,10054000.0,,,,,,,165000.0,19710000,37844000,0.0,,,-68000.0,,6620000,,-15426000.0,,22265000,11160000.0,2551000.0,18002000,0.0,,166375000,31640000.0,,-29092000.0,,-2626000.0,,18134000,,,,,,31060000.0,128531000,,-78000.0,,,,17826000,0.36,,11043000,11382000,30801000.0,11043000,-2626000.0,,87000.0,325000,,,,,4131000.0,,193000.0,,,,29014000.0,-29024000.0,,,,,,,
2005-06-30,1861000.0,0.04,3397000.0,,,,66655000.0,308000.0,-2462000.0,87000.0,31356000,40464000,0.0,498068000.0,,,129907000.0,7404000,,,,13233000,8416000.0,-1798000.0,8941000,,,185008000,12196000.0,68485000.0,-4881000.0,146203000.0,-5110000.0,129907000.0,9108000,622088000.0,6338000.0,475885000.0,263000.0,,31060000.0,144544000,,2209000.0,33892000.0,19234000.0,55535000.0,30942000,0.04,,1281000,1537000,30801000.0,1281000,-5106000.0,29963000.0,2296000.0,5000,103372000.0,1567000.0,2296000.0,2296000.0,4125000.0,,172000.0,124020000.0,345978000.0,0.0,7086000.0,-6326000.0,,,,,,,
2005-09-30,1962000.0,0.16,-34796000.0,,,,72713000.0,311000.0,-2462000.0,2296000.0,24904000,34276000,0.0,513662000.0,,,129302000.0,4016000,,,,13804000,-29779000.0,681000.0,8969000,,4900000.0,171872000,-12917000.0,87549000.0,16558000.0,180127000.0,-3331000.0,129302000.0,9372000,654841000.0,6200000.0,474714000.0,111000.0,,31075000.0,137596000,,320000.0,32592000.0,18924000.0,53630000.0,24769000,0.16,,4900000,4953000,30833000.0,4900000,-3321000.0,28506000.0,2616000.0,317000,138168000.0,14725000.0,2616000.0,2616000.0,4432000.0,,403000.0,141179000.0,345412000.0,0.0,-16248000.0,1011000.0,,,,,,,
2005-12-31,1970000.0,,23606000.0,,,,61457000.0,311000.0,-2279000.0,2616000.0,43078000,35053000,0.0,513355000.0,-65698000.0,,117438000.0,-2866000,,,0.0,-3772000,11509000.0,-6295000.0,-8473000,,-748000.0,184476000,20889000.0,61871000.0,-12327000.0,166660000.0,-3177000.0,183136000.0,-8025000,609697000.0,6144000.0,443037000.0,93000.0,,,149423000,,5385000.0,34636000.0,18906000.0,34471000.0,52528000,,,-5648000,-5607000,,-5648000,-3177000.0,9421000.0,8001000.0,9902000,114562000.0,321000.0,8001000.0,8001000.0,4253000.0,,448000.0,96342000.0,325599000.0,0.0,17712000.0,2940000.0,,,,,,,
2006-03-31,1970000.0,0.24,4892000.0,,,,71542000.0,311000.0,-2279000.0,8001000.0,28283000,40390000,0.0,525568000.0,-65698000.0,,115059000.0,4540000,,,,16622000,15822000.0,-1765000.0,11946000,,6652000.0,172724000,30858000.0,71965000.0,-86000.0,182999000.0,-1787000.0,180757000.0,12107000,629538000.0,6076000.0,446539000.0,91000.0,,31190000.0,132334000,,16498000.0,36031000.0,18953000.0,32005000.0,27819000,0.24,293374000.0,7399000,7406000,31088000.0,7399000,-14274000.0,6976000.0,24499000.0,0,114637000.0,332000.0,24499000.0,24499000.0,4515000.0,,161000.0,103970000.0,38106000.0,0.0,29071000.0,0.0,,,,,,,
2006-06-30,1970000.0,0.21,-10112000.0,,,,94918000.0,312000.0,-2279000.0,24499000.0,34489000,48523000,0.0,538100000.0,-65698000.0,,214501000.0,4182000,,,,20285000,-7830000.0,275000.0,10782000,,13245000.0,232118000,9823000.0,343765000.0,250365000.0,261843000.0,-2600000.0,280199000.0,14034000,952083000.0,9163000.0,690240000.0,50000.0,,31231000.0,183595000,,-24495000.0,56165000.0,52649000.0,70218000.0,33644000,0.21,402043000.0,6594000,6600000,31145000.0,6594000,-284683000.0,8406000.0,4000.0,0,195417000.0,248797000.0,4000.0,4000.0,6251000.0,,3252000.0,413983000.0,73696000.0,0.0,7223000.0,2107000.0,,,,,,,
2006-09-30,1822000.0,0.26,-41129000.0,,,,100276000.0,312000.0,-3394000.0,4000.0,36906000,54190000,0.0,550555000.0,-65698000.0,,210813000.0,4554000,,4771000.0,0.0,24536000,-37242000.0,1551000.0,12822000,,21503000.0,251684000,-16497000.0,100820000.0,10264000.0,306792000.0,-2959000.0,276511000.0,17284000,983474000.0,270169000.0,676682000.0,0.0,,31277000.0,197494000,,0.0,54715000.0,53008000.0,332099000.0,36652000,0.26,394302000.0,8258000,8268000,31202000.0,8258000,6233000.0,8922000.0,4000.0,712000,238895000.0,544000.0,4000.0,4000.0,7252000.0,,4462000.0,432919000.0,71567000.0,0.0,-19456000.0,-2265000.0,,,,,,,
2006-12-31,1604000.0,,23130000.0,,,,51097000.0,312000.0,-5105000.0,4000.0,16546000,57475000,0.0,576249000.0,-70432000.0,,207197000.0,14057000,,-16424000.0,0.0,47615000,9874000.0,12903000.0,36484000,,44108000.0,282870000,35442000.0,89446000.0,-31386000.0,284771000.0,-4028000.0,277629000.0,40929000,935623000.0,239115000.0,650852000.0,0.0,36590000.0,,225395000,,2000.0,56393000.0,26520000.0,269928000.0,36640000,,382582000.0,22605000,22427000,,22605000,-4054000.0,4293000.0,6000.0,21087000,215766000.0,543000.0,6000.0,6000.0,6686000.0,,5110000.0,359374000.0,61073000.0,0.0,31414000.0,-323000.0,,,,,,,
2007-03-31,1296000.0,0.24,16529000.0,,,,92496000.0,312000.0,-4981000.0,6000.0,36112000,52089000,0.0,587493000.0,-70432000.0,,202964000.0,4730000,,3753000.0,,23794000,30290000.0,1448000.0,12153000,,51516000.0,258984000,50716000.0,94469000.0,-48504000.0,260298000.0,-2518000.0,273396000.0,15977000,905729000.0,190613000.0,645431000.0,0.0,,31313000.0,206895000,,8000.0,52281000.0,27629000.0,223767000.0,35046000,0.24,382582000.0,7414000,7423000,31202000.0,7414000,-2204000.0,5525000.0,14000.0,0,199237000.0,541000.0,14000.0,14000.0,7817000.0,,3870000.0,318236000.0,59885000.0,0.0,48198000.0,0.0,,,,,,,
2007-06-30,1138000.0,0.3,-11347000.0,,,,95914000.0,312000.0,-4857000.0,14000.0,34458000,53607000,-103271000.0,600056000.0,-70432000.0,,213499000.0,5789000,,3036000.0,,27266000,-9218000.0,977000.0,15172000,,60878000.0,256031000,11848000.0,96697000.0,93791000.0,283334000.0,-3786000.0,283931000.0,19149000,1015969000.0,284413000.0,732635000.0,0.0,,31312000.0,202424000,,76000.0,57039000.0,27120000.0,319216000.0,33579000,0.3,432430000.0,9362000,9383000,31202000.0,9362000,-105563000.0,7683000.0,90000.0,365000,220064000.0,532000.0,90000.0,90000.0,8117000.0,,3982000.0,415913000.0,86706000.0,0.0,8062000.0,0.0,,,,,,,
2007-09-30,544000.0,0.34,-51469000.0,,,,114304000.0,312000.0,-4734000.0,90000.0,36793000,58732000,0.0,614179000.0,-70432000.0,,214598000.0,6380000,,3432000.0,,30418000,-48048000.0,3053000.0,16948000,,71446000.0,271951000,-22532000.0,116218000.0,31755000.0,345092000.0,-8040000.0,285030000.0,21939000,1081528000.0,316423000.0,736436000.0,0.0,,31290000.0,213219000,,-84000.0,65421000.0,25574000.0,351131000.0,35175000,0.34,432581000.0,10568000,10568000,31202000.0,10568000,-9307000.0,9134000.0,6000.0,-2000,271519000.0,502000.0,6000.0,6000.0,8479000.0,-1785000.0,4998000.0,467349000.0,89257000.0,0.0,-30572000.0,-225000.0,,,,,,,
2007-12-31,544000.0,,19172000.0,,,,102626000.0,312000.0,-7097000.0,6000.0,47984000,75863000,4471000.0,629309000.0,-96741000.0,,265007000.0,7974000,,3359000.0,,38613000,27587000.0,462000.0,22252000,,85724000.0,370936000,56370000.0,144767000.0,303657000.0,394275000.0,-5470000.0,361748000.0,27879000,1455958000.0,620452000.0,1061683000.0,0.0,41464000.0,,295073000,,9224000.0,76951000.0,33913000.0,681882000.0,44821000,,590791000.0,14278000,14278000,,14278000,-350745000.0,27517000.0,9230000.0,3611000,297692000.0,677000.0,9230000.0,9230000.0,10734000.0,,9186000.0,826649000.0,202381000.0,0.0,50900000.0,-5000.0,,,,,,,
