date,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyEbitda,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCashItems,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration
1994-03-31,,,189000000,,,,,,,,366000000.0,,,,-111000000,5036000000,5262000000,0.63,5036000000,431746032.0,-193000000,,272000000.0,300000000,,,,-5000000.0,,,,-80000000,,,,,,180000000.0,,9000000.0,,,,,,,,,189000000,272000000,272000000,226000000,,,,,,73000000,546000000.0,272000000,,,,,,0,,,,,,-66000000.0,0.63,431746032.0,,,
1994-06-30,,,50000000,,,,,,,,546000000.0,,,,-117000000,5562000000,5828000000,0.6,5562000000,431666667.0,-95000000,,209000000.0,184000000,,,,-158000000.0,,,,-291000000,,,,,,-136000000.0,,2000000.0,,,,,,,,,67000000,259000000,259000000,266000000,,,,,,-225000000,410000000.0,259000000,,,,,,0,,,,,,-76000000.0,0.6,431666667.0,,,
1994-09-30,,,0,,,,,,,,410000000.0,,,,-111000000,5704000000,5888000000,0.58,5704000000,437931034.0,-69000000,,136000000.0,793000000,,,,3000000.0,,,,355000000,,,,,,616000000.0,,,,,,,,,,,682000000,254000000,254000000,184000000,,,,,,-108000000,1026000000.0,254000000,,,,,,0,,,,,,-74000000.0,0.58,437931034.0,,,
1994-12-31,6086000000.0,,-107000000,,,,1971000000.0,1306000000.0,,275000000.0,1026000000.0,1199000000.0,639000000.0,639000000.0,-170000000,6604000000,-14062000000,,-14523000000,,-361000000,-4721000000.0,388000000.0,216000000,8176000000.0,,111000000.0,35000000.0,8143000000.0,5635000000.0,,-388000000,,3455000000.0,4470000000.0,,,-387000000.0,1622000000.0,,,2831000000.0,3473000000.0,9906000000.0,767000000.0,,18049000000.0,3594000000.0,46000000,233000000,270000000,261000000,6328000000.0,978000000.0,285000000.0,,,-242000000,639000000.0,233000000,,,,,3159000000.0,0,1649000000.0,11963000000.0,,1544000000.0,,-58000000.0,,,,,
1995-03-31,6178000000.0,,0,,,,2000000000.0,1001000000.0,,395000000.0,639000000.0,1200000000.0,513000000.0,513000000.0,-127000000,5644000000,534000000,0.31,455000000,441000000.0,-44000000,,126000000.0,186000000,,233000000.0,306000000.0,-141000000.0,8022000000.0,5576000000.0,,-327000000,96000000.0,3482000000.0,4537000000.0,,,-126000000.0,1628000000.0,19000000.0,,2827000000.0,3529000000.0,9936000000.0,872000000.0,5189000000.0,17958000000.0,3596000000.0,59000000,137000000,137000000,222000000,6204000000.0,837000000.0,281000000.0,79000000.0,,-268000000,513000000.0,122000000,,,-143000000.0,455000000.0,2975000000.0,0,1627000000.0,11780000000.0,,1488000000.0,0.0,-70000000.0,0.325,377000000.0,,,
1995-06-30,6059000000.0,,0,,,,1897000000.0,1042000000.0,,349000000.0,513000000.0,1200000000.0,247000000.0,247000000.0,-142000000,5606000000,230000000,-0.18,470000000,444800000.0,-190000000,,-134000000.0,73000000,,-86000000.0,77000000.0,-7000000.0,7861000000.0,6003000000.0,,-561000000,-33000000.0,3459000000.0,4399000000.0,,,-266000000.0,1833000000.0,7000000.0,,2813000000.0,3583000000.0,10414000000.0,822000000.0,5136000000.0,18275000000.0,2894000000.0,-69000000,-53000000,-53000000,243000000,6213000000.0,1557000000.0,892000000.0,73000000.0,,-149000000,247000000.0,-68000000,,,-483000000.0,470000000.0,3099000000.0,0,2245000000.0,12216000000.0,,1337000000.0,0.0,-85000000.0,-0.18,378600000.0,,,
1995-09-30,6255000000.0,,0,,,,1861000000.0,1023000000.0,,306000000.0,247000000.0,1199000000.0,122000000.0,122000000.0,-125000000,5551000000,734000000,0.645,510000000,446200000.0,-297000000,,244000000.0,360000000,,464000000.0,286000000.0,-63000000.0,8013000000.0,5969000000.0,,-84000000,177000000.0,3431000000.0,4608000000.0,,,-125000000.0,1747000000.0,,,2794000000.0,3820000000.0,10353000000.0,818000000.0,5041000000.0,18366000000.0,2892000000.0,235000000,287000000,287000000,200000000,6142000000.0,1480000000.0,715000000.0,70000000.0,,-188000000,122000000.0,272000000,,,24000000.0,510000000.0,3183000000.0,0,2267000000.0,12111000000.0,,1380000000.0,,-73000000.0,0.715,380000000.0,,,
1995-12-31,6433000000.0,,126000000,,,,1808000000.0,787000000.0,,264000000.0,122000000.0,1199000000.0,653000000.0,653000000.0,-137000000,6052000000,800000000,,538000000,,-48000000,-5020000000.0,928000000.0,673000000,8185000000.0,478000000.0,292000000.0,-83000000.0,8177000000.0,5291000000.0,,295000000,167000000.0,3165000000.0,4838000000.0,,,531000000.0,1353000000.0,,,2817000000.0,3876000000.0,9471000000.0,567000000.0,5514000000.0,17648000000.0,3010000000.0,536000000,311000000,311000000,256000000,5924000000.0,1136000000.0,722000000.0,66000000.0,,-94000000,653000000.0,356000000,,,6000000.0,538000000.0,2804000000.0,0,1681000000.0,11215000000.0,,1570000000.0,0.0,-86000000.0,,,,,
1996-03-31,6656000000.0,,0,,,,1763000000.0,763000000.0,,300000000.0,653000000.0,1199000000.0,156000000.0,156000000.0,-123000000,5109000000,716000000,0.61,472000000,445400000.0,-202000000,,-51000000.0,-139000000,,431000000.0,253000000.0,-33000000.0,8020000000.0,5229000000.0,,-574000000,159000000.0,3116000000.0,5025000000.0,,,-497000000.0,1486000000.0,14000000.0,,2769000000.0,4130000000.0,9662000000.0,713000000.0,4637000000.0,17682000000.0,3003000000.0,-262000000,272000000,272000000,214000000,5797000000.0,1127000000.0,598000000.0,71000000.0,,-156000000,156000000.0,257000000,,,30000000.0,472000000.0,2862000000.0,0,2014000000.0,11026000000.0,,1416000000.0,,-85000000.0,0.675,378600000.0,,,
1996-06-30,6912000000.0,,0,,,,2206000000.0,941000000.0,,364000000.0,156000000.0,1199000000.0,390000000.0,390000000.0,-224000000,7076000000,1013000000,0.665,693000000,447600000.0,7225000000,,-94000000.0,546000000,,505000000.0,628000000.0,-7313000000.0,10238000000.0,8319000000.0,,22000000,206000000.0,4311000000.0,5223000000.0,,,234000000.0,2292000000.0,36000000.0,,10568000000.0,5428000000.0,20090000000.0,841000000.0,6383000000.0,30328000000.0,11086000000.0,322000000,299000000,299000000,319000000,15097000000.0,1509000000.0,1673000000.0,189000000.0,,-7537000000,390000000.0,284000000,,,1000000.0,693000000.0,3057000000.0,0,3005000000.0,23416000000.0,,1944000000.0,0.0,-101000000.0,0.75,380400000.0,,,
1996-09-30,7189000000.0,,10000000,,,,2158000000.0,1211000000.0,,541000000.0,390000000.0,1201000000.0,323000000.0,323000000.0,-234000000,7028000000,1097000000,0.69,675000000,449400000.0,-777000000,,-40000000.0,901000000,,510000000.0,628000000.0,33000000.0,10193000000.0,8044000000.0,,269000000,199000000.0,4322000000.0,5443000000.0,,,-67000000.0,2673000000.0,,,10501000000.0,5221000000.0,20076000000.0,1033000000.0,6353000000.0,30269000000.0,11076000000.0,667000000,311000000,311000000,361000000,15036000000.0,1434000000.0,963000000.0,226000000.0,,-191000000,323000000.0,296000000,,,61000000.0,675000000.0,3101000000.0,0,3095000000.0,23080000000.0,,1536000000.0,0.0,-91000000.0,0.775,382400000.0,,,
1996-12-31,6856000000.0,,-7267000000,,,,1767000000.0,1294000000.0,,800000000.0,323000000.0,1193000000.0,0.0,0.0,-156000000,7662000000,1104000000,,441000000,,-506000000,-4731000000.0,923000000.0,328000000,8452000000.0,587000000.0,925000000.0,7278000000.0,9940000000.0,8704000000.0,,235000000,122000000.0,3721000000.0,5823000000.0,,,-323000000.0,1604000000.0,,,10394000000.0,4999000000.0,19317000000.0,991000000.0,7221000000.0,29257000000.0,10188000000.0,172000000,465000000,465000000,303000000,13697000000.0,1432000000.0,1290000000.0,214000000.0,,-145000000,0.0,510000000,,,360000000.0,441000000.0,3053000000.0,0,3435000000.0,22401000000.0,,2600000000.0,0.0,-85000000.0,,,,,
1997-03-31,7092000000.0,,383000000,,,,1720000000.0,1331000000.0,,328000000.0,,1193000000.0,0.0,0.0,-180000000,6674000000,988000000,0.67,656000000,434400000.0,-310000000,,-35000000.0,107000000,,476000000.0,856000000.0,,10055000000.0,9141000000.0,,-459000000,186000000.0,3703000000.0,6021000000.0,,,,1711000000.0,12000000.0,,10325000000.0,5242000000.0,19312000000.0,1094000000.0,6018000000.0,29367000000.0,9889000000.0,-73000000,290000000,290000000,311000000,13134000000.0,1130000000.0,1359000000.0,201000000.0,,203000000,,275000000,,,21000000.0,656000000.0,3411000000.0,0,3564000000.0,22275000000.0,,2790000000.0,0.0,-92000000.0,0.745,369000000.0,,,
