date,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherIncomeExpense,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyAccountsReceivable,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyNetPPE,quarterlyCurrentAccruedExpenses,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyBasicAverageShares,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable
2003-03-31,,,69665447.521335,30082806.884213,30082806.884213,,,,,,-137747589.417185,1798635190.550832,511407717.031619,230477592.0,1455057869.820611,9499833.752909,,39582640.637122,642822083.946864,6762298326.445954,,,34832723.760668,53832391.266486,,,,253328900.077582,0.110931,30082806.884213,7373454297.88312,8413686093.826691,,,,82331892.525214,205829731.313035,240662455.073703,18999667.505819,26916195.633243,4167260406.276223,58582308.142941,156747256.923004,,,,49082474.390032,230477592.0,6762298326.445954,799569340.869868,-1583305.625485,53832391.266486,-134580978.166215,140914200.668155,,,-1583305.625485,,,,2685286340.822369,0.0,1040231795.943571,98164948.780063,1481974065.453855,,0.110931,,4004179926.85128,98164948.780063,729903893.348533,,180496841.305277,,,,
2003-06-30,,,72819952.667031,84112118.889085,62597132.873826,,,,,,,1678168909.190209,518014663.290469,,1620243946.841435,28565141.504857,,112677260.393942,,7007265445.277461,,,54614964.500273,108357503.310082,1216424209.324264,,,259834831.10736,,62597132.873826,7652715025.735233,8713569336.179932,,,,81513000.975605,132399913.940056,187014878.440329,17410308.827697,67854955.894279,4225212253.612035,130087569.221639,,,,,-7707501.283764,,7007265445.277461,926594537.123611,3238304.549736,162189894.576569,-97118871.228882,211600570.197244,,,,,592489614.88175,,2537113350.876322,0.0,1060854310.444698,1439329051.848837,1688098902.735713,,,,4218592257.915032,,801019479.337338,,,,,,
2003-09-30,,,66473892.378768,116801850.242921,98432500.83092,,,,,,,,553395154.053246,,,38380000.977817,,155181851.220739,,6695582809.851431,,,179479509.422674,590626936.612982,,,,255924485.658258,,98432500.83092,7340379565.925483,8533585934.124373,,,,83770355.610092,151228105.161698,330707614.584372,16769137.569499,54840961.212484,3865456841.825373,171950988.790238,,1753248911.490012,,,88249117.032331,,6695582809.851431,952733984.870881,1668695.694688,-234320470.635158,256627559.037136,255721344.40033,,,,,,,2057366969.122877,0.0,1193206368.19889,-1268274736.494888,1808089872.702496,,,,4380629507.760827,,796024861.23575,,1159969422.009506,,,,
2004-03-31,,,79000000.0,114000000.0,114000000.0,7000000.0,177000000.0,,-1560000000.0,196000000.0,-90000000.0,1721000000.0,546000000.0,357232756.0,1909000000.0,-28000000.0,960000000.0,92000000.0,787000000.0,7055000000.0,,,857000000.0,122000000.0,,87000000.0,-61000000.0,282000000.0,0.322832,114000000.0,7533000000.0,9490000000.0,3891000000.0,,,94000000.0,61000000.0,918000000.0,7000000.0,35000000.0,4507000000.0,93000000.0,200000000.0,,,,-6000000.0,353396700.0,8615000000.0,988000000.0,,61000000.0,-55000000.0,187000000.0,,,-11000000.0,,810000000.0,,2563000000.0,,1957000000.0,108000000.0,1944000000.0,0.0,0.319076,,4701000000.0,101000000.0,0.0,,296000000.0,,,,
2004-06-30,,,82000000.0,118000000.0,118000000.0,0.0,207000000.0,,-1560000000.0,196000000.0,-101000000.0,1658000000.0,420000000.0,352437685.0,1732000000.0,31000000.0,936000000.0,169000000.0,743000000.0,6878000000.0,,,818000000.0,-78323930.846224,1296000000.0,106000000.0,61000000.0,267000000.0,0.338495,118000000.0,7341000000.0,9268000000.0,2594000000.0,,,80704276.615105,91000000.0,909000000.0,11000000.0,75000000.0,4175000000.0,180000000.0,284000000.0,,,,-21297543.22111,348601629.0,8438000000.0,1027000000.0,,786169244.767971,-136082802.547771,260704276.615105,,,-234677888.989991,,872000000.0,,2368000000.0,,1927000000.0,104000000.0,1807000000.0,-5000000.0,0.334811,,4793000000.0,104000000.0,0.0,,290000000.0,,,,
2004-09-30,15614243.520489,,74000000.0,140000000.0,140000000.0,0.0,419000000.0,,-1560000000.0,202000000.0,-23239526.734437,1684000000.0,419000000.0,341409023.0,1747000000.0,9000000.0,866000000.0,167000000.0,745000000.0,6941000000.0,,14462148.78165,850000000.0,37854531.998523,,298000000.0,91000000.0,266000000.0,0.415843,140000000.0,7409000000.0,9274000000.0,3534000000.0,,,86193647.072253,74000000.0,924000000.0,9000000.0,16000000.0,4172000000.0,176000000.0,275000000.0,,,,87086650.732796,337093459.0,8501000000.0,1020000000.0,5443418.488176,81530601.152299,66069214.114245,262193647.072253,-15614243.520489,-154695771.912542,89863851.232264,,1269000000.0,,2409000000.0,,1865000000.0,99000000.0,1763000000.0,5000000.0,0.408127,,4803000000.0,91000000.0,1000000.0,,306000000.0,,,,
2004-12-31,440879842.011813,,81000000.0,-194750480.124651,-23079283.980143,-33000000.0,-12000000.0,,-1921000000.0,191000000.0,-375786860.890677,2216000000.0,475000000.0,,1110000000.0,288049860.492082,546000000.0,146299380.367431,-495147117.440301,7239000000.0,445000000.0,39636440.991887,222000000.0,-116530601.152299,1336000000.0,-170000000.0,74000000.0,272000000.0,,-23079283.980143,7702000000.0,9153000000.0,2724000000.0,-12145978.666881,,119102076.312643,82000000.0,304000000.0,90664550.03201,82000000.0,5075000000.0,1815993260.136971,1706326665.94195,305000000.0,,,-110789107.511686,,9160000000.0,1211179548.501649,-1623582.273436,82000000.0,-163986411.566475,1844505779.613726,-977879842.011813,-148584526.845532,-16185962.242273,,-320000000.0,,3133000000.0,0.0,1451000000.0,-109666594.195021,1942000000.0,-13000000.0,,,3790000000.0,1413419538.355618,27000000.0,,442000000.0,,,,
2005-03-31,0.0,,87000000.0,47000000.0,104000000.0,0.0,-8000000.0,-327000000.0,-1921000000.0,3186000000.0,-91000000.0,1831000000.0,442000000.0,301609937.0,530000000.0,15000000.0,826000000.0,62000000.0,508000000.0,3619000000.0,,6000000.0,,36000000.0,,-99000000.0,136000000.0,435000000.0,0.350777,104000000.0,7240000000.0,8483000000.0,3599000000.0,,,,172000000.0,172000000.0,21000000.0,187000000.0,4905000000.0,191000000.0,147000000.0,1192000000.0,,,,295855853.0,5540000000.0,763000000.0,,172000000.0,372000000.0,255000000.0,-32000000.0,-89000000.0,-112000000.0,,-216000000.0,,2996000000.0,,1243000000.0,64000000.0,1909000000.0,0.0,0.34285,,3383000000.0,108000000.0,132000000.0,,723000000.0,,,,
2005-06-30,-1000000.0,,79000000.0,106000000.0,147000000.0,-29000000.0,142350816.852966,-285000000.0,-1921000000.0,927000000.0,-70220980.22356,2014000000.0,467000000.0,286265711.0,2284000000.0,29000000.0,828000000.0,106000000.0,463000000.0,3205000000.0,,2956721.123531,152000000.0,1862824878.188593,,72129836.629407,172000000.0,524000000.0,0.455261,147000000.0,4656000000.0,7754000000.0,1468000000.0,,,,2014000000.0,2166000000.0,30000000.0,9000000.0,6341000000.0,238000000.0,213000000.0,1088000000.0,,,,286265711.0,5126000000.0,767000000.0,,2017053597.019203,2005113786.185153,290000000.0,-77271997.707079,-138500716.53769,151409572.943537,,-75000000.0,,2960000000.0,,3098000000.0,66000000.0,3381000000.0,0.0,0.447751,,1393000000.0,91000000.0,0.0,,479000000.0,,,,
2005-09-30,-1756000000.0,,74000000.0,67000000.0,78000000.0,0.0,250373170.158187,-2003000000.0,-1921000000.0,864000000.0,-66436791.906893,1795000000.0,480000000.0,211462611.0,521000000.0,32000000.0,707000000.0,109000000.0,443000000.0,3206000000.0,,8691168.188907,162000000.0,-1768230497.27655,,183936378.251294,2017053597.019203,520000000.0,0.367669,78000000.0,4590000000.0,5791000000.0,1452000000.0,,,54747151.724747,233000000.0,395000000.0,26000000.0,34000000.0,4347000000.0,123000000.0,298000000.0,1053000000.0,,,73061199.541756,211462611.0,5127000000.0,741000000.0,5400587.967581,232952138.924185,-14061407.249674,179000000.0,1619872.901206,-26628889.561421,15298883.925022,6979489.844588,-24000000.0,,2739000000.0,,1201000000.0,175000000.0,1608000000.0,-6000000.0,0.356616,,1428000000.0,102000000.0,0.0,-198305826.905131,464000000.0,,,,
