date,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2009-12-31,0.0,73029000000.0,233110000000.0,0,,283531000000,205383000000,,,,1927000000.0,205383000000.0,,157260000000,93867000000,691397000000,256275000000,4520000000,460000000.0,48146000000.0,534137000000,276586000000,187666000000.0,28858000000.0,16593000000,92521000000,92521000000,13355000000,17589000000,78101000000.0,5286000000.0,370453000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,155000000.0,,,1158000000,0.0,250296000000,10532000000,,,239807000000.0,1800000000.0,,0.0,83478000000,29046000000,306558000000,21492000000,0,0.0,,223080000000,23803000000,,,56462000000,20213000000,18413000000,2311000000,14468000000,,0.0,52849000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,80889000000.0,,0,,309497000000,195412000000,-3488000000.0,,247431000000.0,592000000.0,195412000000.0,,166614000000,106911000000,721177000000,241627000000,3945000000,18298000000.0,57229000000.0,554563000000,261564000000,,27332000000.0,17733000000,91652000000,91652000000,14290000000,23122000000,81198000000.0,9131000000.0,368475000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,141000000.0,20495000000.0,,1158000000,0.0,297288000000,10196000000,,,286799000000.0,290000000.0,,0.0,93656000000,38191000000,357139000000,17141000000,0,0.0,,263483000000,17961000000,,,68620000000,22137000000,21847000000,820000000,15897000000,,0.0,56152000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,0.0,9701000000.0,,1158000000,,311073000000,11233000000,-3911000000.0,,290340000000.0,220000000.0,15144000000.0,,92006000000,35031000000,373186000000,23020000000,0,9701000000.0,,281180000000,23870000000,,,68932000000,20114000000,19894000000,850000000,22897000000,,180000000.0,58901000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,4342000000.0,,6041000000.0,1158000000,0.0,320919000000,10241000000,,,299740000000.0,206000000.0,,0.0,94147000000,27372000000,383398000000,31231000000,31231000000,1019000000.0,,289251000000,32073000000,251166000000.0,,65628000000,24177000000,23971000000,842000000,13910000000,,279010000000.0,59445000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,78641000000.0,2677000000.0,,0,,340336000000,10145000000,-3924000000.0,,315162000000.0,236000000.0,14069000000.0,,104345000000,20189000000,407566000000,43001000000,0,13290000000.0,1308000000.0,303221000000,43884000000,,,80088000000,21403000000,21167000000,820000000,5098000000,,286000000.0,64073000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,79578000000.0,14329000000.0,,0,,344306000000,10038000000,,,321601000000.0,2776000000.0,10038000000.0,,110685000000,20624000000,410612000000,41509000000,0,14329000000.0,2329000000.0,299927000000,42398000000,,,79578000000,27784000000,25008000000,889000000,4300000000,,0.0,63022000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,78027000000.0,1232000000.0,,0,,369729000000,9977000000,-4239000000.0,,342716000000.0,1360000000.0,14216000000.0,,117205000000,15466000000,428837000000,39452000000,0,3260000000.0,1600000000.0,311632000000,40550000000,,,79784000000,34557000000,33197000000,986000000,2438000000,,0.0,56016000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,78215000000.0,10670000000.0,,0,,387623000000,9954000000,,,341031000000.0,1344000000.0,9954000000.0,,115903000000,21631000000,444528000000,30646000000,0,10670000000.0,2759000000.0,328625000000,32064000000,,,78215000000,34409000000,33065000000,1013000000,8955000000,,0.0,53695000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
