date,quarterlySellingGeneralAndAdministration,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyCommonStockIssuance,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyDilutedEPS,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyIncomeTaxPayable
2015-07-31,1932000000,,718434605.0,,-265000000,,,,-154000000,,,-103000000,,,,,,,,,-0.368858,,12975000000,,,,,10896000000,,,,2079000000,,,,-292000000,-265000000,2182000000,,-51000000,,,,,-33000000,,,,,,-0.368858,171000000,,,250000000,,-325000000,,718434605.0,,,,,,,,,,,,,,,,,,
2015-10-31,1943000000,-85000000.0,718434605.0,5982000000.0,-180000000,19000000.0,0.0,,605000000,26000000.0,,-78000000,349000000.0,719000000.0,,-8000000.0,,-187000000.0,,,-0.250545,,12674000000,,9000000.0,,,10542000000,,,,2132000000,-337000000.0,,,-264000000,-180000000,2210000000,,-36000000,22000000.0,,,,-17000000,,-2459000000.0,,,,-0.250545,167000000,,-4000000.0,267000000,,-281000000,,718434605.0,459000000.0,-110000000.0,,-648000000.0,,,,,100000000.0,0.0,,0.0,,-312000000.0,,6294000000.0,,
2016-01-31,2001000000,-123000000.0,,6576000000.0,-155000000,19000000.0,-1000000.0,,682000000,40000000.0,43656000000.0,-26000000,829000000.0,716000000.0,-3937000000.0,59000000.0,4089000000.0,198000000.0,25310000000.0,1907000000.0,,23573000000.0,12679000000,10650000000.0,-164000000.0,3497000000.0,4887000000.0,10425000000,381000000.0,2562000000.0,114000000.0,2254000000,-105000000.0,18346000000.0,8406000000.0,-168000000,-155000000,2280000000,1619000000.0,-8000000,14000000.0,3632000000.0,1466000000.0,939000000.0,-30000000,1649000000.0,-742000000.0,0.0,6322000000.0,2981000000.0,,164000000,6322000000.0,4000000.0,279000000,0.0,-198000000,8577000000.0,,971000000.0,-142000000.0,626000000.0,-175000000.0,-258000000.0,3284000000.0,21549000000.0,45122000000.0,262000000.0,-2000000.0,-324000000.0,6000000.0,0.0,594000000.0,5727000000.0,5982000000.0,12881000000.0,
2016-04-30,2068000000,-60000000.0,718434605.0,6139000000.0,55000000,14000000.0,,,497000000,46000000.0,,-139000000,-155000000.0,692000000.0,,-337000000.0,,-586000000.0,,,0.076555,,12241000000,,-20000000.0,,,10048000000,,,,2193000000,-440000000.0,,,-424000000,55000000,2332000000,,-56000000,16000000.0,,,,66000000,,-1041000000.0,102000000.0,,,0.076555,163000000,,1000000.0,264000000,,-358000000,,718434605.0,-63000000.0,-92000000.0,,-387000000.0,,,,,108000000.0,-1000000.0,,12000000.0,,-437000000.0,,6576000000.0,,
2016-07-31,2020000000,-161000000.0,718434605.0,7373000000.0,573000000,20000000.0,,,695000000,4000000.0,66725000000.0,63000000,1735000000.0,629000000.0,-3309000000.0,1647000000.0,4154000000.0,-1033000000.0,25823000000.0,,0.797567,24247000000.0,13050000000,33836000000.0,191000000.0,3326000000.0,5257000000.0,10721000000,3835000000.0,2733000000.0,104000000.0,2329000000,1672000000.0,40902000000.0,8406000000.0,-264000000,573000000,2266000000,1446000000.0,3000000,-31000000.0,3916000000.0,2065000000.0,,-22000000,1562000000.0,-1597000000.0,,7226000000.0,2500000000.0,0.797567,352000000,7226000000.0,-358000000.0,246000000,,-286000000,7595000000.0,718434605.0,1878000000.0,-143000000.0,24731000000.0,-462000000.0,,1522000000.0,44669000000.0,68916000000.0,-488000000.0,-1000000.0,-308000000.0,6000000.0,,1234000000.0,5682000000.0,6139000000.0,14050000000.0,
2016-10-31,4556000000,-37838000000.0,718434605.0,8904000000.0,-2064000000,149000000.0,-503000000.0,,-145000000,120000000.0,105813000000.0,-1512000000,-536000000.0,1576000000.0,-5366000000.0,338000000.0,7907000000.0,-417000000.0,41369000000.0,,-2.872913,36407000000.0,16247000000,47284000000.0,-19000000.0,4441000000.0,8830000000.0,12348000000,7445000000.0,3761000000.0,4285000000.0,3899000000,-264000000.0,64444000000.0,38840000000.0,-1637000000,-2064000000,5411000000,3504000000.0,-209000000,-2000000.0,9215000000.0,13880000000.0,5305000000.0,-669000000,5805000000.0,-7000000000.0,,8822000000.0,8388000000.0,-2.872913,585000000,10679000000.0,-833000000.0,855000000,,-2306000000,36571000000.0,718434605.0,-269000000.0,-267000000.0,1334000000.0,39659000000.0,,1677000000.0,89225000000.0,125632000000.0,-776000000.0,-751000000.0,-504000000.0,543000000.0,1857000000.0,1531000000.0,19925000000.0,7373000000.0,14644000000.0,
2017-01-31,4928000000,6803000000.0,,9474000000.0,-236000000,215000000.0,-267000000.0,,282000000,158000000.0,99197000000.0,-1668000000,272000000.0,2041000000.0,-5609000000.0,954000000.0,8431000000.0,-165000000.0,38135000000.0,13114000000.0,,30773000000.0,20074000000,43061000000.0,924000000.0,4144000000.0,9420000000.0,15543000000,405000000.0,3856000000.0,3802000000.0,4531000000,-217000000.0,61062000000.0,38910000000.0,-1414000000,-236000000,6199000000,2538000000.0,-91000000,4000000.0,10265000000.0,13243000000.0,5483000000.0,-996000000,5653000000.0,-7322000000.0,181000000.0,9474000000.0,6329000000.0,,651000000,11449000000.0,-99000000.0,1271000000,-15000000.0,-2410000000,35053000000.0,,676000000.0,-404000000.0,1364000000.0,-6902000000.0,-7461000000.0,3130000000.0,87433000000.0,118206000000.0,-620000000.0,-569000000.0,-595000000.0,612000000.0,1975000000.0,570000000.0,20199000000.0,8904000000.0,14422000000.0,
2017-04-30,4669000000,51000000.0,718434605.0,9554000000.0,-1334000000,201000000.0,-559000000.0,,736000000,153000000.0,98650000000.0,-1500000000,-94000000.0,2212000000.0,-6859000000.0,-132000000.0,8330000000.0,-839000000.0,36636000000.0,,-1.856815,30384000000.0,17816000000,44948000000.0,15000000.0,4655000000.0,8834000000.0,13514000000,6376000000.0,709000000.0,3772000000.0,4302000000,665000000.0,62014000000.0,38930000000.0,-1383000000,-1334000000,5802000000,2466000000.0,24000000,3000000.0,10354000000.0,11532000000.0,7726000000.0,-690000000,5438000000.0,-3154000000.0,8000000.0,9554000000.0,4842000000.0,-1.856815,597000000,11174000000.0,-5000000.0,1133000000,-32000000.0,-2073000000,33283000000.0,718434605.0,240000000.0,-334000000.0,1492000000.0,-205000000.0,,,85656000000.0,116040000000.0,561000000.0,-496000000.0,-553000000.0,973000000.0,1620000000.0,80000000.0,20057000000.0,9474000000.0,15064000000.0,
2017-07-31,4695000000,-1341000000.0,718434605.0,9213000000.0,-946000000,208000000.0,-1701000000.0,,1216000000,110000000.0,100558000000.0,-979000000,1402000000.0,2142000000.0,-7805000000.0,986000000.0,8878000000.0,-717000000.0,42126000000.0,,-1.316752,32205000000.0,19299000000,41374000000.0,-186000000.0,5194000000.0,9716000000.0,14490000000,6798000000.0,723000000.0,4022000000.0,4809000000,1779000000.0,58432000000.0,39407000000.0,-978000000,-946000000,5788000000,2594000000.0,53000000,-120000000.0,10726000000.0,10947000000.0,7124000000.0,-546000000,5400000000.0,-2155000000.0,72000000.0,9213000000.0,7686000000.0,-1.316752,598000000,11228000000.0,0.0,1093000000,-191000000.0,-1524000000,31580000000.0,718434605.0,1816000000.0,-414000000.0,1681000000.0,-870000000.0,,,85289000000.0,117494000000.0,-790000000.0,-122000000.0,-207000000.0,1085000000.0,2015000000.0,-341000000.0,20095000000.0,9554000000.0,16916000000.0,
2017-10-31,4625000000,-700000000.0,718434605.0,11706000000.0,-937000000,221000000.0,-1194000000.0,,1529000000,104000000.0,103168000000.0,-533000000,1188000000.0,2137000000.0,-8742000000.0,382000000.0,9161000000.0,-401000000.0,40742000000.0,,-1.304224,34525000000.0,19610000000,45416000000.0,-34000000.0,5397000000.0,9189000000.0,14447000000,6901000000.0,747000000.0,4273000000.0,5163000000,-172000000.0,62426000000.0,39330000000.0,-941000000,-937000000,5696000000,2582000000.0,-75000000,-6000000.0,10895000000.0,9519000000.0,6740000000.0,-274000000,5378000000.0,-5872000000.0,30000000.0,11706000000.0,6235000000.0,-1.304224,607000000,13714000000.0,-39000000.0,1071000000,0.0,-1215000000,29846000000.0,718434605.0,1623000000.0,-435000000.0,1725000000.0,1571000000.0,,,83869000000.0,118394000000.0,487000000.0,-964000000.0,-226000000.0,935000000.0,2008000000.0,2493000000.0,19927000000.0,9213000000.0,16711000000.0,
