date,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyResearchAndDevelopment,quarterlyAccountsPayable,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyDilutedEPS,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyRepaymentOfDebt,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherInvestingChanges,quarterlyRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyLongTermDebt
2018-09-30,151600000,,,107100000,,,,0,,,11600000,,-55600000,-16700000,,-30200000,112100000,-11200000,539300000,,0,36700000,-51400000,-54500000,,-0.233352,0,,497800000,100000,,,4200000,,,,-41400000,95500000,233552393,,,-54500000,-0.233352,,,51500000,233552393,-54500000,-54500000,,,,-25800000,-11200000,649500000,,,60600000,,,,,,,,,,,,,,,,,,,
2019-09-30,163000000,0.0,18300000.0,155900000,99200000.0,1576000000.0,-1100000.0,115300000,1375900000.0,1476300000.0,17400000,90700000.0,-50800000,-61800000,605200000.0,-76200000,228100000,-22500000,1198400000,21500000.0,100000,18700000,-43700000,-49700000,605200000.0,-1.29,1195700000,100400000.0,1213700000,9300000,484100000.0,-672000000.0,7100000,1749300000.0,4300000.0,327600000.0,-98700000,138500000,38453864,2387700000.0,638500000.0,-49800000,-1.29,300000.0,811700000.0,105100000,38453864,-49800000,-49800000,205600000.0,-100000.0,10700000.0,-69100000,92800000,1376700000,20900000.0,116200000.0,122900000,,,,,,,,,,,,,,,,,,,
