date,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyNetOtherFinancingCharges,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyEbitda,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable
2007-03-31,-146280000,,,,,-91319000,4604408000,,,1068569000,1037542000,,1929068000,0.09,,201442000,,-78430000.0,11528244444.0,,6437015000,3467918000,,-10707512000,,1037542000,0.0,,,,11528244444.0,0.09,2054007000,,,,140000.0,-9792454000,18224249000,-1529489000,,,-836966000,,1413911000,8072326000,1518017000,,,-11787234000,,,248006000,,,,,,,1316575000,,,,,,,,,,,,,,,,,
2007-06-30,-740538000,976826000.0,,55288651000.0,3918735000.0,-1315952000,4988064000,30619727000.0,9392789000.0,1373325000,1240541000,654008000.0,2353864000,,12656235000.0,110966000,0.0,-1740033000.0,,1671167000.0,4232345000,3869488000,2935806000.0,-2224441000,23409793000.0,1240541000,-182701000.0,11733330000.0,29012299000.0,8850823000.0,,,2509620000,15011300000.0,14034474000.0,1253224000.0,5149000.0,689953000,6437015000,-557414000,0.0,4235828000.0,-1310481000,,1359868000,8857552000,1892439000,384532000.0,,-2204670000,19901684000.0,2600817000.0,408148000,,10753558000.0,19901684000.0,24668924000.0,,,1781473000,,,,,,,,,,,,,,,,,
2007-09-30,856213000,,,,,-125498000,6001086000,,,1957275000,1965485000,,2428043000,0.17,,224299000,,-297887000.0,11561676471.0,,4117441000,4416465000,,-1206547000,,1965485000,700000.0,,,,11561676471.0,0.17,2596295000,,,,1503000.0,705076000,4232345000,-1247234000,,,-1520435000,,1820170000,10417551000,2941733000,,,-114904000,,,760159000,,,,,,,2717434000,,,,,,,,,,,,,,,,,
2007-12-31,-978159000,2037572000.0,,57959436000.0,3426800000.0,-997212000,5396802000,34758647000.0,8963439000.0,1055867000,927732000,652085000.0,2396653000,,13100859000.0,57971000,0.0,-312413000.0,,316215000.0,4333828000,4079077000,3431559000.0,448932000,23724008000.0,927732000,206000000.0,11733330000.0,30998965000.0,9605322000.0,,,2604438000,12777822000.0,10740250000.0,1616771000.0,188088000.0,2915213000,4117441000,-548436000,0.0,4863745000.0,-2361296000,206000000.0,1474639000,9475879000,1389448000,643611000.0,,216387000,22793596000.0,4234565000.0,275610000,,10623149000.0,22793596000.0,23200789000.0,27949000.0,,1331477000,,,,,,,,,,,,,,,,,
2008-03-31,-587574000,1105657000.0,,86106443000.0,4685241000.0,-166299000,6410717000,35253406000.0,9375149000.0,1557393000,1409829000,678889000.0,2077769000,0.11,13758326000.0,70166000,0.0,-175370000.0,12816627273.0,746465000.0,8787941000,4845510000,3757107000.0,-22275151000,24994797000.0,1409829000,25332570000.0,13258663000.0,57728321000.0,9738834000.0,12816627273.0,0.11,2253069000,38930693000.0,37825036000.0,1364443000.0,324506000.0,-21039775000,4333828000,-13000000,0.0,4127272000.0,-1385876000,25350469000.0,2592441000,11256227000,2015373000,671560000.0,,4454113000,23042787000.0,5644394000.0,387814000,,11236471000.0,23042787000.0,50853037000.0,,,1945207000,,,,,,,,,,,,,,,,,
2008-06-30,2825921000,790000000.0,,91797755000.0,5763182000.0,-149287000,8763397000,37565912000.0,9144456000.0,2527961000,2138036000,780268000.0,3018225000,,13820951000.0,243934000,0.0,-238281000.0,,726624000.0,11077745000,6588278000,4377774000.0,-1755944000,28749945000.0,2138036000,-12660000.0,13258663000.0,59083442000.0,9474776000.0,,,3429446000,40254354000.0,39464354000.0,1320634000.0,36081000.0,230873000,8787941000,-501273000,0.0,5717041000.0,-1851394000,-30559000.0,3158832000,15351675000,3597090000,499065000.0,,2289804000,25217160000.0,6956946000.0,825195000,,14928994000.0,25217160000.0,54231843000.0,,,3353156000,,,,,,,,,,,,,,,,,
2008-09-30,418521000,602152000.0,,93692978000.0,5550439000.0,-948897000,9782271000,39279975000.0,9475118000.0,2440929000,2189248000,688615000.0,2419469000,0.17,14540493000.0,214520000,0.0,-1542610000.0,12877929412.0,767424000.0,9285778000,5786959000,5185098000.0,-2745706000,28822192000.0,2189248000,-2822000.0,13258663000.0,60655420000.0,9833375000.0,12877929412.0,0.17,2744532000,38296119000.0,37693967000.0,1235156000.0,505000.0,0,11077745000,-14174000,0.0,5086277000.0,-1207012000,0.0,3042427000,15569230000,3381788000,402964000.0,,-1803789000,26567347000.0,9145328000.0,726339000,,14281699000.0,26567347000.0,54413003000.0,,,3167268000,,,,,,,,,,,,,,,,,
2008-12-31,-916732000,300000000.0,,94678980000.0,4458491000.0,-246104000,4884065000,43659988000.0,10193510000.0,1124168000,1074750000,1086714000.0,2249045000,,13657997000.0,170248000,0.0,1125680000.0,,268296000.0,7884873000,4403737000,4170512000.0,-4187937000,26551287000.0,1074750000,232822000.0,13258663000.0,63468228000.0,9677158000.0,,,2586492000,37689495000.0,37389495000.0,2012242000.0,36200000.0,-338202000,9285778000,-899013000,0.0,6706777000.0,-3791312000,581451000.0,1817245000,9287802000,1676858000,518715000.0,,-1333213000,30422433000.0,8722988000.0,382442000,,12893290000.0,30422433000.0,51018992000.0,29099000.0,,1506610000,,,,,,,,,,,,,,,,,
2009-03-31,206663000,,,97231862000.0,4786698000.0,-113725000,5737659000,44391545000.0,11385668000.0,1940943000,1859724000,1120391000.0,2098807000,0.14,15069985000.0,465276000,0.0,-340864000.0,13283742857.0,18296000.0,13995226000,4225748000,4508575000.0,4342219000,26958013000.0,1859724000,86888000.0,13258663000.0,65292436000.0,9665782000.0,13283742857.0,0.14,2283636000,40162993000.0,40162993000.0,2151591000.0,3756657000.0,1647931000,7884873000,-250000000,0.0,5744517000.0,-722379000,,1942112000,9963407000,3092469000,518715000.0,,6110353000,31014990000.0,10008512000.0,686250000,,11888028000.0,31014990000.0,52840317000.0,,,2627193000,,,,,,,,,,,,,,,,,
2009-06-30,-1115093000,,,99975657000.0,4490242000.0,-175685000,7824290000,45651626000.0,11269611000.0,1787039000,1671490000,983285000.0,2445756000,,13790930000.0,-179790000,0.0,-527000.0,,17896000.0,9156895000,4976723000,4664579000.0,-7064942000,28825805000.0,1671490000,233112000.0,13258663000.0,65890498000.0,10043442000.0,,,2704343000,40137857000.0,40137857000.0,1264162000.0,-3286211000.0,-594867000,13995226000,-282177000,0.0,5947926000.0,-3192193000,,2272380000,12801013000,2127888000,576175000.0,,-4838331000,32076697000.0,10331925000.0,520639000,,15034875000.0,32076697000.0,54324031000.0,22500000.0,,2307678000,,,,,,,,,,,,,,,,,
