date,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyBasicEPS,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherIncomeExpense,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyDilutedEPS,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyEbitda,quarterlyEndCashPosition,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2001-03-31,-25681000,-36092000.0,-20681000,1143285380.0,-515000.0,46549000.0,,6356000.0,253492000,76034000.0,124608000.0,130086000.0,,295048000.0,-0.018071,103555000.0,,,5000000.0,-193776000.0,230873000,,21022000.0,199000.0,11330000.0,11330000.0,11845000.0,,,860032000.0,27852000.0,18013000,113589000.0,540314000.0,65044000.0,-20681000,1156602000.0,-49857000.0,,,-0.018071,-504000.0,1000391000.0,88475000.0,51599000.0,-9023000.0,-25719000.0,-3895000.0,3896000,11330000.0,,-84870000.0,616288000.0,-71155000.0,-13518000.0,,213747000,1143285380.0,198717000.0,-34704000,,,296570000.0,209851000,,341597000.0,,143455000.0,-9023000,621835000.0,-13765000.0,-17126000,467239000,120447000.0,-378556000.0,,
2001-06-30,3702000,17808000.0,3702000,229475531.0,-3622000.0,45445000.0,,7988000.0,195995000,73438000.0,122560000.0,121050000.0,,291981000.0,0.01668,120852000.0,,,-2451000.0,,162284000,,16893000.0,199000.0,7708000.0,7708000.0,11330000.0,,,854873000.0,29540000.0,6914000,112804000.0,530361000.0,-5818000.0,3702000,1151787000.0,4758000.0,,,0.015802,,1014994000.0,81969000.0,47304000.0,1303000.0,-8150000.0,-2459000.0,27552000,7708000.0,,-15074000.0,621426000.0,-2031000.0,-16903000.0,,172943000,226286156.0,192935000.0,5006000,,,296914000.0,142940000,,337426000.0,,147157000.0,1304000,619509000.0,-13050000.0,10659000,368938000,-6356000.0,-395485000.0,,
2001-09-30,8476000,14917000.0,8476000,230022281.0,-2995000.0,48876000.0,0.0,5437000.0,205526000,83987000.0,125048000.0,135371000.0,,287828000.0,0.03775,127856000.0,,,0.0,,163903000,,16877000.0,199000.0,4713000.0,4713000.0,7708000.0,,,848332000.0,30164000.0,6070000,111387000.0,541829000.0,-193776000.0,8476000,1168440000.0,8133000.0,,,0.036872,,1022844000.0,85537000.0,52168000.0,2874000.0,-10317000.0,-5751000.0,33037000,4713000.0,,-14383000.0,626611000.0,76460000.0,-6926000.0,,180063000,226286156.0,205125000.0,11351000,,,320108000.0,147026000,,336704000.0,,155634000.0,2875000,611897000.0,-6784000.0,16160000,385589000,-3529000.0,-410947000.0,,
2001-12-31,-4742000,83290000.0,-5792000,,7567000.0,49783000.0,0.0,4830000.0,233811000,81756000.0,125680000.0,104104000.0,,242057000.0,,89001000.0,,,31087000.0,,177312000,,19023000.0,298000.0,12280000.0,12280000.0,4713000.0,,,847151000.0,15648000.0,6730000,94955000.0,478054000.0,134550000.0,-5792000,1099691000.0,67375000.0,,,,,1033602000.0,83980000.0,47155000.0,-2650000.0,56043000.0,-4904000.0,15138000,12280000.0,,-18281000.0,621637000.0,-80420000.0,33583000.0,,173427000,,186214000.0,-8033000,,,252540000.0,189376000,,291840000.0,,149842000.0,-3291000,610432000.0,-15915000.0,-3885000,407238000,-57442000.0,-423170000.0,,
2002-03-31,1723000,-3637000.0,1723000,790183489.0,-6250000.0,43601000.0,,5490000.0,249081000,76637000.0,124766000.0,112361000.0,,234703000.0,0.002345,97561000.0,,,0.0,,206696000,,21903000.0,298000.0,6030000.0,6030000.0,12280000.0,,,840954000.0,36744000.0,6770000,97253000.0,482761000.0,0.0,1723000,1107981000.0,-19628000.0,,,0.002345,,1051046000.0,85586000.0,51075000.0,1079000.0,-30480000.0,-3044000.0,29739000,6030000.0,,-14494000.0,625220000.0,1088000.0,-11253000.0,,214532000,762545762.0,204457000.0,2802000,,,267027000.0,184793000,,278304000.0,,151565000.0,1079000,607448000.0,-15991000.0,7836000,463613000,11881000.0,-443598000.0,,
2002-06-30,6049000,24398000.0,6049000,231100593.0,-2376000.0,42962000.0,,6624000.0,203832000,85193000.0,123811000.0,113027000.0,,239052000.0,0.026337,103468000.0,,,-1311000.0,,160536000,,16655000.0,298000.0,3654000.0,3654000.0,6030000.0,,,835471000.0,20573000.0,5432000,92721000.0,477099000.0,0.0,6049000,1108480000.0,8546000.0,,,0.026337,,1061064000.0,82695000.0,52860000.0,3373000.0,-5037000.0,-2932000.0,30627000,3654000.0,,-14952000.0,631381000.0,900000.0,-5059000.0,,174508000,226278562.0,195085000.0,9835000,,,273009000.0,142570000,,282014000.0,,157614000.0,3786000,607307000.0,-15852000.0,13972000,378340000,-11822000.0,-453757000.0,,
2002-09-30,8203000,23495000.0,8203000,229467937.0,1888000.0,44897000.0,,6314000.0,211935000,90055000.0,123201000.0,128713000.0,,223631000.0,0.036872,119451000.0,,,0.0,,160830000,,18130000.0,298000.0,5542000.0,5542000.0,3654000.0,,,817165000.0,21470000.0,5034000,89167000.0,484975000.0,0.0,8203000,1126484000.0,15843000.0,,,0.035556,,1065044000.0,98608000.0,55613000.0,6695000.0,-9303000.0,-1008000.0,35204000,5542000.0,,-7083000.0,641509000.0,569000.0,-16805000.0,,177904000,226278562.0,216447000.0,13338000,,,309319000.0,142700000,,268528000.0,,165818000.0,5135000,597631000.0,-7652000.0,17074000,389839000,-14524000.0,-467413000.0,,
2002-12-31,-9852000,78496000.0,-32930000,,64284000.0,75732000.0,,0.0,245521000,94461000.0,,104121000.0,,223133000.0,,81897000.0,,,-26300000.0,,186535000,98821000.0,17277000.0,300000.0,69826000.0,69826000.0,5542000.0,,,785816000.0,27231000.0,4930000,84989000.0,503384000.0,-1286000.0,-32930000,1096380000.0,69180000.0,,,,,1010386000.0,82827000.0,54720000.0,-8257000.0,50874000.0,-21834000.0,5591000,69826000.0,,-10332000.0,592996000.0,-1303000.0,37496000.0,,174849000,,204519000.0,-15260000,,,310564000.0,142958000,,298865000.0,,131388000.0,-5408000,579739000.0,-9316000.0,-11686000,420370000,-3880000.0,-430647000.0,,
2003-03-31,13653000,-6925000.0,-5660000,796478768.0,-42818000.0,77714000.0,,8541000.0,213637000,85979000.0,,119797000.0,,5213000.0,-0.007425,49132000.0,,,0.0,-1499000.0,199647000,71330000.0,17162000.0,300000.0,27008000.0,27008000.0,69826000.0,,,593725000.0,235892000.0,794000,74490000.0,484679000.0,0.0,-5660000,1069936000.0,-17962000.0,,,-0.007425,,810163000.0,71340000.0,271529000.0,5846000.0,-35613000.0,-22418000.0,38430000,27008000.0,,-25135000.0,585257000.0,436000.0,-4974000.0,,220915000,767331176.0,401752000.0,22200000,,,476211000.0,182485000,,82927000.0,,124231000.0,8547000,429126000.0,-11037000.0,21268000,434552000,-10758000.0,-381037000.0,,
2003-06-30,13774000,35036000.0,-9344000,232171312.0,9343000.0,82531000.0,,2123000.0,165565000,71928000.0,,104144000.0,,5095000.0,-0.041481,50810000.0,,,0.0,-4563000.0,150184000,71339000.0,12489000.0,452000.0,36351000.0,36351000.0,27008000.0,,,592397000.0,1528000.0,342000,76959000.0,249873000.0,-3635000.0,-9344000,828310000.0,21841000.0,,,-0.041481,,770377000.0,86668000.0,36023000.0,-2152000.0,31711000.0,-18891000.0,33933000,36351000.0,,216914000.0,578437000.0,-1442000.0,2848000.0,,171628000,228227625.0,162247000.0,22397000,,,235913000.0,137695000,,87626000.0,,110325000.0,8623000,428387000.0,-13195000.0,21444000,337193000,-242607000.0,-341990000.0,,
