date,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyAccumulatedDepreciation,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCurrentDebt,quarterlyEbitda,quarterlyInterestExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyInvestingCashFlow,quarterlyRepaymentOfDebt,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyChangeInInventory
2009-12-31,3685392000.0,,,,5987586000.0,,5305458000.0,,,,,,,,9630000.0,-682128000.0,,,2745182000.0,17172000.0,0.0,6105366000.0,,,7335902000.0,2732612000.0,1230536000.0,905328000.0,,1353836000.0,0.0,,86685000.0,,,3650510000.0,48794000.0,,41005000.0,818471000.0,908334000.0,908334000.0,80479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,3943860000.0,,,,,,5414194000.0,,,,,,,,8307000.0,,,,2339007000.0,0.0,0.0,6287386000.0,,,7450761000.0,2324213000.0,1163375000.0,1167894000.0,,,0.0,173461000.0,306662000.0,,,3506901000.0,41360000.0,,38050000.0,860990000.0,698804000.0,872265000.0,80479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,0.0247,373421000.0,202360000.0,,3212000.0,,1076553000.0,225858000.0,8062672065.0,0.0247,599279000.0,51621000.0,,,,199148000.0,199148000.0,,,,,,477274000.0,,,,,8062672065.0,,,,,304791000.0,24549000.0,,,199148000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,4362367000.0,,183405000.0,217331000.0,6475864000.0,529000.0,5503312000.0,1085252000.0,424364000.0,,,607769000.0,,,8710000.0,-972552000.0,216802000.0,216802000.0,2761467000.0,137456000.0,0.0,6995999000.0,,477483000.0,8474549000.0,2746451000.0,1478550000.0,1350715000.0,,2033788000.0,0.0,,343267000.0,312583000.0,22684000.0,4112182000.0,35591000.0,216802000.0,34637000.0,960226000.0,1040761000.0,1040761000.0,80479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,4909370000.0,,,,,,5748197000.0,,,,,,,,9153000.0,,,,2420302000.0,167642000.0,0.0,6843218000.0,,,8872787000.0,2404005000.0,2029569000.0,1543115000.0,,2573329000.0,0.0,,632030000.0,,,3963417000.0,29897000.0,,30784000.0,865475000.0,1543185000.0,1543185000.0,80487000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,,0.0349,392828000.0,281666000.0,,606000.0,,1194765000.0,293823000.0,8030285714.0,0.035,686651000.0,59799000.0,,,,281060000.0,281060000.0,,,,,,508114000.0,,,,,8053295129.0,,,,,362160000.0,13400000.0,,,281060000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,5515772000.0,,408775000.0,312972000.0,7459326000.0,523000.0,6249686000.0,1325182000.0,341550000.0,,,750325000.0,428521000.0,,10489000.0,-1209640000.0,312449000.0,312449000.0,3349513000.0,0.0,0.0,7065066000.0,,574857000.0,10127685000.0,3328843000.0,3062619000.0,1262400000.0,,,0.0,,80372000.0,385863000.0,8424000.0,4611913000.0,27039000.0,312449000.0,31824000.0,1179875000.0,2491284000.0,2491284000.0,80493000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,4772409000.0,,,,,,6535596000.0,,,,,,,,13971000.0,,,,3249972000.0,3906000.0,0.0,7364484000.0,,,9439622000.0,3221532000.0,2075138000.0,1417241000.0,,2405138000.0,0.0,,0.0,,,4667213000.0,31590000.0,,15130000.0,1368130000.0,1360340000.0,1360340000.0,80512000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,5586126000.0,,,,8184617000.0,,6656730000.0,,,,,,,,15069000.0,-1527887000.0,,,3247210000.0,0.0,0.0,7634709000.0,734191000.0,,10387479000.0,3124014000.0,2752770000.0,1554143000.0,,3201133000.0,0.0,,0.0,,,4801353000.0,29488000.0,,16202000.0,1503274000.0,1948414000.0,1948414000.0,80554000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,0.0562,317458000.0,453834000.0,,471000.0,,2007443000.0,472740000.0,8052628774.0,0.0563,790198000.0,91175000.0,,,,453363000.0,453363000.0,,,,,,1217245000.0,,,,,8066957295.0,,,,,596304000.0,21284000.0,,,453363000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,5150944000.0,,302796000.0,487610000.0,6862977000.0,478000.0,6634725000.0,2062828000.0,515609000.0,,,818405000.0,370389000.0,,13636000.0,-228252000.0,487132000.0,487132000.0,3268619000.0,0.0,0.0,7605857000.0,812299000.0,1244423000.0,10075842000.0,3133961000.0,2469985000.0,1656279000.0,,2760081000.0,0.0,,28552000.0,633444000.0,20744000.0,4924898000.0,34067000.0,487132000.0,14141000.0,1626709000.0,1639043000.0,1639043000.0,80575000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
