date,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyStockholdersEquity,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyCashDividendsPaid,quarterlyOtherShortTermInvestments
2014-07-31,0.0,310000000,,-33000000,,,,520000000,,,-411000000,,,,2656000000,,100000000,13704000000,1938000000,-1128000000,-1358000000,,338000000,,,-76000000,0.0,,2473000000,,,922000000,78000000,,,567000000,,556000000,574000000,72000000,,,,,9799000000,,,1345000000,,266000000,266000000,1016000000,,16000000.0,,,,,,-1037000000,2734000000,266000000,-543000000,,,2203000000,,,447000000,-1123000000.0,2983000000,,3905000000,,-568000000,,
2014-10-31,0.0,531000000,36776000000.0,-53000000,,-2248000000.0,2057000000.0,119000000,2319000000.0,2319000000.0,-209000000,4889000000.0,0.0,,2734000000,8520000000.0,95000000,14073000000,2407000000,-705000000,-885000000,-8440000000.0,798000000,22031000000.0,19760000000.0,-76000000,-29000000.0,706000000.0,1026000000,16960000000.0,,1376000000,-415000000,0.0,,613000000,3109000000.0,-1213000000,548000000,282000000,,65071000000.0,43040000000.0,4061000000.0,9767000000,11397000000.0,25960000000.0,321000000,485000000.0,516000000,516000000,1031000000,963000000.0,28000000.0,,894000000.0,8139000000.0,,1884000000.0,-556000000,2319000000,516000000,-79000000,,568000000.0,2176000000,5129000000.0,1396000000.0,411000000,-885000000.0,2930000000,27899000000.0,4306000000,,-550000000,,
2015-01-31,0.0,619000000,,-134000000,0.299562,,,27000000,,,-237000000,,,,2319000000,,139000000,13053000000,1909000000,-786000000,335000000,,714000000,,,-1107000000,-1000000.0,,568000000,,,912000000,193000000,,,66000000,,-14000000,532000000,167000000,,,,,9433000000,,,-218000000,,547000000,547000000,997000000,,18000000.0,0.30372,,,1801000000.0,,-710000000,2512000000,547000000,-48000000,1826000000.0,,1973000000,,,-467000000,226000000.0,2708000000,,3620000000,,-180000000,-10000000.0,
2015-04-30,0.0,-208000000,37836000000.0,-85000000,0.167032,-2343000000.0,1693000000.0,92000000,2719000000.0,2719000000.0,-230000000,4494000000.0,6769000000.0,,2512000000,8377000000.0,97000000,12549000000,1827000000,-646000000,-308000000,-8567000000.0,398000000,22311000000.0,18479000000.0,157000000,-138000000.0,811000000.0,1188000000,16944000000.0,,854000000,207000000,0.0,,319000000,,-709000000,552000000,93000000,,65300000000.0,42989000000.0,5050000000.0,8965000000,10777000000.0,26039000000.0,542000000,513000000.0,305000000,305000000,973000000,8071000000.0,30000000.0,0.16935,935000000.0,8584000000.0,1801000000.0,2046000000.0,-673000000,2719000000,305000000,-58000000,1826000000.0,,1974000000,5069000000.0,6880000000.0,-110000000,-339000000.0,2730000000,27063000000.0,3584000000,,-426000000,,
2015-07-31,0.0,52000000,40318000000.0,-245000000,0.119276,-2250000000.0,2231000000.0,123000000,2774000000.0,2774000000.0,-223000000,4884000000.0,6959000000.0,,2719000000,8459000000.0,117000000,13057000000,1872000000,-1174000000,1443000000,-9072000000.0,248000000,22793000000.0,18906000000.0,74000000,-2478000000.0,756000000.0,2063000000,17531000000.0,,883000000,55000000,0.0,,294000000,3494000000.0,316000000,602000000,24000000,,68308000000.0,45515000000.0,4916000000.0,9307000000,10761000000.0,27857000000.0,889000000,493000000.0,224000000,224000000,989000000,901000000.0,4000000.0,0.119276,752000000.0,8676000000.0,1878000000.0,2299000000.0,-3451000000,2774000000,224000000,-67000000,1878000000.0,568000000.0,2040000000,5321000000.0,6968000000.0,584000000,1714000000.0,2867000000,27582000000.0,3750000000,,-639000000,,
2015-10-31,0.0,-847000000,33535000000.0,40000000,,-5015000000.0,1930000000.0,56000000,9842000000.0,9842000000.0,-14916000000,5828000000.0,0.0,,2774000000,9886000000.0,212000000,13448000000,2063000000,-738000000,7805000000,-11538000000.0,110000000,31173000000.0,22151000000.0,-1646000000,-27000000.0,634000000.0,-158000000,21424000000.0,,1075000000,7068000000,0.0,,651000000,3565000000.0,-1820000000,652000000,-1275000000,0.0,81270000000.0,50097000000.0,5578000000.0,9463000000,11456000000.0,27261000000.0,-896000000,15103000000.0,1385000000,1385000000,988000000,1085000000.0,9000000.0,,691000000.0,25201000000.0,,2198000000.0,-579000000,9842000000,1385000000,-70000000,,1238000000.0,2038000000,5154000000.0,2594000000.0,861000000,7907000000.0,2910000000,47352000000.0,3985000000,,-956000000,,
2016-01-31,0.0,672000000,31249000000.0,-182000000,0.15,-5092000000.0,1708000000.0,143000000,8505000000.0,8505000000.0,-109000000,4908000000.0,6060000000.0,17000000.0,9842000000,9700000000.0,165000000,12724000000,1800000000,-832000000,-570000000,-11797000000.0,319000000,27756000000.0,20351000000.0,245000000,,397000000.0,-75000000,21497000000.0,-1197000000.0,811000000,-1337000000,0.0,4000000.0,355000000,,-2133000000,585000000,52000000,86000000.0,77352000000.0,49596000000.0,6916000000.0,9112000000,10846000000.0,27458000000.0,-907000000,15229000000.0,267000000,267000000,989000000,10138000000.0,65000000.0,0.15,910000000.0,25367000000.0,1761000000.0,2345000000.0,-692000000,8505000000,267000000,-144000000,1778000000.0,,1998000000,5154000000.0,10730000000.0,-788000000,526000000.0,2801000000,45718000000.0,3612000000,,-427000000,-96000000.0,
2016-04-30,0.0,-515000000,31634000000.0,-4000000,0.18,-5167000000.0,1436000000.0,127000000,9010000000.0,9010000000.0,-245000000,5289000000.0,5237000000.0,17000000.0,8505000000,9674000000.0,138000000,12711000000,1757000000,-720000000,-136000000,-12054000000.0,363000000,31147000000.0,20597000000.0,-276000000,-13000000.0,462000000.0,1107000000,21728000000.0,-15000000.0,797000000,542000000,727000000.0,14000000.0,196000000,,-299000000,624000000,43000000,301000000.0,78064000000.0,46917000000.0,6125000000.0,9068000000,10724000000.0,24244000000.0,387000000,15247000000.0,320000000,320000000,960000000,10196000000.0,129000000.0,0.19,965000000.0,25443000000.0,1725000000.0,2099000000.0,-429000000,9010000000,320000000,-197000000,1751000000.0,,2021000000,4817000000.0,11563000000.0,376000000,-28000000.0,2846000000,46040000000.0,3643000000,,-305000000,-94000000.0,
2016-07-31,0.0,579000000,32426000000.0,189000000,1.32,-5177000000.0,1211000000.0,229000000,10743000000.0,10743000000.0,-214000000,5030000000.0,4992000000.0,17000000.0,9010000000,9579000000.0,129000000,12210000000,1823000000,-860000000,-1492000000,-12094000000.0,2407000000,28470000000.0,19484000000.0,-981000000,-9000000.0,366000000.0,1714000000,21673000000.0,-1450000000.0,869000000,1973000000,197000000.0,61000000.0,404000000,3470000000.0,981000000,555000000,135000000,2486000000.0,78821000000.0,50351000000.0,6025000000.0,8638000000,9981000000.0,24171000000.0,854000000,15354000000.0,2272000000,2272000000,954000000,11157000000.0,18000000.0,1.35,911000000.0,26511000000.0,1681000000.0,1848000000.0,1751000000,10743000000,2272000000,-199000000,1715000000.0,121000000.0,1938000000,4749000000.0,12715000000.0,-271000000,5000000.0,2703000000,45995000000.0,3572000000,2675000000.0,1556000000,-91000000.0,
2016-10-31,0.0,-46000000,31448000000.0,31000000,0.18,-6599000000.0,1084000000.0,86000000,12987000000.0,12987000000.0,-265000000,5943000000.0,4324000000.0,17000000.0,10743000000,9636000000.0,126000000,12478000000,2448000000,-868000000,-34000000,-12109000000.0,990000000,28917000000.0,22531000000.0,-333000000,0.0,420000000.0,2212000000,21745000000.0,0.0,1576000000,1967000000,0.0,40000000.0,476000000,3408000000.0,961000000,534000000,688000000,2782000000.0,79679000000.0,50762000000.0,5662000000.0,8689000000,9832000000.0,24178000000.0,1344000000,12608000000.0,302000000,302000000,872000000,13022000000.0,94000000.0,0.18,3532000000.0,25630000000.0,1672000000.0,1774000000.0,-211000000,12987000000,302000000,-116000000,1709000000.0,143000000.0,1864000000,4610000000.0,4026000000.0,749000000,11000000.0,2213000000,48161000000.0,3789000000,2648000000.0,-492000000,-92000000.0,
