date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyOperatingIncome,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCashDividendsPaid,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,,,,,,,,,,,0.42,,,,,,,,,,,,,,,,,202749034.0,,,,125600000,,125600000,125600000,,,,0.42,,,,,,,,,,,,,,,,,,,,,202749034.0,,,7800000,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,203128271.0,,,,1416000000,,1416000000,1416000000,,,,0.49,,,,,,,,,,,,,,,,,,,,,203128271.0,,,98000000,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,0.630001,,,,,,,,,,,,,,,,,203617331.0,,,,1377000000,,1377000000,1377000000,,,,0.630001,,,,,,,,,,,,,,,,,,,,,203617331.0,,,124000000,,,,,,,,
1984-12-31,111000000.0,,,937000000.0,,,,-1056000000.0,,249000000.0,102000000.0,,,,,,,,1742000000.0,,,1091000000.0,,1991000000.0,,4194000000.0,,,,,,,,,,168000000.0,168000000.0,1485000000,,-3549000000,-3549000000,,,,,,1916000000.0,,,2798000000.0,,2203000000.0,1202000000.0,,,,1444000000.0,,,,2278000000.0,,,,,,,531000000.0,87000000,,,,714000000.0,281000000.0,81000000.0,,
1985-03-31,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,203819819.0,,,,1322000000,,1322000000,1322000000,,,,0.21,,,,,,,,,,,,,,,,,,,,,203819819.0,,,41000000,,,,,,,,
1985-06-30,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,204102960.0,,,,1372000000,,1372000000,1372000000,,,,0.14,,,,,,,,,,,,,,,,,,,,,204102960.0,,,26000000,,,,,,,,
1985-09-30,,,,,,,,,,,,,,,,,-0.21,,,,,,,,,,,,,,,,,204238524.0,,,,1301000000,,1301000000,1301000000,,,,-0.21,,,,,,,,,,,,,,,,,,,,,204238524.0,,,-39000000,,,,,,,,
1985-12-31,291000000.0,,,801000000.0,,,,-1281000000.0,,280000000.0,100000000.0,,,,,,,,1981000000.0,,,894000000.0,,2261000000.0,,4370000000.0,,,,,,,,,,176000000.0,176000000.0,1448000000,,-3874000000,-3874000000,,,,,,2086000000.0,,,3262000000.0,,2109000000.0,1185000000.0,,,,1440000000.0,,,,2284000000.0,,,,,,,705000000.0,44000000,,,,901000000.0,319000000.0,96000000.0,,
1986-03-31,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,216731016.0,,,,1339000000,,1339000000,1339000000,,,,0.21,,,,,,,,,,,,,,,,,,,,,216731016.0,,,45000000,,,,,,,,
1986-06-30,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,219159159.0,,,,1499000000,,1499000000,1499000000,,,,0.28,,,,,,,,,,,,,,,,,,,,,219159159.0,,,55000000,,,,,,,,
