date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyRetainedEarnings,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyCapitalStock,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2010-03-31,20487000000,138000000.0,7274000000,-52000000.0,,,18680000000,38444000000,0.0,10867000000,0,162000000.0,3988000000,57855000000,58931000000,0.0,1076000000,1807000000,243000000,86000000,0,876000000,630000000,633000000,,993000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,21040000000,,7894000000,,0.0,,18936000000,41527000000,0.0,10476000000,0,,3988000000,61472000000,62567000000,0.0,1095000000,2104000000,0,74000000,695000000,907000000,249000000,907000000,0.0,888000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,13779000000,150000000.0,1059000000,-74000000.0,,,9202000000,54975000000,0.0,7782000000,0,,281000000,67709000000,68754000000,0.0,1045000000,4577000000,155000000,76000000,739000000,854000000,2598000000,699000000,,1026000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,16161000000,,1152000000,,0.0,,12290000000,58807000000,0.0,10704000000,0,,321000000,72638000000,74968000000,0.0,2330000000,3871000000,1061000000,73000000,824000000,2136000000,1850000000,1075000000,0.0,890000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,16490000000,173000000.0,1286000000,-97000000.0,,,14245000000,62735000000,0.0,12595000000,0,,331000000,77270000000,79225000000,0.0,1955000000,2245000000,1562000000,76000000,897000000,1712000000,0,150000000,,1118000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-30,17075000000,,1384000000,,0.0,,12982000000,70394000000,0.0,11355000000,0,192000000.0,331000000,84456000000,87469000000,0.0,3013000000,4093000000,2600000000,70000000,948000000,2718000000,1701000000,118000000,0.0,1016000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,17781000000,189000000.0,1518000000,-116000000.0,,,13583000000,81642000000,0.0,11829000000,0,71000000.0,331000000,95938000000,99423000000,0.0,3485000000,4198000000,1495000000,73000000,994000000,3152000000,1706000000,1657000000,,58000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,16382000000,194000000.0,1616000000,-126000000.0,0.0,,11871000000,87912000000,0.0,10055000000,0,61000000.0,331000000,101471000000,104294000000,0.0,2823000000,4511000000,2427000000,68000000,1044000000,2553000000,2000000000,126000000,0.0,31000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,17115000000,205000000.0,1754000000,-135000000.0,,,11583000000,96351000000,2234000000.0,9699000000,0,65000000.0,331000000,110369000000,113466000000,0.0,3097000000,5532000000,2234000000,70000000,1101000000,2794000000,2825000000,560000000,,17000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,19322000000,216000000.0,1847000000,-143000000.0,0.0,1604000000.0,14385000000,110610000000,1614000000.0,12417000000,0,81000000.0,388000000,124423000000,129932000000,0.0,5509000000,4937000000,1614000000,73000000,1231000000,3581000000,1876000000,1967000000,0.0,46000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,25038000000,228000000.0,1957000000,-156000000.0,,,20158000000,118106000000,1215000000.0,15130000000,2932000000,95000000.0,384000000,139317000000,143144000000,316000000.0,3827000000,4880000000,1215000000,72000000,1173000000,3448000000,1940000000,2233000000,,28000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-30,35209000000,235000000.0,2078000000,-170000000.0,0.0,1317000000.0,29198000000,122165000000,25000000.0,24020000000,2964000000,103000000.0,482000000,155126000000,157405000000,0.0,2279000000,6011000000,25000000,65000000,1381000000,519000000,2633000000,494000000,0.0,52000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,36011000000,252000000.0,2202000000,-176000000.0,,3060000000.0,31624000000,127387000000,118000000.0,25965000000,3019000000,92000000.0,487000000,159428000000,163452000000,1095000000.0,4024000000,4387000000,118000000,76000000,1410000000,454000000,959000000,336000000,,84000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,39270000000,263000000.0,2286000000,-185000000.0,0.0,,34525000000,129871000000,92000000.0,28629000000,3130000000,84000000.0,476000000,168257000000,169299000000,0.0,1042000000,4745000000,92000000,78000000,1435000000,504000000,1110000000,412000000,0.0,101000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-31,37443000000,290000000.0,2417000000,-203000000.0,,0.0,33397000000,138241000000,150000000.0,27197000000,3248000000,78000000.0,466000000,174675000000,175940000000,0.0,1265000000,4046000000,150000000,87000000,1494000000,685000000,300000000,535000000,,175000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,43921000000,281000000.0,2607000000,-191000000.0,0.0,,36822000000,147634000000,100000000.0,30456000000,3401000000,99000000.0,487000000,190478000000,191818000000,0.0,1340000000,7099000000,100000000,90000000,1622000000,615000000,2935000000,515000000,0.0,145000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,37336000000,297000000.0,2893000000,-182000000.0,,,30111000000,178594000000,,23196000000,3597000000,106000000.0,416000000,203902000000,216404000000,,12502000000,7225000000,8525000000,115000000,1665000000,11689000000,2589000000,3164000000,,157000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,34308000000,303000000.0,3081000000,-191000000.0,0.0,,26692000000,180378000000,,19124000000,3969000000,104000000.0,399000000,210526000000,215269000000,,4743000000,7616000000,2650000000,112000000,1586000000,3850000000,2998000000,1200000000,0.0,165000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
