date,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyNonCurrentDeferredRevenue,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetIncome,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyChangeInCashSupplementalAsReported,quarterlyCommonStockIssuance,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyGoodwill,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets
2003-03-31,,,-0.017507,,,,,,,,,,,,,,,,,,19716766800.0,20330622037.0,,-355928200.0,,-355928200.0,,,,,,20330622037.0,,,-0.017507,,,,,,,,,,,,,,-355928200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,,,-0.017507,,,,,,,,,,,,,,,,,,19717005000.0,20330867653.0,,-355932500.0,,-355932500.0,,,,,,20330867653.0,,,-0.017507,,,,,,,,,,,,,,-355932500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-09-30,,,-0.017506,,,,,,,,,,,,,,,,,,19715814000.0,20330800868.0,,-355911000.0,,-355911000.0,,,,,,20330800868.0,,,-0.017506,,,,,,,,,,,,,,-355911000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-12-31,,,,,,,,,,,62436000000.0,,,,,,12008000000.0,35671000000.0,,,19727281000.0,,,-360267000.0,,-360267000.0,,,2801000000.0,,0.0,,3686000000.0,,,,81322000000.0,,,,26765000000.0,42616000000.0,42616000000.0,,,,,265644000000.0,-360267000.0,328720000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-03-31,,,0.067479,,,,,,,,,,,,,,,,,,19194363000.0,26494642778.0,,1787832000.0,,1787832000.0,,,,,,26494642778.0,,,0.067479,,,,,,,,,,,,,,1787832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-30,,,0.067474,,,,,,,,,,,,,,,,,,19193203500.0,26495005484.0,,1787724000.0,,1787724000.0,,,,,,26495005484.0,,,0.067474,,,,,,,,,,,,,,1787724000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-09-30,,,0.067495,,,,,,,,,,,,,,,,,,19201480000.0,26609385880.0,,1796000500.0,,1796000500.0,,,,,,26609385880.0,,,0.067495,,,,,,,,,,,,,,1796000500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-12-31,,,,,,,,,,,66530000000.0,,,,,,12250000000.0,39765000000.0,,,19218113000.0,,,1799551500.0,,1799551500.0,,,3912000000.0,,,,4371000000.0,,,,167505000000.0,,,,26765000000.0,27217000000.0,27217000000.0,,,,,366397000000.0,1799551500.0,433671000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-31,,,0.087482,,,,,,,,,,,,,,,,,,24547802400.0,26584536247.0,,2325668400.0,,2325668400.0,,,,,,26584536247.0,,,0.087482,,,,,,,,,,,,,,2325668400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-06-30,,,0.087482,,,,,,,,,,,,,,,,,,24547802400.0,26584536247.0,,2325668400.0,,2325668400.0,,,,,,26584536247.0,,,0.087482,,,,,,,,,,,,,,2325668400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-30,,,0.087515,,,,,,,,,,,,,,,,,,24559220000.0,26629674913.0,,2330496000.0,,2330496000.0,,,,,,26629674913.0,,,0.087515,,,,,,,,,,,,,,2330496000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-31,,,,34631000000.0,,,,,,,80378000000.0,,,,,,12710000000.0,53613000000.0,,,25651036000.0,,,2486800000.0,,2427800000.0,,,4959000000.0,,,,7982000000.0,,,,295102000000.0,,,,26765000000.0,28051000000.0,28051000000.0,,,,,477979000000.0,2427800000.0,559219000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-31,,,0.168044,,,,,,,,,,,,,,,,,,27098136000.0,26764705005.0,,4497649200.0,,4497649200.0,,,,,,26764705005.0,,,0.168044,,,,,,,,,,,,,,4497649200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-30,,,0.165002,,,,,,,,91574706500.0,0.0,1774734600.0,,,,12527068100.0,24014877200.0,1151179200.0,,36334093500.0,26764705005.0,,4484802300.0,,4484802300.0,,,,,,26764705005.0,,,0.165002,9209433600.0,,,,,26764916400.0,,,,1830694700.0,,,573615007900.0,4484802300.0,665669372400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09-30,,,0.210618,,,,,,,,,,,,,,,,,,22368603000.0,26269692049.0,,5532870000.0,,5532870000.0,,,,,,26269692049.0,,,0.210618,,,,,,,,,,,,,,5532870000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
