date,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyBasicEPS,quarterlyDilutedEPS,quarterlyBasicAverageShares,quarterlyDilutedAverageShares,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,,,,,2916000000,,,,,,,,,,,,,,,,,,,,,2916000000,2916000000,,,,,,122000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,2986000000,,,,,,,,,,,,,,,,,,,,,2986000000,2986000000,,,,,,194000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,2829000000,,,,,,,,,,,,,,,,,,,,,2829000000,2829000000,,,,,,169000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,11256000000.0,,,0.0,,,,,,-7883000000,5062000000.0,,,,,,,,2676000000.0,3931000000.0,,3681000000.0,,,,5173000000.0,4361000000.0,,,,-7883000000,2687000000,-6083000000.0,,360000000.0,,,64000000,2192000000.0,,,,,,,,576000000.0,1927000000.0,2745000000.0,,,121000000.0,121000000.0,,,,,,484000000.0,,,6357000000.0,11419000000.0,,202000000.0,2113000000.0,7488000000.0,,,,,,,,,
1985-03-31,,,,,,,,,,,2753000000,,,,,,,,,,,,,,,,,,,,,2753000000,2753000000,,,,,,110000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,3002000000,,,,,,,,,,,,,,,,,,,,,3002000000,3002000000,,,,,,155000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,2873000000,,,,,,,,,,,,,,,,,,,,,2873000000,2873000000,,,,,,107000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,11875000000.0,,,0.0,,,,,,-7991000000,4792000000.0,,,,,,,,2975000000.0,4324000000.0,,4063000000.0,,,,5127000000.0,4058000000.0,,,,-7991000000,2909000000,-6748000000.0,,534000000.0,,,-314000000,2512000000.0,,,,,,,,331000000.0,2023000000.0,3198000000.0,,,114000000.0,114000000.0,,,,,,463000000.0,,,7038000000.0,11830000000.0,,265000000.0,2114000000.0,7506000000.0,,,,,,,,,
1986-03-31,,,,,,,,,,,2735000000,,,,,,,,,,,,,,,,,,,,,2735000000,2735000000,,,,,,175000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,2844000000,,,,,,,,,,,,,,,,,,,,,2844000000,2844000000,,,,,,227000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,2743000000,,,,,,,,,,,,,,,,,,,,,2743000000,2743000000,,,,,,170000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,12715000000.0,,,0.0,,,,,,-7037000000,5168000000.0,,,,,,,,2808000000.0,4569000000.0,,4266000000.0,,,,5347000000.0,4426000000.0,,,,-7037000000,2791000000,-7368000000.0,,421000000.0,,,169000000,2529000000.0,,,,,,,,441000000.0,1940000000.0,3404000000.0,,,261000000.0,261000000.0,,,,,,279000000.0,,,7074000000.0,12242000000.0,,303000000.0,2023000000.0,7673000000.0,,,,,,,,,
1987-03-31,,,,,,,,,,,3015000000,,,,,,,,,,,,,,,,,,,,,3015000000,3015000000,,,,,,246000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,3408000000,,,,,,,,,,,,,,,,,,,,,3408000000,3408000000,,,,,,315000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,3357000000,,,,,,,,,,,,,,,,,,,,,3357000000,3357000000,,,,,,330000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,13502000000.0,,,0.0,,,,,,-7468000000,5769000000.0,,,,,,,,3455000000.0,5752000000.0,,5132000000.0,,,,5551000000.0,5226000000.0,,,,-7468000000,3597000000,-7951000000.0,,826000000.0,,,354000000,3276000000.0,,,,,,,,527000000.0,2105000000.0,3779000000.0,,,418000000.0,418000000.0,,,,,,179000000.0,,,8587000000.0,14356000000.0,,485000000.0,2568000000.0,8604000000.0,,,,,,,,,
1988-03-31,,,,,,,,,,,3981000000,,,,,,,,,,,,,,,,,,,,,3981000000,3981000000,,,,,,507000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,4252000000,,,,,,,,,,,,,,,,,,,,,4252000000,4252000000,,,,,,636000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,4150000000,,,,,,,,,,,,,,,,,,,,,4150000000,4150000000,,,,,,632000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,15360000000.0,,,0.0,,,,,,-8257000000,7255000000.0,,,,,,,,4175000000.0,6363000000.0,,4809000000.0,,,,6576000000.0,7167000000.0,,,,-8257000000,4299000000,-8784000000.0,,904000000.0,,,635000000,3743000000.0,,,,,,,,567000000.0,2370000000.0,3338000000.0,,,225000000.0,225000000.0,,,,,,432000000.0,,,8984000000.0,16239000000.0,,691000000.0,2609000000.0,9876000000.0,,,,,,,,,
1989-03-31,,,,,,,,,,,4485000000,,,,,,,,,,,,,,,,,,,,,4485000000,4485000000,,,,,,743000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-30,,,,,,,,,,,4601000000,,,,,,,,,,,,,,,,,,,,,4601000000,4601000000,,,,,,728000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-30,,,,,,,,,,,4250000000,,,,,,,,,,,,,,,,,,,,,4250000000,4250000000,,,,,,589000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-31,,17334000000.0,,,172000000.0,,2274000000.0,,,,-9280000000,7957000000.0,,,,,,,,6484000000.0,7340000000.0,,7130000000.0,,,,7642000000.0,8999000000.0,,,,-9280000000,4264000000,-9692000000.0,,2633000000.0,,,427000000,1924000000.0,,,,,,,,642000000.0,2832000000.0,3855000000.0,,,117000000.0,117000000.0,,,,,,2286000000.0,,,13614000000.0,22166000000.0,,3997000000.0,3187000000.0,14826000000.0,,,,,,,,,
