date,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyAccumulatedDepreciation,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyDilutedEPS,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredRevenue
1984-03-31,116000000,,116000000,,9300000,,,,,,,,,,,,,,116000000,,,,,,,,,,,9300000,9300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,118600000,,118600000,,10200000,,,,,,,,,,,,,,118600000,,,,,,,,,,,10200000,10200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,122800000,,122800000,,12000000,,,,,,,,,,,,,,122800000,,,,,,,,,,,12000000,12000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,-269100000,,142900000,,17300000,,,,,,873800000.0,121700000.0,137000000.0,,,318700000.0,459600000.0,,-269100000,,,,,,,,172800000.0,,,17600000,17600000,,165100000.0,394800000.0,,14600000.0,,,22200000.0,557900000.0,,,,,,31100000.0,-315900000.0,128200000.0,,,,,,159500000.0,90600000.0,,,717400000.0,,,,,854400000.0,,,,48600000.0,48600000.0,,,,,,,,,
1985-03-31,114600000,,114600000,,21200000,,,,,,,,,,,,,,114600000,,,,,,,,,,,21200000,21200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,119800000,,119800000,,11600000,,,,,,,,,,,,,,119800000,,,,,,,,,,,11600000,11600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,119300000,,119300000,,11800000,,,,,,,,,,,,,,119300000,,,,,,,,,,,11800000,11800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,-287900000,,120900000,,5100000,,,,,,998800000.0,147100000.0,216200000.0,,,358400000.0,635200000.0,,-287900000,,,,,,,,302200000.0,,,5400000,5400000,,185900000.0,430500000.0,,26600000.0,,,30900000.0,648400000.0,,,,,,39900000.0,-350400000.0,135900000.0,,,,,,166200000.0,107200000.0,,,849500000.0,,,,34900000.0,1065700000.0,,,,93000000.0,93000000.0,,,,,,,,,
1986-03-31,124000000,,124000000,,4500000,,,,,,,,,,,,,,124000000,,,,,,,,,,,4500000,4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,111200000,,111200000,,-11700000,,,,,,,,,,,,,,111200000,,,,,,,,,,,-11700000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,115300000,,115300000,,3000000,,,,,,,,,,,,,,115300000,,,,,,,,,,,3000000,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,-380000000,,130600000,,-38400000,,,,,,1098100000.0,196100000.0,213500000.0,,,275900000.0,658200000.0,,-380000000,,,,,,,,320300000.0,,,-38100000,-33200000,,141800000.0,347900000.0,,41100000.0,,,29100000.0,663600000.0,,,,,,59800000.0,-434500000.0,104600000.0,,,,,,93500000.0,136300000.0,,,792600000.0,,,,35500000.0,1006100000.0,,,,73500000.0,73500000.0,,,,,,,,,
1987-03-31,126900000,,126900000,,1700000,,,,,,,,,,,,,,126900000,,,,,,,,,,,1700000,1700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,137500000,,137500000,,3600000,,,,,,,,,,,,,,137500000,,,,,,,,,,,3600000,3600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,126400000,,126400000,,7500000,,,,,,,,,,,,,,126400000,,,,,,,,,,,7500000,7500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,-285400000,,135300000,,5700000,,,,,,971000000.0,183300000.0,229200000.0,,,281600000.0,572900000.0,,-285400000,,,,,,,,224700000.0,,,6000000,6000000,,164900000.0,354100000.0,,51700000.0,,,23400000.0,535000000.0,,,,,,45800000.0,-436000000.0,109200000.0,,,,,,133600000.0,137500000.0,,,697800000.0,,,,29200000.0,927000000.0,,,,87000000.0,87000000.0,,,,,,,,,
