date,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,,,386808000.0,,,,,,,,,,,,,,,,1860300000,,,1860300000,,0.19,,,,,,,1860300000,,,386808000.0,,,,,,,,,,,,,,,,,,,77500000,0.19,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,386808000.0,,,,,,,,,,,,,,,,1902500000,,,1902500000,,0.25,,,,,,,1902500000,,,386808000.0,,,,,,,,,,,,,,,,,,,96000000,0.25,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,369288000.0,,,,,,,,,,,,,,,,2005300000,,,2005300000,,0.28,,,,,,,2005300000,,,369288000.0,,,,,,,,,,,,,,,,,,,102200000,0.28,,,,,,,,,,,,,,,
1984-12-31,,,1062100000.0,,,,,26700000.0,-1273700000.0,186700000.0,,186700000.0,6000000.0,,,,,,,,,,,,,,2070900000,,2156300000.0,-5104800000,,,,882600000.0,,967300000.0,,,-5104800000,,999400000.0,,1644600000.0,,,,,1568500000.0,973300000.0,,3034800000.0,129600000.0,,1466300000.0,,,,583700000.0,1972700000.0,,106000000,,,200700000.0,,17600000.0,852200000.0,,,,,,,,,,
1985-03-31,,,,,,,,,,,354872000.0,,,,,,,,,,,,,,,,2011500000,,,2011500000,,0.275,,,,,,,2011500000,,,354872000.0,,,,,,,,,,,,,,,,,,,92700000,0.275,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,345648000.0,,,,,,,,,,,,,,,,1963000000,,,1963000000,,0.295,,,,,,,1963000000,,,345648000.0,,,,,,,,,,,,,,,,,,,97900000,0.295,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,338520000.0,,,,,,,,,,,,,,,,2024100000,,,2024100000,,0.3,,,,,,,2024100000,,,338520000.0,,,,,,,,,,,,,,,,,,,100600000,0.3,,,,,,,,,,,,,,,
1985-12-31,,,1335800000.0,,,,,45200000.0,-1278000000.0,13400000.0,,13400000.0,412500000.0,,,,250800000.0,,,,,,,,,,2263200000,,2451100000.0,-5232600000,,,,1173100000.0,,1454700000.0,,,-5232600000,,1245100000.0,,1981600000.0,,,,,2177600000.0,1867200000.0,,4448100000.0,296700000.0,,2270500000.0,,,,846600000.0,3112300000.0,,90400000,,,529900000.0,,28200000.0,920200000.0,,,,,,,,,,
1986-03-31,,,,,,,,,,,339632000.0,,,,,,,,,,,,,,,,2065800000,,,2065800000,,0.205,,,,,,,2065800000,,,339632000.0,,,,,,,,,,,,,,,,,,,70100000,0.205,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,339632000.0,,,,,,,,,,,,,,,,2332100000,,,2332100000,,0.305,,,,,,,2332100000,,,339632000.0,,,,,,,,,,,,,,,,,,,103500000,0.305,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,341944000.0,,,,,,,,,,,,,,,,2300000000,,,2300000000,,0.295,,,,,,,2300000000,,,341944000.0,,,,,,,,,,,,,,,,,,,100000000,0.295,,,,,,,,,,,,,,,
1986-12-31,,,1264400000.0,,,,,123600000.0,-1448800000.0,195300000.0,,195300000.0,,,,,,,,,,,,,,,2192000000,,2813100000.0,-6050800000,,,,1364300000.0,,,,,-6050800000,,1049100000.0,,1885000000.0,,,,,2646300000.0,2239000000.0,,4552500000.0,393900000.0,,1906200000.0,,,,541900000.0,3288100000.0,,-336200000,,,379900000.0,,432900000.0,222300000.0,,,,,,,,,,
1987-03-31,,,,,,,,,,,343416000.0,,,,,,,,,,,,,,,,2250100000,,,2250100000,,0.31,,,,,,,2250100000,,,343416000.0,,,,,,,,,,,,,,,,,,,105400000,0.31,,,,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,343416000.0,,,,,,,,,,,,,,,,2411600000,,,2411600000,,0.365,,,,,,,2411600000,,,343416000.0,,,,,,,,,,,,,,,,,,,125100000,0.365,,,,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,341136000.0,,,,,,,,,,,,,,,,2279600000,,,2279600000,,0.33,,,,,,,2279600000,,,341136000.0,,,,,,,,,,,,,,,,,,,111500000,0.33,,,,,,,,,,,,,,,
1987-12-31,,,1601000000.0,,,,,59500000.0,-1670300000.0,178400000.0,,178400000.0,,,,,,,,,,,,,,,2402700000,,3166600000.0,-6306800000,,,,1496300000.0,,,,,-6306800000,,1324500000.0,,2280300000.0,,,,,3033900000.0,2106300000.0,,5031800000.0,532600000.0,,1997900000.0,,,,501600000.0,3430800000.0,,95300000,,,368200000.0,,428200000.0,363700000.0,,,,,,,,,,
1988-03-31,,,,,,,,,,,335400000.0,,,,,,,,,,,,,,,,2401700000,,,2401700000,,0.315,,,,,,,2401700000,,,335400000.0,,,,,,,,,,,,,,,,,,,105700000,0.315,,,,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,335400000.0,,,,,,,,,,,,,,,,2340600000,,,2340600000,,0.2,,,,,,,2340600000,,,335400000.0,,,,,,,,,,,,,,,,,,,66700000,0.2,,,,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,336760000.0,,,,,,,,,,,,,,,,2267700000,,,2267700000,,0.29,,,,,,,2267700000,,,336760000.0,,,,,,,,,,,,,,,,,,,96400000,0.29,,,,,,,,,,,,,,,
