date,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyBasicEPS,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2008-12-31,2254000000,36675000000,,4368000000,4824000000,201000000,0.0,,1149000000.0,,0.0,-2158000000.0,1185000000,,6267000000,2887000000,3343000000.0,456000000.0,143000000.0,45009000000,,38742000000,5115000000,26000000,5392000000,1628000000,1113000000.0,140000000,8279000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,2254000000,40083000000,,9040000000,9531000000,223000000,1302000000.0,,937000000.0,0.0,0.0,,1271000000,,12298000000,4388000000,,491000000.0,162000000.0,48872000000,,36574000000,4083000000,28000000,4350000000,3203000000,0.0,136000000,8738000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,2254000000,42215000000,,9306000000,9720000000,224000000,1430000000.0,,1238000000.0,,0.0,-2210000000.0,1048000000,,11798000000,3172000000,3258000000.0,414000000.0,158000000.0,51779000000,,39981000000,6062000000,34000000,6320000000,1809000000,273000000.0,170000000,9492000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,2254000000,41969000000,,9928000000,10012000000,223000000,0.0,,,,0.0,,1228000000,,10737000000,1795000000,,84000000.0,141000000.0,51452000000,,40715000000,7299000000,21000000,7614000000,347000000,1000000.0,105000000,9409000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,2254000000,53606000000,,5438000000,5438000000,254000000,715000000.0,43419000000.0,1670000000.0,,53000000.0,-2459000000.0,1276000000,,6296000000,3058000000,3735000000.0,0.0,151000000.0,64260000000,,57964000000,7259000000,7261000000,7515000000,1228000000,29000000.0,143000000,10573000000,56104000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,2254000000,56175000000,,5055000000,5167000000,337000000,0.0,,,0.0,0.0,,1382000000,,5997000000,3332000000,,112000000.0,158000000.0,67587000000,,61590000000,7510000000,0,7994000000,1273000000,28000000.0,191000000,11326000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2339000000,59677000000,,5947000000,5947000000,187000000,572000000.0,1474000000.0,148000000.0,,12000000.0,-2204000000.0,845000000,34707000000.0,6956000000,13527000000,3049000000.0,0.0,0.0,76823000000,310000000.0,69867000000,3126000000,10000000,3524000000,11342000000,69007000000.0,223000000,17051000000,68643000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,2446000000,66033000000,,8711000000,8887000000,215000000,0.0,,2423000000.0,0.0,0.0,,1197000000,,9622000000,13946000000,,176000000.0,,82366000000,,72744000000,1794000000,10000000,2291000000,11339000000,0.0,180000000,16237000000,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,2496000000,73292000000,,6980000000,6980000000,282000000,0.0,,193000000.0,,2972000000.0,-2251000000.0,1477000000,40413000000.0,8191000000,3291000000,3728000000.0,47000000.0,,88542000000,352000000.0,80351000000,11052000000,13000000,11870000000,2000000,0.0,150000000,15161000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,2496000000,73900000000,2725000000.0,5422000000,5422000000,714000000,0.0,,3275000000.0,,3275000000.0,,2189000000,,7157000000,3482000000,,463000000.0,,89223000000,450000000.0,82066000000,10825000000,42000000,11755000000,44000000,0.0,171000000,15237000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
