date,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyEbitda,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyDilutedEPS,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyInventory,quarterlyRepurchaseOfCapitalStock,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2017-03-31,,,,581624534,,-3.163596,765025000,,,,,,,,,,,,,,,-1039619000,-1050658000,3284034000,,,,,,,,-3.163596,,,,-1118729000,,,,840000,268880000,3558628000,,,,,,,,,,-1119569000,496145000,-1119569000,,,,581624534,,68071000,,,,,-1840025000,,,,-274594000,-18538000,,,,,,,
2017-06-30,,,,581624534,,-2.878403,921994000,,,,,,,,,,,,,,,-990656000,-870079000,4326319000,,,,,,,,-2.878403,,,,-952465000,,,,705000,294371000,4394981000,,,,,,,,,,-953170000,627623000,-953170000,,,,581624534,,82386000,,,,,-1674150000,,,,-68662000,104187000,,,,,,,
2017-09-30,,,,581624534,,-20.123025,1119366000,,,,,,,,,,,,,,,-1066626000,-967488000,4950583000,,,,,,,,-20.123025,,,,-1051027000,,,,786000,342328000,4897843000,,,,,,,,,,-1051813000,777038000,-1051813000,,,,581624534,,83539000,,,,,-11704045000,,,,52740000,78085000,,,,,,,
2017-12-31,2186147000.0,8278780000.0,50009000.0,707695998,6550367000.0,22.878678,1138411000,1633649000.0,1512926000.0,733010000.0,5655190000.0,1177925000.0,7041304000.0,265000.0,-3220000000.0,93126000.0,1189111000.0,,-3049097000.0,51679000.0,-2980784000.0,-856108000,1504841000,4817414000,-996656000.0,1052764000.0,58033000.0,-456101000.0,11625612000.0,5700528000.0,2245624000.0,22.878678,-406582000.0,,-8807000.0,-622276000,214326000.0,1248968000.0,-15016867000.0,-9896000,364227000,4535111000,779916000.0,2395005000.0,3276107000.0,2235384000.0,20200899000.0,14500371000.0,284000000.0,-1996333000.0,6432000.0,-612380000,774184000,-612380000,2083536000.0,292687000.0,-3265027000.0,707695998,309374000.0,43581000,-125686000.0,11918299000.0,1527213000.0,733010000.0,16191149000,159913000.0,2255000.0,,282303000,239228000,567887000.0,,,,,,
2018-03-31,,-14363364000.0,,49625962,8041075000.0,-13.79,1091566000,1795911000.0,896106000.0,403519000.0,,1201687000.0,8725820000.0,24000.0,,-281292000.0,,,,,,-1062480000,-387918000,4877305000,,,,,13450546000.0,6044582000.0,,-13.79,,,,-396243000,,1318390000.0,-14851247000.0,509000,387329000,4848219000,492587000.0,2341576000.0,3276107000.0,2912775000.0,22929590000.0,16885008000.0,279000000.0,,18527000.0,-395693000,704237000,-396752000,,23839647000.0,,49625962,406748000.0,8325000,,37290193000.0,,,-685056000,2738236000.0,1093000.0,,29086000,669836000,1184719000.0,,,,,,
2018-06-30,,23353322000.0,,704442937,9999899000.0,-3.01,1391416000,1853312000.0,13033452000.0,8281338000.0,,1163963000.0,9067544000.0,320000.0,,989592000.0,,,,,,-1327914000,-2086631000,6170231000,,,,,14784501000.0,19398766000.0,,-3.01,,,,-2096193000,,1404619000.0,-16841429000.0,4858000,441482000,6106729000,4752114000.0,2982311000.0,3276107000.0,2423492000.0,39112186000.0,19713420000.0,279000000.0,,40982000.0,-2096931000,949934000,-2101051000,,972211000.0,,704442937,642619000.0,9562000,,15756712000.0,,,-2106558000,3222020000.0,2229000.0,,63502000,-784332000,1242548000.0,,,,,,
2018-09-30,,21417040000.0,,722664368,12437992000.0,-4.34,1850410000,2356275000.0,9675689000.0,5831440000.0,,1051997000.0,10422892000.0,320000.0,,1880892000.0,,,,,,-2591254000,-3115069000,6914258000,,,,,17944322000.0,17034612000.0,,-4.34,,,,-3130655000,,1475642000.0,-19981862000.0,-6058000,558373000,7655102000,3844249000.0,3490059000.0,3888346000.0,3164612000.0,41216780000.0,24182168000.0,274000000.0,,66929000.0,-3140433000,1292037000,-3124597000,,1774685000.0,,722664368,1182553000.0,15586000,,19719007000.0,,,-3140433000,4070153000.0,117225000.0,,-740844000,-589418000,2306070000.0,,,,,,
2018-12-31,261000000.0,18036931000.0,283481000.0,724230965,12055166000.0,-4.83,1829149000,2195283000.0,10648237000.0,4586405000.0,4522633000.0,1163839000.0,10162366000.0,321000.0,-404511000.0,1879946000.0,5831440000.0,0.0,-4295933000.0,221571000.0,6923233000.0,-3324588000,-3298101000,7027322000,-1263673000.0,527994000.0,37590000.0,929007000.0,19812356000.0,19853443000.0,2881820000.0,-4.83,11472000.0,112982000.0,-33314000.0,-3359339000,935910000.0,1618147000.0,-23509486000.0,79492000,607468000,8522761000,6061832000.0,3632148000.0,3888346000.0,2889234000.0,44759698000.0,24906255000.0,5356453000.0,-3767939000.0,57551000.0,-3476719000,1221681000,-3438831000,3824672000.0,6791779000.0,-7012576000.0,724230965,3130169000.0,61238000,354468000.0,26604135000.0,-6411894000.0,6760447000.0,-3476719000,269812000.0,96405000.0,-464825000.0,-1495439000,-91538000,2572040000.0,,,,,,
2019-03-31,,16530506000.0,,726147259,12099955000.0,-2.52,1738683000,1960719000.0,15760295000.0,11874293000.0,,1261760000.0,10351228000.0,323000.0,,1452078000.0,,,,,,-2025960000,-1679587000,6989919000,,,,,20681219000.0,25618563000.0,,-2.52,,,,-1814834000,,1746679000.0,-25323462000.0,7443000,598072000,7277196000,3886002000.0,3763934000.0,3888346000.0,3021171000.0,51161628000.0,25543065000.0,12204577000.0,,291001000.0,-1813976000,1140611000,-1822277000,,13839612000.0,,726147259,3665221000.0,135247000,,34520831000.0,,,-1813976000,,83530000.0,,-287277000,281276000,2568368000.0,,,,,,
2019-06-30,,14883176000.0,,728950389,11971705000.0,-3.22,2000925000,2295522000.0,14245342000.0,5427362000.0,,1176403000.0,9583950000.0,323000.0,,1837517000.0,,,,,,-1871701000,-2050616000,7110181000,,,,,21443906000.0,24841038000.0,2343958000.0,-3.22,,,,-2298378000,,2343958000.0,-27650907000.0,5776000,654601000,6980957000,8817980000.0,3850910000.0,3888346000.0,3046343000.0,50244102000.0,25403064000.0,12303298000.0,,56022000.0,-2327445000,1346324000,-2304154000,,13781941000.0,,728950389,4370871000.0,247762000,,35225847000.0,,,-2327445000,,69964000.0,,129224000,-309636000,2553252000.0,,,,,,
