date,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyEbitda,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyDepreciationAndAmortization,quarterlyChangeInWorkingCapital,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyInvestingCashFlow,quarterlyRepaymentOfDebt,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyChangeInInventory
2000-03-31,,,,,,,,,-17468977.46,,-17468977.46,,,,,,,-17468977.46,,,,,,-0.004115,4245382000.0,,,,,,,,,,,52017521.38,52017521.38,52017521.38,-0.004115,,4245382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,,,,,-17466869.43,,-17466869.43,,,,,,,-17466869.43,,,,,,-0.004114,4245382000.0,,,,,,,,,,,52010896.79,52010896.79,52010896.79,-0.004114,,4245382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,,,,,,,,,-3438432900.0,,-3438432900.0,,,,,,,-3438432900.0,,,,,,-1.169535,4245382000.0,,,,,,,,,,,3594370900.0,3594370900.0,3594370900.0,-1.169535,,4245382000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,,,,,,8579010000.0,69302802600.0,36694765500.0,-3440382100.0,1357043400.0,-3440382100.0,,10676967900.0,,65036694900.0,12689135700.0,,-3440382100.0,740914500.0,83434771800.0,,475745100.0,,,,-14857285500.0,1505226300.0,,13820005200.0,,13820005200.0,1091874000.0,444548700.0,,16354712700.0,3596427900.0,-3477355800.0,-3477355800.0,,-881298300.0,,,23381701800.0,72757803900.0,32608037100.0,,-183232055400.0,7276560300.0,,,22500403500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,,,,,,,,,467946000.0,,467946000.0,,,,,,,467946000.0,,,,,,0.105678,4428044280.0,,,,,,,,,,,5654347500.0,5654347500.0,5654347500.0,0.101388,,4615384615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,3704762500.0,4344321500.0,,14429075000.0,54495106500.0,37538993500.0,467970000.0,37952367000.0,467970000.0,,53106795500.0,881343500.0,335378500.0,12042428000.0,,467970000.0,725353500.0,62505193000.0,389975000.0,483569000.0,1310316000.0,0.105683,4435480920.0,-8688643000.0,2729825000.0,-124792000.0,12050227500.0,,12050227500.0,1123128000.0,8415660500.0,179388500.0,717554000.0,5654637500.0,1435108000.0,1435108000.0,0.101394,-881343500.0,4613992780.0,,23648084000.0,9398397500.0,16956113000.0,,-179154515000.0,647358500.0,374376000.0,818947500.0,22766740500.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,,,,475769500.0,,475769500.0,,,,,,,475769500.0,,,,,,1.057222,4435480920.0,,,,,,,,,,,5490848000.0,5490848000.0,5490848000.0,1.021735,,4613992780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,,1942277190.0,,,,52519487230.0,38806542250.0,483765830.0,47956305880.0,483765830.0,,48650533470.0,,280811160.0,11458655390.0,,483765830.0,694227590.0,59617769330.0,,374414880.0,,,,-7644303800.0,2745709120.0,,7441495740.0,,7441495740.0,1138845260.0,694227590.0,,897035650.0,5157749650.0,-12065334830.0,-12065334830.0,,-3299531130.0,,,27901708870.0,10967235860.0,13712944980.0,,-8775348750.0,4446176700.0,,,24602177740.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,,,,,,,,,-358763200.0,,-358763200.0,,,,,,,-358763200.0,,,,,,-0.07768,4584709970.0,,,,,,,,,,,5100676800.0,5100676800.0,5100676800.0,-0.07768,,4584709970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,,1312000000.0,1714000000.0,3638980800.0,,,49577000000.0,36626000000.0,-349902000.0,44439000000.0,-349902000.0,,45159000000.0,520965200.0,53000000.0,809000000.0,,-349902000.0,720000000.0,53588000000.0,-769784400.0,493000000.0,1321852000.0,0.0,4584691970.0,-4486000000.0,1746000000.0,54429200.0,6987000000.0,,6987000000.0,0.0,686000000.0,-186614400.0,514000000.0,4960832800.0,1267422800.0,1267422800.0,0.0,-3289078800.0,4584691970.0,,23832000000.0,8429000000.0,12951000000.0,,-5639000000.0,620000000.0,404331200.0,38878000.0,23832000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
