date,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyBasicAverageShares,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyInvestmentsAndAdvances
1984-04-30,,,,,,,,,,,,,,,98000000,,,,,,,,,,0.01,,98000000,,918459000.0,,,,98000000,,,,,,,,,,,,,,,,,,,,700000,,,,,0.01,,,,,,,,,918459000.0,,,,,,,,,,
1984-07-31,,,,,,,,,,,,,,,105400000,,,,,,,,,,0.01,,105400000,,923528000.0,,,,105400000,,,,,,,,,,,,,,,,,,,,100000,,,,,0.01,,,,,,,,,923528000.0,,,,,,,,,,
1984-10-31,,,,,,,,,,,,,,,141400000,,,,,,,,,,0.01,,141400000,,908321000.0,,,,141400000,,,,,,,,,,,,,,,,,,,,4400000,,,,,0.01,,,,,,,,,908321000.0,,,,,,,,,,
1985-01-31,6400000.0,,,,,,,,,126100000.0,,,77400000.0,,-320300000,-41300000.0,,,,,94700000.0,,,,,,189400000,,,55300000.0,118700000.0,,-320300000,,,,120200000.0,209700000.0,21800000.0,,54700000.0,6500000.0,,,89500000.0,,,,28300000.0,,,,7000000,,,94900000.0,10600000.0,,10600000.0,,,600000.0,,,,,,1600000.0,,,,83600000.0,10500000.0,,,,
1985-04-30,,,,,,,,,,,,,,,110700000,,,,,,,,,,-0.01,,110700000,,907889000.0,,,,110700000,,,,,,,,,,,,,,,,,,,,-1100000,,,,,-0.01,,,,,,,,,907889000.0,,,,,,,,,,
1985-07-31,,,,,,,,,,,,,,,125700000,,,,,,,,,,0.01,,125700000,,911124000.0,,,,125700000,,,,,,,,,,,,,,,,,,,,400000,,,,,0.01,,,,,,,,,911124000.0,,,,,,,,,,
1985-10-31,,,,,,,,,,,,,,,187400000,,,,,,,,,,0.01,,187400000,,911124000.0,,,,187400000,,,,,,,,,,,,,,,,,,,,13100000,,,,,0.01,,,,,,,,,911124000.0,,,,,,,,,,
1986-01-31,23300000.0,,,,,,,,,151600000.0,,,94000000.0,,-352500000,-50600000.0,,,,,117500000.0,,,,,,223500000,,,89300000.0,144600000.0,,-352500000,,,,168400000.0,271700000.0,16100000.0,,76200000.0,-100000.0,,,103300000.0,,,,30800000.0,,,,22000000,,,117700000.0,22800000.0,,22800000.0,14800000.0,,13100000.0,,,,,,1400000.0,,,,120100000.0,7900000.0,,,,
1986-04-30,,,,,,,,,,,,,,,160000000,,,,,,,,,,0.01,,160000000,,919159000.0,,,,160000000,,,,,,,,,,,,,,,,,,,,10200000,,,,,0.01,,,,,,,,,919159000.0,,,,,,,,,,
1986-07-31,,,,,,,,,,,,,,,164800000,,,,,,,,,,0.01,,164800000,,950406000.0,,,,164800000,,,,,,,,,,,,,,,,,,,,8400000,,,,,0.01,,,,,,,,,950406000.0,,,,,,,,,,
