date,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetIncomeCommonStockholders,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOperatingExpense,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable
1986-09-30,,0.11,,,,,,,,,,430606000.0,,,,,,,,,1382000000,,,,,,,,,,,,,,,,1382000000,1382000000,,,,,,,,,430606000.0,,,0.11,,49000000,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,,107000000.0,,,,,,,,,,2490000000.0,,-628000000.0,,,,1634000000.0,,-3625000000,,,,,,,1253000000.0,2262000000.0,,1881000000.0,2344000000.0,,,,,1435000000,-3625000000,1568000000.0,,880000000.0,7068000000.0,1609000000.0,,,,,4724000000.0,2697000000.0,,,59000000,,,249000000.0,21000000.0,,21000000.0,,1085000000.0,,,,,2758000000.0,,272000000.0,,,4578000000.0,,332000000.0,,,,,
1987-03-31,,0.105,,,,,,,,,,430606000.0,,,,,,,,,1457000000,,,,,,,,,,,,,,,,1457000000,1457000000,,,,,,,,,430606000.0,,,0.11,,66000000,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,0.13,,,,,,,,,,432680000.0,,,,,,,,,1534000000,,,,,,,,,,,,,,,,1534000000,1534000000,,,,,,,,,432680000.0,,,0.13,,77000000,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,0.155,,,,,,,,,,436038000.0,,,,,,,,,1585000000,,,,,,,,,,,,,,,,1585000000,1585000000,,,,,,,,,436038000.0,,,0.155,,90000000,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-31,,,149000000.0,,,,,,,,,,2833000000.0,,-791000000.0,,,,1776000000.0,,-3884000000,,,,,,,1451000000.0,2567000000.0,,1877000000.0,2758000000.0,,,,,1647000000,-3884000000,1723000000.0,,880000000.0,7638000000.0,1445000000.0,,,,,4880000000.0,2928000000.0,,,90000000,,,325000000.0,51000000.0,,51000000.0,,1279000000.0,,,,,2688000000.0,,432000000.0,,,4805000000.0,,416000000.0,,,,,
1988-03-31,,0.155,,,,,,,,,,480704000.0,,,,,,,,,1635000000,,,,,,,,,,,,,,,,1635000000,1635000000,,,,,,,,,480704000.0,,,0.155,,91000000,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,0.155,,,,,,,,,,483322000.0,,,,,,,,,1693000000,,,,,,,,,,,,,,,,1693000000,1693000000,,,,,,,,,483322000.0,,,0.155,,91000000,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,0.14,,,,,,,,,,489128000.0,,,,,,,,,1708000000,,,,,,,,,,,,,,,,1708000000,1708000000,,,,,,,,,489128000.0,,,0.14,,85000000,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-31,,,173000000.0,,,,,,,,,,3096000000.0,,-911000000.0,,,,2024000000.0,,-4291000000,,,,,,,1654000000.0,2935000000.0,,1886000000.0,3323000000.0,,,,,1825000000,-4291000000,2311000000.0,,880000000.0,8550000000.0,1356000000.0,,,,,5227000000.0,3568000000.0,,,121000000,,,377000000.0,201000000.0,,201000000.0,,1512000000.0,,,,,2858000000.0,,530000000.0,,,5454000000.0,,345000000.0,,,,,
