date,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyDilutedEPS,quarterlyRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyPretaxIncome,quarterlyDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
1984-03-31,,1723500000.0,,,,,,,,,,,,,,,,,,,,2071000000,0.066667,,,,,,,,,,2071000000,,,2071000000,,,,,,,,,,,,,1723500000.0,,,114900000,,114900000,114900000,,,,,,,,,,,,0.066667,,,,,,,,,,
1984-06-30,,1781632653.0,,,,,,,,,,,,,,,,,,,,1941900000,0.081667,,,,,,,,,,1941900000,,,1941900000,,,,,,,,,,,,,1781632653.0,,,145500000,,145500000,145500000,,,,,,,,,,,,0.081667,,,,,,,,,,
1984-09-30,,1760930233.0,,,,,,,,,,,,,,,,,,,,1900000000,0.071667,,,,,,,,,,1900000000,,,1900000000,,,,,,,,,,,,,1760930233.0,,,126200000,,126200000,126200000,,,,,,,,,,,,0.071667,,,,,,,,,,
1984-12-31,142000000.0,,,,,,,,,,,,,4909000000.0,,,9143000000.0,,-3906000000.0,,,-4882000000,,3120000000.0,,,,,,,13049000000.0,1924000000.0,2034000000,2155000000.0,,-4882000000,11636000000.0,9481000000.0,2302000000.0,1663000000.0,,,673000000.0,,,,,4803000000.0,,,,78400000,,78400000,78200000,,,1828000000.0,458000000.0,,377000000.0,377000000.0,,261000000.0,,,,338000000.0,,,6727000000.0,,,,,,
1985-03-31,,1780645161.0,,,,,,,,,,,,,,,,,,,,1994000000,0.051667,,,,,,,,,,1994000000,,,1994000000,,,,,,,,,,,,,1780645161.0,,,92000000,,92000000,92000000,,,,,,,,,,,,0.051667,,,,,,,,,,
1985-06-30,,1772727273.0,,,,,,,,,,,,,,,,,,,,1826000000,0.073333,,,,,,,,,,1826000000,,,1826000000,,,,,,,,,,,,,1772727273.0,,,130000000,,130000000,130000000,,,,,,,,,,,,0.073333,,,,,,,,,,
1985-09-30,,1783783784.0,,,,,,,,,,,,,,,,,,,,1718000000,0.061667,,,,,,,,,,1718000000,,,1718000000,,,,,,,,,,,,,1783783784.0,,,110000000,,110000000,110000000,,,,,,,,,,,,0.061667,,,,,,,,,,
1985-12-31,136000000.0,,,,,,,,,,,,,4595000000.0,,,9107000000.0,,-4555000000.0,,,-4657000000,,2741000000.0,,,,,,,13662000000.0,1952000000.0,1782000000,2050000000.0,,-4657000000,11494000000.0,9444000000.0,2499000000.0,1744000000.0,,,876000000.0,,,,,4947000000.0,,,,-450000000,,-450000000,-450000000,,,1572000000.0,428000000.0,,187000000.0,187000000.0,,208000000.0,,,,337000000.0,,,6899000000.0,,,,,,
1986-03-31,,1821428571.0,,,,,,,,,,,,,,,,,,,,1697000000,0.046667,,,,,,,,,,1697000000,,,1697000000,,,,,,,,,,,,,1821428571.0,,,85000000,,85000000,85000000,,,,,,,,,,,,0.046667,,,,,,,,,,
1986-06-30,,1814634146.0,,,,,,,,,,,,,,,,,,,,1607000000,0.068333,,,,,,,,,,1607000000,,,1607000000,,,,,,,,,,,,,1814634146.0,,,124000000,,124000000,124000000,,,,,,,,,,,,0.068333,,,,,,,,,,
