date,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets
1998-03-31,564000.0,4512000.0,,,,,212000.0,13183000.0,39339000.0,-424000,,6063000,27284000.0,-9941000.0,,-988000.0,,70000,,,-7121000.0,,1832000.0,,988000.0,,66764000.0,,43992000.0,494000.0,11351000.0,-71000.0,2043000.0,,-3525000.0,,0.00289,24571000.0,141000.0,0.0,,,-423000.0,5993000.0,-9941000.0,71000.0,71000.0,,,,6839000.0,35814000.0,353000.0,6839000.0,5993000.0,,-4512000.0,7826000.0,5499000.0,,0.00289,0.0,-10364000.0,31866000.0,24571000.0,71000.0,35955000.0,79947000.0,27284000.0,27284000.0,,,,,71000.0,494000.0,
1998-06-30,-1021000.0,4694000.0,,,,,204000.0,7483000.0,41635000.0,-2177000,,7687000,22042000.0,-4617000.0,,-848000.0,,-1651000,,,-8980000.0,,1700000.0,,1156000.0,,66193000.0,,35512000.0,680000.0,5783000.0,71000.0,2245000.0,,-3538000.0,,-0.081636,23335293.0,67000.0,0.0,,,-2162000.0,1354000.0,-4685000.0,-1905000.0,-1905000.0,,,,5919000.0,38097000.0,340000.0,1089000.0,1354000.0,,-5284000.0,5306000.0,8708000.0,,-0.081636,0.0,-6847000.0,27284000.0,23335293.0,-1905000.0,38164000.0,73676000.0,22042000.0,22042000.0,,,,,-3000.0,526000.0,
1998-09-30,-261000.0,5424000.0,,,,,196000.0,9672000.0,45614000.0,-1372000,,7450000,15880000.0,-4067000.0,,-1562000.0,,-849000,,,-9999000.0,,1634000.0,,1111000.0,,65154000.0,,32675000.0,588000.0,8038000.0,-65000.0,1111000.0,,-3529000.0,,-0.03921,24993624.0,66000.0,0.0,,,-2120000.0,38000.0,-3999000.0,-980000.0,-980000.0,,,,6535000.0,42085000.0,261000.0,2614000.0,38000.0,,-6149000.0,9149000.0,7711000.0,,-0.03921,0.0,-6119000.0,22042000.0,24993624.0,-980000.0,42151000.0,74826000.0,15880000.0,15880000.0,,,,,-3000.0,483000.0,
1998-12-31,-963000.0,5620000.0,,,,,194000.0,8979000.0,55814000.0,-2217000,,8929000,10078000.0,4219000.0,,2816000.0,,-1717000,,,-13178000.0,,2907000.0,,1254000.0,,61693000.0,,21383000.0,754000.0,6072000.0,0.0,1679000.0,,-7687000.0,775000.0,,,1162000.0,0.0,,,118000.0,-3057000.0,-2887000.0,-3198000.0,-3198000.0,,2132000.0,,4910000.0,48127000.0,51000.0,452000.0,-3057000.0,129000.0,1152000.0,4587000.0,9892000.0,,,0.0,-2769000.0,15880000.0,,-3198000.0,49289000.0,70672000.0,10078000.0,10207000.0,,,,,7106000.0,500000.0,
1999-03-31,-994000.0,5631000.0,,,,,199000.0,8811000.0,59890000.0,-2186000,,5830000,24380000.0,-4505000.0,,-728000.0,,-1590000,,,-15105000.0,,3113000.0,,1192000.0,,80494000.0,,36106000.0,596000.0,5698000.0,66000.0,1854000.0,,-7884000.0,,-0.072875,27279588.0,1193000.0,-1126000.0,,,-2120000.0,20869000.0,-4571000.0,-1988000.0,-1988000.0,,,,4373000.0,52006000.0,199000.0,-66000.0,21995000.0,,14310000.0,5499000.0,6824000.0,,-0.072875,0.0,-6691000.0,10070000.0,27279588.0,-1988000.0,53199000.0,89305000.0,24380000.0,24380000.0,,,,,,596000.0,
1999-06-30,-614000.0,5591000.0,,,,,68000.0,10022000.0,68043000.0,-1842000,,5591000,16431000.0,-8381000.0,,1341000.0,,-1228000,,,-16568000.0,,2931000.0,,1228000.0,,79089000.0,,28022000.0,614000.0,7091000.0,-66000.0,1909000.0,,-8113000.0,,-0.047726,28746000.0,1159000.0,-33000.0,,,415000.0,62000.0,-8315000.0,-1500000.0,-1500000.0,,,,4773000.0,59930000.0,273000.0,1432000.0,95000.0,,-8037000.0,4909000.0,6205000.0,,-0.047726,0.0,-7900000.0,24380000.0,28746000.0,-1500000.0,61089000.0,89111000.0,16431000.0,16431000.0,,,,,,495000.0,
1999-09-30,68000.0,6134000.0,,,,,136000.0,10427000.0,77419000.0,-1022000,,6951000,15470000.0,1914000.0,,1976000.0,,-409000,,,-17242000.0,,2930000.0,,1090000.0,,88459000.0,,28350000.0,613000.0,7497000.0,0.0,2521000.0,,-8110000.0,,-0.020445,29982881.0,1227000.0,478000.0,,,1909000.0,-11049000.0,1914000.0,-613000.0,-613000.0,,,,5452000.0,69309000.0,,1363000.0,-11527000.0,,-7159000.0,4907000.0,6883000.0,,-0.020445,0.0,3823000.0,16431000.0,29982881.0,-613000.0,70536000.0,98886000.0,15470000.0,15470000.0,,,,,,613000.0,
1999-12-31,-640000.0,10022000.0,,,,,69000.0,12925000.0,89925000.0,-1453000,,8556000,15898000.0,-18957000.0,,-2382000.0,,-876000,,,-19008000.0,,2833000.0,,813000.0,,94902000.0,,26819000.0,236000.0,10092000.0,69000.0,1590000.0,,-9815000.0,,,,898000.0,682000.0,,,-3522000.0,29102000.0,-19026000.0,-1717000.0,-1717000.0,,,,4631000.0,80110000.0,,70000.0,31047000.0,,6692000.0,4700000.0,9196000.0,,,0.0,-22548000.0,15470000.0,,-1717000.0,81008000.0,107827000.0,15898000.0,15898000.0,,,,,,577000.0,
2000-03-31,207000.0,7725000.0,,,,-1379000.0,69000.0,13035000.0,101524000.0,-897000,,7311000,9725000.0,-4828000.0,,,,-276000,,,-19725000.0,,5241000.0,,1104000.0,,102076000.0,,21726000.0,483000.0,7794000.0,-2138000.0,2000000.0,,-9794000.0,3655000.0,-0.020691,33347832.0,1655000.0,,,,-1379000.0,0.0,-2690000.0,-690000.0,-690000.0,,1586000.0,,4828000.0,91730000.0,207000.0,0.0,,,-6207000.0,5173000.0,7104000.0,,-0.020691,0.0,-4069000.0,15932000.0,33347832.0,-690000.0,93385000.0,115111000.0,9725000.0,9725000.0,,,,,,621000.0,
2000-06-30,338000.0,5811000.0,,,,1176000.0,68000.0,11081000.0,103923000.0,-946000,,7027000,6081000.0,-4091000.0,,,,-80000,,,-20474000.0,,5202000.0,,1284000.0,,101423000.0,,16420000.0,608000.0,5879000.0,-1105000.0,1893000.0,,-9595000.0,3715000.0,-0.020271,40007893.0,1756000.0,,,,1109000.0,-608000.0,-2986000.0,-811000.0,-811000.0,,1487000.0,,4527000.0,94328000.0,,0.0,,,-3523000.0,3919000.0,6689000.0,,-0.020271,0.0,-1877000.0,9725000.0,40007893.0,-811000.0,96084000.0,112504000.0,6081000.0,6081000.0,,,,,,866000.0,
