date,quarterlyOtherCurrentAssets,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyInventory,quarterlyLongTermDebt,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2009-12-31,66158000.0,47294000,1050279000,3483992000,34897000,-2191705000.0,4168872000,,6360577000.0,2294235000,3066066000,6659801000,995377000,,0.0,0.0,109681000,413000,692870000,74784000,1963286000,503086000.0,503086000.0,-33079000.0,11417000.0,4365566000,3175747000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,66266000.0,50322000,807270000,3954409000,35270000,,4156726000,,,2282267000,2274867000,6613382000,915685000,,0.0,0.0,384044000,413000,721997000,348774000,1443834000,545186000.0,545186000.0,-33133000.0,8416000.0,4331115000,2658911000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,24296000.0,50327000,1566786000,3950405000,35442000,-2622366000.0,4228878000,,6851244000.0,3485056000,3318984000,7915016000,1829530000,,0.0,0.0,645627000,413000,748872000,610185000,1653287000,851945000.0,851945000.0,-12148000.0,5710000.0,4429960000,3964611000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,24296000.0,55361000,1481268000,4246365000,35760000,,4521145000,2395684000.0,,4060905000,4027085000,8930781000,2036608000,,0.0,0.0,657331000,413000,1214333000,621571000,2425423000,758792000.0,758792000.0,-12148000.0,2858000.0,4869876000,4684416000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,237870000.0,55361000,2357078000,4396802000,39013000,-3189608000.0,4559591000,2423332000.0,7749199000.0,5283403000,4864538000,10098832000,3290366000,,0.0,0.0,837492000,413000,882742000,798479000,2233641000,868404000.0,868404000.0,38512000.0,480000.0,4815429000,5702030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,209257000.0,55361000,2186750000,4432393000,40799000,,4495884000,,,5228702000,4766928000,10014319000,3195502000,,0.0,0.0,800865000,413000,918361000,760066000,2472469000,898804000.0,898804000.0,-503000.0,409000.0,4785617000,5567793000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,55295000,3091563000,4977239000,36250000,-3725184000.0,5047065000,,8772249000.0,6471163000,5504828000,11587162000,3777876000,108279000.0,0.0,0.0,942047000,413000,1016322000,905797000,2249363000,1330711000.0,1330711000.0,10841000.0,333000.0,5115999000,6446875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,0.0,56153000,4522891000,5860485000,34868000,,5231557000,3253127000.0,5231557000.0,8616734000,7174669000,14122664000,4502246000,30534000.0,0.0,0.0,844066000,413000,1500674000,809198000,2536343000,1576208000.0,1576208000.0,71305000.0,261000.0,5505930000,8018735000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,58392000,5029234000,6904120000,57487000,-4406858000.0,5671791000,,10078649000.0,10210431000,8061957000,16280931000,5385059000,,0.0,0.0,992118000,413000,1489150000,934631000,2949189000,2805714000.0,2805714000.0,56736000.0,191000.0,6070500000,9054075000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,58224000,5249225000,6744461000,68008000,,5943366000,3956101000.0,5943366000.0,9852332000,8649439000,16804768000,4885189000,,0.0,0.0,1039237000,413000,2149543000,971229000,3339865000,1900052000.0,1900052000.0,59611000.0,119000.0,6952436000,9688676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
