date,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyRetainedEarnings,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyOperatingIncome,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyDilutedAverageShares,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue
2001-09-30,,,1978000,1248000,,,,,,21571000,,,15783000,,,,937025000,282613000,35596377.0,331420000,10972000.0,68108000.0,225566000,972175000,524721000,7289000,0.056667,,55231000,27098000,244563000,,42863000.0,640755000,0,,,,1978000,629146000.0,1978000,,24211000,24211000,,,209783000,3549000,68108000,33632000,1571000,35596377.0,144000,114943000,13407000.0,,,,125632000,,,,,0,1219638000,1546000,,,,,,150274000.0,0.056667,,,,
2001-12-31,,34978000.0,16178000,17426000,-53287000.0,57450000.0,,,-48000.0,53359000,,,46949000,24988000.0,19779000.0,,998607000,360746000,,423865000,21736000.0,68451000.0,337262000,1097693000,522063000,8493000,,,85188000,46661000,257364000,,42535000.0,673828000,0,,,-7924000.0,16178000,609543000.0,16178000,,57450000,57450000,,-43279000.0,290313000,33088000,68451000,38117000,16910000,,144000,165841000,14535000.0,-246000.0,98659000.0,,177058000,70303000.0,,16034000.0,-45315000.0,0,1359353000,296000,,,,33050000.0,24211000.0,151100000.0,,,,,
2002-03-31,,-50100000.0,-6095000,11331000,-11330000.0,19997000.0,,,,10506000,,,2914000,-58691000.0,-351000.0,,988766000,232891000,45621045.0,295745000,6991000.0,65814000.0,223990000,966586000,517082000,9460000,-0.133333,,17153000,46830000,250635000,,45439000.0,670841000,0,,,-9185000.0,-6095000,611276000.0,-6095000,,19997000,19997000,,-18533000.0,221076000,-12239000,65814000,36242000,-6144000,45151899.0,143000,127038000,16017000.0,,-880000.0,,177365000,-56546000.0,,31087000.0,-2145000.0,0,1221657000,44000,,,,-36789000.0,57450000.0,144563000.0,-0.133333,,,,
2002-06-30,,9011000.0,7289000,18620000,-4880000.0,18211000.0,,,,33374000,,,29263000,13196000.0,114000.0,,999146000,352777000,45651558.0,416819000,13009000.0,64928000.0,284893000,1079125000,515282000,10777000,0.16,,33989000,46990000,268190000,,48120000.0,662306000,0,,,-1291000.0,7289000,583213000.0,7289000,,18211000,18211000,,-90393000.0,255630000,14893000,64928000,93549000,7604000,45103848.0,144000,231724000,14904000.0,,-6714000.0,,174240000,16414000.0,,-13177000.0,-3218000.0,0,1351923000,10608000,,,,-1643000.0,19997000.0,138097000.0,0.16,,,,
2002-09-30,,19992000.0,1881000,21056000,-252000.0,18484000.0,,,-120000.0,27566000,,,21162000,18244000.0,-1266000.0,,981014000,273669000,45677364.0,331466000,11709000.0,62896000.0,284928000,992518000,513160000,8977000,0.043333,,53077000,51439000,257563000,,43973000.0,661052000,0,,,2786000.0,1881000,581661000.0,1881000,,18484000,18484000,,-105338000.0,263766000,7017000,62896000,91874000,5136000,45048132.0,144000,134455000,15420000.0,0.0,5363000.0,,168663000,21162000.0,,-19975000.0,-2918000.0,0,1254683000,2323000,,,,935000.0,18211000.0,132225000.0,0.04,,,,
2002-12-31,,35250000.0,15097000,36153000,-7668000.0,79701000.0,,,-521000.0,58711000,,,52204000,77867000.0,411000.0,,978936000,345940000,,407234000,15451000.0,66634000.0,376466000,1067920000,511133000,8415000,,,103858000,43301000,251341000,,50208000.0,660686000,0,,,-1162000.0,15097000,577137000.0,15097000,,79701000,79701000,,-23736000.0,324262000,38607000,66634000,91082000,23510000,,144000,121776000,14160000.0,0.0,-15787000.0,,157499000,83852000.0,,-15773000.0,-5985000.0,-15451000,1324876000,-18998000,,,,60411000.0,18484000.0,181600000.0,,,,,
2003-03-31,,-97866000.0,-1347000,34806000,-2494000.0,19370000.0,6171000.0,,,17013000,,,10842000,-74761000.0,22281000.0,,972880000,223416000,45087657.0,278677000,0.0,66706000.0,263724000,939540000,509266000,9470000,-0.03,,33223000,45048000,251029000,123599000.0,53980000.0,660863000,0,,140125000.0,1506000.0,-1347000,577137000.0,-1347000,,19370000,19370000,,-22588000.0,129283000,-2407000,66706000,90245000,-1060000,45087657.0,145000,84826000,14324000.0,,526000.0,,148515000,-70761000.0,,11756000.0,-4000000.0,0,1196296000,-18877000,,,,-61499000.0,79701000.0,160628000.0,-0.03,,,,
2003-06-30,,12737000.0,5172000,39978000,4890000.0,23018000.0,6329000.0,,,35031000,,,28702000,-965000.0,-28032000.0,,1192895000,369006000,46032114.0,425839000,0.0,68959000.0,321717000,1303148000,707732000,-185857000,0.113333,,49853000,56836000,252672000,153066000.0,57691000.0,877309000,-3310000,,168651000.0,2061000.0,5172000,577137000.0,5172000,,223018000,223018000,,-111437000.0,139949000,9153000,68959000,89494000,3981000,45122604.0,145000,216399000,16940000.0,,-260000.0,,363642000,-3794000.0,,2415000.0,2829000.0,0,1561901000,-22272000,,,,3511000.0,19370000.0,159587000.0,0.113333,,,,
2003-09-30,,-19036000.0,-28445000,11533000,-255080000.0,85494000.0,41071000.0,,,37198000,,,-3873000,-3173000.0,6915000.0,,1359489000,607535000,62229033.0,567056000,0.0,110705000.0,423376000,1611622000,819376000,35643000,-0.456667,,101842000,99725000,348696000,208198000.0,64482000.0,1044566000,-16485000,,215178000.0,-4219000.0,-28445000,793251000.0,-28445000,,85494000,85494000,,-69338000.0,219051000,-46825000,110705000,153790000,-18380000,62229033.0,220000,175511000,28255000.0,,-20567000.0,,211034000,3841000.0,,314327000.0,-7014000.0,0,1967024000,-17724000,,,,63088000.0,23018000.0,289703000.0,-0.456667,,,,
2003-12-31,,151501000.0,-10084000,1449000,-32111000.0,163881000.0,39051000.0,,,80392000,,,41341000,115879000.0,-29727000.0,,1374499000,838982000,,833417000,0.0,113569000.0,621257000,1873896000,791420000,41360000,,,200343000,75024000,332929000,311545000.0,68361000.0,1040479000,-17022000,,309712000.0,6501000.0,-10084000,819558000.0,-10084000,,163881000,163881000,,-22487000.0,268371000,-901000,113569000,131731000,9183000,,220000,281422000,27697000.0,400000.0,-302044000.0,-19836000.0,209101000,134655000.0,,-24834000.0,-18776000.0,12991000,2213481000,-23780000,,,,77710000.0,85494000.0,338661000.0,,,,,
