date,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyInventory,quarterlyNetPPE,quarterlyGoodwill,quarterlyTaxProvision,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid
2016-09-30,,26050000,,,,-14101000,,89053000,,,14629000,40259000,-4000.0,-11310000,2011000,85710166.0,-0.148675,23008000.0,-16348000,-1469000,-12693000,,,,40151000,,,624000.0,-0.148675,,,21922000,,0.0,-1465000,,,-12743000,-12743000,4523000,,,-430000,18229000,,,,50000,,1440000,,2624000,,,63003000,1351000,,,,37635000,85710166.0,,-13382000,,,32000,3058000,-594000.0,,-12743000,,,,,,,
2016-12-31,,44663000,17342000.0,,372902000.0,3379000,31397000.0,147340000,29084000.0,2636000.0,-26354000,34562000,0.0,4419000,2190000,,,-15945000.0,6482000,-1216000,3335000,,116505000.0,165220000.0,41284000,-219829000.0,23952000.0,26000.0,,,-193824000.0,21807000,256397000.0,0.0,-1216000,-7814000.0,4143000.0,3227000,3227000,-19553000,515000.0,0.0,15072000,19477000,43568000.0,9528000.0,,108000,79325000.0,-353000,,-5697000,0.0,45387000.0,102677000,1101000,0.0,34562000.0,34562000.0,40259000,,13858000.0,-22434000,,15000000.0,-17000,-20769000,0.0,179078000.0,3227000,,,,,,,
2017-03-31,,38840000,,,,-7835000,,100093000,,,30603000,44714000,,-7240000,2175000,85710166.0,-0.101528,,5712000,-1560000,-8654000,,,,46675000,,,20000.0,-0.101528,,,24333000,,-15000000.0,-1560000,,,-8702000,-8702000,26239000,,,-14527000,22342000,,,,48000,,-652000,,10152000,,,61253000,1247000,,,,34562000,85710166.0,,18251000,,,167000,24679000,,,-8702000,,,,,,,
2017-06-30,,37637000,22407000.0,,398346000.0,-13383000,23970000.0,99627000,37132000.0,4363000.0,13356000,70169000,,-13838000,2418000,94748495.0,-0.163728,,10774000,-2940000,-15475000,,102849000.0,164904000.0,51020000,-244044000.0,30981000.0,280000.0,-0.163728,,-213350000.0,25244000,295497000.0,0.0,-3026000,-10336000.0,7701000.0,-15513000,-15513000,3974000,3318000.0,0.0,24421000,25776000,27082000.0,12071000.0,,38000,56340000.0,-1788000,,25455000,22811000.0,47415000.0,61990000,1333000,0.0,70169000.0,70169000.0,44714000,94748495.0,20092000.0,4440000,,0.0,304000,948000,,184996000.0,-15513000,,,,,,,
2017-09-30,,49895000,24324000.0,,481475000.0,-7892000,49171000.0,124782000,38802000.0,2448000.0,4979000,66918000,-55000.0,-44059000,2924000,5259796.0,-8.79,25162000.0,-8368000,-5099000,-46177000,,145491000.0,197511000.0,57787000,-290279000.0,30822000.0,368000.0,-8.79,,-255973000.0,29255000,335984000.0,0.0,-2085000,-11517000.0,8604000.0,-46235000,-46235000,979000,6440000.0,0.0,869000,28532000,35450000.0,12807000.0,1554000.0,58000,84840000.0,-37470000,,-3251000,23043000.0,65498000.0,74887000,1303000,1000.0,66918000.0,66918000.0,70169000,5259796.0,27991000.0,-28223000,,0.0,815000,-1106000,0.0,225502000.0,-46235000,2215000.0,,,,,,
2017-12-31,,73461000,14736000.0,,219618000.0,9494000,56413000.0,188261000,48511000.0,3007000.0,-8564000,177250000,-111000.0,7438000,3436000,96492000.0,0.07,6909000.0,2710000,-2669000,7112000,0.0,163258000.0,344917000.0,63967000,-283338000.0,34501000.0,116000.0,0.06,,152279000.0,32672000,56360000.0,-25446000.0,-2558000,-12780000.0,7849000.0,6941000,6941000,6100000,3429000.0,0.0,106901000,31295000,32740000.0,14736000.0,1382000.0,171000,120553000.0,-2056000,,110332000,,72344000.0,114800000,1453000,10000.0,177250000.0,177250000.0,66918000,119140000.0,26980000.0,-35652000,,,326000,3542000,131646000.0,371897000.0,6941000,2030000.0,,,,,,
2018-03-31,,63112000,16835000.0,,167004000.0,-6902000,111776000.0,136576000,13549000.0,,-14418000,160750000,,-4798000,4429000,99488000.0,-0.07,-14884000.0,-5430000,-3407000,-6505000,,145724000.0,336811000.0,70014000,-251673000.0,33948000.0,,-0.07,,193476000.0,35888000,21280000.0,,-3407000,-14275000.0,7731000.0,-6634000,-6634000,-14637000,3560000.0,,1544000,34126000,38062000.0,16835000.0,1382000.0,129000,106094000.0,448000,,-16500000,,67523000.0,73464000,1656000,10000.0,160750000.0,160750000.0,177250000,99488000.0,23669000.0,26986000,,,51000,-18044000,,360480000.0,-6634000,1892000.0,,,,,,
2018-06-30,,77752000,20212000.0,,169903000.0,-132000,111026000.0,156810000,12435000.0,,-4957000,174167000,,2179000,5309000,102652000.0,0.01,-4116000.0,-1369000,-5606000,172000,,150177000.0,353780000.0,77884000,-251147000.0,39151000.0,,0.004322,,211765000.0,37688000,19726000.0,,-5606000,-16088000.0,7291000.0,526000,526000,3169000,4540000.0,,15854000,40196000,39431000.0,20212000.0,1382000.0,-354000,123612000.0,361000,,13417000,,71928000.0,79058000,1950000,11000.0,174167000.0,174167000.0,160750000,121698000.0,27888000.0,-17603000,,,57000,-2437000,,381668000.0,526000,1754000.0,,,,,,
2018-09-30,-7000.0,78993000,23260000.0,,206482000.0,-11749000,147255000.0,173381000,13376000.0,,-2613000,137670000,,-7369000,11499000,106884000.0,-0.09,35943000.0,-29372000,-46250000,-9699000,,185798000.0,397796000.0,90742000,-260674000.0,38543000.0,,-0.09,42057000.0,221876000.0,45372000,20684000.0,,-4350000,-18069000.0,7308000.0,-9527000,-9527000,2171000,4305000.0,,7582000,45370000,68803000.0,23260000.0,1382000.0,-172000,133895000.0,2162000,8082000.0,-36497000,,87871000.0,94388000,2218000,11000.0,137670000.0,179727000.0,174167000,106884000.0,30562000.0,-10752000,,,112000,-2179000,,428358000.0,-9527000,1615000.0,,,,,,
2018-12-31,-17000.0,112291000,25264000.0,9000000.0,220346000.0,5487000,56576000.0,275739000,19594000.0,,-3637000,155564000,,9390000,16437000,109322000.0,0.06,-17041000.0,33218000,-4870000,6699000,0.0,194004000.0,432935000.0,106804000,-253896000.0,45442000.0,126000.0,0.05,42146000.0,244651000.0,55804000,26342000.0,0.0,-4964000,-19680000.0,6748000.0,6778000,6778000,23219000,3939000.0,,-455000,51000000,35585000.0,25264000.0,1382000.0,-79000,183078000.0,1338000,-25480000.0,17894000,,91986000.0,163448000,2565000,11000.0,155564000.0,197710000.0,137670000,123237000.0,32062000.0,-49304000,-8906000.0,,126000,18255000,0.0,464997000.0,6778000,1477000.0,,,,,,
