date,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyEbitda,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyDilutedAverageShares,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlySellingGeneralAndAdministration,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,,,,,,,,0.051818,1978119060.0,,,,,1978119060.0,1978119060.0,,,,,,,,,,,,,,,,0.051818,,,,,,,3382407285.0,,,,,,70247691.0,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,0.055407,2115130680.0,,,,,2115130680.0,2115130680.0,,,,,,,,,,,,,,,,0.055407,,,,,,,3382407285.0,,,,,,75113298.0,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,0.060214,2298650520.0,,,,,2298650520.0,2298650520.0,,,,,,,,,,,,,,,,0.060214,,,,,,,3382407285.0,,,,,,81630522.0,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,5474343578.957154,,,681720570.0,681720570.0,,140706.0,,,,,,,19547160026.33426,,,,,-6895816186.0,-6895816186.0,-1365270318.0,,,4330508562.0,,3591661356.0,6321329831.6154,,,,2226391038.0,1905018534.0,,2617835130.0,,,,,,,,6976062774.0,,2645554212.0,373574430.0,,,427183416.0,94485974.0,,3639751734.396244,949343382.0,,,,,9961081566.011644,419163174.0,,,605176506.0,,,,2094268104.0,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,0.091808,3229106134.0,,,,,3229106134.0,3229106134.0,,,,,,,,,,,,,,,,0.091808,,,,,,,3382407285.0,,,,,,129345880.0,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,,,0.090552,3184917773.0,,,,,3184917773.0,3184917773.0,,,,,,,,,,,,,,,,0.090552,,,,,,,3382407285.0,,,,,,127575860.0,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,,,0.080582,2834250392.0,,,,,2834250392.0,2834250392.0,,,,,,,,,,,,,,,,0.080582,,,,,,,2989285236.0,,,,,,113529440.0,,,,2989285236.0,,,,,,,,,,,,,,,,,,,,,,,
1985-12-31,,5369874576.808379,,,971182026.421564,2386610923.025946,,0.0,1921286646.593578,265899586.532782,,,,,18562380563.364212,,,,,-6641333294.270526,-8447504875.962716,-1263734118.0,,,9684257502.196995,,3238283508.0,6016788814.77533,,,,4928870384.510106,1577613756.0,,5006694653.739213,,,,,1415428896.604382,2454707158.601415,,15118985636.696297,,5434728134.499301,1049006295.650671,,,863647308.0,560996907.903822,,3339958221.082506,1588912163.4276,,,,,9356747035.857836,-971182026.421564,,,671234322.101047,,,,3949581663.377177,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,,,0.066192,2387054712.0,,,,,2387054712.0,2387054712.0,,,,,,,,,,,,,,,,0.066192,,,,,,,2989285236.0,,,,,,93941036.0,,,,2989285236.0,,,,,,,,,,,,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,,,0.06263,2258600568.0,,,,,2258600568.0,2258600568.0,,,,,,,,,,,,,,,,0.06263,,,,,,,3382407285.0,,,,,,88885804.0,,,,3382407285.0,,,,,,,,,,,,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,,,0.059215,2135439864.0,,,,,2135439864.0,2135439864.0,,,,,,,,,,,,,,,,0.059215,,,,,,,2989285236.0,,,,,,84038892.0,,,,2989285236.0,,,,,,,,,,,,,,,,,,,,,,,
1986-12-31,,5124168534.342568,,,1710820023.062594,4477428816.415836,,93476.0,1813082286.153573,248746045.356435,,,,,17279831615.829456,,,,,-4535196561.929925,-6310966941.280033,-1088247592.0,,,11124475917.32947,,2840455212.0,10083888294.255049,,,,4842256349.605275,1366806072.0,,4759341001.15313,,,,,2766608793.353242,2293991307.176015,,19060856686.67396,,7936380769.34449,1145613731.113805,,,458967160.0,716707797.415895,,3492118092.309512,3058194435.409952,,,,,13576006386.56456,-1710820023.062594,,,769730818.130747,,,,3512846929.422548,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,,,0.091986,909237150.0,,,,,909237150.0,909237150.0,,,,,,,,,,,,,,,,0.091986,,,,,,,2989285236.0,,,,,,44321175.0,,,,2989285236.0,,,,,,,,,,,,,,,,,,,,,,,
