date,quarterlyBasicAverageShares,quarterlyNetPPE,quarterlyInterestExpense,quarterlyOtherIncomeExpense,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicEPS,quarterlyAccountsPayable,quarterlyPurchaseOfInvestment,quarterlyStockBasedCompensation,quarterlyTotalRevenue,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyCashDividendsPaid,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyDeferredIncomeTax,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyInventory,quarterlyResearchAndDevelopment
2006-03-31,138800000.0,,,-1300000,,,,,,,,55800000,,,,,22500000,,,,,,,,,,,,,,,0.24,,,,450500000,57100000,,102100000,,33600000,,,,,,,,,,,138800000.0,57100000,,,,348400000,,,,0.24,45000000,33600000,33300000,,,,,,,,,45000000,,,,
2006-06-30,,80700000.0,,1900000,,-117500000.0,-13800000.0,,,-117500000.0,94100000.0,168800000,-36800000.0,115900000.0,111300000.0,,68200000,,,728800000.0,,80300000.0,56400000.0,12900000.0,2134700000.0,,45200000.0,50100000.0,50100000.0,,86000000.0,,78400000.0,,,718100000,179800000,,220400000,-13800000.0,100700000,50100000.0,,,80700000.0,,,-9600000.0,1091500000.0,41800000.0,-36200000.0,,166900000,,990300000.0,1405900000.0,497700000,172900000.0,480400000.0,404200000.0,,53500000,100700000,100600000,59400000.0,,,9500000.0,,101200000.0,951600000.0,1043200000.0,51800000,0.0,,,
2006-09-30,138800000.0,,,-600000,,-68200000.0,-3600000.0,0.0,,-68200000.0,37700000.0,46400000,-34200000.0,,,,17900000,0.0,,,,34100000.0,,9800000.0,,,,,,,50100000.0,0.21,,,,440100000,56800000,,97500000,-3600000.0,28500000,15900000.0,0.0,,,0.0,,13600000.0,,,-12400000.0,138800000.0,47000000,-1800000.0,,,342600000,,,,0.21,50500000,28500000,28500000,,,,,0.0,,,,50500000,0.0,,,
2006-12-31,138800000.0,,,0,,-101600000.0,-8700000.0,0.0,,-101600000.0,179200000.0,46000000,68900000.0,,,,18000000,0.0,,,,170500000.0,,10000000.0,,,,,,,15900000.0,0.2,,,,431300000,56000000,,98100000,-8700000.0,28000000,84800000.0,0.0,,,0.0,,-5800000.0,,,147500000.0,138800000.0,46000000,-500000.0,,,333200000,,,,0.2,52100000,28000000,28000000,,,,,0.0,,,,51100000,0.0,,,
2007-03-31,138800000.0,73500000.0,6600000.0,-200000,331000000.0,111600000.0,-35700000.0,,,-578400000.0,-141300000.0,69900000,-41600000.0,37000000.0,126100000.0,,28000000,,,712700000.0,,-177000000.0,33300000.0,9500000.0,2326300000.0,,21700000.0,43200000.0,43200000.0,1400000.0,84800000.0,0.3,83100000.0,,,492800000,79600000,,117700000,-11700000.0,41900000,43200000.0,,,73500000.0,,,30100000.0,1900800000.0,42900000.0,-225100000.0,138800000.0,70100000,,1367600000.0,1613600000.0,375100000,183700000.0,479800000.0,371400000.0,0.3,47600000,41900000,41900000,50300000.0,440000000.0,,,-115900000.0,533200000.0,258700000.0,425500000.0,47600000,0.0,,,
2007-06-30,,77400000.0,6600000.0,8400000,109200000.0,-25800000.0,10100000.0,,,-87900000.0,84900000.0,158500000,45500000.0,0.0,129200000.0,,59800000,,-54600000.0,718200000.0,66400000.0,95000000.0,31400000.0,33200000.0,2678200000.0,,26600000.0,155000000.0,88600000.0,1400000.0,43200000.0,,91500000.0,,,773700000,214700000,58600000.0,236500000,-13900000.0,98700000,88600000.0,,,,,90300000.0,-34400000.0,2147100000.0,39800000.0,-43000000.0,,156700000,,1428600000.0,1960000000.0,537200000,287900000.0,480200000.0,502700000.0,,79800000,98700000,98700000,61000000.0,617700000.0,,24600000.0,-35100000.0,718500000.0,61100000.0,531100000.0,67500000,0.0,,,
2007-09-30,139100000.0,74500000.0,17900000.0,-8800000,108700000.0,-110400000.0,-12000000.0,500000.0,,-102000000.0,119800000.0,59100000,-2200000.0,18900000.0,138100000.0,,23100000,-6100000.0,102700000.0,730000000.0,,107800000.0,33000000.0,9900000.0,2574900000.0,,28200000.0,86400000.0,86400000.0,1400000.0,88600000.0,0.26,91300000.0,,,451200000,77800000,-28600000.0,117000000,-12100000.0,36000000,86400000.0,-8400000.0,,74500000.0,-500000.0,117200000.0,7800000.0,2009700000.0,42300000.0,74100000.0,139800000.0,67900000,-8000000.0,1375100000.0,1844900000.0,334200000,193000000.0,484400000.0,374200000.0,0.26,49100000,36000000,36000000,59600000.0,532700000.0,,,-102000000.0,634600000.0,93700000.0,565200000.0,49100000,6000000.0,,,
2007-12-31,139300000.0,77700000.0,17800000.0,17100000,426000000.0,302500000.0,-24800000.0,8800000.0,,302000000.0,-272500000.0,47300000,17800000.0,9800000.0,145800000.0,,18400000,0.0,-308200000.0,742500000.0,,-297300000.0,31800000.0,10300000.0,2911300000.0,,34200000.0,104200000.0,104200000.0,1400000.0,86400000.0,0.21,82900000.0,,,465100000,57600000,-10500000.0,119400000,-12400000.0,28900000,104200000.0,-8400000.0,,77700000.0,100000.0,137700000.0,99200000.0,2301500000.0,54700000.0,-403200000.0,140900000.0,47300000,-7700000.0,1664700000.0,2168800000.0,345700000,184300000.0,487200000.0,333000000.0,0.21,72100000,28900000,28900000,59300000.0,522800000.0,,,7000000.0,636800000.0,66300000.0,609800000.0,62500000,12400000.0,,,
2008-03-31,139900000.0,78300000.0,13800000.0,13200000,38000000.0,-434300000.0,-26800000.0,4500000.0,,-428900000.0,612200000.0,48400000,165600000.0,109200000.0,154700000.0,,18900000,0.0,-166000000.0,749600000.0,,585400000.0,31700000.0,17400000.0,3237000000.0,,31800000.0,269800000.0,269800000.0,1400000.0,104200000.0,0.21,111500000.0,,,498800000,65800000,724500000.0,115700000,-13400000.0,29500000,269800000.0,-8400000.0,,78300000.0,-1500000.0,158800000.0,-617900000.0,2596200000.0,65200000.0,1182900000.0,141300000.0,48400000,300000.0,1987900000.0,2487400000.0,383100000,172200000.0,484900000.0,381200000.0,0.21,67300000,29500000,29500000,60300000.0,482800000.0,,,-40000000.0,608300000.0,140500000.0,640800000.0,60000000,13400000.0,,,
2008-06-30,,82600000.0,8400000.0,-22900000,0.0,-78200000.0,17100000.0,,,1400000.0,22500000.0,171100000,-71500000.0,0.0,157400000.0,,73300000,,458500000.0,754400000.0,33700000.0,39600000.0,30100000.0,13900000.0,2833600000.0,,28700000.0,232000000.0,198300000.0,1400000.0,269800000.0,,89900000.0,,,792400000,242900000,-687600000.0,249000000,-14700000.0,97800000,198300000.0,-8400000.0,,,0.0,248200000.0,517900000.0,2087800000.0,60900000.0,-640500000.0,,202000000,400000.0,1525400000.0,2079200000.0,543400000,252600000.0,484300000.0,415400000.0,,47000000,97800000,97800000,53600000.0,447900000.0,,25500000.0,-171600000.0,562400000.0,61900000.0,745800000.0,72700000,-37900000.0,,,
