,trailingCapitalExpenditure,trailingDeferredIncomeTax,quarterlySaleOfInvestment,annualDeferredIncomeTax,annualChangesInAccountReceivables,quarterlyGrossPPE,annualInterestExpense,trailingBeginningCashPosition,quarterlyIncomeTaxPayable,trailingInterestExpense,trailingChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,annualSellingGeneralAndAdministration,annualAccumulatedDepreciation,annualRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,trailingOperatingExpense,trailingNetIncomeContinuousOperations,trailingChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyStockholdersEquity,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyNetOtherInvestingChanges,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualTaxProvision,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyChangeInInventory,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,annualRepaymentOfDebt,annualCapitalExpenditure,trailingGrossProfit,quarterlyOtherNonCashItems,annualCostOfRevenue,annualTotalRevenue,quarterlyDilutedEPS,annualCapitalStock,quarterlySellingGeneralAndAdministration,quarterlyPretaxIncome,trailingCostOfRevenue,trailingFreeCashFlow,quarterlyRepaymentOfDebt,quarterlyPurchaseOfBusiness,annualFreeCashFlow,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualInventory,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,trailingTaxProvision,annualGrossProfit,annualTotalNonCurrentAssets,annualOtherCurrentAssets,annualBasicEPS,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyTotalRevenue,annualPurchaseOfBusiness,quarterlyOperatingIncome,annualChangeInInventory,trailingNetIncome,annualTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,trailingOtherNonCashItems,annualBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,annualInvestingCashFlow,annualLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualCashDividendsPaid,annualPretaxIncome,trailingCashDividendsPaid,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,annualIncomeTaxPayable,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualDilutedEPS,quarterlyResearchAndDevelopment,annualOtherNonCashItems,quarterlyCommonStockIssuance,annualDepreciationAndAmortization,trailingChangeInInventory,annualBasicAverageShares,quarterlyGoodwill,quarterlyAccountsReceivable,annualStockholdersEquity,quarterlyCurrentAccruedExpenses,annualGoodwill,annualTotalAssets,quarterlyCostOfRevenue,annualCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,trailingChangeInWorkingCapital,quarterlyInventory,quarterlyLongTermDebt,annualRetainedEarnings,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,annualPurchaseOfInvestment,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualOperatingIncome,quarterlyOperatingExpense,trailingTotalRevenue,trailingOtherIncomeExpense,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,annualCommonStockIssuance,annualEndCashPosition,quarterlyCashDividendsPaid,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,annualOtherIncomeExpense,annualCurrentLiabilities,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,annualNetPPE,quarterlyCashAndCashEquivalents,trailingNetOtherInvestingChanges,annualEbitda,quarterlyCurrentDebt,annualDilutedAverageShares,annualGrossPPE,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualNetOtherInvestingChanges,annualOtherNonCurrentLiabilities,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,trailingPretaxIncome,annualInvestmentsAndAdvances,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyStockBasedCompensation,trailingPurchaseOfBusiness,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingStockBasedCompensation,annualChangeInAccountPayable,annualNonCurrentDeferredRevenue,trailingRepaymentOfDebt,trailingBasicAverageShares,trailingSaleOfInvestment,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingBasicEPS,trailingPurchaseOfInvestment,annualStockBasedCompensation,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingChangeInAccountPayable
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
796608000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229200000.0,,,,,,,,,,,,,,,,,0.125326,,,,,,,,,,,397364684.0,,,,,,,,,,,,,,229200000.0,,229200000.0,,,,,,,,,,,,,,,,,,49800000.0,49800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800000.0,,,,,0.125326,,,,,397364684.0,,,,,,,,,,,,,,,,,,,,,
804470400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229200000.0,,,,,,,,,,,,,,,,,0.125326,,,,,,,,,,,397364684.0,,,,,,,,,,,,,,229200000.0,,229200000.0,,,,,,,,,,,,,,,,,,49800000.0,49800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800000.0,,,,,0.125326,,,,,397364684.0,,,,,,,,,,,,,,,,,,,,,
812419200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229200000.0,,,,,,,,,,,,,,,,,0.125326,,,,,,,,,,,397364684.0,,,,,,,,,,,,,,229200000.0,,229200000.0,,,,,,,,,,,,,,,,,,49800000.0,49800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49800000.0,,,,,0.125326,,,,,397364684.0,,,,,,,,,,,,,,,,,,,,,
820368000,,,,,,,,,,,,,,,,,,,,,,,,,,,217800000.0,,,,241300000.0,,,,,,,,,,,,,,,,928800000.0,,,,,,,,,,,,,,,,,,,,,,0.545826,,,,241300000.0,,241300000.0,,,,,217800000.0,,,,,217800000.0,,,,,,,,68400000.0,68400000.0,,,,,,,,,0.545826,,,,,,399028024.0,,,,,,,,,,,,,,,,,,,,,,,,928800000.0,,,,,,,,,,,,,,,,,,,,,,928800000.0,,399028024.0,,,,,,,,,68400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828230400,,,,,,,,,,,,,,,,,,21900000.0,23300000.0,-1200000.0,,,,,,,,,,949300000.0,82400000.0,,42500000.0,0.0,27900000.0,,,101700000.0,,,,,,,-48300000.0,,,0.10059,,19300000.0,75400000.0,,,,,,432200000.0,100600000.0,488118393.0,159000000.0,,26300000.0,683600000.0,783200000.0,,,,,,,,-14600000.0,196400000.0,,72100000.0,,,,,,,,-17400000.0,,,,,,23100000.0,11400000.0,,,49100000.0,49100000.0,,,,,,,6200000.0,50400000.0,,,,,,,,,,,,,,94700000.0,,8400000.0,,97100000.0,113100000.0,,,,,39700000.0,,,,,,,,29600000.0,,,,,,,,,-52200000.0,,10300000.0,,219600000.0,,,,242700000.0,,242700000.0,,,26900000.0,,,,,3100000.0,,,,803000000.0,49100000.0,,,1235200000.0,100000.0,0.10059,19800000.0,259600000.0,-3200000.0,,488118393.0,,,,,,,,,,,,,,,,,,,,,
836092800,,,,,,1674500000.0,,,,,,,,,,,,16200000.0,26500000.0,-2600000.0,,,,,,,,,,970500000.0,74500000.0,,-42600000.0,0.0,-37400000.0,,,90500000.0,,,,,,,45800000.0,,,0.092345,,16100000.0,67000000.0,,,,,,425000000.0,106800000.0,489467571.0,153500000.0,,21800000.0,704700000.0,811400000.0,,,,,,,,-37300000.0,173200000.0,,64100000.0,,,,,,,,-34300000.0,-863100000.0,,,,,-5000000.0,67200000.0,,,45200000.0,45200000.0,,,,,,,2700000.0,53400000.0,,,,,,,,,,,,,,82700000.0,,7500000.0,,108500000.0,105400000.0,,,,,45400000.0,,,,,,,,26400000.0,,,,,,,,,-24000000.0,,10400000.0,,0.0,,,,237700000.0,,237700000.0,,,26900000.0,,,,,3200000.0,,,,830800000.0,45200000.0,,,1255800000.0,-10300000.0,0.092345,19400000.0,260300000.0,29900000.0,,489467571.0,,,,,,,,,,,,,,,,,,,,,
844041600,,,,,,1707300000.0,,,,,,,,,,,,17100000.0,37400000.0,-3500000.0,,,,,,,,,,986000000.0,64700000.0,,41600000.0,0.0,-43200000.0,,,80600000.0,,,,,,,-28600000.0,,,0.077504,,15900000.0,57000000.0,,,,,,419800000.0,126200000.0,489006766.0,149800000.0,,19100000.0,720200000.0,844200000.0,,,,,,,,-42300000.0,180500000.0,,54100000.0,,,,,,,,-31600000.0,-863100000.0,,,,,-20100000.0,54500000.0,,,37900000.0,37900000.0,,,,,,,4600000.0,61800000.0,,,,,,,,,,,,,,99900000.0,,7000000.0,,108200000.0,99500000.0,,,,,45700000.0,,,,,,,,26500000.0,,,,,,,,,-22500000.0,,10600000.0,,0.0,,,,217600000.0,,217600000.0,,,27000000.0,,,,,3200000.0,,,,865000000.0,37900000.0,,,1284800000.0,10300000.0,0.077504,20800000.0,276000000.0,12200000.0,,489006766.0,,,,,,,,,,,,,,,,,,,,,
851990400,,,,12000000.0,,1739500000.0,12500000.0,,,,,,,68000000.0,-883700000.0,,,21600000.0,33800000.0,,20900000.0,403100000.0,,,,,180500000.0,47800000.0,,1015000000.0,68700000.0,-18300000.0,-41600000.0,0.0,-26700000.0,80200000.0,,84900000.0,,,-46400000.0,,-120800000.0,,13700000.0,394700000.0,753000000.0,,,16200000.0,61300000.0,,,,,38000000.0,403100000.0,105300000.0,,137100000.0,118700000.0,13000000.0,749300000.0,855800000.0,,358300000.0,876700000.0,21600000.0,0.37103,,-56500000.0,-26600000.0,202900000.0,,58400000.0,-15000000.0,,242400000.0,23700000.0,180500000.0,,219600000.0,-44300000.0,-883700000.0,180500000.0,,109600000.0,,-44400000.0,25700000.0,-79400000.0,82900000.0,48300000.0,48300000.0,-122000000.0,260700000.0,,41500000.0,49400000.0,,4800000.0,47800000.0,0.37103,,-17400000.0,,41600000.0,,486318519.0,,,1015000000.0,,,1279800000.0,118000000.0,-127600000.0,6700000.0,,118700000.0,82900000.0,749300000.0,,,,49400000.0,,,158800000.0,,137100000.0,33800000.0,248700000.0,26500000.0,,,,173200000.0,,,,0.0,-23300000.0,,10300000.0,,0.0,29700000.0,105300000.0,,173200000.0,855800000.0,173200000.0,,290300000.0,23700000.0,488833683.0,1739500000.0,173200000.0,,2900000.0,-100000.0,4800000.0,,876700000.0,48300000.0,,,1279800000.0,-18400000.0,,20900000.0,242400000.0,-900000.0,,,,,,,,,,,,,,,,,,,,,,,
859766400,,,1000000.0,,,1766100000.0,,,,,,-6300000.0,-1600000.0,,,,,82500000.0,28800000.0,,,,,,,,,,,1046800000.0,86800000.0,,0.0,0.0,-28100000.0,,,105200000.0,7800000.0,,,,,,,,,0.115432,,18400000.0,75600000.0,,,,,,463400000.0,93400000.0,483403371.0,195600000.0,,19800000.0,780800000.0,874200000.0,,,,,,,,-29100000.0,214800000.0,,75300000.0,,,,,,,,-31700000.0,-891900000.0,,,,,600000.0,60200000.0,,,55800000.0,55800000.0,,,,,,,69300000.0,40900000.0,,,,,,,,,,,,,,109600000.0,,4200000.0,,110800000.0,77900000.0,,,,,48400000.0,,,,,,,,29900000.0,,,,,,,,,-24100000.0,,11500000.0,,173200000.0,,,,173900000.0,,173900000.0,,,23700000.0,,,,,2400000.0,,,,894600000.0,55800000.0,,,1358000000.0,-2600000.0,0.115432,20400000.0,289000000.0,31100000.0,,483403371.0,,,,,,,,,,,,,,,,,,,,,
