date,annualNetIncome,annualNonCurrentDeferredRevenue,annualGoodwill,annualTotalAssets,annualPretaxIncome,quarterlyTotalAssets,trailingNetIncome,annualLongTermDebt,annualAccountsReceivable,annualCashDividendsPaid,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,annualSaleOfInvestment,annualCommonStockIssuance,annualStockholdersEquity,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,annualOperatingIncome,annualDepreciationAndAmortization,annualTotalRevenue,annualPurchaseOfInvestment,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualInvestingCashFlow,quarterlyGoodwill,annualCashFlowFromContinuingFinancingActivities,quarterlyNetIncomeCommonStockholders,annualEndCashPosition,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTotalRevenue,annualAccountsPayable,quarterlyCashDividendsPaid,annualNetPPE,quarterlyCurrentDebt,annualOperatingCashFlow,quarterlyCashAndCashEquivalents,annualOtherIntangibleAssets,quarterlyInterestExpense,annualOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,annualInvestmentsAndAdvances,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,annualRepurchaseOfCapitalStock,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualGainsLossesNotAffectingRetainedEarnings,trailingPretaxIncome,annualInterestExpense,annualBeginningCashPosition,annualGrossPPE,quarterlyRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,annualRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,annualCapitalExpenditure,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualCurrentDebt,annualTaxProvision,quarterlyRepaymentOfDebt,quarterlyNetPPE,annualCurrentDeferredRevenue,quarterlyTaxProvision,annualCapitalStock,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,annualNetOtherFinancingCharges,trailingTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,trailingNetIncomeContinuousOperations,annualChangeInWorkingCapital,quarterlyRetainedEarnings,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,trailingSellingGeneralAndAdministration,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyOperatingIncome,annualDilutedEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingInvestingCashFlow,trailingChangeInAccountPayable,annualOtherNonCurrentAssets,trailingOtherNonCashItems,quarterlyTotalNonCurrentAssets,annualOperatingExpense,trailingCashDividendsPaid,trailingChangeInWorkingCapital,quarterlyCurrentLiabilities,annualCostOfRevenue,quarterlyGrossProfit,trailingBasicAverageShares,annualEbitda,trailingOperatingIncome,quarterlyResearchAndDevelopment,annualChangeInInventory,quarterlyBasicAverageShares,trailingOperatingCashFlow,trailingPurchaseOfBusiness,quarterlyOperatingExpense,quarterlyChangesInAccountReceivables,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,trailingNetOtherFinancingCharges,annualInventory,quarterlyOtherIncomeExpense,annualStockBasedCompensation,annualTotalNonCurrentAssets,trailingDeferredIncomeTax,annualDilutedAverageShares,trailingResearchAndDevelopment,quarterlyBasicEPS,quarterlyChangeInAccountPayable,annualChangeInAccountPayable,trailingSaleOfInvestment,annualCurrentAssets,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingFreeCashFlow,quarterlyCurrentAssets,quarterlyEbitda,trailingNetOtherInvestingChanges,quarterlyCostOfRevenue,trailingRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,annualAccumulatedDepreciation,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,annualBasicEPS,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyOtherNonCurrentAssets,annualChangesInAccountReceivables,quarterlyOtherCurrentAssets,annualOtherIncomeExpense,trailingDilutedAverageShares,annualOtherNonCurrentLiabilities,annualGrossProfit,trailingCommonStockIssuance,trailingOperatingExpense,quarterlyAccumulatedDepreciation,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,annualOtherCurrentAssets,trailingCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyDilutedAverageShares,annualBasicAverageShares,trailingStockBasedCompensation,trailingCostOfRevenue,annualOtherCurrentLiabilities,trailingInterestExpense,trailingRepurchaseOfCapitalStock,trailingGrossProfit,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBeginningCashPosition,quarterlyChangeInInventory,annualCurrentLiabilities,trailingBasicEPS
1997-03-31,,,,,,242598998015.0,5231000000.0,,,,490259209.0,,,,,,,,,92008731100.0,,,,,790949225.0,,409052215.0,409052215.0,,,,409052215.0,,0.0,0.0,,18584000000.0,,,,138778873431.0,,1862416028.0,,1720519306.0,,,,,224078544756.0,,,0.0,,,,,,6650000000.0,,,,,,,,,,,,,0.0,,,5231000000.0,,,18291832295.0,,,,,829052719.0,,158793294.0,,,,,2039000000.0,,,,,,,,567845509.0,4610000000.0,,,,0.0,6250438535.0,,,,8549000000.0,,,574224827.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,256575709010.0,,,,,483269324.0,,,,,,,,,97859286209.0,,,,,898184978.0,,475546247.0,475546247.0,,,,475546247.0,,0.0,0.0,,,,,,146960923126.0,,1682743076.0,,1785451123.0,,,,,235809331438.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,20562293043.0,,,,,836577904.0,,190946421.0,,,,,,,,,,,,,666492668.0,,,,,0.0,6621340119.0,,,,,,,672262783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-09-30,,,,,,266576337580.0,,,,,483948808.0,,,,,,,,,100421091232.0,,,,,890786876.0,,462664440.0,462664440.0,,,,462664440.0,,0.0,0.0,,,,,,152895175272.0,,2379249628.0,,1792486500.0,,,,,244145409536.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,22220248876.0,,,,,851825660.0,,177129232.0,,,,,,,,,,,,,639793672.0,,,,,0.0,6617093560.0,,,,,,,653772812.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,1841998158.0,,,278392357971.0,2491724781.0,278392357971.0,,36975508479.0,3143815038.0,-243636120.0,36975508479.0,4102723170.0,,,3143815038.0,75864015045.0,,20694342942.0,-14359258368.0,125054329491.0,2526815655.0,344181474.0,26566427979.0,-83434916565.0,862279257.0,,499459590.0,499459590.0,-7570901520.0,,3239360397.0,499459590.0,3913359723.0,3913359723.0,-7570901520.0,,,4102723170.0,,2418179400.0,94971268665.0,6619175199.0,2411452134.0,,2010834525.0,,,,,257513106123.0,,125054329491.0,6619175199.0,,,0.0,2411452134.0,,,7289538165.0,1954634409.0,,,3433178385.0,,1841998158.0,,4102723170.0,,,,0.0,,,,,4102723170.0,20694342942.0,2287634076.0,94971268665.0,649726623.0,,2418179400.0,,124561899.0,,,,-90909.0,,257513106123.0,,,,6619175199.0,,,624021489.0,,23074886016.0,,,6619175199.0,7149041767.0,,1841998158.0,,,,,632777467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-03-31,,,,,,409111905312.0,,,,,476604183.0,,,,,,,,,145294173310.0,,,,,1252559990.0,,865742724.0,865742724.0,,,,865742724.0,,0.0,0.0,,,,,,261084569966.0,,1936221903.0,,3423602072.0,,,,,380784457977.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,28065050409.0,,,,,1443183093.0,,224420867.0,,,,,,,,,,,,,1090163591.0,,,,,0.0,10302746960.0,,,,,,,1103441284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,,407654159025.0,,,,,478052675.0,,,,,,,,,149269739200.0,,,,,1264576375.0,,850913725.0,850913725.0,,,,850913725.0,,0.0,0.0,,,,,,258935878950.0,,2087347925.0,,3481706175.0,,,,,378269174575.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,29040265575.0,,,,,1438711775.0,,244900675.0,,,,,,,,,,,,,1095814400.0,,,,,0.0,8674165150.0,,,,,,,1105559425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-09-30,,,,,,399865904746.0,,,,,479594808.0,,,,,,,,,141259508544.0,,,,,1130255280.0,,459399556.0,459399556.0,,,,459399556.0,,0.0,0.0,,,,,,256374651148.0,,1924658428.0,,3416391748.0,,,,,375421503842.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,24140369022.0,,,,,1443196832.0,,158083002.0,,,,,,,,,,,,,617482558.0,,,,,0.0,7281746010.0,,,,,,,627325622.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,2654160048.0,,,392703477048.0,3437925120.0,392703477048.0,,35979949818.0,,,35979949818.0,,,,,,,28913785866.0,,158605162452.0,3484395090.0,,37289038716.0,,1269898710.0,,470018088.0,470018088.0,0.0,,,470018088.0,0.0,0.0,0.0,,,,,9602145324.0,161636965614.0,0.0,2324692224.0,,3518382760.0,,,,,363171939012.0,,158605162452.0,0.0,,,,2324692224.0,,,13872522402.0,0.0,,,4929227460.0,,2654160048.0,,,,,,0.0,,,,,,28913785866.0,,161636965614.0,783765072.0,,9602145324.0,,154233246.0,,,,,,363171939012.0,,,,0.0,,,624251334.0,,,,,0.0,10938053286.0,,2654160048.0,,,,,637458536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-03-31,,,,,,423968216000.0,,,,,484906680.0,,,,,,,,,159584460480.0,,,,,1338602540.0,,775664900.0,775664900.0,,,,775664900.0,,0.0,0.0,,,,,,258622469640.0,,4470988220.0,,3385986300.0,,,,,393125550120.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,30091153420.0,,,,,1753838720.0,,231306060.0,,,,,,,,,,,,,1006970960.0,,,,,0.0,9974957720.0,,,,,,,1025549760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,,,,,444759279900.0,,,,,483915900.0,,,,,,,,,166974167100.0,,,,,1353225900.0,,2533555700.0,2533555700.0,,,,2533555700.0,,0.0,0.0,,,,,,270079162600.0,,7917482300.0,,2941165500.0,,,,,411677204900.0,,,0.0,,,,,,,,,,,,,,,,482950000.0,,,0.0,,,,,,32259128200.0,,,,,1803335300.0,,285906400.0,,,,,,,,,,,,,2819462100.0,,,,,0.0,12100795200.0,,,,,,,2836848300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
