date,quarterlyDilutedEPS,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualEbitda,annualRepaymentOfDebt,annualGrossPPE,annualOtherCurrentLiabilities,annualNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,annualInterestExpense,quarterlyOperatingExpense,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyCashAndCashEquivalents,annualCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,trailingGrossProfit,trailingCapitalExpenditure,annualTotalNonCurrentAssets,annualCapitalExpenditure,quarterlySaleOfInvestment,annualSellingGeneralAndAdministration,annualDilutedAverageShares,trailingInterestExpense,quarterlyNetOtherInvestingChanges,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,annualOtherNonCashItems,quarterlyEbitda,trailingNetOtherFinancingCharges,trailingTaxProvision,annualInventory,annualOperatingExpense,annualNetOtherFinancingCharges,annualPurchaseOfBusiness,annualCurrentDebt,annualCostOfRevenue,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyOtherCurrentLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyChangeInCashSupplementalAsReported,annualGrossProfit,quarterlyOperatingCashFlow,quarterlyTaxProvision,annualNonCurrentDeferredTaxesLiabilities,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncome,quarterlyPurchaseOfBusiness,trailingCashDividendsPaid,annualChangeInInventory,quarterlyCurrentAssets,annualBasicAverageShares,quarterlyCurrentLiabilities,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,trailingNetIncomeContinuousOperations,trailingBeginningCashPosition,trailingOperatingExpense,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyNonCurrentDeferredRevenue,trailingCostOfRevenue,quarterlyPretaxIncome,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,annualChangeInWorkingCapital,quarterlyAccountsReceivable,quarterlyGoodwill,annualRetainedEarnings,annualNetOtherInvestingChanges,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,annualGoodwill,annualFreeCashFlow,quarterlyDilutedAverageShares,annualCommonStockIssuance,annualOtherShortTermInvestments,annualPretaxIncome,annualCashDividendsPaid,annualBasicEPS,quarterlyTotalNonCurrentAssets,annualNetIncome,annualTotalRevenue,annualAccountsPayable,trailingInvestingCashFlow,trailingOperatingIncome,annualAccountsReceivable,trailingResearchAndDevelopment,annualPurchaseOfInvestment,annualOtherCurrentAssets,quarterlyLongTermDebt,annualInvestingCashFlow,quarterlyNetIncome,trailingSaleOfInvestment,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,annualEndCashPosition,annualTaxProvision,annualTotalAssets,trailingPurchaseOfInvestment,annualStockholdersEquity,annualOperatingIncome,annualLongTermDebt,annualNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyBasicAverageShares,annualDepreciationAndAmortization,annualCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualSaleOfInvestment,trailingEndCashPosition,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,annualDilutedEPS,quarterlyInventory,quarterlyNetOtherFinancingCharges,annualOperatingCashFlow,annualCurrentAssets,quarterlyCashDividendsPaid,annualNetPPE,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualCurrentDeferredRevenue,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualStockBasedCompensation,trailingCashFlowFromContinuingFinancingActivities,annualDeferredIncomeTax,trailingOtherNonCashItems,annualInvestmentsAndAdvances,trailingRepurchaseOfCapitalStock,annualIncomeTaxPayable,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingDilutedEPS,annualCashFlowFromContinuingFinancingActivities,annualGainsLossesNotAffectingRetainedEarnings,annualRepurchaseOfCapitalStock,trailingBasicEPS,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,annualOtherIncomeExpense,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingOperatingCashFlow,trailingBasicAverageShares,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyAccumulatedDepreciation,annualAccumulatedDepreciation
1993-12-31,,3908151333.38,-1230229035.68,26372623.91,,,,19870022.11,,,,2946806.02,,,,,,,,,25624122538.97,-2304380814.66,,,,6564212.59,,1282692615.84,,,,-42454608638.66,,,,,19870022.11,,,,,,-202707565.34,1048713919.74,,6649444.95,,,,193762965.05,,,,2029905269.5,,17356856633.68,,32824889.06,,,,,,3908151333.38,,-2608865386.66,,,,,,-639464697.94,4543445317.12,15570113912.9,18545582628.64,,,,156475688158.33,,-584136995.22,,,,,,,,,,,,,,,,23425817.89,,,,19870022.11,226587854.11,,-2545622666.61,7078539910.33,,1164643053.39,,,,,,1278785327.82,,,,,3555795.78,,-1056938327.47,,26175444.11,,,,,182099810697.3,,,,,,,,,,14118093686.07,,,,,,,,,,,,,,,,5592159236.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-30,,,,,,,,,,182558215.68,,,,,,,,,,,,,,,,,,,,57966600.0,,,,,182584263.32,,,,,,,,,,,,,,,,,,113912046.15,,178621348.25,,,,,,,6823397.45,,,,,,182584263.32,,113912046.15,,,,,,,178621348.25,,,,,,,,,,,,,,373519530.94,,,,,,,,,190935267.62,,,,,,,,,,,,,,77049269.11,,,,,,,,,,,,77049269.11,,,,,,,12313919.37,,,,,,,,190961315.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,28141316.28,,222308020.0,130856340.0,20599933.38,,196596730.0,,3941968.87,,,94303330.0,,,57966600.0,,,,,232648350.0,,,8376393.1,,,,57966600.0,,,,,189108050.0,,20599933.38,,,,,,,,,9079804.38,,,,205824850.43,,,130856340.0,,222308020.0,,,35609308.47,,,,16479950.0,225159670.0,,,,,189108050.0,,130856340.0,,,,,,,222308020.0,,,,,,,,,,,16479950.0,,,421756400.0,,,,,,24199347.41,,0.075007,232648350.0,20599933.38,241434158.9,,,,,,,189108050.0,,,,,94303330.0,,,,3599414.03,421756400.0,,196596730.0,26529504.09,,,,94303330.0,,,,,,130856340.0,10340330.0,,,,,,,,225159670.0,,0.075007,,,,189108050.0,,222308020.0,10340330.0,,94303330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,,,,,,192567391.79,76352.95,,,,,,,,,,,,,,,,,,,57966600.0,,,,,179569575.15,,,,,,,,,,,,,,,,,,118977133.37,,226075415.36,,,,,,,8649816.88,,,,,,179569575.15,,118977133.37,,,,,,,226075415.36,,,,,,,,,,,,,,423448115.95,,,,,,,,,243878540.8,,,,,,,,,,,,,,111903590.79,,,,,,,,,,,,111903590.79,,,,,,,17726772.49,,,,,,,,230880724.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,,,,30505331.47,,203046317.36,10526700.0,18348129.97,,182954488.78,338717.65,8935718.45,,,0.0,,30570525.2,57966600.0,30570525.2,,,,240175060.59,,,14890421.98,,,,57966600.0,,,,36634896.51,-240168.02,,18348129.97,,,,,,,,73000538.38,15615769.71,,,92610000.0,291900910.53,,,10526700.0,,203046317.36,,,45595514.24,,,,37661.88,266878465.82,,,,,209657894.01,,166220496.9,,,,,,,203046317.36,,,,,,0.0,,,80056006.83,,37661.88,,,449832954.6,,,,,0.0,21569613.02,,0.066808,240175060.59,18348129.97,337496424.77,36634896.51,,,80056006.83,,,-240168.02,100657968.92,,,,0.0,,,,3221483.05,449832954.6,,182954488.78,29979744.53,100657968.92,,,100657968.92,,30570525.2,92610000.0,,,166220496.9,35929745.58,,,,,,,,266878465.82,,0.066808,73000538.38,,,209657894.01,,203046317.36,35929745.58,338717.65,100657968.92,,30570525.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,,,,,,193396257.88,,,,,,,,,,,,,,,,,,,,57966600.0,,,,,218692921.87,,,,,,,,,,,,,,,,,,187135784.07,,214785500.3,,,,,,,10479430.98,,,,,,218692921.87,,187135784.07,,,,,,,214785500.3,,,,,,,,,,,,,,474401809.36,,,,,,,,,255708887.49,,,,,,,,,,,,,,93869767.41,,,,,,,,,,,,93869767.41,,,,,,,40923387.19,,,,,,,,281005551.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,29818575.36,,223558529.18,64712492.14,15209910.77,,189121609.95,301082.35,11961330.64,,,0.0,,36236426.67,57966600.0,36236426.67,,,,257625622.48,,,19821414.71,,,,57966600.0,,,,56778193.61,-270418.91,,15209910.77,,,,,,,,98991841.98,20820292.54,,,123610000.0,270366923.01,,,64712492.14,,223558529.18,,,50581108.73,,,,120818.74,312953064.71,,,,,244449052.18,,279280515.57,,,,,,,223558529.18,,,,,,0.0,,,90139638.2,,120818.74,,,502074674.66,,,,,0.0,17857244.72,,0.055381,257625622.48,15209910.77,320948031.74,56778193.61,,,90139638.2,,,-270418.91,33672549.14,,,,0.0,,,,2647333.95,502074674.66,,189121609.95,29760816.19,33672549.14,,,33672549.14,,36236426.67,123610000.0,,,279280515.57,33405730.95,,,,,,,,312953064.71,,0.055381,98991841.98,,,244449052.18,,223558529.18,33405730.95,301082.35,33672549.14,,36236426.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,,,,,,263750768.89,,,,,,,,,,,,,,,,,,,,113034870.0,,,,,259504030.07,,,,,,,,,,,,,,,,,,168101098.1,,221655206.38,,,,,,,6930522.81,,,,,,259504030.07,,168101098.1,,,,,,,221655206.38,,,,,,,,,,,,,,516276329.75,,,,,,,,,256772299.68,,,,,,,,,,,,,,84424462.76,,,,,,,,,,,,84424462.76,,,,,,,35117093.3,,,,,,,,252525560.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,50569145.87,,217738071.54,36786230.47,28686747.39,,285597812.21,263447.05,20893287.2,,,0.0,,63198041.7,113034870.0,63198041.7,,,,253558889.54,,,18820499.8,,,,113034870.0,,,,62205489.11,-340237.21,,28686747.39,,,,,,,,125307161.68,20444283.6,,,159020000.0,291772549.82,,,36786230.47,,217738071.54,,,71723781.93,,,,17332867.17,306945325.45,,,,,338984248.12,,285403126.57,,,,,,,217738071.54,,,,,,0.0,,,113412404.28,,17332867.17,,,592543137.66,,,,,0.0,29675858.67,,0.080348,253558889.54,28686747.39,363496331.75,62205489.11,,,113412404.28,,,-340237.21,21542198.88,,,,0.0,,,,989111.28,592543137.66,,285597812.21,51279498.33,21542198.88,,,21542198.88,,63198041.7,159020000.0,,,285403126.57,35197090.95,,,,,,,,306945325.45,,0.080348,125307161.68,,,338984248.12,,217738071.54,35197090.95,263447.05,21542198.88,,63198041.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,194728043.8,-1445932707.5,419961939.54,1000000.0,78734414.8,200640319.29,,,63728082.31,,58245558.31,333972.3,,,153034870.0,,,,,583204476.5,-169887600.2,,374411354.94,,,,,,,,,,,89826770.91,,,,74481507.61,,,,608457092.9,380497253.44,231934315.0,,983000000.0,3886702726.37,,,,,,,,529078359.98,,,,,1897796549.27,,,,-509894415.62,,,,,,,,,,,,,,,,,,-475499480.42,,,64878331.26,-85823.34,,,,-453024938.65,,263160000.0,0.0,109577518.25,-73004658.8,0.162885,,78734414.8,4415781086.35,718653807.1,,,957377567.7,,-31166477.97,-4738209.92,,-196219766.4,,,,,,258885877.6,19750747.34,2611212284.79,,597963269.01,148581106.54,15600000.0,,,,,258885877.6,,,21422443.24,1875494336.31,,,,4907556.35,,,,,,,0.162885,,,-283137338.45,2028007808.29,,419961939.54,8719302.29,96712885.73,22302212.96,,258885877.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
