date,trailingCashDividendsPaid,trailingPretaxIncome,annualNetIncome,quarterlyDilutedAverageShares,annualPretaxIncome,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,annualCashDividendsPaid,annualAccountsReceivable,annualPurchaseOfInvestment,annualLongTermDebt,quarterlyLongTermDebt,trailingPurchaseOfInvestment,annualBasicEPS,quarterlyOtherCurrentLiabilities,trailingInvestingCashFlow,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,annualGoodwill,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,annualIncomeTaxPayable,trailingChangeInWorkingCapital,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,annualOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,annualOperatingIncome,annualInvestingCashFlow,quarterlyNetIncome,trailingSaleOfInvestment,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,annualTotalAssets,trailingCommonStockIssuance,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingTotalRevenue,trailingChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,annualChangeInAccountPayable,quarterlyPurchaseOfInvestment,annualAccountsPayable,trailingOtherIncomeExpense,annualDilutedAverageShares,annualNetPPE,annualOperatingCashFlow,quarterlyOperatingExpense,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentLiabilities,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,annualOtherIntangibleAssets,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,trailingEndCashPosition,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,annualDilutedEPS,annualOtherNonCurrentAssets,annualEbitda,trailingNetOtherInvestingChanges,annualGainsLossesNotAffectingRetainedEarnings,quarterlyFreeCashFlow,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,trailingChangesInAccountReceivables,annualChangesInAccountReceivables,annualInterestExpense,trailingBeginningCashPosition,annualCurrentAssets,annualBeginningCashPosition,trailingCapitalExpenditure,annualGrossPPE,quarterlySaleOfInvestment,trailingChangeInCashSupplementalAsReported,annualDeferredIncomeTax,annualNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyCapitalStock,annualSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,annualRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,annualOtherIncomeExpense,trailingGrossProfit,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualTaxProvision,quarterlyNetOtherInvestingChanges,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualInventory,trailingCostOfRevenue,quarterlyNetPPE,trailingResearchAndDevelopment,annualCapitalStock,quarterlyTaxProvision,annualCurrentDeferredRevenue,annualTotalRevenue,annualCostOfRevenue,annualOtherCurrentAssets,trailingChangeInInventory,annualResearchAndDevelopment,quarterlyOtherNonCashItems,annualTotalNonCurrentAssets,quarterlyEbitda,annualGrossProfit,trailingDepreciationAndAmortization,quarterlyStockBasedCompensation,annualFreeCashFlow,annualStockBasedCompensation,trailingTaxProvision,annualNetOtherFinancingCharges,quarterlyChangeInWorkingCapital,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,annualPurchaseOfBusiness,annualOperatingExpense,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,quarterlyRetainedEarnings,trailingSellingGeneralAndAdministration,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingNetIncomeContinuousOperations,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,annualBasicAverageShares,quarterlyCurrentAssets,trailingNetIncome,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyGrossPPE,annualTotalLiabilitiesNetMinorityInterest,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,annualChangeInInventory,trailingPurchaseOfBusiness,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,trailingRepurchaseOfCapitalStock,trailingBasicEPS,trailingDilutedEPS,trailingDilutedAverageShares,trailingInterestExpense
1970-01-01 00:00:01.569801600,-283000000.0,1876000000.0,,,,31800000.0,100000.0,,,,,700000.0,-150000000.0,,3300000.0,9000000.0,1600000.0,26000000.0,0.0,,,,,,-669000000.0,800000.0,,,,,,,,269000000.0,,2400000.0,,,95000000.0,,,172000000.0,,,,1912000000.0,6884000000.0,-29000000.0,,,1100000.0,1500000.0,1100000.0,,,,,-65000000.0,,,,2800000.0,1951000000.0,,,,0.0,24100000.0,,,-251000000.0,,500000.0,,400000.0,,4986000000.0,6200000.0,,1000000.0,,,,,,,3000000.0,,-900000.0,,,,800000.0,100000.0,231000000.0,,,3316000000.0,,,-113000000.0,,,1630000000.0,,,,,2100000.0,0.0,25300000.0,,,,,2900000.0,,1100000.0,,4615000000.0,,-63000000.0,1629000000.0,,,-55000000.0,,25600000.0,,600000.0,,,-100000.0,,2269000000.0,900000.0,1027000000.0,,,,,,,57000000.0,,,,500000,,833000000.0,,,,247000000.0,,-1200000.0,,,,0.0,,,,,,100000.0,1637000000.0,,34000000.0,,2664000000.0,1629000000.0,4500000,-800000.0,-100000.0,,,,,5800000.0,1629000000.0,5400000.0,1799000000.0,1000000.0,,,100000,,,,,,,,,,
,,,,718895927.0,,31300000.0,,,,,,,,,2600000.0,,1600000.0,25400000.0,300000.0,,,,,,,1600000.0,,,,-700000.0,,,-700000.0,,,2900000.0,,,,,,,,-700000.0,-100000.0,,,,,-0.000974,1400000.0,1700000.0,1400000.0,,,,,,,,,3300000.0,,,,,0.0,23800000.0,,,,,0.0,,500000.0,,,6400000.0,,800000.0,,,,,,,,,300000.0,,,,1000000.0,-200000.0,,,,,,,,,,,,,,,2200000.0,,25300000.0,,,,,2600000.0,718895927.0,0.0,,,,,,,,,,24900000.0,,100000.0,,,-100000.0,,,800000.0,,,,,,,,,,,,-200000,,,,,,,,600000.0,,,,0.0,,,,,,-600000.0,,,,,,,4200000,400000.0,-100000.0,,-0.000974,,,5900000.0,,4800000.0,,900000.0,,,-700000,,,,,,,,,,
,,,,239614202.0,,,,,,,,,,,,,,,,,,,,,,,,,,-100000.0,,,-500000.0,,,,,,,,,,,-500000.0,,,,,,-0.002087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239614202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5500000,,,,,,,,,,,,,,,,,,,,,,,,,5500000,,,,-0.002087,,,,,,,,,,5500000,,,,,,,,,,
,,,-1400000.0,,-200000.0,34600000.0,,,,,,,,-0.006121,2400000.0,,,24200000.0,,,,,,,,400000.0,29000000.0,-700000.0,,-100000.0,-100000.0,300000.0,-500000.0,,-1300000.0,,,34600000.0,,300000.0,1700000.0,,0.0,-500000.0,,,,,,,1900000.0,900000.0,1900000.0,,,,2500000.0,,228737388.0,600000.0,0.0,,,400000.0,5200000.0,300000.0,,23200000.0,,,,23200000.0,,,,,,5600000.0,,400000.0,,,,-0.006121,400000.0,1600000.0,,,,600000.0,1900000.0,1900000.0,800000.0,,,,,,10400000.0,1100000.0,,900000.0,,,,-1400000.0,,,2500000.0,,25200000.0,9700000.0,,,,,,,-1200000.0,,2400000.0,,,700000.0,-300000.0,,,29000000.0,100000.0,,300000.0,,-300000.0,900000.0,,600000.0,,25200000.0,,,21100000.0,9800000.0,800000.0,,,,24200000.0,-15600000,11300000.0,,,-300000.0,,,0.0,,,-300000.0,,,,11400000.0,,-600000.0,-300000.0,-1300000.0,,,,,,,5600000,,,,,,228737388.0,10400000.0,,5200000.0,,900000.0,5600000.0,,-15600000,600000.0,,,,,,,,,
,,,,808766570.0,,33500000.0,,,,,,,,,1800000.0,,3100000.0,23800000.0,3200000.0,,,,,,,400000.0,,,,-900000.0,,,-900000.0,,,2500000.0,,,,,,,,-900000.0,,,,,,-0.001113,5000000.0,800000.0,5000000.0,,,,,,,,,2900000.0,,,,100000.0,0.0,22900000.0,,,,,-100000.0,,400000.0,,,5400000.0,,300000.0,,0.0,,,,,,,3300000.0,,,,1100000.0,100000.0,,,,,,,,,,,,,,,3100000.0,,25200000.0,,,,,1900000.0,808766570.0,1900000.0,,,,,,,,,,28100000.0,,0.0,,,-300000.0,,,600000.0,,,,,,,,,,100000.0,,-600000,,,,,,,,-1200000.0,,,,-100000.0,,,,,,-2200000.0,,,,,,,5000000,3400000.0,-100000.0,,-0.001113,,,9700000.0,,5000000.0,,900000.0,,,-1000000,,,,,,,,,,
,,,,808766570.0,,34600000.0,,,,,,,,,2700000.0,,3700000.0,23500000.0,-4400000.0,,,,,,,400000.0,,,,500000.0,,,500000.0,,,3300000.0,,,,,,,,500000.0,,,,,,-0.000556,600000.0,1600000.0,600000.0,,,,,,,,,3700000.0,,,,,0.0,22600000.0,,,,,-100000.0,,400000.0,,,6200000.0,,300000.0,,3500000.0,,,,,,,-7500000.0,,,,2700000.0,-800000.0,,,,,,,,,,,,,,,3100000.0,,25200000.0,,,,,4200000.0,808766570.0,0.0,,,,,,,,,,28400000.0,,0.0,,,-300000.0,,,600000.0,,,,,,,,,,0.0,,900000,,,,,,,,-3300000.0,,,,3300000.0,,,,,,-1700000.0,,,,,,,7900000,-7400000.0,-100000.0,,-0.000556,,,11100000.0,,5800000.0,,900000.0,,,500000,,,,,,,,,,
,,,,269578762.0,,35600000.0,,,,,,,,,2900000.0,,5000000.0,23500000.0,-600000.0,,,,,,,400000.0,,,,400000.0,,,400000.0,,,3600000.0,,,,,,,,-600000.0,0.0,,,,,-0.002226,100000.0,2300000.0,100000.0,,,,,,,,,3900000.0,,,,900000.0,0.0,22300000.0,,,,,-300000.0,,200000.0,,,6800000.0,,400000.0,,100000.0,,,,,,,-1500000.0,,,,2600000.0,,,,,,,,,,,,,,,,2600000.0,,25200000.0,,,,,4400000.0,269578762.0,0.0,,,,,,,,,,28800000.0,,0.0,,,-300000.0,,,800000.0,,,100000.0,,,,,,,,,800000,,,,,,,,-1700000.0,,,,1000000.0,,,,,,-1300000.0,,0.0,,,,,9400000,-1200000.0,-300000.0,500000.0,-0.002226,,,12100000.0,,6400000.0,,1100000.0,,,500000,,,,,,,,,,
,,,-2000000.0,,-1900000.0,68700000.0,,,,,,,,-0.01085,2300000.0,,2400000.0,23300000.0,38000000.0,,,,,,,500000.0,64000000.0,100000.0,,-2000000.0,-2100000.0,-2400000.0,-2000000.0,,-3300000.0,-1000000.0,,68700000.0,,42000000.0,1700000.0,,0.0,-2300000.0,200000.0,,,,,,38100000.0,2500000.0,38100000.0,,,,1900000.0,,488469846.0,1000000.0,-3100000.0,4100000.0,,500000.0,4200000.0,,0.0,22000000.0,,,,22000000.0,-1900000.0,39400000.0,700000.0,,,4700000.0,-2200000.0,300000.0,,6400000.0,,-0.01085,300000.0,-400000.0,,,1700000.0,-1500000.0,38100000.0,38100000.0,2900000.0,,,,,,45400000.0,1900000.0,,1700000.0,,,,-5300000.0,,,1900000.0,,,7700000.0,,,,1900000.0,,0.0,200000.0,,2300000.0,,,36200000.0,-900000.0,,,64000000.0,100000.0,-1500000.0,,,-700000.0,2500000.0,,1000000.0,,,0.0,,26600000.0,14900000.0,2900000.0,,4400000.0,,23300000.0,-1500000,11700000.0,,,-4000000.0,,,5000000.0,3300000.0,,-700000.0,,37800000.0,,13800000.0,,-2900000.0,-2000000.0,-3300000.0,,34400000.0,,,,,4300000,2100000.0,-400000.0,-2000000.0,,,488469846.0,45400000.0,,4200000.0,,1700000.0,4700000.0,,-2200000,-1600000.0,,,,,,,,,
,,,,975644472.0,,66200000.0,,,,,,,,,2200000.0,,1800000.0,23100000.0,-1400000.0,,,,,,,500000.0,,,,-1900000.0,,,-1900000.0,,,2000000.0,,,,,,,,-1900000.0,300000.0,,,,,-0.001947,36700000.0,1900000.0,36700000.0,,,,,,,,,3700000.0,,,,,0.0,21700000.0,,,,,-300000.0,,300000.0,,,4100000.0,,200000.0,,,,,,,,,-1300000.0,,,,3100000.0,,,,,,,,,,,,,,,,1400000.0,,,,,,,1400000.0,975644472.0,38100000.0,,,,,,,,,,62100000.0,,0.0,,,-300000.0,,,1200000.0,,,,,,,,,,,,-2000000,,,,,,,,600000.0,,,,0.0,,,,,,-5200000.0,,,,1400000.0,,,3200000,-1000000.0,-300000.0,,-0.001947,,,43100000.0,,3600000.0,,1500000.0,,,-2300000,,,,,,,,,,
,,,,975644472.0,,65700000.0,,,,,,,,,2400000.0,,1500000.0,22800000.0,-400000.0,,,,,,,500000.0,,,,-600000.0,,,-600000.0,,,2000000.0,,,,,,,,-600000.0,400000.0,,,,,-0.000696,36300000.0,1600000.0,36300000.0,,,,,,,,,4100000.0,,,,,0.0,21400000.0,,,,,-100000.0,,300000.0,,,4200000.0,,200000.0,,,,,,,,,-2000000.0,,,,3100000.0,,,,,,,,,,,,,,,,1300000.0,,,,,,,3100000.0,975644472.0,0.0,,,,,,,,,,61500000.0,,0.0,,,-300000.0,,,1200000.0,,,,,,,,,,,,-700000,,,,,,,,-1600000.0,,,,1500000.0,,,,,,-5800000.0,,,,1800000.0,,,4600000,-1900000.0,-100000.0,,-0.000696,,,42900000.0,,3700000.0,,1500000.0,,,-1000000,,,,,,,,,,
