date,annualTotalRevenue,quarterlyOtherNonCashItems,trailingOperatingIncome,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualCurrentDeferredRevenue,quarterlyBasicEPS,annualGainsLossesNotAffectingRetainedEarnings,trailingCostOfRevenue,trailingResearchAndDevelopment,trailingTotalRevenue,annualOperatingIncome,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyNetIncomeCommonStockholders,trailingEndCashPosition,quarterlyEndCashPosition,annualFreeCashFlow,annualCurrentDebt,annualOtherShortTermInvestments,quarterlyInvestingCashFlow,annualCommonStockIssuance,quarterlyEbitda,annualNetOtherFinancingCharges,quarterlyStockBasedCompensation,annualChangeInAccountPayable,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualCashAndCashEquivalents,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,trailingNetOtherInvestingChanges,trailingNetIncomeContinuousOperations,quarterlyTotalNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,annualRepurchaseOfCapitalStock,annualTotalLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualOperatingExpense,quarterlyCurrentAssets,trailingNetIncome,quarterlyCurrentLiabilities,quarterlyGrossPPE,trailingFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,annualNetOtherInvestingChanges,trailingPretaxIncome,trailingSellingGeneralAndAdministration,quarterlyLongTermDebt,annualAccountsReceivable,annualCurrentAssets,annualBasicEPS,annualLongTermDebt,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,annualBeginningCashPosition,annualNetIncome,quarterlyGrossProfit,annualSaleOfInvestment,quarterlyDilutedEPS,trailingRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,annualBasicAverageShares,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,trailingDepreciationAndAmortization,annualDepreciationAndAmortization,annualOtherNonCashItems,quarterlyCostOfRevenue,quarterlyInvestmentsAndAdvances,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyInventory,annualTotalAssets,annualTaxProvision,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetIncome,trailingCommonStockIssuance,quarterlyNetOtherInvestingChanges,annualRetainedEarnings,annualCurrentAccruedExpenses,trailingSaleOfInvestment,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,trailingGrossProfit,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,annualNetPPE,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyPretaxIncome,annualOtherIncomeExpense,trailingOperatingCashFlow,annualCapitalStock,trailingOtherIncomeExpense,annualInventory,quarterlyCapitalStock,annualStockBasedCompensation,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualGrossProfit,annualCurrentLiabilities,trailingChangeInInventory,annualOtherIntangibleAssets,trailingCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,annualEbitda,trailingOtherNonCashItems,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,trailingPurchaseOfBusiness,annualPurchaseOfBusiness,quarterlyNetPPE,annualOtherNonCurrentLiabilities,quarterlyTaxProvision,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualChangeInInventory,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,trailingCapitalExpenditure,trailingDeferredIncomeTax,annualPurchaseOfInvestment,trailingInvestingCashFlow,annualChangesInAccountReceivables,annualInterestExpense,trailingPurchaseOfInvestment,trailingOperatingExpense,trailingBeginningCashPosition,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalAssets,annualAccumulatedDepreciation,annualInvestmentsAndAdvances,annualPretaxIncome,annualGoodwill,trailingChangesInAccountReceivables,quarterlyChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyInterestExpense,annualDeferredIncomeTax,quarterlyCurrentDebt,annualGrossPPE,annualRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyBeginningCashPosition,quarterlyAccountsPayable,trailingRepaymentOfDebt,trailingChangeInWorkingCapital,annualCashFlowFromContinuingFinancingActivities,annualNonCurrentDeferredRevenue,annualEndCashPosition,trailingInterestExpense,annualDilutedAverageShares,annualDilutedEPS,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInvestingCashFlow,trailingBasicAverageShares,annualCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,trailingBasicEPS,trailingDilutedEPS,quarterlyCashDividendsPaid,annualIncomeTaxPayable,quarterlyPurchaseOfBusiness,trailingCashDividendsPaid,quarterlyIncomeTaxPayable,trailingDilutedAverageShares
2011-12-31,21128959000.0,,6589848000.0,19976528000.0,9769000.0,3150443000.0,3636101000.0,8230534000.0,239923000.0,347292000.0,,-146375000.0,461442252000.0,14529678000.0,541036995000.0,-1378483000.0,,,,,34092915000.0,,-709801000.0,0.0,0.0,,6248610000.0,,0.0,,2420088000.0,,1384270000.0,6288777000.0,,,1068998000.0,-1283745000.0,2596959000.0,3458768000.0,,,-11712000.0,7795578000.0,,,,2530914000.0,,3747967000.0,,,19915369000.0,,,0.0,4843038000.0,60608933000.0,,247819000.0,9884510000.0,-2.877922,,,,869959000.0,-1283745000.0,,300000000.0,,-336896000.0,,2316551000.0,5633000.0,,,,1023086842.0,-2944364000.0,3745475000.0,6033429000.0,73946000.0,70964000.0,,,2783391000.0,,,,10578969000.0,0.0,,,,0.0,,-2481604000.0,97959000.0,1252624000.0,,,,,79594743000.0,-86391000.0,,,489041000.0,,,,38640000.0,30805649000.0,382430000.0,-2677757000.0,2763587000.0,,70964000.0,,694459000.0,1152431000.0,4645135000.0,-8516593000.0,2381000.0,-4436280000.0,,,-1209799000.0,14642000.0,,,0.0,0.0,,0.0,,6288777000.0,,,,,-1684694000.0,,,-10890280000.0,315659000.0,-300840000.0,-29989916000.0,-183848000.0,0.0,-31641845000.0,73004895000.0,37713462000.0,,,,-110284000.0,840000.0,-1283745000.0,0.0,8391860000.0,,,,,0.0,,599325000.0,0.0,-2954234000.0,,,-14631559000.0,14102915000.0,6236898000.0,,6288777000.0,650085000.0,1023086842.0,-2.877922,5418818000.0,-623410000.0,3700637000.0,41081000.0,4278656000.0,-624250000.0,,,,,,,,,,,
2012-12-31,41380521000.0,105653000.0,,37898387000.0,27117000.0,4737897000.0,8096753000.0,,636346000.0,1002149000.0,,-152083000.0,,,,-1909408000.0,-4212915000.0,58381000.0,,-1062712000.0,,7177294000.0,255917000.0,867399000.0,1080000000.0,-744913000.0,1571431000.0,-239420000.0,0.0,105653000.0,4155911000.0,-750000000.0,,7177294000.0,21755000.0,1080000000.0,2721415000.0,-1729473000.0,,,2131798000.0,,0.0,16221393000.0,3034000.0,16221393000.0,362371000.0,5391542000.0,15754256000.0,,11483496000.0,1808775000.0,,-368664000.0,12574008000.0,0.0,,,,428869000.0,15754256000.0,-3.242078,,27117000.0,-560880000.0,6288777000.0,-1729473000.0,1148451000.0,510000000.0,,,597633000.0,4796886000.0,42321000.0,448467000.0,428869000.0,0.0,1023086842.0,-3316927000.0,,,185730000.0,225039000.0,11425557000.0,2840000.0,1664661000.0,4737897000.0,19329000.0,4753829000.0,17886054000.0,6127000.0,,14649000.0,-305141000.0,,-139719000.0,-4212915000.0,448467000.0,,1306231000.0,1664661000.0,-305141000.0,1002149000.0,,1403652000.0,8257294000.0,,1529248000.0,7177294000.0,1517115000.0,-302107000.0,18635000.0,,382449000.0,,4753829000.0,382449000.0,225039000.0,229793000.0,2131798000.0,3482134000.0,11483496000.0,,229793000.0,,1571431000.0,-195194000.0,-1529292000.0,,220329000.0,0.0,,-139719000.0,1529248000.0,0.0,3034000.0,8257294000.0,42321000.0,,-279527000.0,1571431000.0,-1989996000.0,,216949000.0,,,-2592000000.0,,-226931000.0,8324000.0,,,,75231000.0,-152083000.0,17886054000.0,-279527000.0,2840000.0,-1723346000.0,14649000.0,,-161801000.0,1033570000.0,340000000.0,4306000.0,6127000.0,867399000.0,1808775000.0,,,6143724000.0,8096753000.0,,,2853631000.0,,7177294000.0,,1023086842.0,-3.242078,888517000.0,-1147735000.0,,75231000.0,,-3369454000.0,,,,,,,,,,,
2013-06-30,,,,,,,,,,,-0.473286,,,,,,,,1023086842.0,-484213000.0,,,,,,,,-22975000.0,,,,,,,,,,,,,,,,,,,,,,,,,,-232309000.0,17453166000.0,,,,,,,,,,,,,1553278000.0,,-0.473286,,,,,,,,,,,,,,15899888000.0,,,,112830000.0,,,,,,-28319000.0,,,,,,1567405000.0,,-28319000.0,,,,,,,,1785587000.0,-26370000.0,,,,,,,,,,,,,,,,,,,218182000.0,,,,,,1949000.0,,,,,,,1023086842.0,,,,,,,,,,,,,,,,,,,,,,3395000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,,,,,,,,,,,-0.649585,,,,,,-4152839000.0,,1023086842.0,-664582000.0,,8811913000.0,,,,-1225560000.0,,75475000.0,,,,,,,687295000.0,3468320000.0,,,,,2948260000.0,,,,,21449276000.0,,,20900411000.0,,14550825000.0,2891208000.0,,-81975000.0,18038518000.0,,,,,,,,,34827000.0,,,,1775165000.0,,-0.649585,,,,,766431000.0,340127000.0,0.0,,,,,,,16263353000.0,37133000.0,,6898451000.0,71809000.0,6503982000.0,,,,14649000.0,75022000.0,,-1225560000.0,,,,1606014000.0,2399395000.0,75022000.0,1713564000.0,,,12280233000.0,,,8811913000.0,1857140000.0,75475000.0,,,,,,382463000.0,,221072000.0,,,,,,,,,,,251126000.0,,,,2457025000.0,,453000.0,,14033000.0,,-434183000.0,0.0,,1023086842.0,687295000.0,,,,,,,,,,202126000.0,-227729000.0,23848671000.0,,,,,,,-538917000.0,,0.0,,0.0,,,,9350830000.0,10678375000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,69339812000.0,70391000.0,,62495538000.0,45853000.0,0.0,11018865000.0,,963653000.0,2264152000.0,,-265970000.0,,,,-458526000.0,-4301195000.0,85039000.0,,-1853212000.0,,10812339000.0,2277738000.0,932826000.0,1903224000.0,-383937000.0,2720076000.0,-26324000.0,0.0,70391000.0,2687361000.0,-2380000000.0,,10812339000.0,1061291000.0,1903224000.0,3110595000.0,-49899000.0,,,3396819000.0,,0.0,16769984000.0,-2610000.0,16769984000.0,1411947000.0,7302800000.0,22612993000.0,,16769984000.0,3407435000.0,,-254290000.0,20123318000.0,-545000000.0,,,,425310000.0,22612993000.0,-3.86,,45853000.0,117827000.0,7177294000.0,-49899000.0,2040755000.0,9166200000.0,,,208021000.0,6459448000.0,24312000.0,920853000.0,425310000.0,,1023086842.0,-3953690000.0,,,293141000.0,24682000.0,18082563000.0,36502000.0,9239828000.0,0.0,21324000.0,6386155000.0,26009812000.0,-40000.0,0.0,14649000.0,-109975000.0,,-545000000.0,-4301195000.0,920853000.0,,2027563000.0,9239828000.0,-109975000.0,2264152000.0,,3569819000.0,12715563000.0,,2882925000.0,10812339000.0,2295045000.0,-112586000.0,73254000.0,,261000.0,,6386155000.0,261000.0,261173000.0,215802000.0,3396819000.0,6844274000.0,16769984000.0,,215802000.0,,0.0,-393637000.0,251639000.0,,275815000.0,0.0,,0.0,2882925000.0,,-2611000.0,12715563000.0,24312000.0,,-524510000.0,940216000.0,-1632326000.0,,1454928000.0,,,-10001333000.0,,-22844000.0,8437000.0,,,,246718000.0,-265970000.0,26009812000.0,-524510000.0,36502000.0,-49939000.0,14649000.0,,-75290000.0,2000426000.0,2934700000.0,1223000.0,-40000.0,932826000.0,3407435000.0,-865108000.0,,8811913000.0,11018865000.0,,,2795184000.0,,10812339000.0,,1023086842.0,-3.86,3635045000.0,-1292081000.0,,246718000.0,,-2671052000.0,,,,,,,,,,,
2014-03-31,,,,,,,,,,,-3.868829,,,,,,,,1367085865.0,-5289022000.0,,13337835000.0,,,,-272024000.0,,-3792623000.0,,,,,,,908230000.0,,,,,,,,,,,,,,,,,,,-3851722000.0,22657416000.0,,,,,,,,,,,,,2261398000.0,,-3.868829,,,,,,,,,,,,,,20396018000.0,,,,-38562000.0,,,,,,-3795148000.0,,-272024000.0,,,,5828110000.0,,-3795148000.0,,,,,,,,6113120000.0,-3797638000.0,,,,,,,,,,,,,,,,,,,285010000.0,1890771000.0,,,,,-2490000.0,,,,,1890771000.0,,1367085865.0,908230000.0,,,,,,,,,,,,,,,,,,,2525496000.0,,5015000.0,,,,,,10812339000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,,,,,,,,,,,-5.86,,,,,,-8641302000.0,,1202782000.0,-7046296000.0,,27535976000.0,,,,-3158370000.0,,-573864000.0,,,,,,,-78507000.0,3947134000.0,,,,,14933165000.0,,,,,26040787000.0,,,48943281000.0,,26040787000.0,3933059000.0,,-787945000.0,28612850000.0,,,,,,,,,0.0,,,,3155229000.0,,-5.86,,,,,3144678000.0,1511809000.0,,,,,,,,25457621000.0,322390000.0,,0.0,59169000.0,10781375000.0,,,,2622470000.0,-582530000.0,,-3158370000.0,,,,3523184000.0,37835659000.0,-582530000.0,3605722000.0,,,31483110000.0,,,27535976000.0,3943174000.0,-582166000.0,,,,,,354000.0,,7596230000.0,,,,,,,,,,,419990000.0,17486771000.0,,,3933059000.0,,364000.0,,459016000.0,,,17486771000.0,,1202782000.0,-78507000.0,,,,,,,,,,0.0,-293089000.0,63876446000.0,,,,,,,14198141000.0,,8302000.0,,2842594000.0,,,,13337835000.0,15521155000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-30,,,,,,,,,,,-0.12,,,,,,-8805660000.0,,1362239000.0,-164358000.0,,20717889000.0,,,,-8216361000.0,,-149804000.0,,,,,,,1430337000.0,10936316000.0,,,,,15348322000.0,,,,,28092373000.0,,,50600535000.0,,28092373000.0,4421973000.0,,-406640000.0,29012003000.0,,,,,,,,,0.0,,,,3544017000.0,,-0.12,,,,,3454333000.0,1570291000.0,,,,,,,,25467986000.0,508844000.0,,0.0,58928000.0,11094891000.0,,,,2622470000.0,-164358000.0,,-8216361000.0,,,,3438684000.0,37856484000.0,-164358000.0,4122684000.0,,,31654205000.0,,,20717889000.0,3950657000.0,-158154000.0,,,,,,354000.0,,7229288000.0,,,,,,,,,,,511973000.0,-39118000.0,,,4421973000.0,,6204000.0,,565747000.0,,,-39118000.0,,1362239000.0,1430337000.0,,,,,,,,,,0.0,-276842000.0,65948857000.0,,,,,,,-6818087000.0,,8350000.0,,2842455000.0,,,,27535976000.0,17036144000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,115002317000.0,,,101631443000.0,103663000.0,0.0,16363671000.0,,1835919000.0,4823740000.0,-0.34,-361116000.0,,,,-5802437000.0,-9272343000.0,,1362441500.0,-454322000.0,,16914651000.0,1015016000.0,1890771000.0,12161643000.0,-1556493000.0,17447653000.0,-431918000.0,18392028000.0,,4902844000.0,,,16914651000.0,-1245044000.0,12161643000.0,-13255000.0,-4996358000.0,,,16551475000.0,,,28995105000.0,,28995105000.0,,19173311000.0,49941697000.0,,28995105000.0,5404590000.0,,-756130000.0,34720048000.0,545000000.0,,,,2436256000.0,49941697000.0,-10.7,,103663000.0,,10812339000.0,-4996358000.0,4410230000.0,7853607000.0,-0.34,,,17337392000.0,625391000.0,5311832000.0,2436256000.0,,1209834000.0,-12953998000.0,,,1650533000.0,4249548000.0,30309818000.0,1021077000.0,37498067000.0,0.0,137052000.0,12190843000.0,66493172000.0,19324000.0,,2622470000.0,-454322000.0,,12191755000.0,-9272343000.0,5311832000.0,,4547414000.0,37498067000.0,-454322000.0,4823740000.0,,1015016000.0,29076294000.0,,5404590000.0,16914651000.0,5166360000.0,-439076000.0,216587000.0,,358000.0,,12190843000.0,358000.0,4249548000.0,6877947000.0,16551475000.0,13370874000.0,28995105000.0,,6877947000.0,,,,-4948209000.0,,618946000.0,-946396000.0,,1260337000.0,5404590000.0,,15246000.0,29076294000.0,625391000.0,,-1066184000.0,-946396000.0,-5804688000.0,1362441500.0,-1245044000.0,,,-19960126000.0,,-2004884000.0,28825000.0,,,,970654000.0,-361116000.0,66493172000.0,-1066184000.0,1021077000.0,-4977034000.0,2622470000.0,,,-3803238000.0,,7158000.0,-4169000.0,1890771000.0,5404590000.0,-946396000.0,,20717889000.0,16363671000.0,,,18392028000.0,,16914651000.0,,1209834000.0,-10.7,6102312000.0,-2902066000.0,,970654000.0,,-13203248000.0,,,,,,,,,,,
2015-03-31,,,,,,,,,,,-0.52,,,,,,-9982553000.0,,1366349500.0,-710210000.0,,14680367000.0,,,,-2710638000.0,,-712420000.0,,,,,,,2408784000.0,11679556000.0,,,,,24135617000.0,2455938000.0,,,,33499664000.0,,,46400211000.0,,31043726000.0,6272933000.0,,-822607000.0,36640575000.0,,,,,,,,,0.0,,,,4465592000.0,,-0.52,,,,,5488740000.0,3028142000.0,0.0,,,,,,,32174983000.0,8070871000.0,,2455938000.0,-44573000.0,12960750000.0,,,,2622470000.0,-710210000.0,,-2710638000.0,,,,4583812000.0,37036164000.0,-710210000.0,6054689000.0,,,26359923000.0,,,14680367000.0,5288199000.0,-713187000.0,,,,,,358000.0,,6518650000.0,,,,,,,,,,,704387000.0,-1874782000.0,,,6272933000.0,,-2977000.0,,650693000.0,,,-1874782000.0,,1366349500.0,2408784000.0,,,,,,,,,,0.0,-302442000.0,70535828000.0,,,,,,,-2234284000.0,,767000.0,,0.0,,,,16914651000.0,19074818000.0,,,,,,,,,,,,,,,,,,,,,,,,,
