date,annualOperatingIncome,quarterlyCurrentLiabilities,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualFreeCashFlow,trailingOperatingIncome,annualAccountsPayable,annualCommonStockIssuance,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,annualOtherShortTermInvestments,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,annualDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,trailingCostOfRevenue,annualEndCashPosition,quarterlyOtherShortTermInvestments,annualOtherCurrentAssets,trailingNetOtherInvestingChanges,quarterlyRetainedEarnings,trailingTotalRevenue,annualNetOtherInvestingChanges,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingNetIncome,trailingEndCashPosition,quarterlyDilutedEPS,trailingPretaxIncome,quarterlyOperatingIncome,quarterlyTotalRevenue,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDeferredRevenue,annualCashDividendsPaid,quarterlyTotalAssets,annualCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualDilutedEPS,annualOperatingExpense,annualNetIncome,annualCostOfRevenue,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualOtherNonCurrentAssets,annualBasicAverageShares,annualSellingGeneralAndAdministration,annualSaleOfInvestment,trailingSaleOfInvestment,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualLongTermDebt,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,annualRepurchaseOfCapitalStock,annualCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,annualCurrentAccruedExpenses,quarterlyEndCashPosition,trailingNetIncomeCommonStockholders,quarterlyInvestingCashFlow,annualRetainedEarnings,annualTotalAssets,quarterlyStockholdersEquity,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyChangeInAccountPayable,trailingChangeInAccountPayable,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyInventory,annualAccountsReceivable,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,trailingGrossProfit,annualOtherIncomeExpense,annualNetPPE,quarterlyOperatingExpense,annualGrossProfit,quarterlyPretaxIncome,annualOperatingCashFlow,quarterlyPurchaseOfBusiness,annualTotalNonCurrentAssets,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,annualEbitda,quarterlyRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyBasicEPS,trailingRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,annualGrossPPE,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyInterestExpense,annualChangeInInventory,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,annualOtherNonCurrentLiabilities,trailingOtherIncomeExpense,annualBeginningCashPosition,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualCapitalExpenditure,annualDeferredIncomeTax,annualInvestingCashFlow,trailingSellingGeneralAndAdministration,quarterlyGrossPPE,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,trailingInvestingCashFlow,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,trailingBeginningCashPosition,trailingPurchaseOfBusiness,annualChangesInAccountReceivables,trailingCashDividendsPaid,quarterlyAccountsPayable,trailingInterestExpense,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyCommonStockIssuance,trailingCapitalExpenditure,trailingNetIncomeContinuousOperations,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,trailingPurchaseOfInvestment,trailingOperatingExpense,quarterlyStockBasedCompensation,trailingStockBasedCompensation,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,quarterlyEbitda,trailingChangeInInventory,annualChangeInCashSupplementalAsReported,annualStockBasedCompensation,annualGoodwill,annualInventory,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualInterestExpense,annualCapitalStock,annualPurchaseOfInvestment,annualBasicEPS,annualTotalRevenue,annualTaxProvision,annualIncomeTaxPayable,quarterlyNonCurrentDeferredTaxesLiabilities,annualResearchAndDevelopment,annualNonCurrentDeferredTaxesLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyTaxProvision,annualNonCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingBasicEPS,trailingChangesInAccountReceivables,quarterlyIncomeTaxPayable,trailingDilutedEPS,trailingDilutedAverageShares,trailingResearchAndDevelopment,trailingCommonStockIssuance,trailingTaxProvision,annualInvestmentsAndAdvances
1991-03-31,,,,,,,,,2147303000.0,,,,,,,346427000.0,,,,,5941659000.0,,,,103664000.0,,10765549000.0,,,,,1921454000.0,278564000.0,-0.01,1947579000.0,175400000,175400000,,,,,,,-1000000,,,,,,,-1000000,-1000000,,,,,8963000.0,,,,,,100000000.0,,,,,,,,,,1921454000.0,,,,,,,,,,,107315000.0,0.0,,,,,,3839223000.0,4823890000.0,,,,,,,,,,,,,,,,,,,-0.01,-27032986000.0,21909000.0,,,,1204348000.0,-282590000.0,,,,,,,,,183564000.0,,,91517000.0,,,,1472239000.0,,,4911000.0,-3532890000.0,,,,,254821000.0,-18867000.0,,-585572000.0,,411177000.0,,,,-3492796000.0,1947579000.0,,,-133854000.0,2676587000.0,,33897000.0,,-82263000.0,175400000,-15729000.0,,,,,,,100000000.0,569893000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,172400000,172400000,,,,,,,-5300000,,,,,,,-5300000,-5300000,,,,,,,,,,,106000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172400000,,,,,,,,106000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,198200000,198200000,,,,,,,8500000,,,,,,,8500000,8500000,,,,,,,,,,,106250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198200000,,,,,,,,106250000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31,64200000.0,340800000.0,9900000.0,,,887000000.0,,-318900000.0,,53600000.0,,,91600000.0,,1227800000.0,,,107500000.0,887000000.0,17200000.0,,,,42800000.0,,54000000.0,,15600000.0,,1540100000.0,27400000.0,,,,,-481800000,213600000,,1227800000.0,,,1631700000.0,130600000.0,2100000,,4300000.0,0.04,206900000.0,4300000.0,488500000.0,2100000,2100000,6400000.0,107500000.0,149300000.0,,,403900000.0,-100000.0,114800000.0,887100000.0,42800000.0,,,91600000.0,,,340800000.0,4300000.0,,,,,,54000000.0,1631700000.0,403900000.0,57600000.0,,,,887100000.0,,,,,,11700000.0,,,,,-800000.0,1150500000.0,,271100000.0,,78700000.0,,1540100000.0,383200000.0,27400000.0,383200000.0,,,121800000.0,,27400000.0,27400000.0,1150500000.0,,,,,1261700000.0,,,,130600000.0,,-2300000.0,,,-111200000.0,6400000.0,-100000.0,,35400000.0,,,-397600000.0,,-382000000.0,,1261700000.0,,,,-111200000.0,,,,,,-1900000.0,,53600000.0,,,,,,,,156600000.0,,,,,156600000.0,,-481800000,,-8000000.0,,,11700000.0,,295300000.0,,,-177400000.0,59000000.0,,,0.04,759600000.0,,,,,,,,,,,,,,,,,,,,
1992-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,215200000,215200000,,,,,,,4400000,,,,,,,4400000,4400000,,,,,,,,,,,88000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215200000,,,,,,,,88000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,255400000,255400000,,,,,,,17700000,,,,,,,17700000,17700000,,,,,,,,,,,104117647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255400000,,,,,,,,104117647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,286800000,286800000,,,,,,,30700000,,,,,,,30700000,30700000,,,,,,,,,,,102333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286800000,,,,,,,,102333333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31,138300000.0,400100000.0,3400000.0,,,977100000.0,,-95700000.0,,57000000.0,,,107000000.0,,1377200000.0,,,102711864.0,977100000.0,36700000.0,,,,26600000.0,,114700000.0,,-100000.0,,1734700000.0,56500000.0,,,,,-619100000,255400000,,1377200000.0,,,1841700000.0,143800000.0,7800000,,60600000.0,0.59,238800000.0,60600000.0,635700000.0,7800000,7800000,10500000.0,102711864.0,160800000.0,,,464500000.0,-100000.0,157500000.0,977200000.0,26600000.0,,,107000000.0,,,400100000.0,60600000.0,,,,,,114700000.0,1841700000.0,464500000.0,78000000.0,,,,977200000.0,,,,,,12900000.0,,,,,4500000.0,1351700000.0,,377100000.0,,172500000.0,,1734700000.0,372500000.0,56500000.0,372500000.0,,,216300000.0,,56500000.0,56500000.0,1351700000.0,,,,,1530000000.0,,,,143800000.0,,-1100000.0,,,-178300000.0,10500000.0,-100000.0,,27400000.0,,,-268200000.0,,-246500000.0,,1530000000.0,,,,-178300000.0,,,,,,-1300000.0,,57000000.0,,,,,,,,199300000.0,,,,,199300000.0,,-619100000,,29100000.0,,,12900000.0,,103200000.0,,,-254600000.0,82200000.0,,,0.59,1012800000.0,,,,,,,,,,,,,,,,,,,,
1993-03-31,,418500000.0,,,-15000000.0,,43000000.0,,,,,44200000.0,95700000.0,,,,21500000.0,,962000000.0,,,,,,,119800000.0,,,,1754400000.0,,,,0.2,,38900000,270400000,,1380500000.0,,,1850100000.0,,20200000,5300000.0,,,,,,20200000,20200000,,,,,,,100000.0,,,37500000.0,101000000.0,,,165800000.0,,,,,,,,-40600000.0,,,469600000.0,,-500000.0,,-2000000.0,961900000.0,-5000000.0,,,104600000.0,,14800000.0,,,,,,,65700000.0,,,,,,369900000.0,,,56500000.0,,,-15200000.0,34600000.0,34600000.0,1373100000.0,0.2,,,2200000.0,,-40100000.0,,,147300000.0,18700000.0,,-11800000.0,-26800000.0,-178300000.0,11400000.0,,,,,,,,,,1551400000.0,45400000.0,,,,-21900000.0,,,,,,,52000000.0,,,3700000.0,,,,,219200000.0,,,,,,,60400000,,,,,,,,101000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-30,,377900000.0,,,0.0,,42600000.0,,,,,42500000.0,103900000.0,,,,21300000.0,,793200000.0,,,,,,,147300000.0,,,,1757700000.0,,,,0.24,,40500000,276900000,,1171100000.0,,,1861600000.0,,27500000,51200000.0,,,,,,27500000,27500000,,,,,,,,,,40100000.0,114583333.0,,,172500000.0,,,,,,,,-24700000.0,,,690500000.0,,700000.0,,1100000.0,793200000.0,-300000.0,,,104400000.0,,13700000.0,,200000.0,,,,,63900000.0,,,,,,367200000.0,,,,,,-252200000.0,41600000.0,41600000.0,1379800000.0,0.24,,,300000.0,,-25400000.0,,,77900000.0,13200000.0,,-44800000.0,-44800000.0,-178300000.0,10700000.0,,,,,,,,,,1558100000.0,76600000.0,,,,7000000.0,,,,,,,51700000.0,,,27800000.0,,,,,248300000.0,,,,,,,61900000,,,,,,,,114583333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
