date,annualAccountsPayable,trailingOperatingIncome,annualResearchAndDevelopment,annualCostOfRevenue,quarterlyOtherNonCashItems,annualOperatingIncome,trailingTotalRevenue,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualCommonStockIssuance,annualFreeCashFlow,quarterlyCashDividendsPaid,trailingFreeCashFlow,quarterlyCurrentLiabilities,annualOtherShortTermInvestments,quarterlyDepreciationAndAmortization,annualEndCashPosition,quarterlyRetainedEarnings,trailingTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualDilutedEPS,annualOtherCurrentAssets,trailingNetOtherInvestingChanges,quarterlyOtherShortTermInvestments,annualCashAndCashEquivalents,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,annualBasicAverageShares,quarterlyTotalNonCurrentAssets,trailingNetIncome,trailingEndCashPosition,quarterlyOperatingIncome,trailingPretaxIncome,annualInvestmentsAndAdvances,annualNetIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,quarterlyTotalAssets,annualCashDividendsPaid,annualOperatingExpense,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualCurrentDeferredRevenue,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualOtherNonCashItems,annualDepreciationAndAmortization,trailingNetIncomeCommonStockholders,annualNetIncomeCommonStockholders,annualCurrentLiabilities,quarterlyStockholdersEquity,annualCurrentAccruedExpenses,annualStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,annualTotalAssets,quarterlyAccountsReceivable,annualDilutedAverageShares,quarterlyCurrentAccruedExpenses,annualTaxProvision,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyChangeInInventory,annualRetainedEarnings,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyBasicEPS,trailingOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,annualCapitalStock,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTaxProvision,quarterlyRepaymentOfDebt,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualInventory,quarterlyPretaxIncome,annualGrossProfit,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,annualTotalNonCurrentAssets,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualNetPPE,quarterlyCapitalStock,annualGrossPPE,quarterlyCurrentDebt,annualOtherNonCurrentLiabilities,quarterlyCapitalExpenditure,quarterlyInterestExpense,annualChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,annualBeginningCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,trailingOtherNonCashItems,annualPurchaseOfBusiness,quarterlyOperatingCashFlow,trailingInvestingCashFlow,trailingDeferredIncomeTax,quarterlySaleOfInvestment,quarterlyDilutedEPS,annualDeferredIncomeTax,annualCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,annualInterestExpense,annualInvestingCashFlow,annualPretaxIncome,annualIncomeTaxPayable,quarterlyGrossPPE,trailingCashDividendsPaid,trailingInterestExpense,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,annualAccumulatedDepreciation,trailingBeginningCashPosition,annualChangesInAccountReceivables,quarterlyNonCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,trailingNetIncomeContinuousOperations,annualBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingOperatingExpense,trailingChangeInCashSupplementalAsReported,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,trailingCapitalExpenditure,trailingChangeInInventory,quarterlyStockBasedCompensation,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyEbitda,annualStockBasedCompensation,trailingStockBasedCompensation,annualGoodwill,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,trailingResearchAndDevelopment,trailingGrossProfit,annualPurchaseOfInvestment,annualTotalRevenue,trailingBasicAverageShares,trailingCommonStockIssuance,trailingPurchaseOfBusiness,trailingBasicEPS,trailingDilutedEPS,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,trailingChangesInAccountReceivables,trailingChangeInAccountPayable,trailingDepreciationAndAmortization,trailingSaleOfInvestment,trailingDilutedAverageShares,annualChangeInAccountPayable
1979-12-31,,799000000.0,,3038100000.0,,748500000.0,6642000000.0,1580500000.0,5456000000.0,,,,0.0,,581000000.0,,,,0.0,,-159000000.0,,,0.701333,38000000.0,241000000.0,,362900000.0,,,,470535000.0,,-155000000.0,153000000.0,,-314000000.0,,511600000.0,2234800000.0,,49800000.0,,,636100000.0,,511600000.0,,420000000.0,,,,,,,303500000.0,250900000.0,1295800000.0,,1342600000.0,,,-155000000.0,500300000.0,654300000.0,,,2726900000.0,,,,,,4961700000.0,,470535000.0,,226200000.0,,-153000000.0,,,2342800000.0,,,,,966000000.0,,,,,-773000000.0,,,0.0,,,,,,362900000.0,,,-1017000000.0,,465400000.0,,1384600000.0,1081100000.0,,3665900000.0,94000000.0,,-1883000000.0,3415000000.0,,5239500000.0,,180400000.0,,,,,,,,0.0,,-108000000.0,,,-144000000.0,-203000000.0,,,,,,,104600000.0,0.0,737800000.0,,,-1014000000.0,386000000.0,,,,57500000.0,,-1824500000.0,348000000.0,,,,,-155000000.0,0.712,,387000000.0,-195000000.0,,,,-385000000.0,-7000000.0,,-14000000.0,604500000.0,,,34000000.0,,,,11000000.0,,,6000000.0,1186000000.0,,4422700000.0,,,,,,,,,,,,,
1980-12-31,,,,3183700000.0,,552700000.0,,1788300000.0,,,,,0.0,,,,,,0.0,,,,,0.44,34600000.0,,,109400000.0,,,,470495000.0,,,,,,,321500000.0,2406200000.0,,43500000.0,,,799400000.0,,321500000.0,,,,,,,,,388600000.0,421700000.0,1126400000.0,,1416700000.0,,,,310000000.0,617900000.0,,,2832500000.0,,,,,,5238700000.0,,470495000.0,,208000000.0,,,,,2448100000.0,,,,,,,,,,,,,0.0,,,,,,109400000.0,,,,,490700000.0,,1352100000.0,963500000.0,,4112300000.0,84500000.0,,,3690600000.0,,5608900000.0,,219600000.0,,,,,,,,0.0,,,,,,,,,,,,,107700000.0,0.0,529500000.0,,,,,,,,152000000.0,,-1918300000.0,,,,,,,0.44,,,,,,,,,,,574400000.0,,,,,,,,,,,,,4535800000.0,,,,,,,,,,,,,
1981-12-31,,,,3356400000.0,,350600000.0,,1969200000.0,,,,,0.0,,,,,,0.0,,,,,0.296,27200000.0,,,104600000.0,,,,478162500.0,,,,,,,234400000.0,2616200000.0,,39600000.0,,,794500000.0,,234400000.0,,,,,,,,,422300000.0,470800000.0,1221300000.0,,1540200000.0,,,,212400000.0,647000000.0,,,3100300000.0,,,,,,5716500000.0,,478162500.0,,76200000.0,,,,,2490600000.0,,,,,,,,,,,,,0.0,,,,,,104600000.0,,,,,482800000.0,,1145100000.0,722800000.0,,4495200000.0,75800000.0,,,4024400000.0,,6170100000.0,,199300000.0,,,,,,,,0.0,,,,,,,,,,,,,115700000.0,0.0,310600000.0,,,,,,,,229700000.0,,-2145700000.0,,,,,,,0.296,,,,,,,,,,,607400000.0,,,,,,,,,,,,,4501500000.0,,,,,,,,,,,,,
1982-12-31,,,,3238000000.0,,179400000.0,,2089400000.0,,,,,0.0,,,,,,0.0,,,,,0.16,74000000.0,,,184800000.0,,,,478275000.0,,,,,,,140000000.0,2847000000.0,,127300000.0,,,768800000.0,,140000000.0,,,,,,,,,415900000.0,389200000.0,1262900000.0,,1422400000.0,,,,113600000.0,757600000.0,,,3077400000.0,,,,,,5924400000.0,,478275000.0,,80000000.0,,,,,2467200000.0,,,,,,,,,,,,,0.0,,,,,,184800000.0,,,,,505400000.0,,948200000.0,532300000.0,,4661500000.0,156700000.0,,,4272300000.0,,6626400000.0,,272800000.0,,,,,,,,0.0,,,,,,,,,,,,,116100000.0,0.0,220000000.0,,,,,,,,394200000.0,,-2354100000.0,,,,,,,0.16,,,,,,,,,,,630300000.0,,,,,,,,,,,,,4186200000.0,,,,,,,,,,,,,
1983-12-31,,,,3812900000.0,,285000000.0,,2017200000.0,,,,,0.0,,,,,,0.0,,,,,0.242667,79800000.0,,,218500000.0,,,,493665000.0,,,,,,,204800000.0,2729800000.0,,104700000.0,,,784700000.0,,204800000.0,,,,,,,,,444000000.0,412300000.0,1336900000.0,,1326300000.0,,,,176800000.0,712600000.0,,,3215800000.0,,,,,,5945600000.0,,493665000.0,,91800000.0,,,,,2474200000.0,,,,,,,,,,,,,0.0,,,,,,218500000.0,,,,,546900000.0,,1069700000.0,625700000.0,,4608700000.0,137300000.0,,,4196400000.0,,6723600000.0,,273000000.0,,,,,,,,0.0,,,,,,,,,,,,,125700000.0,0.0,296600000.0,,,,,,,,417900000.0,,-2527200000.0,,,,,,,0.242667,,,,,,,,,,,607900000.0,,,,,,,,,,,,,4882600000.0,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277500000.0,,,,,,,1277500000.0,,,,,,,,,,,,,,,,36600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,493710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,493710000.0,,,,,,,,,,,,,,1277500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1471300000.0,,,,,,,1471300000.0,,,,,,,,,,,,,,,,103900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130667,,493710000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130667,,,,,,,,,,,,,,,,,,,,,,493710000.0,,,,,,,,,,,,,,1471300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1393100000.0,,,,,,,1393100000.0,,,,,,,,,,,,,,,,58300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,486417500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,,,,,,,,,,,,,,,,,,,,,,486417500.0,,,,,,,,,,,,,,1393100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,,,,4260700000.0,,418200000.0,,1885600000.0,,1338400000.0,,,0.0,,,891100000.0,,,0.0,2502500000.0,,1885600000.0,,0.269333,94500000.0,,,173300000.0,1407800000.0,,,486700000.0,4619300000.0,,,-3723700000.0,,,226200000.0,2776700000.0,,251000000.0,5957700000.0,,870800000.0,,226200000.0,,,,2776700000.0,27400000.0,,94500000.0,,472600000.0,1101500000.0,1338400000.0,280200000.0,1160100000.0,,,,209400000.0,891100000.0,3181000000.0,,3181000000.0,,,,,,5957700000.0,,486700000.0,,95200000.0,,,,,2502500000.0,559000000.0,445300000.0,,,,,1160100000.0,,,,,173300000.0,0.0,,,,,,173300000.0,,,,3517800000.0,559000000.0,,1289000000.0,816400000.0,173300000.0,4619300000.0,25100000.0,,,3517800000.0,,6300100000.0,251000000.0,280200000.0,,,,,,-2782300000.0,1101500000.0,0.0,,,,,,,,,,,,,121900000.0,0.0,321400000.0,,6300100000.0,,,,,,445300000.0,,-2782300000.0,,,,,,,0.269333,,,,,,640100000.0,,,,,640100000.0,-3723700000.0,,,,,,,,,,,,5549700000.0,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275700000.0,,,,,,,1275700000.0,,,,,,,,,,,,,,,,38200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042667,,486700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042667,,,,,,,,,,,,,,,,,,,,,,486700000.0,,,,,,,,,,,,,,1275700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
