,trailingPretaxIncome,annualNonCurrentDeferredRevenue,annualGoodwill,annualTotalAssets,trailingCashDividendsPaid,annualNetIncome,trailingNetIncome,annualRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualCashDividendsPaid,quarterlyLongTermDebt,annualLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,quarterlyOtherNonCurrentLiabilities,annualPretaxIncome,annualBasicAverageShares,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,annualOtherNonCashItems,trailingChangeInWorkingCapital,trailingChangeInAccountPayable,annualPurchaseOfInvestment,annualBasicEPS,annualStockholdersEquity,quarterlyGoodwill,quarterlySellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyDilutedAverageShares,annualDepreciationAndAmortization,trailingStockBasedCompensation,quarterlyNetIncomeCommonStockholders,annualCashFlowFromContinuingFinancingActivities,trailingCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTotalRevenue,quarterlyInventory,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualOperatingCashFlow,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualAccountsPayable,quarterlyCurrentDebt,annualCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyPurchaseOfInvestment,annualOtherShortTermInvestments,trailingEndCashPosition,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,annualOtherNonCurrentAssets,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualInterestExpense,annualBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyChangeInInventory,annualCurrentAssets,trailingCapitalExpenditure,quarterlyDilutedEPS,annualGrossPPE,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,quarterlyGrossProfit,quarterlyAccountsPayable,annualSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,trailingRepurchaseOfCapitalStock,annualRepaymentOfDebt,annualTotalNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOperatingExpense,trailingGrossProfit,trailingRepaymentOfDebt,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingNetIncomeCommonStockholders,quarterlyStockholdersEquity,trailingDeferredIncomeTax,annualCapitalExpenditure,annualCurrentAccruedExpenses,annualChangeInCashSupplementalAsReported,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingInterestExpense,quarterlyNetOtherInvestingChanges,quarterlyTaxProvision,annualTaxProvision,annualInventory,trailingTaxProvision,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,annualCurrentDebt,quarterlyNetPPE,annualCapitalStock,annualOtherCurrentAssets,annualCostOfRevenue,annualTotalRevenue,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,trailingChangeInInventory,trailingDepreciationAndAmortization,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyBasicEPS,annualNetOtherFinancingCharges,annualGrossProfit,annualNonCurrentDeferredTaxesLiabilities,annualAccumulatedDepreciation,quarterlyRetainedEarnings,annualFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingOtherNonCashItems,quarterlyPretaxIncome,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualChangeInWorkingCapital,annualPurchaseOfBusiness,trailingOperatingExpense,trailingNetIncomeContinuousOperations,annualNetIncomeContinuousOperations,quarterlyOperatingCashFlow,annualDilutedAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,trailingCostOfRevenue,quarterlyCapitalExpenditure,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,annualDilutedEPS,quarterlyIncomeTaxPayable,annualChangeInInventory,quarterlyOperatingIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,trailingFreeCashFlow,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyResearchAndDevelopment,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,annualInvestmentsAndAdvances,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingOtherIncomeExpense,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyAccountsReceivable,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,77400000.0,,6300000.0,,31300000.0,,,,,16000000.0,,,,,,12100000.0,315000000.0,,,,,,14000000.0,,,,,0.02,44700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16700000.0,,,,,,,,,,1200000.0,7800000.0,,,15100000.0,0.0,,,,5900000.0,,5900000.0,,,1800000.0,,,,68400000.0,,,12200000.0,,,6300000.0,,,,37700000.0,,,,9000000.0,,,,,,,,,,,,,,,15600000.0,,,,5800000.0,61000000.0,,,,,1100000.0,,,1500000.0,125000000.0,177800000.0,,,,,,,,,,52800000.0,,-4400000.0,,,,,,,,,,38800000.0,,,,,6300000.0,,315000000.0,,,,,,,0.02,,,,32700000.0,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,83900000.0,,5900000.0,,32600000.0,,,,,14400000.0,,,,,,11100000.0,295000000.0,,,,,,12800000.0,,,,,0.02,49400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20100000.0,,,,,,,,,,1100000.0,9100000.0,,,14000000.0,0.0,,,,6600000.0,,6600000.0,,,1700000.0,,,,73700000.0,,,14500000.0,,,5900000.0,,,,43100000.0,,,,10200000.0,,,,,,,,,,,,,,,19000000.0,,,,5200000.0,65900000.0,,,,,1100000.0,,,1200000.0,152700000.0,209800000.0,,,,,,,,,,57100000.0,,-5400000.0,,,,,,,,,,44300000.0,,,,,5900000.0,,295000000.0,,,,,,,0.02,,,,34500000.0,,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,90000000.0,,7200000.0,,32000000.0,,,,,13300000.0,,,,,,13600000.0,360000000.0,,,,,,15200000.0,,,,,0.02,54600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21200000.0,,,,,,,,,,1200000.0,11600000.0,,,16700000.0,900000.0,,,,7300000.0,,7300000.0,,,1500000.0,,,,77200000.0,,,17900000.0,,,7200000.0,,,,51700000.0,,,,12800000.0,,,,,,,,,,,,,,,20000000.0,,,,6400000.0,68300000.0,,,,,1200000.0,,,1600000.0,177100000.0,245500000.0,,,,,,,,,,68400000.0,1000000.0,-6300000.0,,,,,,,,,,53200000.0,,,,,7200000.0,,360000000.0,,,,,,,0.02,,,,35400000.0,,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,,106200000.0,,11300000.0,,34700000.0,,,,,12100000.0,,,,,,21700000.0,282500000.0,,,,,,23400000.0,,,,,0.04,63800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29000000.0,,,,,,,,,,1000000.0,13400000.0,,,25300000.0,1300000.0,,,,5800000.0,,5800000.0,,,1700000.0,,,,91800000.0,,,21100000.0,,,11300000.0,,,,60800000.0,,,,14400000.0,,,,,,,,,,,,,,,27800000.0,,,,10400000.0,84100000.0,,,,,1200000.0,,,1900000.0,204000000.0,290100000.0,,,,,,,,,,86100000.0,1300000.0,-7700000.0,,,,,,,,,,62700000.0,,,,,11300000.0,,282500000.0,,,,,,,0.04,,,,42400000.0,,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,,154300000.0,,15100000.0,,47300000.0,,,,,35700000.0,,,,,,29700000.0,302000000.0,,,,,,31500000.0,,,,,0.05,76600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40300000.0,,,,,,,,,,3800000.0,15300000.0,,,33700000.0,1700000.0,,,,15900000.0,,15900000.0,,,1800000.0,,,,135200000.0,,,24700000.0,,,15100000.0,,,,71100000.0,,,,19100000.0,,,,,,,,,,,,,,,34900000.0,,,,14600000.0,113900000.0,,,,,5400000.0,,,5400000.0,241900000.0,346700000.0,,,,,,,,,,104800000.0,1800000.0,-9400000.0,,,,,,,,,,73300000.0,,,,,15100000.0,,302000000.0,,,,,,,0.05,,,,77700000.0,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800000.0,800000.0,40000000.0,,,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000000.0,,,,,,89400000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89400000.0,,89400000.0,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4900000.0,4900000.0,245000000.0,,,4900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000000.0,,,,,,113600000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113600000.0,,113600000.0,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200000.0,5200000.0,260000000.0,,,5200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000000.0,,,,,,117000000.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117000000.0,,117000000.0,,,,,,,,,,,,,,,,,,,,,,,
473299200,,,,174000000.0,,20600000.0,,64800000.0,24500000.0,174000000.0,,27000000.0,27000000.0,48400000.0,,,,3800000.0,40000000.0,294285714.0,,,,,,44100000.0,,,,,0.07,93900000.0,,,,9700000.0,9700000.0,,,,9700000.0,,,,,,3800000.0,,142300000.0,,,,,,,4700000.0,4700000.0,,,900000.0,49300000.0,,,,,,,,6000000.0,,6000000.0,18500000.0,,,47100000.0,3800000.0,80100000.0,,,4700000.0,,4700000.0,2500000.0,,4100000.0,,,,149500000.0,,,30200000.0,,,20600000.0,,,,99300000.0,,,,24500000.0,,,,,,,,,93900000.0,,,,,,48400000.0,,,,19400000.0,142300000.0,,,-11700000.0,,900000.0,18500000.0,,2500000.0,334100000.0,480500000.0,,,,,,,-275800000.0,,,146400000.0,3800000.0,-11700000.0,64800000.0,,,,,,,,,102300000.0,,,,,20600000.0,,294285714.0,,,,30200000.0,149500000.0,49300000.0,0.07,,,-275800000.0,80100000.0,160600000.0,,,,,,,,,,,,,,,,,,,,,,,
