,trailingSaleOfInvestment,annualIncomeTaxPayable,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,trailingOtherNonCashItems,trailingPurchaseOfBusiness,annualStockholdersEquity,quarterlyNetOtherFinancingCharges,annualAccountsReceivable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualPurchaseOfInvestment,annualPurchaseOfBusiness,quarterlyLongTermDebt,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,trailingPretaxIncome,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,annualInvestingCashFlow,quarterlyOperatingCashFlow,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyInventory,annualStockBasedCompensation,annualGoodwill,trailingNetIncome,quarterlyAccountsReceivable,annualChangeInInventory,quarterlyCostOfRevenue,trailingCashDividendsPaid,quarterlyTaxProvision,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,annualChangeInWorkingCapital,annualOperatingCashFlow,annualInventory,annualCurrentLiabilities,annualGrossProfit,trailingChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualOtherIncomeExpense,annualCashCashEquivalentsAndMarketableSecurities,trailingRepaymentOfDebt,annualOperatingIncome,trailingChangeInWorkingCapital,trailingOperatingIncome,trailingOtherIncomeExpense,trailingResearchAndDevelopment,annualOtherNonCurrentLiabilities,annualCapitalStock,annualRepaymentOfDebt,annualTotalRevenue,quarterlyFreeCashFlow,trailingGrossProfit,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualNetOtherInvestingChanges,trailingCashFlowFromContinuingFinancingActivities,trailingEndCashPosition,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingInterestExpense,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,trailingPurchaseOfInvestment,annualEndCashPosition,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,trailingTotalRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,annualPretaxIncome,trailingCapitalExpenditure,quarterlyCapitalStock,annualGrossPPE,trailingChangeInCashSupplementalAsReported,annualAccountsPayable,trailingInvestingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,annualSellingGeneralAndAdministration,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,annualBasicEPS,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,annualInvestmentsAndAdvances,annualRepurchaseOfCapitalStock,trailingOperatingExpense,quarterlyDeferredIncomeTax,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,quarterlyOperatingIncome,annualNetIncomeContinuousOperations,annualBeginningCashPosition,trailingNetOtherFinancingCharges,quarterlyTotalRevenue,annualCapitalExpenditure,annualBasicAverageShares,trailingDeferredIncomeTax,annualCurrentAccruedExpenses,annualCashAndCashEquivalents,quarterlyInvestingCashFlow,quarterlyEndCashPosition,annualNetOtherFinancingCharges,quarterlyChangeInInventory,trailingBeginningCashPosition,annualInterestExpense,annualChangesInAccountReceivables,trailingCostOfRevenue,annualCurrentAssets,trailingNetIncomeContinuousOperations,quarterlyOtherNonCashItems,annualEbitda,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,annualResearchAndDevelopment,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualAccumulatedDepreciation,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualOtherShortTermInvestments,quarterlyRetainedEarnings,annualFreeCashFlow,annualOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,trailingOperatingCashFlow,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,annualCostOfRevenue,quarterlyAccumulatedDepreciation,quarterlyGoodwill,trailingNetIncomeCommonStockholders,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,trailingTaxProvision,quarterlyNetOtherInvestingChanges,annualDilutedEPS,annualTaxProvision,annualTotalAssets,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,annualCashDividendsPaid,annualLongTermDebt,annualNetIncome,quarterlyOtherCurrentAssets,annualOtherNonCashItems,annualDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,annualOtherCurrentAssets,annualTotalNonCurrentAssets,trailingDepreciationAndAmortization,trailingBasicAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,annualCommonStockIssuance,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingBasicEPS,trailingCommonStockIssuance,annualNonCurrentDeferredRevenue,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954460800,,,164348000000.0,,,,,,,,,,-1017000000.0,,,,,33364000000.0,,,,-51675000000.0,,,,,,,,,1515000000.0,,,,,,,,,-5413000000.0,158962000000.0,,,490799000000.0,,,,,,32515000000.0,,,171443000000.0,,,,,,,-1964000000.0,923132000000.0,,,,74460000000.0,-182602000000.0,,,,,,,,,241918000000.0,,,,,,,202764000000.0,,,,,,,,,,,319356000000.0,,319356000000.0,,,,,,,,67.775,,,,,,,,,,121318000000.0,163961000000.0,,,-35423000000.0,1765031354.0,,,,,,-1006000000.0,,,1194000000.0,,,,,,237322000000.0,119625000000.0,,,,,,,,,,,123539000000.0,,,,,,,,,,,,,,,432333000000.0,,,,,,,,67.775,81446000000.0,,,,,-28009000000.0,,119625000000.0,,130786000000.0,1765031354.0,,,,,,,,,,,,,,,,,,
985996800,,77369000000.0,198840000000.0,62727000000.0,,,,1212864000000.0,,191243000000.0,,,-207099000000.0,,,,,33605000000.0,,,,-58249000000.0,,,,,,,,,-1745000000.0,,,,,,,,,-35042000000.0,212662000000.0,100424000000.0,345626000000.0,579467000000.0,,,,111018000000.0,220356000000.0,28067000000.0,723433000000.0,,226102000000.0,,,,,9549000000.0,63540000000.0,-8348000000.0,963480000000.0,,,49179000000.0,120864000000.0,-39844000000.0,,,-41910000000.0,,,,,,361675000000.0,,,,,,,263076000000.0,,,686382000000.0,,91079000000.0,,,,,,,,353365000000.0,-5090000000.0,,,,,,,83.195,,,388465000000.0,,,,,,,148928000000.0,241918000000.0,,,-26941000000.0,1765190216.0,,113007000000.0,634375000000.0,,,-363000000.0,,,1020000000.0,,,1138951000000.0,,,297701000000.0,146855000000.0,,,,,,-466026000000.0,152065000000.0,,89058000000.0,,185721000000.0,,,,497691000000.0,,,,,,,,,,,384013000000.0,,,,,989129000000.0,,,83.195,114148000000.0,1747772000000.0,9447000000.0,,,-36610000000.0,6651000000.0,146855000000.0,,11411000000.0,1765190216.0,,13846000000.0,608821000000.0,,,,,,,,,,,,,,,
1017532800,,82769000000.0,232119000000.0,59613000000.0,,,,1420081000000.0,,191086000000.0,,,-38945000000.0,,,,,28430000000.0,,,,125239000000.0,,,,,,,,,-1611000000.0,,,,,,,,,4248000000.0,240586000000.0,96094000000.0,371785000000.0,667206000000.0,,,,132195000000.0,213385000000.0,92943000000.0,941205000000.0,,281243000000.0,,,,,10806000000.0,63540000000.0,-2282000000.0,1005060000000.0,,,78986000000.0,336641000000.0,-90818000000.0,,,,,,,,,698316000000.0,,,,,,,373427000000.0,,,636352000000.0,,83195000000.0,,,,,,385963000000.0,,385963000000.0,-5282000000.0,,,,,,,133.51,,,406737000000.0,,,,,,,238535000000.0,361675000000.0,,,-37523000000.0,1765081267.0,,116694000000.0,753316000000.0,,,-3353000000.0,,,759000000.0,,,1345094000000.0,,,402616000000.0,235656000000.0,,,,,,-422967000000.0,134099000000.0,,187889000000.0,,203063000000.0,,,,505884000000.0,,,,,,,,,,,337854000000.0,,,,,1175938000000.0,,,133.51,134892000000.0,1965216000000.0,6445000000.0,,,-48541000000.0,5492000000.0,235656000000.0,,234653000000.0,1765081267.0,,17296000000.0,620122000000.0,,,,,,,,,,,,,,,
1049068800,,84298000000.0,265076000000.0,36007000000.0,,,,1567732000000.0,,168219000000.0,,,-180231000000.0,,,,,29962000000.0,,,,140148000000.0,,,,,,,,,-5170000000.0,,,,,,,,,6721000000.0,263449000000.0,89485000000.0,344705000000.0,745737000000.0,,,,64579000000.0,203282000000.0,111503000000.0,1141385000000.0,,310686000000.0,,,,,106059000000.0,63540000000.0,-1546000000.0,1046081000000.0,,,68291000000.0,324642000000.0,22458000000.0,,,-58990000000.0,,,,,,1022958000000.0,,,,,,,431898000000.0,,,599633000000.0,,54406000000.0,,,,,,,,435051000000.0,14739000000.0,,,,,,,153.815,,,293475000000.0,,,,,,,274413000000.0,698316000000.0,,,-33477000000.0,1766810779.0,,110808000000.0,1022958000000.0,,,-2507000000.0,,,420000000.0,,,1542198000000.0,,,462280000000.0,271762000000.0,,,,,,-396351000000.0,146932000000.0,,118427000000.0,,229972000000.0,,,,491637000000.0,,,,,,,,,,,300344000000.0,,,,,1392639000000.0,,,153.815,157485000000.0,2059369000000.0,7689000000.0,,,-54435000000.0,4866000000.0,271762000000.0,,-12922000000.0,1766810779.0,,46640000000.0,517171000000.0,,,,,,,,,,,,,,,
1080691200,,93852000000.0,165835000000.0,77075000000.0,,,,1781010000000.0,,178854000000.0,,,-273949000000.0,,,,,28083000000.0,,,,-139322000000.0,,,,,,,,,-3974000000.0,,,,,,,,,-16262000000.0,311122000000.0,92931000000.0,370562000000.0,817036000000.0,,,,53897000000.0,230538000000.0,63974000000.0,1317754000000.0,,371633000000.0,,,,,102352000000.0,63541000000.0,-936000000.0,1086431000000.0,,,75683000000.0,53126000000.0,19858000000.0,,,-59344000000.0,,,,,,1076084000000.0,,,,,,,446144000000.0,,,615868000000.0,,52642000000.0,,,,,,,,445403000000.0,13116000000.0,,,,,,,160.93,,,356589000000.0,,,,,,,288233000000.0,1022958000000.0,,,-54160000000.0,1772596781.0,,121364000000.0,1076084000000.0,,,-1365000000.0,,,359000000.0,,,1730147000000.0,,,474586000000.0,285264000000.0,,,,,,-385330000000.0,184088000000.0,,241670000000.0,,256962000000.0,,,,554650000000.0,,,,,,,,,,,269395000000.0,,,,,1616676000000.0,,,160.93,157911000000.0,2335660000000.0,9977000000.0,,,-60869000000.0,4661000000.0,285264000000.0,,18150000000.0,1772596781.0,,28946000000.0,605513000000.0,,,,,,,,,,,,,,,
1112227200,,80790000000.0,395865000000.0,75493000000.0,,,,2001414000000.0,,196870000000.0,,,-391290000000.0,-29093000000.0,,,,31226000000.0,,,,-72305000000.0,,,,,,,,,-3398000000.0,,,,,,,,,-28612000000.0,295539000000.0,94565000000.0,365500000000.0,843781000000.0,,,,56212000000.0,220133000000.0,38060000000.0,1522120000000.0,,385278000000.0,,,,,97467000000.0,63541000000.0,-553000000.0,1122960000000.0,,,66227000000.0,164521000000.0,3260000000.0,,,-73912000000.0,,,,,,1264324000000.0,,,,,,,441102000000.0,,,624503000000.0,,45735000000.0,,,,,,,,458503000000.0,39001000000.0,,,,,,,156.505,,,303844000000.0,,,,,,,280871000000.0,1076084000000.0,,,-53669000000.0,1772710137.0,,139579000000.0,1264324000000.0,,,-1653000000.0,,,334000000.0,,,1969915000000.0,,,472662000000.0,277438000000.0,,,,,,-404370000000.0,178521000000.0,,257796000000.0,,241870000000.0,,,,544021000000.0,,,,,,,,,,,279179000000.0,,,,,1834931000000.0,,,156.505,160231000000.0,2545435000000.0,12941000000.0,,,-74958000000.0,5561000000.0,277438000000.0,,19243000000.0,1772710137.0,,34230000000.0,575520000000.0,,,,,,,,,,,,,,,
1143763200,,151947000000.0,497256000000.0,,,,,2348429000000.0,,207578000000.0,,,-469862000000.0,0.0,,,,28728000000.0,,,,6566000000.0,,,,,,,,,-5647000000.0,,,,,,,,,-10014000000.0,373575000000.0,98258000000.0,488227000000.0,930105000000.0,,,,176067000000.0,215670000000.0,81302000000.0,1869520000000.0,,402809000000.0,,,,,202165000000.0,63541000000.0,-3218000000.0,1212207000000.0,,,85579000000.0,361911000000.0,-406000000.0,,,-89290000000.0,,,,,,1626235000000.0,,,,,,,517957000000.0,,,592268000000.0,,50719000000.0,,,,,,,,527296000000.0,54081000000.0,,,,,,,176.735,,,387964000000.0,,,,,,,316596000000.0,1264324000000.0,,,-32093000000.0,1772421988.0,,167195000000.0,1626235000000.0,,,-1509000000.0,,,365000000.0,,,2371970000000.0,,,547050000000.0,313249000000.0,,,,,,-376598000000.0,205638000000.0,,243285000000.0,,341482000000.0,,,,693865000000.0,,,,,,,,,,,282102000000.0,,,,,2062226000000.0,,,176.735,201361000000.0,3042294000000.0,9112000000.0,,,-85529000000.0,3473000000.0,313249000000.0,,40742000000.0,1772421988.0,,32802000000.0,670324000000.0,,,,,,,,,,,,,,,
1175299200,,100734000000.0,516977000000.0,,,,,2420245000000.0,,232104000000.0,,,-331023000000.0,-4724000000.0,,,,28820000000.0,,,,116392000000.0,,,,,,,,,-7052000000.0,,,,,,,,,-35859000000.0,209280000000.0,105307000000.0,442407000000.0,1025505000000.0,,,,203560000000.0,238446000000.0,110882000000.0,1799936000000.0,,458500000000.0,,,,,166928000000.0,63541000000.0,-2076000000.0,1305167000000.0,,,104502000000.0,21459000000.0,-61698000000.0,,,-315942000000.0,,,,,,1647694000000.0,,,,,,,625379000000.0,,,620688000000.0,,55186000000.0,,,,,,,,567005000000.0,63115000000.0,,,,,,,193.0,,,394645000000.0,-213734000000.0,,,,,,339535000000.0,1626235000000.0,,,-29151000000.0,1739922280.0,,155241000000.0,1647694000000.0,,,-1563000000.0,,,247000000.0,,,2357713000000.0,,,654446000000.0,335805000000.0,,,,,,-382242000000.0,168978000000.0,,152242000000.0,,180129000000.0,,,,611385000000.0,,,,,,,,,,,279662000000.0,,,,,2297438000000.0,,,193.0,285844000000.0,3072501000000.0,9567000000.0,,,-98757000000.0,2050000000.0,335805000000.0,,-4484000000.0,1739922280.0,,51807000000.0,714788000000.0,,,,,,,,,,,,,,,
1206921600,,90265000000.0,365981000000.0,59946000000.0,,,,2280783000000.0,,223638000000.0,,,-253092000000.0,-1756000000.0,,,,31690000000.0,,,,101749000000.0,,,,,,,,,-14510000000.0,,,,,,,,,-8711000000.0,292495000000.0,116131000000.0,428711000000.0,1096171000000.0,,,,-33393000000.0,236134000000.0,91989000000.0,1684993000000.0,,423123000000.0,,,,,12930000000.0,63541000000.0,-1400000000.0,1374802000000.0,,,87434000000.0,-34454000000.0,21006000000.0,,,-262082000000.0,,,,,,1613240000000.0,,,,,,,576842000000.0,,,645602000000.0,,69036000000.0,,,,,,,,673048000000.0,72176000000.0,,,,,,,209.485,,,292777000000.0,-128758000000.0,,,,,,358076000000.0,1647694000000.0,,,-32618000000.0,1696799294.0,,175186000000.0,1613240000000.0,,,-1970000000.0,,,333000000.0,,,2243792000000.0,,,608865000000.0,355454000000.0,,,,,,-409468000000.0,98035000000.0,,71753000000.0,,259877000000.0,,,,526746000000.0,,,,,,,,,,,278631000000.0,,,,,2523641000000.0,,,209.485,218766000000.0,2849279000000.0,4581000000.0,,,-129167000000.0,1250000000.0,355454000000.0,,7402000000.0,1696799294.0,,54416000000.0,605487000000.0,,,,,,,,,,,,,,,
