,quarterlyOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOtherIncomeExpense,trailingGrossProfit,quarterlyCapitalStock,annualTotalNonCurrentAssets,annualNetPPE,annualRepaymentOfDebt,annualOperatingCashFlow,annualGrossProfit,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,annualEbitda,quarterlyDilutedAverageShares,annualDilutedEPS,annualBasicEPS,quarterlyPretaxIncome,annualChangeInInventory,quarterlyCurrentDebt,annualGrossPPE,quarterlyAccumulatedDepreciation,quarterlyInterestExpense,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,annualBasicAverageShares,trailingOtherIncomeExpense,quarterlyGrossProfit,annualDilutedAverageShares,annualSaleOfInvestment,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,annualOtherNonCashItems,annualLongTermDebt,annualCurrentAssets,annualDepreciationAndAmortization,annualRepurchaseOfCapitalStock,annualStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyOtherIncomeExpense,quarterlyInventory,annualTotalAssets,annualTaxProvision,quarterlyBasicAverageShares,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,annualRetainedEarnings,annualCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyBasicEPS,quarterlyOperatingExpense,annualFreeCashFlow,annualOtherShortTermInvestments,quarterlyCurrentAssets,annualCommonStockIssuance,quarterlyRetainedEarnings,annualTotalLiabilitiesNetMinorityInterest,annualGainsLossesNotAffectingRetainedEarnings,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualResearchAndDevelopment,annualAccountsPayable,annualChangeInAccountPayable,annualOtherCurrentAssets,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualEndCashPosition,quarterlyCurrentLiabilities,annualOperatingIncome,trailingCostOfRevenue,trailingNetIncome,trailingTaxProvision,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualCurrentDeferredRevenue,annualNetIncome,annualPretaxIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,trailingOperatingIncome,quarterlyTotalAssets,annualCurrentDebt,quarterlyTotalNonCurrentAssets,annualAccumulatedDepreciation,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,annualIncomeTaxPayable,annualInvestingCashFlow,trailingSellingGeneralAndAdministration,annualCapitalExpenditure,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyNonCurrentDeferredRevenue,trailingOperatingExpense,quarterlyAccountsPayable,annualNonCurrentDeferredRevenue,annualChangesInAccountReceivables,annualInventory,quarterlyTaxProvision,annualGoodwill,quarterlyNetPPE,annualCashFlowFromContinuingFinancingActivities,annualNetOtherFinancingCharges,trailingInterestExpense,quarterlyEbitda,annualOtherCurrentLiabilities,annualChangeInCashSupplementalAsReported,annualCapitalStock,annualPurchaseOfInvestment,trailingResearchAndDevelopment,annualTotalRevenue,annualStockBasedCompensation,annualInterestExpense,quarterlyCapitalExpenditure,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,trailingInvestingCashFlow,trailingChangeInAccountPayable,trailingOtherNonCashItems,trailingCashDividendsPaid,trailingChangeInWorkingCapital,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,trailingOperatingCashFlow,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,trailingNetOtherFinancingCharges,trailingDeferredIncomeTax,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,trailingSaleOfInvestment,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingFreeCashFlow,quarterlyNetOtherInvestingChanges,trailingNetOtherInvestingChanges,quarterlyChangeInWorkingCapital,trailingRepaymentOfDebt,quarterlyOperatingCashFlow,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyEndCashPosition,annualCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,trailingDilutedAverageShares,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,trailingEndCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,trailingCapitalExpenditure,quarterlyStockBasedCompensation,annualDeferredIncomeTax,quarterlyNetOtherFinancingCharges,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBeginningCashPosition,quarterlyChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262217600,,1964549.2828,,0.0,,,1063725.73411,1058126.78231,0.0,-9328440.90594,1561144.80561,,,,-9145321.04213,,-0.025263,-0.025263,,-10261301.38371,,1360101.46805,,,,,83697.50142,373173705.0,,,373173705.0,,,,,,5598.9518,10690092.32772,-9211197.48965,,17643840.24754,282132.5468,0.0,-10583131.86437,,,,18707565.98165,0.0,,,-9427453.58893,,,29290697.84602,-11613810.12688,1277557.89694,,,,2982227.05235,,,,,,-9958104.48776,,,0.0,,29290697.84602,2499.04434,0.0,704887.54765,7214645.41772,7178996.48193,0.0,,,-399375.96309,,,1964549.2828,,-9427774.50446,,,,,-5605.77979,,,1964549.2828,-9427453.58893,17590206.38609,1334339.46178,-9427453.58893,-9427453.58893,,,,,0.0,,-301974.68574,10988919.31007,,,,,-635269.36161,,-629663.58182,,,,,,,,,,,-2980772.69048,10498471.61636,,,,11841120.74197,11841120.74197,,,121872.79351,1880851.78138,32624.13622,,,19151351.1917,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293753600,,7369444.38842,,0.0,,,10379081.93748,9063780.33052,0.0,-43599666.85502,21276118.436,,,,-54803050.8061,,-0.148691,-0.148691,,-56188499.00218,,10041554.5383,,,,,1908337.4264,373173705.0,,,373173705.0,,,,,,21794.78932,73560843.01954,4848.44522,,103255540.41032,684439.95566,0.0,-67066274.37222,,,,113634622.3478,0.0,,,-55487490.76176,,,180700896.72002,-66768987.07858,12439783.91052,,,,9104657.16758,,,,,,-53675976.32212,,,6.63262,,180700896.72002,-1296047.1111,0.0,3728328.3544,55075956.58862,48067744.58326,0.0,,,-6590005.4165,,,7369444.38842,,-55491231.55944,,,,,-20746.83536,,,7369444.38842,-55487490.76176,194828669.1553,18270964.53806,-55487490.76176,-55487490.76176,,,,,0.0,,-977774.20778,76767349.99544,,,,,-10097056.30246,,-10076309.4671,,,,,,,,,,,-6207760.89328,49132691.3157,,,,60603714.74902,60603708.1164,,,606407.18136,5461106.96202,31690.65836,,,216104787.5913,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1301529600,,,,,,,,,,,,,,,,373173705.0,,,-44075244.05438,,,,,0.0,,,,,,32332462.21678,,,,,-44075244.05438,-44075244.05438,,,,,,,,,,0.0,,,,373173705.0,,,,,,,,,,,,,,157315842.28642,-0.984388,76412218.88562,,,,,,,,,,,,,,73540705.0214,,,,,,,,,,,,-0.984388,,,,,,,,-367347757.67704,,,,,,,,,,,,,,,,3244109.99614,-44079756.66884,,189648304.5032,,,,,,,,0.0,,,,,,-44075244.05438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309392000,,,,,,,,,,,,,,,,373173705.0,,,-126134207.56398,,,,,111206.01624,,,,,,48061502.3823,,,,,-126134207.56398,-126134207.56398,,,,,,,,,,-1172431.54578,,,,373173705.0,,,,,,,,,,,,,,214346257.79292,-0.338004,172939977.408,,,,,,,,,,,,,,167852987.9829,,,,,,,,,,,,-0.338004,,,,,,,,-126134207.56398,,,,,,,,,,,,,,,,5500246.45764,-124878475.0257,,262407760.17522,,,,,,,,0.0,,,,,,-126023001.54774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317340800,,,,,,,,,,,,,,,,373173705.0,,,-112393685.09068,,,,,1215768.3181,,,,,,64049810.76928,,,,,-112393685.09068,-112393685.09068,,,,,,,,,,366233.02604,,,,373173705.0,,,,,,,,,,,,,,272384208.06856,-0.301183,175681517.4156,,,,,,,,,,,,,,168796563.3473,,,,,,,,,,,,-0.301183,,,,,,,,-112393685.09068,,,,,,,,,,,,,,,,7630683.39698,-111631706.64632,,336434018.83784,,,,,,,,0.0,,,,,,-111177916.77258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,282540779.73,,115486.875,,46898.67,57553498.515,57496198.17,-29957578.2,8213080.875,272401591.47,282540779.73,114947634.57,282540779.73,-662490486.72,,-2.6397,-2.6397,-391598397.91596,-402421014.285,79886875.2,66662524.995,-9166326.825,1781014.73066,,,6983206.935,373173705.0,,127957816.10164,373173705.0,,57300.345,937383351.63,-391598397.91596,-391598397.91596,57300.345,913255695.435,27987.105,,994777487.685,8603058.84,-11548687.5,114947634.57,0.0,921685.39474,438329727.0,1052330986.2,0.0,,25731305.37,-983517665.07,,,937383351.63,-1046787245.385,70867334.55,119679397.38,,,25731305.37,,70867334.55,511145076.0421,,519346426.74078,-52073644.725,,994777487.685,18167515.275,-1046787245.385,937383351.63,-4808232.405,0.0,34670328.885,553208063.16,501018673.875,0.0,,503065439.0834,195362097.81,,0.0,282540779.73,937383351.63,-671978548.98,,,,,-89401447.59,,,282540779.73,-674201534.625,1155191384.19,119679397.38,-674201534.625,-674201534.625,-377642014.7383,,,1052330986.2,79886875.2,57553498.515,-9166326.825,944380140.45,,-4808232.405,66662524.995,,-149668199.46,,-60286725.6,,18295289.03424,-391388610.63914,14566530.81,639102892.14374,,,,553208063.16,,-17459447.175,438329727.0,0.0,,57496198.17,419748413.61,8138327.085,,-389817383.1853,14566530.81,275557572.795,46898.67,,,1427592975.66,464636864.07,3107989.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1333152000,,,,,,63818.73316,,,,,,621360892.23936,469958854.17208,621360892.23936,,258323580.0,,,-54178652.91566,,50098771.91046,,,1178223.5465,,,,,,135190483.42982,,,49899.00552,777939497.81366,-54178652.91566,-54178652.91566,,,,,,,,,0.0,679353.38016,417987923.06362,,,258323580.0,10320739.78208,,,,,,,138545825.57452,,,,,120913758.31444,503766805.9788,-0.214538,189917331.3128,,,1190076541.63216,,-1105119736.63,,,,,,,,,179873616.82654,,,0.0,,777939497.81366,,,,,,,-0.214538,,,,,,,,-54178652.91566,,,1247898351.98574,,57821810.35358,,,,-4776113.47486,55696717.21068,,,,,,15353074.68058,-54726847.88298,113238770.06442,638957289.40862,,,,448279894.27312,,,,0.0,,55696717.21068,,,,-53000429.36916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341014400,,,,,,64362.9675,,,,,,735363385.8,462509738.955,735363385.8,,505692825.0,,,-36779993.1375,,0.0,,,216221.13375,,,,,,188066497.36125,,,42758.03625,811714691.01,-36779993.1375,-36779993.1375,,,,,,,,,0.0,-4320133.5075,399242882.84625,,,505692825.0,8385481.55625,,,,,,,152209362.52125,,,,,171398989.7325,672820234.4325,-0.076365,222701798.565,,,1215976593.48,,-1151323986.2625,,,,,,,,,208151497.83375,,,0.0,,811714691.01,,,,,,,-0.076365,,,,,,,,-36779993.1375,,,1274224429.965,,58247836.485,,,,-4290586.61625,56829757.52625,,,,,,16902400.005,-34635301.20375,117315922.572,860886731.79375,,,,484158796.4475,,,,0.0,,56829757.52625,,,,-36563772.00375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348963200,,,,,,63576.0252,,,,,,829417437.729,462584161.9764,577411117.5195,,505699005.0,,,-9150692.8869,,0.0,,,7522.7859,,,,,,218482976.2455,,,40096.386,1173389928.6906,-9150692.8869,-9150692.8869,,,,,,,,,0.0,2667566.0538,567671585.9508,,,505699005.0,17794223.0532,,,,,,,268443048.0627,,,,,233074817.8443,761581944.5346,-0.012569,238918520.4453,,,1578026315.9826,,-1146173023.5039,,,,,,,,,222074782.8507,,252006320.2095,0.0,,1173389928.6906,,,,,,,-0.012569,,,,,,,,-9150692.8869,,,1635974090.667,,57947774.6844,,,,-2509662.9663,53354645.6823,,,,,,20229550.5879,-20435544.1998,216225278.74656,980064920.7801,,,,661877963.1567,,,,0.0,,53354645.6823,,,,-9143170.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
