,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualLongTermDebt,annualPretaxIncome,quarterlyLongTermDebt,trailingCashDividendsPaid,annualNetIncome,quarterlyTotalAssets,annualCashDividendsPaid,quarterlyTotalNonCurrentAssets,annualGoodwill,quarterlyAccountsReceivable,annualSaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDilutedEPS,trailingInvestingCashFlow,annualStockholdersEquity,annualOtherNonCashItems,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualRetainedEarnings,quarterlyInventory,annualDilutedAverageShares,quarterlyOtherIncomeExpense,annualTotalAssets,annualCashFlowFromContinuingFinancingActivities,annualDepreciationAndAmortization,annualInvestingCashFlow,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingTotalRevenue,trailingOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOperatingIncome,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualEndCashPosition,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyEndCashPosition,annualCommonStockIssuance,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,annualOtherIntangibleAssets,annualOtherIncomeExpense,quarterlyDepreciationAndAmortization,annualNetPPE,trailingEndCashPosition,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,annualBasicAverageShares,annualOperatingCashFlow,annualAccountsPayable,quarterlyCurrentDebt,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,annualChangeInAccountPayable,annualEbitda,annualOtherNonCurrentLiabilities,trailingNetOtherInvestingChanges,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,annualGainsLossesNotAffectingRetainedEarnings,annualCashCashEquivalentsAndMarketableSecurities,annualNetOtherInvestingChanges,quarterlyOtherNonCurrentAssets,trailingPretaxIncome,annualCashAndCashEquivalents,annualCurrentAssets,annualBeginningCashPosition,trailingCapitalExpenditure,trailingBeginningCashPosition,trailingOperatingExpense,annualInterestExpense,quarterlyOtherCurrentAssets,annualChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,trailingChangeInCashSupplementalAsReported,annualGrossPPE,annualNetIncomeCommonStockholders,quarterlySaleOfInvestment,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyAccountsPayable,trailingRepaymentOfDebt,quarterlyBasicEPS,quarterlyGrossProfit,trailingRepurchaseOfCapitalStock,quarterlyNetOtherInvestingChanges,trailingGrossProfit,annualTaxProvision,trailingInterestExpense,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,trailingDeferredIncomeTax,trailingNetIncomeCommonStockholders,annualCurrentAccruedExpenses,annualCapitalExpenditure,annualChangeInCashSupplementalAsReported,quarterlyStockholdersEquity,trailingCostOfRevenue,quarterlySellingGeneralAndAdministration,annualCapitalStock,quarterlyOtherNonCashItems,annualCostOfRevenue,annualTotalRevenue,annualOtherCurrentAssets,annualDilutedEPS,annualCurrentDebt,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,annualFreeCashFlow,annualTotalNonCurrentAssets,annualNetOtherFinancingCharges,annualInventory,quarterlyEbitda,trailingTaxProvision,annualGrossProfit,trailingDepreciationAndAmortization,quarterlyOperatingIncome,annualChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,trailingNetIncomeContinuousOperations,quarterlyDilutedAverageShares,annualPurchaseOfBusiness,quarterlyResearchAndDevelopment,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingOtherNonCashItems,quarterlyRetainedEarnings,annualBasicEPS,annualOperatingExpense,quarterlyCurrentAssets,annualChangeInInventory,trailingNetIncome,quarterlyPurchaseOfBusiness,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingSellingGeneralAndAdministration,trailingFreeCashFlow,annualNonCurrentDeferredTaxesLiabilities,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyChangesInAccountReceivables,annualIncomeTaxPayable,annualStockBasedCompensation,trailingResearchAndDevelopment,trailingSaleOfInvestment,trailingDilutedEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingStockBasedCompensation,trailingChangeInInventory,quarterlyChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315446400,,,,,,107500000.0,39700000.0,,,23700000.0,,,,,,,,,,,158700000.0,,,,,135400000.0,,322816000.0,,374200000.0,,,0.0,,,,,,,,,49300000.0,,,0.0,,,,,,,,3000000.0,100000.0,,173700000.0,,,,322816000.0,0.0,,,88200000.0,127300000.0,,,,,65100000.0,5300000.0,,,,,,,,9300000.0,,,,9300000.0,178900000.0,0.0,,,,9700000.0,,,,59800000.0,18600000.0,,274700000.0,23700000.0,,,,-101000000.0,,,,,,,,,,,,16000000.0,,,72900000.0,,,,,,,,,,,430100000.0,555000000.0,2600000.0,0.004648,15300000.0,,,,,0.0,195300000.0,,106500000.0,,,124900000.0,,,,,,,,,23700000.0,,,,,,,0.004648,75600000.0,,,,,,,,,14500000.0,,,215500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
347068800,,,,,,142100000.0,39400000.0,,,24400000.0,,,,,,,,,,,179200000.0,,,,,152100000.0,,332544000.0,,431500000.0,,,0.0,,,,,,,,,54100000.0,,,0.0,,,,,,,,4100000.0,100000.0,,209500000.0,,,,332544000.0,0.0,,,87200000.0,165100000.0,,,,,76100000.0,5800000.0,,,,,,,,6600000.0,,,,6600000.0,208800000.0,0.0,,,,14800000.0,,,,65000000.0,9100000.0,,327300000.0,24400000.0,,,,-117800000.0,,,,,,,,,,,,15000000.0,,,83900000.0,,,,,,,,,,,557700000.0,698800000.0,3200000.0,0.004688,3300000.0,,,,,0.0,222700000.0,,125800000.0,,,141100000.0,,,,,,,,,24400000.0,,,,,,,0.004688,87000000.0,,,,,,,,,17200000.0,,,252300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
378604800,,,,,,140600000.0,48200000.0,,,29200000.0,,,,,,,,,,,203600000.0,,,,,172300000.0,,345056000.0,,481700000.0,,,0.0,,,,,,,,,62100000.0,,,0.0,,,,,,,,,0.0,,241200000.0,,,,345056000.0,0.0,,,104200000.0,173900000.0,,,,,85900000.0,8500000.0,,,,,,,,6400000.0,,,,6400000.0,219700000.0,0.0,,,,13900000.0,,,,72700000.0,20800000.0,,372200000.0,29200000.0,,,,-131000000.0,,,,,,,,,,,,19000000.0,,,99600000.0,,,,,,,,,,,656600000.0,815200000.0,3800000.0,0.005391,4600000.0,,,,,0.0,262000000.0,,139600000.0,,,158600000.0,,,,,,,,,29200000.0,,,,,,,0.005391,96500000.0,,,,,,,,,24800000.0,,,278100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
410140800,,,,,,129400000.0,58900000.0,,,34500000.0,,,,,,,,,,,232600000.0,,,,,196200000.0,,355104000.0,,514200000.0,,,0.0,,,,,,,,,73000000.0,,,0.0,,,,,,,,,0.0,,265100000.0,,,,355104000.0,0.0,,,105900000.0,175700000.0,,,,,100200000.0,9100000.0,,,,,,,,7800000.0,,,,7800000.0,219200000.0,0.0,,,,14100000.0,,,,74400000.0,29900000.0,,411900000.0,34500000.0,,,,-146800000.0,,,,,,,,,,,,24400000.0,,,98200000.0,,,,,,,,,,,714500000.0,889100000.0,3400000.0,0.012344,7700000.0,,,,,0.0,295000000.0,,135600000.0,,,174600000.0,,,,,,,,,34500000.0,,,,,,,0.012344,101600000.0,,,,,,,,,37200000.0,,,281600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
441676800,,,,,,108600000.0,71900000.0,,,39000000.0,,,,,,,,,,,262100000.0,,,,,222600000.0,,361536000.0,,558800000.0,,,0.0,,,,,,,,,83700000.0,,,0.0,,,,,,,,,0.0,,270000000.0,,,,361536000.0,0.0,,,133500000.0,163200000.0,,,,,114600000.0,9900000.0,,,,,,,,23500000.0,,,,23500000.0,254300000.0,0.0,,,,11800000.0,,,,74500000.0,34500000.0,,443400000.0,39000000.0,,,,-173400000.0,,,,,,,,,,,,32900000.0,,,124700000.0,,,,,,,,,,,720400000.0,909500000.0,3500000.0,0.013594,8800000.0,,,,,0.0,304500000.0,,143100000.0,,,189100000.0,,,,,,,,,39000000.0,,,,,,,0.013594,105400000.0,,,,,,,,,44700000.0,,,296700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
449539200,,,,,,,,,,,,,,,,,,,0.002578,,,,,,,,,,,,,,,,,7400000.0,,,,,,,,,,,,362816000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239000000.0,,,,239000000.0,,,,362816000.0,,,,,,,,,,,,,,,,,,,,,,,,239000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
457401600,,,,,,,,,,,,,,,,,,,0.005078,,,,,,,,,,,,,,,,,14600000.0,,,,,,,,,,,,362816000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291200000.0,,,,291200000.0,,,,362816000.0,,,,,,,,,,,,,,,,,,,,,,,,291200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
465350400,,,,,,,,,,,,,,,,,,,0.005156,,,,,,,,,,,,,,,,,14800000.0,,,,,,,,,,,,362464000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288000000.0,,,,288000000.0,,,,362464000.0,,,,,,,,,,,,,,,,,,,,,,,,288000000.0,,,,,,,,,,,,,,,,,,,,,,,,,
473299200,15100000.0,136900000.0,,,,114800000.0,81700000.0,114800000.0,,46300000.0,622400000.0,,348000000.0,,,,,,,,295400000.0,,,,179700000.0,254900000.0,163400000.0,364448000.0,,622400000.0,,,0.0,,,9500000.0,,,49800000.0,14400000.0,14400000.0,91000000.0,,,0.0,,,,,,,,,0.0,,304900000.0,,,,364448000.0,0.0,,10400000.0,147300000.0,179700000.0,,,,,124100000.0,15100000.0,,,327000000.0,,,,,14400000.0,,43100000.0,,14400000.0,274400000.0,0.0,,,,9300000.0,5100000.0,,,83100000.0,43100000.0,,501600000.0,46300000.0,,,,-196700000.0,,,,,,,,,,,,35400000.0,,,136900000.0,,,,,,295400000.0,,,,,843500000.0,1050700000.0,5100000.0,0.015938,10400000.0,,,,304900000.0,0.0,348000000.0,,163400000.0,-727200000.0,,207200000.0,,-727200000.0,,,,,,,46300000.0,,,,,,254900000.0,0.015938,116200000.0,274400000.0,,,,501600000.0,147300000.0,,,49800000.0,,,327000000.0,232500000.0,-196700000.0,,,,,,,,,,,,,,,,,,,,,,,,
481075200,,,,,,,,,,,,,,,,,,,0.002891,,,,,,,,,,,,,,,,,8400000.0,,,,,,,,,,,,362944000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255700000.0,,,,255700000.0,,,,362944000.0,,,,,,,,,,,,,,,,,,,,,,,,255700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
488937600,,,,,,,,,,,,,,,,,,,0.005703,,,,,,,,,,,,,,,,,16400000.0,,,,,,,,,,,,364448000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305500000.0,,,,305500000.0,,,,364448000.0,,,,,,,,,,,,,,,,,,,,,,,,305500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
496886400,,,,,,,,,,,,,,,,,,,0.005391,,,,,,,,,,,,,,,,,15700000.0,,,,,,,,,,,,364288000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288500000.0,,,,288500000.0,,,,364288000.0,,,,,,,,,,,,,,,,,,,,,,,,288500000.0,,,,,,,,,,,,,,,,,,,,,,,,,
504835200,13600000.0,127500000.0,,,,89900000.0,92600000.0,89900000.0,,51200000.0,641700000.0,,376800000.0,,,,,,,,330800000.0,,,,175400000.0,291500000.0,147200000.0,368128000.0,,641700000.0,,,0.0,,,10700000.0,,,71900000.0,15000000.0,15000000.0,101500000.0,,,0.0,,,,,,,,,0.0,,337300000.0,,,,368128000.0,0.0,,8000000.0,135500000.0,175400000.0,,,,,140700000.0,13600000.0,,,310900000.0,,,,,15000000.0,,39500000.0,,15000000.0,264900000.0,0.0,,,,8900000.0,3900000.0,,,83200000.0,39500000.0,,569000000.0,51200000.0,,,,-231700000.0,,,,,,,,,,,,41400000.0,,,127500000.0,,,,,,330800000.0,,,,,882300000.0,1106200000.0,3900000.0,0.035,8000000.0,,,,337300000.0,0.0,376800000.0,,147200000.0,-748100000.0,,223900000.0,,-748100000.0,,,,,,,51200000.0,,,,,,291500000.0,0.035,122400000.0,264900000.0,,,,569000000.0,135500000.0,,,71900000.0,,,310900000.0,256600000.0,-231700000.0,,,,,,,,,,,,,,,,,,,,,,,,
512611200,,,,,,,,,,,,,,,,,,,0.008281,,,,,,,,,,,,,,,,,12300000.0,,,,,,,,,,,,365568000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240600000.0,,,,240600000.0,,,,365568000.0,,,,,,,,,,,,,,,,,,,,,,,,240600000.0,,,,,,,,,,,,,,,,,,,,,,,,,
520473600,,,,,,,,,,,,,,,,,,,0.012656,,,,,,,,,,,,,,,,,18600000.0,,,,,,,,,,,,367856000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296100000.0,,,,296100000.0,,,,367856000.0,,,,,,,,,,,,,,,,,,,,,,,,296100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
528422400,,,,,,,,,,,,,,,,,,,0.011406,,,,,,,,,,,,,,,,,16700000.0,,,,,,,,,,,,368128000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281700000.0,,,,281700000.0,,,,368128000.0,,,,,,,,,,,,,,,,,,,,,,,,281700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
536371200,15300000.0,142900000.0,,,,101600000.0,110300000.0,101600000.0,,58900000.0,732700000.0,,401500000.0,,,,,,,,365300000.0,,,,202100000.0,332300000.0,185500000.0,368832000.0,,732700000.0,,,0.0,,,11300000.0,,,85200000.0,10200000.0,10200000.0,116600000.0,,,0.0,,,,,,,,,0.0,,366000000.0,,,,368832000.0,0.0,,22400000.0,165300000.0,202100000.0,,,,,160800000.0,15300000.0,,,367400000.0,,,,,10200000.0,,35500000.0,,10200000.0,331200000.0,0.0,,,,6300000.0,26500000.0,,,81200000.0,35500000.0,,627300000.0,58900000.0,,,,-261300000.0,,,,,,,,,,,,51400000.0,,,142900000.0,,,,,,365300000.0,,,,,828300000.0,1070300000.0,26500000.0,0.04,22400000.0,,,,366000000.0,0.0,401500000.0,,185500000.0,-701800000.0,,242000000.0,,-701800000.0,,,,,,,58900000.0,,,,,,332300000.0,0.04,125400000.0,331200000.0,,,,627300000.0,165300000.0,,,85200000.0,,,367400000.0,251900000.0,-261300000.0,,,,,,,,,,,,,,,,,,,,,,,,
544147200,,,,,,,,,,,,,,,,,,,0.007813,,,,,,,,,,,,,,,,,11900000.0,,,,,,,,,,,,367760000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283600000.0,,,,283600000.0,,,,367760000.0,,,,,,,,,,,,,,,,,,,,,,,,283600000.0,,,,,,,,,,,,,,,,,,,,,,,,,
552009600,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,22800000.0,,,,,,,,,,,,368832000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288300000.0,,,,288300000.0,,,,368832000.0,,,,,,,,,,,,,,,,,,,,,,,,288300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
559958400,,,,,,,,,,,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,18900000.0,,,,,,,,,,,,378208000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267400000.0,,,,267400000.0,,,,378208000.0,,,,,,,,,,,,,,,,,,,,,,,,267400000.0,,,,,,,,,,,,,,,,,,,,,,,,,
567907200,17000000.0,156500000.0,,,,100700000.0,113500000.0,100700000.0,,66300000.0,794900000.0,,479200000.0,,,,,,,,397400000.0,,,,194100000.0,380900000.0,163000000.0,373248000.0,,794900000.0,,,0.0,,,12700000.0,,,76400000.0,16600000.0,16600000.0,118900000.0,,,0.0,,,,,,,,,0.0,,401900000.0,,,,373248000.0,0.0,,46900000.0,203400000.0,194100000.0,,,,,160200000.0,17000000.0,,,397500000.0,,,,,16600000.0,,77300000.0,,16600000.0,315700000.0,0.0,,,,5400000.0,21500000.0,,,76500000.0,77300000.0,,629600000.0,66300000.0,,,,-227700000.0,,,,,,,,,,,,47200000.0,,,156500000.0,,,,,,397400000.0,,,,,817400000.0,1054100000.0,21500000.0,0.04375,46900000.0,,,,401900000.0,0.0,479200000.0,,163000000.0,-720400000.0,,236700000.0,,-720400000.0,,,,,,,66300000.0,,,,,,380900000.0,0.04375,117800000.0,315700000.0,,,,629600000.0,203400000.0,,,76400000.0,,,397500000.0,214800000.0,-227700000.0,,,,,,,,,,,,,,,,,,,,,,,,
575769600,,,,,,,,,,,,,,,,,,,0.008125,,,,,,,,,,,,,,,,,12200000.0,,,,,,,,,,,,374912000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241200000.0,,,,241200000.0,,,,374912000.0,,,,,,,,,,,,,,,,,,,,,,,,241200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
583632000,,,,,,,,,,,,,,,,,,,0.011406,,,,,,,,,,,,,,,,,17000000.0,,,,,,,,,,,,373824000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306100000.0,,,,306100000.0,,,,373824000.0,,,,,,,,,,,,,,,,,,,,,,,,306100000.0,,,,,,,,,,,,,,,,,,,,,,,,,
591580800,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,14900000.0,,,,,,,,,,,,372336000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292700000.0,,,,292700000.0,,,,372336000.0,,,,,,,,,,,,,,,,,,,,,,,,292700000.0,,,,,,,,,,,,,,,,,,,,,,,,,
599529600,19700000.0,145900000.0,,,,196300000.0,48100000.0,196300000.0,,32700000.0,876500000.0,,544800000.0,,,,,,,,421400000.0,,,,272100000.0,401600000.0,155500000.0,376256000.0,,876500000.0,,,0.0,,,-11400000.0,,,56100000.0,15700000.0,15700000.0,50400000.0,,,0.0,,,,,,,,,8400000.0,,433000000.0,,,,376256000.0,0.0,,37100000.0,183000000.0,272100000.0,,,,,94300000.0,19700000.0,,,455100000.0,,,,,15700000.0,,111800000.0,,15700000.0,331700000.0,0.0,,,,10700000.0,26600000.0,,,111300000.0,111800000.0,,683800000.0,32700000.0,,,,-250800000.0,,,,,,,,,,,,15400000.0,,,145900000.0,,,,,,421400000.0,,,,,867400000.0,1073000000.0,26600000.0,0.021875,37100000.0,,,,433000000.0,0.0,544800000.0,,155500000.0,-789600000.0,,205600000.0,,-789600000.0,,,,,,,32700000.0,,,,,,401600000.0,0.021875,155200000.0,331700000.0,,,,683800000.0,183000000.0,,,56100000.0,,,455100000.0,233000000.0,-250800000.0,,,,,,,,,,,,,,,,,,,,,,,,
607305600,,,,,,,,,,,,,,,,,,,0.005156,,,,,,,,,,,,,,,,,7700000.0,,,,,,,,,,,,374816000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257300000.0,,,,257300000.0,,,,374816000.0,,,,,,,,,,,,,,,,,,,,,,,,257300000.0,,,,,,,,,,,,,,,,,,,,,,,,,
615168000,0.0,58100000.0,,,,,,239500000.0,,,948800000.0,,563100000.0,,,,,279600000.0,0.01,,,,,,314000000.0,,155000000.0,,3600000.0,,,,,,15000000.0,15000000.0,,,74500000.0,22300000.0,22300000.0,,15000000.0,,,33900000.0,,372336000.0,,,,,,,,,,,,,,,38100000.0,,,5400000.0,,,,,,,,525800000.0,,,,,,,121400000.0,,,,,,,,,17300000.0,,,,,,,,,,,,,,,,115600000.0,,0.01,57600000.0,,,,,,,,,,,,,423000000.0,,21600000.0,,,,,,,,,6900000.0,21900000.0,441700000.0,,,,,36000000.0,,,,23700000.0,,,,372336000.0,,,,,,,,,410900000.0,,,385700000.0,,,,708900000.0,211800000.0,,,,,,,337200000.0,-267200000.0,,,,,,,,,,,,,,,,,,,,,,,,
623116800,0.0,56800000.0,,-9600000.0,,,,244200000.0,,,930300000.0,,566700000.0,,,,,267000000.0,0.007656,,,,,,325000000.0,,158000000.0,,3100000.0,,,,,,13200000.0,13200000.0,,,80800000.0,12700000.0,12700000.0,,11900000.0,,,35200000.0,,355856000.0,0.0,,,-11600000.0,,,13100000.0,,,-6400000.0,,,,,31200000.0,,,4000000.0,,,,,,,33600000.0,533300000.0,,,-1100000.0,,,,128000000.0,,,,,,,,,11700000.0,,,,,,,,,,-35400000.0,,,0.0,,,120300000.0,,0.008125,54200000.0,,-1000000.0,,,,,,,,,,,397000000.0,,22100000.0,,-1900000.0,,,,,,,4900000.0,18100000.0,438700000.0,,,,,32100000.0,,,,19000000.0,,-42200000.0,,355856000.0,,,,3000000.0,,14700000.0,5100000.0,,417300000.0,,,363600000.0,,,,715000000.0,208300000.0,,,,,44200000.0,,321200000.0,-276300000.0,-10600000.0,,,,,,,,,,,,,,,,,,,,,,,
631065600,20400000.0,58400000.0,,-2300000.0,,262800000.0,48600000.0,262800000.0,,35800000.0,938000000.0,-27700000.0,564000000.0,,,,,269100000.0,,,384300000.0,4600000.0,,,334400000.0,410000000.0,165300000.0,352352000.0,1100000.0,938000000.0,4200000.0,50100000.0,-58100000.0,,-100000.0,-100000.0,,,51200000.0,10400000.0,10400000.0,59700000.0,-1500000.0,,0.0,35300000.0,,,0.0,82600000.0,,-9200000.0,,9200000.0,13100000.0,434700000.0,,-8600000.0,,352352000.0,48600000.0,105700000.0,55200000.0,219300000.0,334400000.0,5700000.0,,,,109800000.0,20400000.0,,-30600000.0,553700000.0,-59400000.0,,-2700000.0,,10400000.0,-2400000.0,129300000.0,,10400000.0,374000000.0,15700000.0,,,,20300000.0,22100000.0,,,84200000.0,129300000.0,,715400000.0,33100000.0,,,-9800000.0,-280700000.0,,0.0,1300000.0,,105700000.0,,,37600000.0,,3600000.0,,12800000.0,,,58400000.0,,,,-55700000.0,-5300000.0,384300000.0,,22200000.0,1300000.0,9700000.0,1028400000.0,1222400000.0,22100000.0,0.0225,55200000.0,,-2200000.0,-2300000.0,434700000.0,-7100000.0,564000000.0,-5900000.0,165300000.0,15400000.0,,194000000.0,,2300000.0,-32700000.0,24700000.0,,,,,35800000.0,3100000.0,,-27800000.0,,,410000000.0,0.0225,134300000.0,374000000.0,-9800000.0,,,715400000.0,219300000.0,,,51200000.0,,-17800000.0,553700000.0,306700000.0,-280700000.0,-12800000.0,,,,,,,,,,,,,,,,,,,,,,,
