date,quarterlyBasicEPS,annualPurchaseOfInvestment,quarterlyLongTermDebt,annualAccountsReceivable,quarterlyOtherCurrentLiabilities,annualPretaxIncome,annualLongTermDebt,annualNonCurrentDeferredRevenue,annualNetIncome,quarterlyTotalAssets,annualSaleOfInvestment,annualGoodwill,quarterlyAccountsReceivable,quarterlyBasicAverageShares,trailingInvestingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,trailingDepreciationAndAmortization,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCommonStockIssuance,annualPurchaseOfBusiness,annualChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,trailingOtherNonCashItems,quarterlyTotalNonCurrentAssets,trailingNetIncome,annualNonCurrentDeferredTaxesLiabilities,trailingPretaxIncome,annualTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,trailingFreeCashFlow,annualChangeInInventory,quarterlyAccumulatedDepreciation,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,annualNetOtherInvestingChanges,quarterlyCashFlowFromContinuingFinancingActivities,annualCapitalStock,quarterlyOtherNonCashItems,annualResearchAndDevelopment,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualTotalRevenue,trailingResearchAndDevelopment,quarterlyCurrentLiabilities,annualEndCashPosition,annualOperatingIncome,trailingOtherIncomeExpense,quarterlyPretaxIncome,trailingOperatingIncome,trailingTotalRevenue,quarterlyNetIncomeCommonStockholders,trailingCostOfRevenue,trailingCashFlowFromContinuingFinancingActivities,annualInventory,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,annualNetOtherFinancingCharges,quarterlyDepreciationAndAmortization,trailingEndCashPosition,annualOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,trailingChangeInInventory,quarterlyEbitda,annualGrossProfit,annualAccountsPayable,quarterlyStockBasedCompensation,quarterlyCurrentDebt,quarterlyBeginningCashPosition,trailingChangeInWorkingCapital,trailingRepaymentOfDebt,quarterlyAccountsPayable,annualStockBasedCompensation,annualBasicAverageShares,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,trailingStockBasedCompensation,annualCapitalExpenditure,trailingGrossProfit,quarterlyDilutedEPS,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualInvestingCashFlow,annualRepaymentOfDebt,annualChangeInCashSupplementalAsReported,annualBeginningCashPosition,trailingCapitalExpenditure,annualCurrentAssets,trailingBeginningCashPosition,quarterlyChangeInInventory,trailingOperatingExpense,trailingChangesInAccountReceivables,quarterlyOtherCurrentAssets,annualChangesInAccountReceivables,annualInterestExpense,annualAccumulatedDepreciation,quarterlyGainsLossesNotAffectingRetainedEarnings,annualDilutedAverageShares,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,annualNetIncomeCommonStockholders,annualOtherNonCurrentAssets,annualGrossPPE,annualSellingGeneralAndAdministration,annualNetIncomeContinuousOperations,annualOtherNonCurrentLiabilities,trailingNetIncomeContinuousOperations,annualEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,annualCashCashEquivalentsAndMarketableSecurities,trailingSellingGeneralAndAdministration,annualCashAndCashEquivalents,annualOtherCurrentAssets,quarterlyCurrentDeferredRevenue,annualOperatingCashFlow,quarterlyNonCurrentDeferredTaxesLiabilities,annualBasicEPS,annualCostOfRevenue,annualCurrentDeferredRevenue,trailingOperatingCashFlow,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyDilutedAverageShares,annualCurrentDebt,quarterlyInvestingCashFlow,trailingTaxProvision,annualFreeCashFlow,annualOtherShortTermInvestments,quarterlyEndCashPosition,annualCommonStockIssuance,annualOtherIntangibleAssets,annualTotalNonCurrentAssets,annualNetPPE,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCurrentLiabilities,annualOtherNonCashItems,quarterlyStockholdersEquity,annualDilutedEPS,annualDepreciationAndAmortization,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualStockholdersEquity,quarterlyChangeInAccountPayable,annualTotalAssets,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,annualTaxProvision,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,trailingCommonStockIssuance,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,trailingNetIncomeCommonStockholders,annualRetainedEarnings,annualCurrentAccruedExpenses,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingPurchaseOfBusiness,annualCashDividendsPaid,annualRepurchaseOfCapitalStock,quarterlyRepurchaseOfCapitalStock,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,trailingPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,trailingChangeInAccountPayable,annualDeferredIncomeTax,trailingCashDividendsPaid,trailingSaleOfInvestment,trailingDeferredIncomeTax,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
2007-12-31,,,,59000.0,,-78047000.0,0.0,0.0,-78157000.0,,,,,,-1398428000.0,,,,,2074050000.0,,,,,19210000.0,,,203237000.0,,-827091000.0,,-606745000.0,152683000.0,,872286000.0,-2108000.0,,,,,40000.0,,18000.0,,62753000.0,,,73000.0,1354370000.0,,17211000.0,-79933000.0,-110367000.0,,152160000.0,24420268000.0,,20299247000.0,1495755000.0,2108000.0,,,,,0.0,,5835129000.0,137000.0,,,-397264000.0,,64000.0,5369000.0,,,,-381049000.0,-8553029000.0,,198000.0,77973831.0,45041000.0,690071000.0,822024000.0,-9802000.0,4121021000.0,,37335000.0,-564100000.0,-9762000.0,0.0,-18190000.0,35401000.0,-1342516000.0,22308000.0,3523000000.0,,3968861000.0,39268000.0,,-59000.0,0.0,-3198000.0,,77973831.0,,2302429000.0,,-78157000.0,531000.0,15196000.0,17244000.0,-78157000.0,191000.0,-696582000.0,-75152000.0,,,,,79997000.0,,,,17211000.0,2614491000.0,17211000.0,0.0,,-53469000.0,,-1.002349,9000.0,0.0,2214802000.0,,,,,,89837000.0,-63271000.0,,,0.0,,12529000.0,11998000.0,101387000.0,523000.0,51296000.0,-36000.0,,-1.002349,2895000.0,,,,-117846000.0,,34837000.0,,,,110000.0,,,848000000.0,,,,-827091000.0,-122132000.0,8512000.0,,,,,,,,,,,,,,,,,,,,,,
2008-12-31,,,54528000.0,3320000.0,48019000.0,-82685000.0,54528000.0,0.0,-82782000.0,51699000.0,,,3320000.0,,,-8746000.0,6884000.0,-22498000.0,,,-144000.0,1099000.0,0.0,,20529000.0,11826000.0,0.0,,20272000.0,,,,251413000.0,31427000.0,,-14542000.0,-6826000.0,,1479000.0,-22354000.0,-960000.0,14752000.0,21000.0,3019000.0,53714000.0,9277000.0,9277000.0,14742000.0,,87935000.0,9277000.0,-78504000.0,,-25474000.0,,,-25498000.0,,,16650000.0,,24000.0,18793000.0,-204914000.0,0.0,1294000.0,,-963000.0,,21000.0,,-23081000.0,-1141000.0,14184000.0,219000.0,,18023000.0,,,14184000.0,437000.0,77973831.0,55068000.0,,,-9630000.0,,,48019000.0,,-10590000.0,-191000.0,-7934000.0,17211000.0,,31427000.0,,-3005000.0,,,0.0,-3261000.0,3747000.0,-6826000.0,,77973831.0,-3075000.0,,,-82782000.0,1479000.0,25619000.0,23649000.0,-82782000.0,6884000.0,,-74781000.0,-23224000.0,14162000.0,-143000.0,0.0,77363000.0,,251413000.0,25619000.0,9277000.0,,9277000.0,0.0,4073000.0,-52412000.0,,-1.061664,15883000.0,4073000.0,,-73000.0,21522000.0,,,-1144000.0,,-62042000.0,,9277000.0,21000.0,,20272000.0,18793000.0,163478000.0,8815000.0,87935000.0,6492000.0,-199714000.0,-1.061664,4157000.0,11145000.0,15864000.0,163478000.0,-199714000.0,3421000.0,51699000.0,-1194000.0,16650000.0,-1702000.0,97000.0,-1000000.0,-25498000.0,,,-25498000.0,9696000.0,,-204914000.0,11145000.0,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,-0.205402,,,,,,,,,,,,,77973831.0,,2468000.0,,-17065000.0,,,-902000.0,1402000.0,,,,7941000.0,0.0,,,,,,,,,,,,,-16163000.0,,19533000.0,,292000.0,,,,,,,,,,-16008000.0,,,-16016000.0,,,,,8000.0,,,,1372000.0,,,,,,-13234000.0,,,90000.0,,9277000.0,,,,,,,,,,,-0.205402,,,,,,,,,,-4943000.0,,,,,,,,,2789000.0,,,,,,,,,,,-16594000.0,20886000.0,-1875000.0,,,,,,,,,,,,,,,,,-121000.0,14548000.0,77973831.0,,-902000.0,,,,11745000.0,,,,,,,,,,,,,22932000.0,,,1464000.0,,1972000.0,,-2046000.0,,0.0,-16016000.0,,,-16016000.0,6607000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,-0.139367,,,,,,,,,,,,,77973831.0,,38955000.0,,-14693000.0,,,-2527000.0,1086000.0,,,,1941000.0,-215000.0,,,,,,,,,,,,,-12166000.0,,55229000.0,,2492000.0,,,,,,,,,,-10859000.0,,,-10867000.0,,,,,8000.0,,,,1685000.0,,,,,,-8088000.0,,,153000.0,,11745000.0,,,,,,,,,,,-0.139367,,,,,,,,,,-3820000.0,,,,,,,,,-4015000.0,,,,,,,,,,,-8087000.0,26945000.0,-4902000.0,,,,,,,,,,,,,,,,,-94000.0,10188000.0,77973831.0,,-4108000.0,,,,50700000.0,,,,,,,,,,,,,24844000.0,,,815000.0,,-1715000.0,,2101000.0,,-1581000.0,-10867000.0,,,-10867000.0,8247000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,-0.059187,,0.0,,24812000.0,,,,,155916000.0,,,1386000.0,77973831.0,,55847000.0,4598000.0,-25745000.0,,,-2256000.0,18000.0,,,,1257000.0,215000.0,,23966000.0,,,,,131950000.0,,,-11139000.0,,4493000.0,-23489000.0,,82371000.0,,306000.0,,106547000.0,106547000.0,,,60999000.0,,,,-4834000.0,,,-4615000.0,,,,,-219000.0,19473000.0,-236412000.0,,1948000.0,,,,21000.0,,-2868000.0,,,206000.0,,50700000.0,,,17357000.0,,,,,,,,-0.059187,,,,,,,,,,5760000.0,,,0.0,,,,,,3160000.0,,,,,,,,,,,-4291000.0,45527000.0,-20619000.0,1028000.0,,,386561000.0,30612000.0,,,,,3371000.0,,,,,,,-60000.0,11990000.0,77973831.0,,-3035000.0,,,,106547000.0,,,,,,,,,-230645000.0,,,11066000.0,37828000.0,325562000.0,,894000.0,,-577000.0,19653000.0,7699000.0,,-779000.0,-4615000.0,,,-4615000.0,10733000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,,,0.0,3488000.0,26048000.0,-55714000.0,0.0,1240000.0,-55740000.0,130424000.0,,,3488000.0,,,-36920000.0,5193000.0,-35206000.0,,,-6199000.0,25000.0,,,-37543000.0,8143000.0,-2046000.0,,29865000.0,,,,383947000.0,100559000.0,,-7925000.0,-12730000.0,,6330000.0,-29007000.0,-2360000.0,-1714000.0,7000.0,-609000.0,19282000.0,69627000.0,69627000.0,111943000.0,,57489000.0,69627000.0,-51897000.0,,-24013000.0,,,-24242000.0,,,23222000.0,,229000.0,23535000.0,-260654000.0,-2046000.0,1935000.0,,-1445000.0,,7000.0,,-22053000.0,9535000.0,15086000.0,985000.0,,106547000.0,,,15086000.0,1434000.0,77693854.0,155419000.0,,,-11884000.0,,,26048000.0,,-14244000.0,-322000.0,60350000.0,9277000.0,,100559000.0,,-4922000.0,,,0.0,-168000.0,2531000.0,-12730000.0,,77693854.0,-2102000.0,,,-55740000.0,6330000.0,36265000.0,42150000.0,-55740000.0,5193000.0,,-46243000.0,-22925000.0,18585000.0,-10147000.0,1240000.0,61432000.0,,383947000.0,36265000.0,69627000.0,,69627000.0,0.0,1377000.0,-80825000.0,,-0.7,102408000.0,1377000.0,,-47000.0,24706000.0,,,-6199000.0,,-92709000.0,,69627000.0,,,29865000.0,23535000.0,326458000.0,902000.0,57489000.0,2481000.0,-253523000.0,-0.7,6940000.0,14532000.0,16804000.0,326458000.0,-253523000.0,-2271000.0,130424000.0,-1125000.0,23222000.0,1781000.0,26000.0,0.0,-24242000.0,,,-24242000.0,16563000.0,,-260654000.0,14532000.0,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,-0.35,,29920000.0,,25989000.0,,,,,145320000.0,,,5931000.0,77973831.0,,-8081000.0,9970000.0,-32801000.0,,,-5472000.0,230000.0,,,,13265000.0,-1574000.0,,44718000.0,,,,,100602000.0,,,-14689000.0,,17852000.0,-27329000.0,,28627000.0,,2473000.0,,61546000.0,61546000.0,,,59105000.0,,,,-29401000.0,,,-29519000.0,,,,,118000.0,26866000.0,-290173000.0,,2141000.0,,,,78000.0,,-27030000.0,,,3387000.0,,69627000.0,,,18190000.0,,,,,,,,-0.35,,,,,,,,,,-5507000.0,,,0.0,,,,,,-2443000.0,,,,,,,,,,,-25998000.0,20812000.0,-5811000.0,1427000.0,,,101141000.0,41555000.0,,,,,6711000.0,,,,,,,-77000.0,29850000.0,77973831.0,,-9379000.0,,,,61546000.0,,,,,,,,,44179000.0,,,7922000.0,16960000.0,42036000.0,,3104000.0,,-3221000.0,28588000.0,3852000.0,,-3907000.0,-29519000.0,,,-29519000.0,16585000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,-5.04,,45419000.0,,0.0,,,,,147974000.0,,,6467000.0,7643465.0,,-14242000.0,60000.0,-30062000.0,,,-12200000.0,464000.0,,,,15416000.0,-1949000.0,,57940000.0,,,,,90034000.0,,,-17211000.0,,24784000.0,-17862000.0,,13694000.0,,6209000.0,,47304000.0,47304000.0,,,68634000.0,,,,-38508000.0,,,-38517000.0,,,,,9000.0,33156000.0,-328689000.0,,2483000.0,,,,8000.0,,-35561000.0,,,6115000.0,,61546000.0,,,25634000.0,,,,,,,,-5.04,,,,,,,,,,-1140000.0,,,0.0,,,,,,-535000.0,,,,,,,,,,,-31362000.0,28405000.0,5497000.0,2116000.0,,,457749000.0,50367000.0,,,,,8099000.0,,,,,,,-78000.0,37623000.0,7643465.0,,-10074000.0,,,,47304000.0,,,,,,,,,-309775000.0,,,3304000.0,22144000.0,389115000.0,,2854000.0,,-6729000.0,29518000.0,6261000.0,,2126000.0,-38517000.0,,,-38517000.0,22207000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,-0.38,,56557000.0,,0.0,,,,,361621000.0,,,8062000.0,92270721.0,,49259000.0,188000.0,-53725000.0,,,-5383000.0,298000.0,,,,26698000.0,-168000.0,,120488000.0,,,,,241133000.0,,,-19289000.0,,77592000.0,-48342000.0,,249895000.0,,-3072000.0,,96563000.0,96563000.0,,,69328000.0,,,,-34852000.0,,,-34935000.0,,,,,83000.0,42896000.0,-363624000.0,,3109000.0,,,,93000.0,,-31445000.0,,,3811000.0,,47304000.0,,,26990000.0,,,,,,,,-0.38,,,,,,,,,,-10290000.0,,,0.0,,,,,,-1597000.0,,,,,,,,,,,-37834000.0,31241000.0,-17557000.0,2514000.0,,,141698000.0,62185000.0,,,,,3477000.0,,,,,,,-78000.0,47130000.0,92270721.0,,-152294000.0,,,,96563000.0,,,,,,,,,219923000.0,,,4392000.0,21945000.0,72370000.0,,2035000.0,,3180000.0,39508000.0,9296000.0,,-146911000.0,-34935000.0,,,-34935000.0,20432000.0,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,71828000.0,6710000.0,0.0,-154155000.0,71828000.0,2783000.0,-154328000.0,386082000.0,,,6710000.0,,,2995000.0,5663000.0,-51432000.0,,,-17148000.0,0.0,30000000.0,,-11175000.0,37617000.0,31000.0,,150196000.0,,,,179034000.0,235886000.0,,-20115000.0,-21993000.0,,27597000.0,-34284000.0,-140094000.0,45829000.0,95000.0,-588000.0,92996000.0,99558000.0,99558000.0,116744000.0,,85565000.0,99558000.0,-146838000.0,,-51395000.0,,,-51358000.0,,,45182000.0,,-37000.0,122599000.0,-414982000.0,-3660000.0,2890000.0,,-6583000.0,,95000.0,,-48505000.0,30731000.0,28951000.0,7843000.0,,96563000.0,,,28951000.0,21156000.0,50718302.0,338045000.0,,,-40203000.0,,,0.0,,-180297000.0,-315000.0,29931000.0,69627000.0,,235886000.0,,-3178000.0,,,0.0,-3222000.0,992000.0,-21993000.0,,50718302.0,1353000.0,,,-154328000.0,27597000.0,144592000.0,84573000.0,-154328000.0,5663000.0,,-142540000.0,-51645000.0,36286000.0,6696000.0,2783000.0,177569000.0,,179034000.0,144592000.0,99558000.0,,99558000.0,0.0,4635000.0,-127817000.0,,-3.04,86013000.0,4635000.0,,-82000.0,62966000.0,,,-8550000.0,,-168020000.0,,99558000.0,268842000.0,,150196000.0,122599000.0,93469000.0,-212000.0,85565000.0,5022000.0,207048000.0,-3.04,10623000.0,11755000.0,24965000.0,93469000.0,207048000.0,-8205000.0,386082000.0,187000.0,45182000.0,11321000.0,173000.0,8598000.0,-51358000.0,,,-51358000.0,25349000.0,,-414982000.0,11755000.0,,,,,,,,,,,,,,,,,,,,,,
