,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,trailingInterestExpense,annualGrossPPE,annualNetIncomeCommonStockholders,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,annualRepaymentOfDebt,annualBeginningCashPosition,annualInterestExpense,annualOtherNonCurrentLiabilities,annualOtherIncomeExpense,annualSellingGeneralAndAdministration,annualCapitalExpenditure,trailingGrossProfit,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,annualNetOtherFinancingCharges,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,trailingTaxProvision,annualInventory,quarterlyEbitda,annualCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,annualNetIncomeContinuousOperations,annualCostOfRevenue,annualTotalRevenue,annualCurrentDebt,annualCapitalStock,annualPurchaseOfBusiness,annualGrossProfit,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,trailingSellingGeneralAndAdministration,quarterlyCurrentLiabilities,annualOperatingExpense,annualNonCurrentDeferredTaxesLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,trailingNetIncomeContinuousOperations,annualChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyOperatingIncome,trailingCostOfRevenue,annualDilutedAverageShares,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyBasicEPS,quarterlyNonCurrentDeferredRevenue,trailingOperatingExpense,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,annualRetainedEarnings,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,trailingNetIncome,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualGoodwill,annualTotalAssets,annualBasicAverageShares,trailingPretaxIncome,quarterlyGoodwill,annualNetOtherInvestingChanges,annualCashDividendsPaid,quarterlyLongTermDebt,annualAccountsReceivable,annualDilutedEPS,annualPurchaseOfInvestment,annualPretaxIncome,quarterlyTotalAssets,annualBasicEPS,annualNetIncome,annualFreeCashFlow,annualAccountsPayable,annualIncomeTaxPayable,quarterlyDilutedAverageShares,annualInvestingCashFlow,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualStockholdersEquity,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualOtherCurrentAssets,annualEndCashPosition,annualNonCurrentDeferredRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualLongTermDebt,annualOperatingIncome,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualTaxProvision,quarterlyCurrentDebt,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyInterestExpense,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyInventory,trailingOtherIncomeExpense,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,annualOtherShortTermInvestments,annualNetPPE,annualGainsLossesNotAffectingRetainedEarnings,annualSaleOfInvestment,annualCommonStockIssuance,annualOperatingCashFlow,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCurrentAssets,annualEbitda,quarterlyOtherNonCashItems,trailingPurchaseOfInvestment,trailingEndCashPosition,trailingSaleOfInvestment,trailingFreeCashFlow,quarterlyNetOtherInvestingChanges,trailingNetOtherFinancingCharges,quarterlyBeginningCashPosition,trailingCapitalExpenditure,quarterlyStockBasedCompensation,annualResearchAndDevelopment,quarterlyFreeCashFlow,trailingBasicEPS,trailingChangeInInventory,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,trailingOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,trailingChangeInAccountPayable,trailingRepurchaseOfCapitalStock,trailingCashDividendsPaid,trailingNetOtherInvestingChanges,quarterlyResearchAndDevelopment,trailingChangesInAccountReceivables,trailingDilutedAverageShares,trailingCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,trailingCommonStockIssuance,annualStockBasedCompensation,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,trailingDeferredIncomeTax,trailingBeginningCashPosition,quarterlyCashDividendsPaid,trailingBasicAverageShares,trailingOtherNonCashItems,annualDeferredIncomeTax,trailingPurchaseOfBusiness,trailingInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangesInAccountReceivables,trailingDilutedEPS,trailingResearchAndDevelopment,annualRepurchaseOfCapitalStock,trailingChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,trailingStockBasedCompensation,trailingRepaymentOfDebt,trailingChangeInCashSupplementalAsReported,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported
1088553600,,,,,,145115969500.0,,,,,,,,,,,,80935472550.0,17061267150.0,12466893900.0,64180496950.0,34594388850.0,0.0,,,,40107636750.0,,,21995044550.0,,-147996765700.0,,,,,,,,9197024650.0,491241977300.0,,39188762100.0,,161812998050.0,,,,,,,76725000000.0,3667220450.0,10364243800.0,,,,4594373250.0,0.19,,,1837749300.0,343245211600.0,,,15182127100.0,372525028150.0,,11059608400.0,30298029000.0,,,,,,,,72491759550.0,,,,,411713790250.0,,,,,,76725000000.0,,7052983800.0,7350997200.0,7350997200.0,,29213591350.0,,,,,103435484250.0,,,,,,,80596068400.0,,,1258278800.0,18617559350.0,265248482300.0,0.19,12657291350.0,1572848500.0,7350997200.0,,,,33112600.0,29048028350.0,18683784550.0,3228478500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096502400,,,,,,,,,,,,,,,,,,,,,,,,,,,40496709800.0,,,40496709800.0,,,,,,,,,,,,,,,,,,,,,,78301519283.0,,40496709800.0,,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78301519283.0,,,6655632600.0,6655632600.0,,,,,,,,,,,,,,,,,,,,0.085,,,6655632600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104451200,745033500.0,,,565745327300.0,28021537750.0,159205380800.0,1183775450.0,,12723516550.0,5364241200.0,25173854150.0,-5364241200.0,27003325300.0,-56448704850.0,,,379031654050.0,80935472550.0,13783119750.0,13468550050.0,43882473150.0,33658957900.0,0.0,-12458615750.0,488410850.0,-8981792750.0,40496709800.0,,2764902100.0,-80885803650.0,11589410000.0,-216109383900.0,28021537750.0,43071214450.0,161208693100.0,77980173000.0,80935472550.0,,118137478650.0,,565745327300.0,,33534785650.0,,151945443250.0,78311299000.0,2301325700.0,251945495250.0,-216109383900.0,,,,1183775450.0,-80885803650.0,,78840000000.0,-9081130550.0,314569700.0,,,,,349635943400.0,23642396400.0,23642396400.0,13923848300.0,379031654050.0,,,27533126900.0,,412566439700.0,78840000000.0,,,-438741950.0,-5223512650.0,72367587300.0,13923848300.0,0.360075,-364238600.0,33261606700.0,412566439700.0,0.360075,28021537750.0,9627488450.0,33658957900.0,,,-56349367050.0,,6655632600.0,6655632600.0,159205380800.0,25173854150.0,-13874179400.0,0.0,13468550050.0,,100000052000.0,,72367587300.0,39826179650.0,151945443250.0,27533126900.0,5190400050.0,77980173000.0,47168898700.0,13468550050.0,,18592724900.0,251945495250.0,,11589410000.0,2301325700.0,6655632600.0,,,,,,,2764902100.0,,18592724900.0,,13783119750.0,314569700.0,349635943400.0,43882473150.0,521523450.0,12698682100.0,66076193300.0,,100000052000.0,33534785650.0,86995078350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112227200,,,,,,,,,,,,,,,,,,,,,,,,,,,42011611250.0,,,42011611250.0,,,,,,,,,,,,,,,,,,,,,,81769683591.0,,42011611250.0,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81769683591.0,,,7359275350.0,7359275350.0,,,,,,,,,,,,,,,,,,,,0.09,,,7359275350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120089600,,,,,,168303067650.0,,,,,,,,,,,,80935472550.0,16465240350.0,16208617700.0,43774857200.0,34552998100.0,-8278150.0,,,,42011611250.0,,,22955309950.0,,-216109383900.0,,,,,,,,9635766600.0,564230425850.0,,38377503400.0,,151142462700.0,,,,,,,80932000000.0,2789736550.0,10869210950.0,,,,256622650.0,0.09,,,2276491250.0,348121041950.0,32855977350.0,,16101001750.0,377202182900.0,,12375834250.0,30736770950.0,,,,,,,,70033149000.0,,,,,415579686300.0,,,,,,80932000000.0,,6680467050.0,7342719050.0,7342719050.0,,22052991600.0,,,,,94693757850.0,,,,,,,72748382200.0,,,1407285500.0,18087757750.0,245836220550.0,0.09,10314574900.0,2500001300.0,7342719050.0,,,,107615950.0,29635777000.0,18766566050.0,2889074350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128038400,,,,,,,,,,,,,,,,,,,,,,,,,,,43810033860.0,,,43810033860.0,,,,,,,,,,,,,,,,,,,,,,82621921303.0,,43810033860.0,,,,,0.082465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82621921303.0,,,6813455580.0,6813455580.0,,,,,,,,,,,,,,,,,,,,0.082465,,,6813455580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135987200,1655067500.0,,,601879425000.0,27918163000.0,181573015000.0,2107183500.0,,13458524500.0,5699891000.0,18754740500.0,613586000.0,32923733000.0,-52098295500.0,,,380584790000.0,80952984500.0,15412311500.0,15121665500.0,54391169500.0,33957141000.0,8073500.0,-10019213500.0,64588000.0,-14814872500.0,43422150640.0,,2704622500.0,-86981021360.0,8961585000.0,-249923266000.0,27918163000.0,47811267000.0,169365883000.0,85102763500.0,80952984500.0,,121554616000.0,,601879425000.0,,36677910500.0,,157021501500.0,82591905000.0,2623887500.0,234244529000.0,-249923266000.0,,,,2107183500.0,-86981021360.0,,81947706278.0,-12094103000.0,290646000.0,,,,,351956159000.0,35483032500.0,35483032500.0,16147000000.0,380584790000.0,,,26892828500.0,,417262700500.0,80932000000.0,,,-387528000.0,-5594935500.0,55795958500.0,16147000000.0,0.340137,-290646000.0,34126684500.0,417262700500.0,0.340137,27918163000.0,16284249500.0,33957141000.0,,,-51912605000.0,,6741425170.0,6741425170.0,181573015000.0,18754740500.0,-11512811000.0,8073500.0,15121665500.0,,77223027500.0,,55795958500.0,38962711000.0,157021501500.0,26892828500.0,6160080500.0,85102763500.0,49668172000.0,15121665500.0,,17737479500.0,234244529000.0,,8961585000.0,2623887500.0,6741425170.0,,,,,,,2704622500.0,,17737479500.0,,15412311500.0,290646000.0,351956159000.0,54391169500.0,314866500.0,,68382545000.0,,77223027500.0,36677910500.0,88630883000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143763200,,,,,,,,,,,,,,,,,,,,,,,,,,,43438865520.0,,,43438865520.0,,,,,,,,,,,,,,,,,,,,,,80932000000.0,,43438865520.0,,,,,0.084945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80932000000.0,,,7033952190.0,7033952190.0,,,,,,,,,,,,,,,,,,,,0.084945,,,7033952190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1151625600,,,,,,189364474640.0,,,,,,,,,,,,80954032500.0,21603732920.0,21459814640.0,108418437600.0,33429018260.0,0.0,,,,43479311480.0,,,23362734120.0,,-249906097760.0,,,,,,,,9314710900.0,596621225200.0,,44015007300.0,,165346112800.0,,,,,,,80932000000.0,3158206700.0,10617970880.0,,,,143918280.0,0.085024,,,2254719720.0,346715127440.0,,,16686525020.0,374707232900.0,,6756163700.0,30150879660.0,,,,,,,,43575257000.0,,,,,418722240200.0,,,,,,80932000000.0,,13360413660.0,7044000260.0,7044000260.0,,16302742940.0,,,,,62556479040.0,,,,,,,90668516400.0,,,1295264520.0,16982357040.0,227902591840.0,0.085024,7939491780.0,2678479100.0,7044000260.0,,,,-7995460.0,36723147780.0,26105176900.0,2870370140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159574400,,,,,,,,,,,,,,,,,,,,,,,,,,,44793485600.0,,,44793485600.0,,,,,,,,,,,,,,,,,,,,,,76873857404.0,,44793485600.0,,,,,0.086396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76873857404.0,,,6641629300.0,6641629300.0,,,,,,,,,,,,,,,,,,,,0.086396,,,6641629300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
