date,trailingOtherNonCashItems,quarterlyNetOtherFinancingCharges,annualOtherNonCashItems,annualPurchaseOfBusiness,quarterlyInvestmentsAndAdvances,annualSaleOfInvestment,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,annualStockholdersEquity,annualInvestingCashFlow,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherIncomeExpense,trailingSaleOfInvestment,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualChangeInInventory,quarterlyOperatingCashFlow,annualBasicAverageShares,annualPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyOtherCurrentLiabilities,annualCapitalStock,trailingPretaxIncome,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyTaxProvision,annualGoodwill,trailingCashDividendsPaid,trailingNetIncome,annualStockBasedCompensation,annualBasicEPS,quarterlyAccountsReceivable,annualGrossProfit,quarterlyPretaxIncome,annualNetPPE,quarterlyCostOfRevenue,quarterlyNetPPE,quarterlyCurrentAccruedExpenses,annualOtherIntangibleAssets,annualOperatingCashFlow,quarterlyCommonStockIssuance,annualInventory,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,annualCurrentLiabilities,annualRepaymentOfDebt,annualEbitda,annualOtherNonCurrentLiabilities,quarterlyCapitalStock,trailingChangeInWorkingCapital,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyOtherIntangibleAssets,annualChangeInCashSupplementalAsReported,annualGainsLossesNotAffectingRetainedEarnings,trailingGrossProfit,annualOtherCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,annualTotalRevenue,annualNetOtherInvestingChanges,trailingPurchaseOfInvestment,annualPretaxIncome,trailingTotalRevenue,trailingInterestExpense,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualNonCurrentDeferredRevenue,annualCashFlowFromContinuingFinancingActivities,annualEndCashPosition,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,annualDilutedAverageShares,trailingChangeInCashSupplementalAsReported,annualOperatingIncome,quarterlySaleOfInvestment,annualOtherIncomeExpense,annualDilutedEPS,trailingEndCashPosition,quarterlyDepreciationAndAmortization,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,annualAccountsPayable,trailingInvestingCashFlow,quarterlyCurrentDebt,annualGrossPPE,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOperatingIncome,annualRepurchaseOfCapitalStock,trailingNetIncomeContinuousOperations,annualInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,trailingRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,quarterlyBasicAverageShares,annualCurrentAccruedExpenses,quarterlyGrossPPE,trailingSellingGeneralAndAdministration,annualOperatingExpense,quarterlyTotalRevenue,annualCashAndCashEquivalents,annualNetIncomeContinuousOperations,annualCapitalExpenditure,quarterlyChangeInInventory,annualCurrentAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,trailingCostOfRevenue,trailingBeginningCashPosition,annualInterestExpense,quarterlyEbitda,annualOtherNonCurrentAssets,annualNetOtherFinancingCharges,annualDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyRepurchaseOfCapitalStock,annualNetIncomeCommonStockholders,annualOtherShortTermInvestments,trailingOperatingExpense,annualResearchAndDevelopment,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualChangeInAccountPayable,annualAccumulatedDepreciation,quarterlyStockBasedCompensation,annualChangeInWorkingCapital,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,annualFreeCashFlow,annualCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlyNetOtherInvestingChanges,trailingFreeCashFlow,quarterlyDilutedEPS,trailingNetIncomeCommonStockholders,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,annualRetainedEarnings,annualCashDividendsPaid,annualBeginningCashPosition,annualCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualOtherCurrentAssets,annualCostOfRevenue,annualTaxProvision,annualTotalAssets,quarterlyOtherCurrentAssets,annualNetIncome,annualCurrentDebt,quarterlyRepaymentOfDebt,annualTotalNonCurrentAssets,trailingTaxProvision,annualSellingGeneralAndAdministration,trailingDepreciationAndAmortization,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInAccountPayable,trailingDilutedAverageShares,trailingOtherIncomeExpense,trailingCashFlowFromContinuingFinancingActivities,trailingNetOtherFinancingCharges,trailingBasicEPS,trailingCommonStockIssuance,annualIncomeTaxPayable,trailingChangeInAccountPayable,trailingDeferredIncomeTax,quarterlyResearchAndDevelopment,trailingNetOtherInvestingChanges,trailingBasicAverageShares,trailingChangeInInventory,quarterlyChangesInAccountReceivables,trailingResearchAndDevelopment,annualChangesInAccountReceivables,quarterlyIncomeTaxPayable,trailingChangesInAccountReceivables,trailingRepaymentOfDebt,trailingDilutedEPS
,,440879842.011813,19180604.572656,-23016725.487187,,9590302.286328,448826147.000153,,3492788092.680681,439235844.713825,81000000.0,-194750480.124651,-23079283.980143,-33000000.0,,331824459.106951,,1918060.457266,-12000000.0,249694564.0,-23016725.487187,,-1921000000.0,191000000.0,-375786860.890677,2216000000.0,475000000.0,,1110000000.0,1336888138.714132,,,546000000.0,288049860.492082,0.0,,,23016725.487187,2.939682,546000000.0,1394429952.432101,146299380.367431,3694184440.693571,-495147117.440301,7239000000.0,445000000.0,395120454.196716,703928187.81648,39636440.991887,80558539.205156,222000000.0,-116530601.152299,1776123983.427958,,1035752646.923431,442000000.0,1336000000.0,,-170000000.0,74000000.0,272000000.0,-648304434.555777,2724000000.0,,1110000000.0,138100352.923124,4227405247.813411,613779346.324996,,506367960.718122,,,,-23079283.980143,,,-537000000.0,138100352.923124,7702000000.0,9153000000.0,2724000000.0,-12145978.666881,252709929.0,,623369648.611324,,-1000000.0,2.906958,,119102076.312643,,82000000.0,304000000.0,90664550.03201,1214132269.449133,,82000000.0,3694184440.693571,5075000000.0,1815993260.136971,-556237532.607028,,,1706326665.94195,305000000.0,,,,-110789107.511686,,445000000.0,9160000000.0,,771060303.820776,1211179548.501649,138100352.923124,749961638.790855,-469924812.030075,-1623582.273436,4649378548.411846,82000000.0,-163986411.566475,,,197560227.098358,1844505779.613726,191000000.0,-560073653.521559,,-977879842.011813,-148584526.845532,734617155.13273,222000000.0,,,3479361669.479822,-16185962.242273,,-1921000000.0,,72886297.376093,5255485652.90778,-320000000.0,234003375.786405,30688967.31625,,3133000000.0,0.0,1451000000.0,-109666594.195021,1942000000.0,-13000000.0,,,,,3790000000.0,-320316096.363357,-1150836274.359368,788322847.936167,,1413419538.355618,2217277888.599049,153444836.581249,2832975295.38131,-243593678.072733,8972686819.088537,27000000.0,734617155.13273,61377934.6325,,4323308270.676692,,398956575.111248,,442000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,87000000.0,47000000.0,104000000.0,0.0,,,,,-8000000.0,,,-327000000.0,-1921000000.0,3186000000.0,-91000000.0,1831000000.0,442000000.0,301609937.0,530000000.0,,,,,15000000.0,,,,,,826000000.0,,62000000.0,,508000000.0,3619000000.0,,,,6000000.0,,,36000000.0,,,,,,,-99000000.0,136000000.0,435000000.0,,,,,,,,,,,,0.350777,104000000.0,,,,,7240000000.0,8483000000.0,3599000000.0,,,,,,,,,,,172000000.0,172000000.0,21000000.0,,,187000000.0,,4905000000.0,191000000.0,,,,147000000.0,1192000000.0,,,,,295855853.0,,5540000000.0,,,763000000.0,,,,,,172000000.0,372000000.0,,,,255000000.0,,,,-32000000.0,-89000000.0,,,,,,-112000000.0,,,,,,-216000000.0,,,,2996000000.0,,1243000000.0,64000000.0,1909000000.0,0.0,,0.34285,,,3383000000.0,,,,,108000000.0,,,,,,132000000.0,,,,,,,,723000000.0,,,,,,,,,,,,,,,,,,,,,
,,-1000000.0,,,,,,,,,79000000.0,106000000.0,147000000.0,-29000000.0,,,,,142350816.852966,,,-285000000.0,-1921000000.0,927000000.0,-70220980.22356,2014000000.0,467000000.0,286265711.0,2284000000.0,,,,,29000000.0,,,,,,828000000.0,,106000000.0,,463000000.0,3205000000.0,,,,2956721.123531,,152000000.0,1862824878.188593,,,,,,,72129836.629407,172000000.0,524000000.0,,,,,,,,,,,,0.455261,147000000.0,,,,,4656000000.0,7754000000.0,1468000000.0,,,,,,,,,,,2014000000.0,2166000000.0,30000000.0,,,9000000.0,,6341000000.0,238000000.0,,,,213000000.0,1088000000.0,,,,,286265711.0,,5126000000.0,,,767000000.0,,,,,,2017053597.019203,2005113786.185153,,,,290000000.0,,,,-77271997.707079,-138500716.53769,,,,,,151409572.943537,,,,,,-75000000.0,,,,2960000000.0,,3098000000.0,66000000.0,3381000000.0,0.0,,0.447751,,,1393000000.0,,,,,91000000.0,,,,,,0.0,,,,,,,,479000000.0,,,,,,,,,,,,,,,,,,,,,
,,-1756000000.0,,,,,,,,,74000000.0,67000000.0,78000000.0,0.0,,,,,250373170.158187,,,-2003000000.0,-1921000000.0,864000000.0,-66436791.906893,1795000000.0,480000000.0,211462611.0,521000000.0,,,,,32000000.0,,,,,,707000000.0,,109000000.0,,443000000.0,3206000000.0,,,,8691168.188907,,162000000.0,-1768230497.27655,,,,,,,183936378.251294,2017053597.019203,520000000.0,,,,,,,,,,,,0.367669,78000000.0,,,,,4590000000.0,5791000000.0,1452000000.0,,,,,,,,,54747151.724747,,233000000.0,395000000.0,26000000.0,,,34000000.0,,4347000000.0,123000000.0,,,,298000000.0,1053000000.0,,,,73061199.541756,211462611.0,,5127000000.0,,,741000000.0,,,,5400587.967581,,232952138.924185,-14061407.249674,,,,179000000.0,,,,1619872.901206,-26628889.561421,,,,,,15298883.925022,,,6979489.844588,,,-24000000.0,,,,2739000000.0,,1201000000.0,175000000.0,1608000000.0,-6000000.0,,0.356616,,,1428000000.0,,,,,102000000.0,,,,,,0.0,,,-198305826.905131,,,,,464000000.0,,,,,,,,,,,,,,,,,,,,,
,,64907242.693774,858627572.441324,,,17206965.379586,361346272.971299,,1865235047.147085,3255557849.817606,5000000.0,-105308485.105181,589515459.551038,0.0,,223690549.934614,,,135276012.988847,249854533.0,-17206965.379586,-664000000.0,-712000000.0,747000000.0,-61342227.869547,705000000.0,361000000.0,,898000000.0,84000000.0,,,275000000.0,-63181702.668361,203042191.479111,,,20648358.455503,3.415794,275000000.0,653864684.424255,-168490187.773542,2333264505.471815,-954374841.168996,2333000000.0,320000000.0,206483584.555028,469750154.862688,27352110.687562,5162089.613876,499000000.0,303405619.087957,1366233051.139101,-760547869.777686,535136623.305114,374000000.0,84000000.0,,73933785.1193,232952138.924185,409000000.0,445660403.331268,4408000000.0,,898000000.0,739899511.322183,1226856631.564457,370000000.0,,218528460.320738,,,,589515459.551038,,,-3279000000.0,557505678.298575,3489000000.0,4705000000.0,4408000000.0,,255609340.0,,271870052.997453,,0.0,3.340446,,52815473.669349,,58000000.0,557000000.0,-483923.126304,805285979.764609,,3000000.0,2333264505.471815,2806000000.0,-203376111.817027,-378553238.350884,,,-250515600.734152,145000000.0,,,,-6466186.644077,,320000000.0,3045000000.0,,381994631.426802,-1204890441.903148,557505678.298575,177231743.409732,-297680501.066832,,1216532452.336706,557000000.0,841947621.064521,,,92917613.049763,-162914160.666384,747000000.0,-1713813751.806731,,-336347875.194127,-151870393.900889,853465482.827449,182393833.023608,,,1440223002.271319,-544708456.868559,,-712000000.0,8294835.936796,-55062289.214674,2806456053.410421,-2629000000.0,172069653.795857,17206965.379586,,1440000000.0,203042191.479111,1216000000.0,-47139488.917126,1366000000.0,376000000.0,,,,,1865000000.0,-2629000000.0,-139376419.574644,123890150.733017,,-34954962.586475,705485580.563012,37855323.835088,572991947.140202,41296716.911006,4706105031.316677,182000000.0,853465482.827449,3441393.075917,-487005585.434893,3489572578.979971,,258104480.693785,,374000000.0,,,,,,,,,,,,,,,,,,,,,
,,-14000000.0,,,,,,,,,5000000.0,83000000.0,91000000.0,43000000.0,,,,,28000000.0,,,-273000000.0,-712000000.0,1436000000.0,-31000000.0,464000000.0,212000000.0,211942118.0,566000000.0,,,,,31000000.0,,,,,,432000000.0,,115000000.0,,156000000.0,1679000000.0,,,,3000000.0,,,-47000000.0,,,,,,,-3000000.0,562000000.0,413000000.0,,,,,,,,,,,,0.445248,91000000.0,,,,,3528000000.0,4521000000.0,1899000000.0,,,,,,,,,31000000.0,,514000000.0,514000000.0,17000000.0,,,42000000.0,,2587000000.0,73000000.0,,,,167000000.0,776000000.0,,,,-66000000.0,206188034.0,,2391000000.0,,,323000000.0,,,,,,514000000.0,198000000.0,,,,104000000.0,,,,,-47000000.0,,,,,,-29000000.0,,,,,,,,,,1203000000.0,,993000000.0,94000000.0,1384000000.0,184000000.0,,0.434404,,,1899000000.0,,,,,68000000.0,,,,,,11000000.0,,,,,,,,527000000.0,,,,,,,,,,,,,,,,,,,,,
,,13000000.0,,,,,,,,,5000000.0,270000000.0,303000000.0,0.0,,,,,132759821.131601,,,-888000000.0,-765000000.0,1020000000.0,-48456003.547803,791000000.0,213000000.0,232384463.0,427000000.0,,,,,28000000.0,,,,,,442000000.0,,120000000.0,,159000000.0,1741000000.0,,,,30260652.647918,,,-357671273.882996,,,,,,,84303817.583798,514000000.0,224000000.0,,,,,,,,,,,,1.34233,303000000.0,,,,,3192000000.0,3889000000.0,1166000000.0,,,,,,,,,29977863.187849,,209000000.0,209000000.0,15000000.0,,,9000000.0,,2699000000.0,120000000.0,,,,225000000.0,791000000.0,,,,-2369119.33183,225807544.0,,2506000000.0,,,384000000.0,,,,,,-591300491.518534,396996119.590524,,,,149977863.187849,,,,,-211693965.039358,,,,,,38239070.179977,,,,,,,,,,1472000000.0,207000000.0,697000000.0,105000000.0,1227000000.0,-184000000.0,,1.30529,,,1166000000.0,,,,,78000000.0,,,,,,10000000.0,,,,,,,,468000000.0,,,,,,,,,,,,,,,,,,,,,
,,-1000000.0,,,,,,,,,6000000.0,77000000.0,303000000.0,1000000.0,,,,,176240178.868399,,,-457000000.0,-712000000.0,357000000.0,-60543996.452197,786000000.0,241000000.0,203336405.0,401000000.0,,,,,15000000.0,,,,,,397000000.0,,92000000.0,,172000000.0,1892000000.0,,,,13739347.352082,,,376671273.882996,,,,,,,115696182.416202,-591300491.518534,268000000.0,,,,,,,,,,,,1.533546,303000000.0,,,,,2721000000.0,3733000000.0,1218000000.0,,,,,,,,,27022136.812151,,578000000.0,578000000.0,17000000.0,,,9000000.0,,2504000000.0,99000000.0,,,,206000000.0,748000000.0,,,,18369119.33183,196759486.0,,2604000000.0,,,378000000.0,,,,,,578000000.0,664003880.409476,,,,126022136.812151,,,,-12636978.454488,-263306034.960642,,,,,,-419239070.179977,,,,,,,,,,1346000000.0,204000000.0,1012000000.0,107000000.0,1158000000.0,220000000.0,,1.495956,,,1218000000.0,,,,,82000000.0,,,,,,1000000.0,,,,,,,,319000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,237064320.840109,-27428929.68398,,243000000.0,154777531.78817,,1328343880.409867,1261730765.463059,6000000.0,83000000.0,84000000.0,8000000.0,,125389392.841049,,,113000000.0,213201894.0,-16000000.0,-345000000.0,-646000000.0,349000000.0,-75000000.0,409000000.0,155000000.0,,875000000.0,129307811.367332,,,464332595.364511,7000000.0,213553809.682412,,,27428929.68398,3.721261,319000000.0,844419192.413942,90000000.0,1953331635.351972,227000000.0,1953000000.0,272000000.0,301718226.523775,403597108.207128,29000000.0,5877627.789424,25000000.0,-256000000.0,1259771556.199918,-336983993.26032,621069336.415823,357000000.0,80000000.0,,38000000.0,578000000.0,302000000.0,-297799807.997492,-2971000000.0,,875000000.0,376168178.523148,1539938480.829137,0.0,,423189200.838542,,,,84000000.0,,,-1963000000.0,-262534041.260947,2817000000.0,3708000000.0,-2971000000.0,,218682663.0,,391841852.628279,,9000000.0,3.628319,,37000000.0,,351000000.0,376000000.0,21000000.0,787602123.782841,,20000000.0,1953331635.351972,2364000000.0,103000000.0,-601477243.784409,,,252000000.0,92000000.0,,,,9000000.0,,272000000.0,2599000000.0,,452577339.785663,479000000.0,350698458.10231,527027291.785036,-215513018.945554,,891440214.729335,351000000.0,-45000000.0,,,72490742.736232,141000000.0,349000000.0,-2000000.0,,-83000000.0,-79000000.0,793479751.572265,25469720.420838,,,1104994024.411747,-17000000.0,,-646000000.0,,-41143394.525969,2364765580.611665,4170000000.0,188084089.261574,76409161.262514,,1105000000.0,213000000.0,891000000.0,149000000.0,1259000000.0,-5000000.0,,,,,1328000000.0,4171156521.228032,-1099116396.622323,-172410415.156443,,119000000.0,593640406.731843,45061813.052252,695519288.415196,-103838090.946494,3708783135.126663,0.0,793479751.572265,19592092.631414,,2817342920.397328,,352657667.365451,,357000000.0,,,,,,,,,,,,,,,,,,,,,
,,-83000000.0,,,,,,,,,5904581.955598,90536923.319162,92505117.304362,6000000.0,,,,,33459297.748386,,,-18000000.0,-646000000.0,442000000.0,-41332073.689183,718390804.597701,151550936.860337,200048050.0,440000000.0,,,,,19681939.851992,,,,,,488112108.329397,,110218863.171154,,192883010.54952,1869784285.939222,,,,7872775.940797,,13777357.896394,-1968193.985199,,,,,135805384.978744,,-7872775.940797,-263737994.01669,316879231.617068,,,,,,,,,,,,0.477615,92505117.304362,,,,,2844040308.612817,3725791213.98205,-3046000000.0,-18000000.0,,,,43000000.0,,,,29522909.777988,,350338529.365454,364115887.261849,15745551.881593,,,9840969.925996,,2397260273.972603,110218863.171154,,,,192883010.54952,749881908.360888,,,,-49204849.62998,194019204.0,,1869784285.939222,,,385766021.09904,,,,,,-377893245.158243,-17713745.866793,,,,155487324.830735,,,,,-133837190.993544,,,,,,-29522909.777988,,,-1968193.985199,,,4223744292.237443,,,-17713745.866793,1196661943.001102,216501338.37191,881750905.369233,82664147.378366,1200598330.971501,0.0,,0.463251,,,1312785388.127854,,,,,78727759.407967,,,,,,23618327.82239,,,,,,,,327000000.0,,,,,,,,,,,,,,,,,,,,,
,,82000000.0,,,,,,,,,6024943.265118,118000000.0,128000000.0,-1000000.0,,,,,85031253.13226,,,-408000000.0,-662000000.0,414000000.0,-47033760.865875,1819532866.065511,116482236.45894,225947519.0,474000000.0,,,,,22000000.0,,,,,,34141345.169,,140000000.0,,200000000.0,1891832185.246922,,,,38318455.758438,,24099773.06047,-283212453.897033,,,,,158656839.314763,,37997492.266385,-377893245.158243,321330307.472938,,,,,,,,,,,,0.581905,128000000.0,,,,,2845781535.557207,3470367320.70773,-3066000000.0,-2000000.0,,,,45000000.0,,,,30726522.873188,,82340891.28994,106440664.350411,20000000.0,,,14058200.951941,,3508525294.720141,153000000.0,,,,249000000.0,737051392.766051,,,,-21086155.129726,220070272.0,,1891832185.246922,,,449000000.0,,,,,,-1751250175.727512,39805204.505557,,,,183726522.873188,,,,,-32852906.008042,,,,,,-6626749.812718,,,10001451.672023,,,2853814793.24403,,,-2369398.350266,2283453497.479565,218906271.965939,624585785.150523,96000000.0,1225071797.240576,0.0,,0.566592,,,-54224489.386058,,,,,92000000.0,,,,,,0.0,,,,,,,,347000000.0,,,,,,,,,,,,,,,,,,,,,
,,-100000000.0,,,,,,,,,6137353.98212,116452531.433943,133043630.1536,0.0,,,,,163827732.296867,,,-116000000.0,-674000000.0,395000000.0,-30289675.765926,1800290501.42182,122747079.642397,,106000000.0,,,,,2795189.440722,,,,,,470000000.0,,119247720.874664,,203739494.271982,1931220719.707044,,,,4953384.818431,,16366277.285653,70373258.508038,,,,,163662772.856529,,133538056.530941,-1751250175.727512,329371330.373765,,,,,,,,,,,,,133043630.1536,,,,,2878419017.614206,3565802663.611628,-3123000000.0,,,,,,,,,29765092.419915,,157525418.874409,173891696.160062,37498588.194733,,,16366277.285653,,3543299032.343855,147776295.407555,,,,270328710.584616,789672879.032753,,,,53924727.474052,,,1931220719.707044,,,474068204.856599,,,,,,-1659131359.833064,22915803.896781,,,,186511401.489312,,,,-28327500.684568,-60392000.336848,,,,,,3417105.0194,,,16516158.241656,,,2976616681.328123,,,-10603625.693541,2266729404.062928,222990528.017021,687383645.997422,122552415.177062,1276569628.280927,2000000.0,,,,,16366277.285653,,,,,101420104.267982,,,,,,36824123.892719,,,,,,,,1267000000.0,,,,,,,,,,,,,,,,,,,,,
,,100000000.0,-17848289.538919,-31730292.513634,,,162617749.132375,,91224590.976698,43629152.206247,5999007.6,92675255.786942,107035189.137049,-1000000.0,,115022310.361924,,,164686083.322487,208968804.0,,-141000000.0,-626998686.9,-105000702.3,-35347125.879016,1747999989.6,147999613.2,,804000000.0,160634605.850273,,,466038671.294001,-18961432.074839,218145761.031235,,,47595438.770451,2.192602,362000356.2,936043629.152206,73713823.712103,1907783837.382251,227630947.673669,1934001348.4,294000000.0,331184928.111056,378780366.881507,-19143886.217665,5949429.846306,17999030.5,-22193564.825806,1209717402.0823,,662369856.222112,391000000.0,162999139.9,,129338957.443471,-1659131359.833064,446000391.8,-259791769.955379,-3065000000.0,,804000000.0,120971740.20823,1751115518.096182,18000000.0,,440257808.626673,,,,107035189.137049,,,-683000000.0,-1636093207.734259,2792001981.9,3617000042.8,-3065000000.0,,214846052.0,,487853247.397124,,0.0,2.131865,,25986365.528909,,105000702.3,122999732.8,34349950.614562,773425880.019831,,15999361.3,1907783837.382251,3518996175.0,119210991.44433,-297471492.31532,,,221792362.309859,99999521.6,,,,32367646.285653,,294000000.0,2561000035.3,,448190381.755082,449423309.983527,103123450.669311,416460089.241448,-152702032.721864,,700049578.582053,-825000000.0,-66011819.935546,,,107089737.233515,134050139.855574,-105000702.3,21000542.0,,22612302.8942,-72918475.161566,458106098.165592,17848289.538919,,,2276648487.853247,59000000.0,,-626998686.9,23450675.671521,-43629152.206247,3486365889.935548,2648999534.0,226078334.159643,51561725.334655,-1313960.389401,2286999177.8,110000000.0,824998060.9,102581370.865529,1231996997.2,-52000000.0,,,,,92002852.5,2982647496.281606,-1532969757.064948,-265741199.801686,,99000000.0,1723351512.146753,107089737.233515,815071888.943976,23797719.385226,3583539910.758552,0.0,458106098.165592,15865146.256817,,2883490332.1765,,372830937.035201,,391000000.0,,,,,,,,,,,,,,,,,,,,,
,,1000000.0,,,,,,,,,5953089.65353,59530896.535302,61515259.753145,0.0,,,,,37702901.139024,,,52000000.0,-619000000.0,438000000.0,-27781085.049808,1837520339.722983,168670873.516688,192643116.0,434000000.0,,,,,23812358.614121,,,,,,502043894.114379,,83343255.149423,,206373774.655713,1950629043.140056,,,,1984363.217843,,35718537.921181,73421439.060206,,,,,162717783.863158,,9921816.089217,-1637099654.7208,343294836.686907,,,,,,,,,,,,0.322104,61515259.753145,,,,,2956701194.586657,3772274477.120292,-2983000000.0,,,,,,,,,29765448.267651,,176608326.388062,212326864.309243,33734174.703338,,,15874905.742747,,3617494146.128507,123030519.50629,,,,242092312.576894,756042385.998333,,,,-53577806.881772,190684034.0,,1950629043.140056,,,448466087.232607,,,,,,-1676786919.077668,-15874905.742747,,,,146842878.120411,,,,,-25796721.831964,,,,,,5953089.65353,,,1984363.217843,,,2960669921.022344,,,,2411001309.679724,224233043.616304,815573282.533635,119061793.070604,1206492836.448784,8000000.0,,0.319065,,,148827241.338255,,,,,93265071.23864,,,,,,95249434.456483,,,,,,,,403000000.0,,,,,,,,,,,,,,,,,,,,,
,,1000000.0,,,,,,,,,5000000.0,101000000.0,101000000.0,0.0,,,,,244297098.860976,,,-266000000.0,-619000000.0,482000000.0,-5218914.950192,1771000000.0,150000000.0,192643116.0,428000000.0,,,,,44000000.0,,,,,,489000000.0,,145000000.0,,226000000.0,1843000000.0,,,,2015636.782157,,18000000.0,-9421439.060206,,,,,161000000.0,,239078183.910783,-1676786919.077668,342000000.0,,,,,,,,,,,,0.532903,101000000.0,,,,,2891000000.0,3595000000.0,-2683000000.0,,,,,,,,,29234551.732349,,165000000.0,183000000.0,28000000.0,,,17000000.0,,3593000000.0,170000000.0,,,,289000000.0,783000000.0,,,,45577806.881772,189377979.0,,1843000000.0,,,515000000.0,,,,,,-1623000000.0,11874905.742747,,,,202234551.732349,,,,,-117203278.168036,,,,,,-20953089.65353,,,10015636.782157,,,2505000000.0,,,,2365000000.0,228000000.0,704000000.0,119000000.0,1228000000.0,15000000.0,,0.532903,,,-4000000.0,,,,,90000000.0,,,,,,27000000.0,,,,,,,,444000000.0,,,,,,,,,,,,,,,,,,,,,
,,-2000000.0,,,,,,,,,4000000.0,91000000.0,91000000.0,0.0,,,,,207000000.0,,,-154000000.0,-619000000.0,443000000.0,-30000000.0,1573000000.0,134000000.0,188724951.0,403000000.0,,,,,1000000.0,,,,,,458000000.0,,92000000.0,,220000000.0,1766000000.0,,,,0.0,,14000000.0,86000000.0,,,,,146000000.0,,177000000.0,-1623000000.0,308000000.0,,,,,,,,,,,,0.490025,91000000.0,,,,,2732000000.0,3474000000.0,-2719000000.0,,,,,,,,,26000000.0,,238000000.0,252000000.0,30000000.0,,,16000000.0,,3388000000.0,141000000.0,,,,276000000.0,860000000.0,,,,91000000.0,184806786.0,,1766000000.0,,,496000000.0,,,,,,-1351000000.0,33000000.0,,,,148000000.0,,,,0.0,-15000000.0,,,,,,13000000.0,,,9000000.0,,,2641000000.0,,,-2000000.0,2109000000.0,215000000.0,742000000.0,135000000.0,1279000000.0,32000000.0,,0.490025,,,80000000.0,,,,,109000000.0,,,,,,28000000.0,,,,,,,,402000000.0,,,,,,,,,,,,,,,,,,,,,
,,0.0,166000000.0,0.0,43000000.0,,117000000.0,,1000000.0,-25000000.0,4000000.0,-6000000.0,8000000.0,100000000.0,,112000000.0,,,152000000.0,187396724.0,-6000000.0,,-582000000.0,362000000.0,-39000000.0,1726000000.0,117000000.0,,0.0,118000000.0,,,412000000.0,-16000000.0,143000000.0,,,31000000.0,1.398103,412000000.0,1031000000.0,-22000000.0,1684000000.0,164000000.0,1684000000.0,,302000000.0,641000000.0,0.0,4000000.0,10000335.6,-125000000.0,1141000000.0,-316000000.0,527000000.0,4000000.0,118000000.0,,113000000.0,-1351000000.0,302000000.0,25000000.0,181000000.0,,0.0,82000000.0,1854000000.0,83000000.0,,302000000.0,,,,8000000.0,,,,82000000.0,2574000000.0,3118000000.0,181000000.0,,193325659.0,,992000000.0,,0.0,1.355226,,27000000.0,,82000000.0,82000000.0,4000000.0,746000000.0,,20999538.2,2266000000.0,3124000000.0,81000000.0,-161000000.0,,43000000.0,220000000.0,746000000.0,,,,40000000.0,,,2266000000.0,,39000000.0,384000000.0,82000000.0,248000000.0,-102000000.0,,544000000.0,82000000.0,-54000000.0,,,113000000.0,11000000.0,362000000.0,2000000.0,59000000.0,-32000000.0,-3000000.0,262000000.0,10000000.0,,,1976000000.0,168000000.0,,-582000000.0,9999873.8,123000000.0,3117000000.0,-256000000.0,539000000.0,2000000.0,7000000.0,1983000000.0,143000000.0,544000000.0,139000000.0,1141000000.0,-58000000.0,,,,,-6000000.0,2633000000.0,-118000000.0,105000000.0,,123000000.0,1726000000.0,10000000.0,823000000.0,54000000.0,3118000000.0,10000000.0,262000000.0,21000000.0,-188000000.0,2574000000.0,,459000000.0,,11000000.0,,,,,,,,,,,,,,,,,,,,,
