date,annualOperatingIncome,annualChangeInAccountPayable,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualResearchAndDevelopment,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,annualAccountsPayable,annualFreeCashFlow,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualTotalLiabilitiesNetMinorityInterest,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedEPS,trailingCostOfRevenue,annualDilutedAverageShares,annualOtherCurrentAssets,trailingTotalRevenue,trailingNetOtherInvestingChanges,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,annualChangeInWorkingCapital,quarterlyPurchaseOfInvestment,annualNetOtherInvestingChanges,quarterlyTotalNonCurrentAssets,annualCashAndCashEquivalents,trailingNetIncome,trailingTaxProvision,trailingPretaxIncome,trailingEndCashPosition,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,annualPretaxIncome,annualNetIncome,quarterlyNetIncomeCommonStockholders,annualCashDividendsPaid,annualInvestmentsAndAdvances,annualCurrentDebt,quarterlyTotalAssets,quarterlyFreeCashFlow,annualNetIncomeContinuousOperations,annualOperatingExpense,annualCurrentDeferredRevenue,annualCostOfRevenue,annualBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualOtherNonCurrentAssets,annualSellingGeneralAndAdministration,trailingSaleOfInvestment,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualStockholdersEquity,annualOtherNonCashItems,annualLongTermDebt,annualCurrentAssets,quarterlyCurrentAccruedExpenses,annualNetIncomeCommonStockholders,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,quarterlyStockholdersEquity,annualRetainedEarnings,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualTotalAssets,quarterlyAccountsReceivable,annualTaxProvision,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,annualAccountsReceivable,trailingOperatingCashFlow,annualNetPPE,quarterlyOperatingExpense,trailingOtherIncomeExpense,trailingGrossProfit,annualOperatingCashFlow,annualGrossProfit,annualTotalNonCurrentAssets,quarterlyPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,annualOtherIntangibleAssets,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyTaxProvision,annualEbitda,quarterlyNetPPE,annualOtherIncomeExpense,quarterlyBeginningCashPosition,trailingChangeInCashSupplementalAsReported,quarterlyCurrentDebt,quarterlyCapitalExpenditure,annualGrossPPE,quarterlyInterestExpense,trailingDepreciationAndAmortization,trailingCashFlowFromContinuingFinancingActivities,quarterlyChangesInAccountReceivables,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,trailingOtherNonCashItems,annualBeginningCashPosition,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,annualInvestingCashFlow,annualDeferredIncomeTax,trailingSellingGeneralAndAdministration,trailingInvestingCashFlow,trailingDeferredIncomeTax,annualCapitalExpenditure,annualAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,annualIncomeTaxPayable,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,trailingInterestExpense,trailingCashDividendsPaid,annualBasicEPS,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCommonStockIssuance,trailingCapitalExpenditure,trailingPurchaseOfInvestment,trailingOperatingExpense,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,annualOtherCurrentLiabilities,trailingNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualStockBasedCompensation,annualGoodwill,annualInventory,quarterlyEbitda,annualNetOtherFinancingCharges,annualCashFlowFromContinuingFinancingActivities,trailingStockBasedCompensation,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualInterestExpense,annualCapitalStock,annualPurchaseOfInvestment,annualTotalRevenue,trailingResearchAndDevelopment,trailingBasicAverageShares,quarterlyChangeInInventory,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingDilutedEPS,trailingBasicEPS,trailingCommonStockIssuance,trailingChangeInAccountPayable,trailingDilutedAverageShares
1970-01-01 00:00:00.851990400,868956000.0,,,,,,5623000000.0,,,,483497000.0,11374000.0,164891000.0,,,1155792000.0,2751000000.0,,647122000.0,,0.453448,8351000000.0,1251600000.0,,27553000000.0,1000000.0,,,,,-206987000.0,,737394000.0,3337000000.0,1231000000.0,4618000000.0,5314000000.0,,,,,967213000.0,567536000.0,,-133615000.0,161429000.0,,,,568853000.0,2458810000.0,,394384000.0,1251600000.0,,,,,778000000.0,,,,,2207070000.0,-248630000.0,8669000.0,,,567536000.0,,,3337000000.0,,,240698000.0,,,3367104000.0,,399677000.0,,,164591000.0,,,,,,,,,,,1555869000.0,3497000000.0,621903000.0,,-1201000000.0,19202000000.0,483497000.0,3327766000.0,,,902285000.0,,,,,-1713000000.0,,,,,1033547000.0,,-4259000.0,,-3313000000.0,,,621903000.0,,1872000000.0,102000000.0,,,,,,,,,-250000000.0,268077000.0,,,,-206987000.0,,9318000000.0,-7021000000.0,1231000000.0,,,,,,,,589000000.0,-1790000000.0,0.453448,,,,18289000.0,-6215000000.0,,,8627000000.0,,,,-746000000.0,-900000000.0,13579000000.0,,3387000000.0,,,-18000000.0,379045000.0,,,,7799000.0,,225152000.0,102535000.0,561000000.0,-736000000.0,,,517537000.0,,3722150000.0,4279000000.0,,,,,,,,,,
1970-01-01 00:00:00.883526400,814901003.28,,911591815.68,,,,,605628485.28,,160890748.2,131717141.01,2009997.99,84457188.27,,,1014895348.74,,,421693214.67,,0.373636,,1251600000.0,84487188.24,,,,,-145175309.37,,-39806323.83,,504150404.94,,,,,,,,,825764628.78,467724077.73,,-121406242.23,,82457190.27,,,467724077.73,1962157128.75,,306163330.2,1251600000.0,,,133826229.81,1863431772.93,,,,,,1540533004.92,,2381815.8,1911075361.65,,467724077.73,,,,409266863.46,,148768942.14,,,2562783800.85,,358040551.05,,,98725355.82,,,,,,,,,,,1231134223.41,,431309568.69,,,,422206850.52,2777058132.03,651708439.2,,588607593.21,,,41092686.18,,,,,,,913627268.19,,42759957.24,,,,,735831082.35,,,,,,,,,,,603246669.48,,327090582.0,,,,-288182439.09,,,,,-290489709.51,-304521513.66,,,,,,,,0.373636,,,,,,,,,,,,,,,,,,165918924.99,,94602632.67,,,,3798178.02,,81844463.61,-39421778.76,,,,1911816.27,263600645.49,,3083221462.23,,,,,,,,,,,
1970-01-01 00:00:00.915062400,847458774.0,,,,,,,765750924.18,,234396234.0,238489002.0,13130964.0,,,,1298151828.18,,,620480682.0,,0.42633,,1254768000.0,148703904.0,,,,,-21828096.0,,101722338.0,,620480682.0,,,,,,,,,956599254.0,536237874.0,,-150323958.0,,96265314.0,,,536237874.0,1717001442.0,,1761339762.0,1254768000.0,,,192019032.0,1555251840.0,,,-682128.0,,,1912283603.82,,24727140.0,2303290458.0,,536237874.0,,,,532400904.0,,166371871.86,,,3217683042.0,,420361380.0,,,138642516.0,,,,,,,,,,,,,645037290.0,,,,626875632.0,2564460216.0,914392584.0,,620480682.0,,,77336262.0,,,,,,,986101290.0,,114256440.0,,,,,997867998.0,,,,,-15006816.0,,,,,,741023784.18,,405098766.0,,,,-251705232.0,-511596.0,,,,-388386630.0,-352830708.0,,,,,,,,0.42633,,,,,,,,,,,,,,,,,,201739356.0,,215381916.0,,,,18843786.0,,0.0,-113403780.0,,,,3495906.0,,,4325799978.0,,,,,,,,,,,
1970-01-01 00:00:00.922838400,,,,,568511280.0,,,,,,,,,2568519100.0,267534720.0,,,,,1287510840.0,,,,,,,279610940.0,,,,,1245708540.0,,,,,,173711780.0,1076641460.0,1856022120.0,0.074315,,,98467640.0,,,,3814227640.0,0.0,,,,,,98467640.0,98467640.0,,,,,,,1287510840.0,,,,,,,496982900.0,,,,1950774000.0,,0.0,0.0,,,,,,,1254768000.0,0.074315,,-5573640.0,,,579658560.0,,,,,,,405946780.0,,,,,,172782840.0,,85462480.0,,,,,,,,74315200.0,,678126200.0,,0.0,,,,,,,,,,482119860.0,,,-384581160.0,,,,,,,0.0,,,,,,,,,,,1062707360.0,,,,,,,,,,,,,1254768000.0,,,,,,,,138412060.0,,,,,,,,173711780.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.930700800,,,,,655846100.0,,,,,,,,,2463045000.0,336133200.0,,,,,1215102200.0,,,,,,,427893700.0,,,,,1382202900.0,,,,,,223122900.0,1258567700.0,1870948300.0,0.115908,,,141987300.0,,,,3845247900.0,0.0,,,,,,141987300.0,141987300.0,,,,,,,1215102200.0,,,,,,,529313200.0,,,,1965606500.0,,0.0,0.0,,,,,,,1254768000.0,0.115908,,-6761300.0,,,729254500.0,,,,,,,506131600.0,,,,,,247270400.0,,96590000.0,,,,,,,,105283100.0,,727322700.0,,0.0,,,,,,,,,,558290200.0,,,-399882600.0,,,,,,,0.0,,,,,,,,,,,1127205300.0,,,,,,,,,,,,,1254768000.0,1537712800.0,,,,,,,169998400.0,,,,,,,,223122900.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.938649600,,,,,719230320.0,,,,,,,,,2197908000.0,353535840.0,,,,,943697520.0,,,,,,,466704720.0,,,,,1511412480.0,,,,,,82304640.0,1122336000.0,1662927840.0,0.037411,,,44893440.0,,,,3709320480.0,0.0,,,,,,44893440.0,44893440.0,,,,,,,943697520.0,,,,,,,513468720.0,,,,2037039840.0,,0.0,0.0,,,,,,,1254768000.0,0.037411,,-5611680.0,,,608867280.0,,,,,,,526562640.0,,,,,,77628240.0,,89786880.0,,,,,,,,32734800.0,,749159280.0,,0.0,,,,,,,,,,672466320.0,,,-387205920.0,,,,,,,0.0,,,,,,,,,,,1136365200.0,,,,,,,,,,,,,1254768000.0,1570335120.0,,,,,,,173026800.0,,,,,,,,82304640.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.946598400,796774113.87,,344214073.35,,1785245349.79,745222251.41,,475237334.53,,301680855.14,284049032.96,489938.47,,3518193494.62,435359157.89,2260482684.32,,,709990408.33,475237334.53,1.421891,,1254768000.0,956513930.89,,,1699497173.43,,-156067762.97,,-149927134.56,1312298701.21,711541714.52,,,,,317910753.87,1657232559.36,2260482684.32,,978146751.61,601449658.32,317124538.32,-165596221.49,,24671830.54,4830492195.83,284049032.96,601449658.32,2311117278.61,,2006136046.88,1254768000.0,317124538.32,317124538.32,397455378.81,1393085877.89,,,,956513930.89,473973233.65,2561266147.09,,1264100.88,3518193494.62,,601449658.32,466665166.88,,,1785245349.79,2561266147.09,1699497173.43,709990408.33,-454347868.73,4830492195.83,,376697093.29,,,172809149.31,,,,171711495.98,,3140376.4,1190567392.48,,1264100.88,,,,794869018.44,872656638.61,,,638541876.28,3107891392.48,1312298701.21,481513071.61,711541714.52,119974303.96,,119974303.96,,,268005287.2,711541714.52,711541714.52,164388533.29,969583263.18,794869018.44,153005895.98,0.0,,24671830.54,,1273276543.07,,,,,-366708.51,397455378.81,,,-478407524.63,,473973233.65,,621319495.58,,,638541876.28,-454347868.73,14724986.43,,,,-354492843.32,-478407524.63,,,,1273276543.07,,,,1.426872,301680855.14,,,,,,,,,344214073.35,,,,,1458892664.11,,264488331.41,1458892664.11,,88670912.75,,,,3140376.4,317910753.87,-2980376.21,-159549009.34,,,,3274538.05,268005287.2,,5114027439.36,,,,,,,,,,,
1970-01-01 00:00:00.954460800,,,,,1326708400.0,,,,,,,,,3965477000.0,362019800.0,,,,,1487838600.0,,,,,,,1845673200.0,,,,,1384254900.0,,,,,,128694900.0,1183365300.0,2814547000.0,0.094167,,,56500200.0,,,,5349731900.0,0.0,,,,,,56500200.0,56500200.0,,,,,,480251700.0,1487838600.0,,,,,,,499085100.0,,,,2525768200.0,,0.0,0.0,,,,,,,1257073000.0,0.094167,,-270991700.0,,,684280200.0,,,,,,,555585300.0,,,,,,94167000.0,,122417100.0,,,,,,1566311100.0,1566311100.0,37666800.0,,806697300.0,,0.0,,,,,,,,,,455140500.0,,,-503270300.0,,,,,,,0.0,,,,,,,,,,,1309967600.0,,,,,,,,,,,,,1257073000.0,680095000.0,,,,,,,193565500.0,,,,,,,,128694900.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.962323200,,,,,1337457940.0,,,,,,,,,3101138740.0,509157850.0,,,,,1331159080.0,,,,,,,2564685830.0,,,,,1969443560.0,,,,,,243555920.0,1500178490.0,2668617020.0,0.178468,,,116528910.0,,,,5070582300.0,0.0,,,,,,116528910.0,116528910.0,,,,,,0.0,1331159080.0,,,,,,,544851390.0,,,,2392516990.0,,0.0,0.0,,,,,,,1257073000.0,0.178468,,-103931190.0,,,955327100.0,,,,,,,711771180.0,,,,,,193165040.0,,119678340.0,,,,,,1157940430.0,1157940430.0,76636130.0,,817801990.0,,0.0,,,,,,,,,,1031963230.0,,,-504958610.0,,,,,,,0.0,,,,,,,,,,,1322760600.0,,,,,,,,,,,,,1257073000.0,-172168840.0,,,,,,,202613330.0,,,,,,,,243555920.0,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.970272000,,,,,1142729280.0,,,,,,,,,2980392140.0,421721520.0,,,,,1250426980.0,,,,,,,2198166740.0,,,,,2153954000.0,,,,,,209727100.0,1422743300.0,2393156260.0,0.136039,,,88425480.0,,,,5134346140.0,0.0,,,,,,88425480.0,88425480.0,,,,,,0.0,1250426980.0,,,,,,,578166600.0,,,,2684506880.0,,0.0,0.0,,,,,,,1257073000.0,0.136039,,-55549340.0,,,844576700.0,,,,,,,634849600.0,,,,,,150776780.0,,126969920.0,,,,,,1048635500.0,1048635500.0,62351300.0,,853645980.0,,0.0,,,,,,,,,,1173338100.0,,,-545290460.0,,,,,,,0.0,,,,,,,,,,,1398936440.0,,,,,,,,,,,,,1257073000.0,,,,,,,,213128080.0,,,,,,,,209727100.0,,,,,,,,,,,,,,,,,,,,
