,trailingOtherIncomeExpense,trailingGrossProfit,annualOperatingCashFlow,annualTotalNonCurrentAssets,quarterlyOperatingExpense,quarterlyPretaxIncome,annualGrossProfit,quarterlyOtherIntangibleAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyTaxProvision,annualInventory,quarterlyNetPPE,annualEbitda,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,annualNetPPE,quarterlyCapitalStock,annualOtherIncomeExpense,annualGrossPPE,quarterlyCurrentDebt,quarterlyInterestExpense,annualChangeInInventory,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualOtherNonCurrentLiabilities,annualBeginningCashPosition,quarterlyOperatingCashFlow,annualDeferredIncomeTax,trailingOperatingExpense,annualInvestingCashFlow,quarterlyDilutedEPS,annualCapitalExpenditure,annualPretaxIncome,annualNonCurrentDeferredTaxesLiabilities,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,annualAccumulatedDepreciation,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualBasicEPS,trailingNetIncomeContinuousOperations,annualOtherCurrentLiabilities,quarterlyEbitda,annualChangeInCashSupplementalAsReported,annualGoodwill,annualNetOtherFinancingCharges,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,annualInterestExpense,annualPurchaseOfInvestment,annualRepaymentOfDebt,annualCapitalStock,annualTotalRevenue,annualAccountsPayable,annualOperatingIncome,quarterlyOtherNonCashItems,trailingOperatingIncome,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualCommonStockIssuance,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,annualOtherShortTermInvestments,annualFreeCashFlow,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,annualTotalLiabilitiesNetMinorityInterest,annualEndCashPosition,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,annualDilutedEPS,annualOtherCurrentAssets,quarterlyTotalRevenue,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyOperatingIncome,annualBasicAverageShares,trailingTaxProvision,trailingNetIncome,quarterlyTotalLiabilitiesNetMinorityInterest,annualCurrentDebt,annualNetIncome,trailingPretaxIncome,quarterlyNetIncomeCommonStockholders,annualInvestmentsAndAdvances,quarterlyTotalAssets,annualCashDividendsPaid,annualOperatingExpense,annualNetIncomeContinuousOperations,trailingSellingGeneralAndAdministration,annualGainsLossesNotAffectingRetainedEarnings,annualCostOfRevenue,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,annualSaleOfInvestment,quarterlyOtherCurrentAssets,annualRepurchaseOfCapitalStock,annualStockholdersEquity,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,annualOtherNonCashItems,annualCurrentAssets,annualOtherNonCurrentAssets,annualLongTermDebt,annualDilutedAverageShares,annualDepreciationAndAmortization,annualNetIncomeCommonStockholders,quarterlyGoodwill,trailingNetIncomeCommonStockholders,annualCurrentLiabilities,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,annualTotalAssets,quarterlyCostOfRevenue,annualTaxProvision,quarterlyCurrentAccruedExpenses,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,quarterlyLongTermDebt,quarterlyBasicAverageShares,quarterlyBasicEPS,trailingBeginningCashPosition,trailingBasicAverageShares,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyDepreciationAndAmortization,trailingPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,trailingOtherNonCashItems,quarterlySaleOfInvestment,trailingChangeInWorkingCapital,trailingCashFlowFromContinuingFinancingActivities,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,quarterlyChangeInInventory,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,annualStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyDeferredIncomeTax,trailingCapitalExpenditure,trailingNetOtherInvestingChanges,annualIncomeTaxPayable,trailingChangeInInventory,trailingChangeInAccountPayable,quarterlyPurchaseOfBusiness,trailingCashDividendsPaid,trailingEndCashPosition,trailingOperatingCashFlow,trailingNetOtherFinancingCharges,trailingInvestingCashFlow,trailingDepreciationAndAmortization,trailingSaleOfInvestment,quarterlyCapitalExpenditure,trailingDeferredIncomeTax,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares,trailingFreeCashFlow
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820368000,,,1816000000.0,,,,8936000000.0,,,,,,,,3662000000.0,,,,,,-281000000.0,,,,-414000000.0,,,,392000000.0,,,931000000.0,,,,3135000000.0,,,1054000000.0,,,,,-2000000.0,,,,,,,,73.1975,,,,540000000.0,,-2536000000.0,,1859000000.0,1076000000.0,,,,21725000000.0,,1822000000.0,,,,,,,,,1816000000.0,,,,1471000000.0,,,,-364000000.0,,,73.1975,,,255000000.0,,,,,,,,,,306000000.0,,,,,-110000000.0,7114000000.0,648000000.0,,,12789000000.0,,,,,,,,7114000000.0,,,,,,,1532000000.0,306000000.0,,,,,,,,,,,,,406000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851990400,,,4739000000.0,21636000000.0,,,10901000000.0,,,1423000000.0,,,2711000000.0,,7000000000.0,,,,19210000000.0,,2034000000.0,28975000000.0,,,-627000000.0,,,,147000000.0,,69000000.0,1761000000.0,,,,2685000000.0,,,3464000000.0,,,,,219000000.0,,-9765000000.0,,,,,,9.0,,1644000000.0,,-31000000.0,1342000000.0,-2846000000.0,,-2085000000.0,1518000000.0,,,0.0,26544000000.0,589000000.0,2538000000.0,,,6134000000.0,,1157000000.0,,,,4739000000.0,,,12813000000.0,1730000000.0,,,,-275000000.0,,,9.0,0.0,,-241000000.0,1423000000.0,,,,153890013.0,,,,3794000000.0,1434000000.0,,,326000000.0,,-102000000.0,8363000000.0,2996000000.0,,-6930000000.0,15643000000.0,,,,,,,10357000000.0,8363000000.0,,,6186000000.0,499000000.0,5305000000.0,153890013.0,2018000000.0,1434000000.0,,,6679000000.0,253000000.0,7838000000.0,,,,,,27822000000.0,,468000000.0,,,,,,,1432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883526400,,,3727000000.0,22665000000.0,,,11134000000.0,,1604338000.0,1198000000.0,,,2680000000.0,,5908000000.0,,,,19612000000.0,,279000000.0,29854000000.0,,,-302000000.0,,,,911000000.0,,86000000.0,1423000000.0,,,,4241000000.0,,-3257048000.0,3056000000.0,,,,,-243000000.0,,-10242000000.0,,,,,,415.193,,1850000000.0,,-225000000.0,1605000000.0,-759000000.0,,289000000.0,997000000.0,,,0.0,24579000000.0,605000000.0,3512000000.0,,,8590000000.0,,128992000.0,,,,3727000000.0,,,13291000000.0,1198000000.0,,,,-347000000.0,,,8.501379,0.0,,968000000.0,1198000000.0,,,,87245132.0,,,,1681000000.0,1675000000.0,,,350000000.0,,-169000000.0,7622000000.0,2219000000.0,,-7817000000.0,13445000000.0,,,,,,,11068000000.0,7622000000.0,,,6329000000.0,902000000.0,7820000000.0,1588.0,1855000000.0,1675000000.0,,,4701000000.0,132000000.0,9563000000.0,,,,,,28994000000.0,,837000000.0,,,,,,,1514000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891302400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41209,,,,,,,,,,,1604009010.0,,,,,,,6192586000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6192586000.0,,,,,6192586000.0,,,,,,,,660996800.0,,,,,,,,,,660996800.0,660996800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604009010.0,0.41209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899164800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.807794,,,,,,,,,,,1604009010.0,,,,,,,7889269000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7889269000.0,,,,,7889269000.0,,,,,,,,1295709100.0,,,,,,,,,,1295709100.0,1295709100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604009010.0,0.807794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907113600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.783304,,,,,,,,,,,1604009010.0,,,,,,,7138095000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7138095000.0,,,,,7138095000.0,,,,,,,,1256427000.0,,,,,,,,,,1256427000.0,1256427000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604009010.0,0.783304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,4688000000.0,28420000000.0,,,15160000000.0,2096892000.0,2096892000.0,2211000000.0,,,3134000000.0,24236000000.0,6339000000.0,2211000000.0,2211000000.0,,24236000000.0,0.0,-1009000000.0,37115000000.0,2666000000.0,,-321000000.0,1452000000.0,,-12879000000.0,375000000.0,,105000000.0,1657000000.0,,,,4171000000.0,,-3095883000.0,2908000000.0,,37115000000.0,721000000.0,,243000000.0,,-12879000000.0,,,,2718000000.0,-2053000000.0,4.7,,2718000000.0,-19275169000.0,554000000.0,2099000000.0,630000000.0,,37000000.0,1102000000.0,,,0.0,33530000000.0,721000000.0,4670000000.0,,,8371000000.0,,1138000000.0,8175000000.0,,,4688000000.0,,6596000000.0,14967000000.0,2211000000.0,,8371000000.0,,321000000.0,,5049000000.0,4.7,0.0,10244831000.0,879000000.0,2211000000.0,,28420000000.0,-18615169000.0,262449877.0,,,14967000000.0,2666000000.0,1360000000.0,,-1486067000.0,506000000.0,36595000000.0,-461000000.0,10490000000.0,2038000000.0,,-2053000000.0,18370000000.0,,-808067000.0,-1486067000.0,,0.0,,14735000000.0,10490000000.0,105000000.0,,8175000000.0,1452000000.0,7463000000.0,262449877.0,2329000000.0,1360000000.0,2099000000.0,,6596000000.0,134000000.0,5049000000.0,,14735000000.0,,,1893000000.0,36595000000.0,,870000000.0,134000000.0,506000000.0,,,3134000000.0,,1893000000.0,7463000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922838400,,,,,2757253418.0,1172147016.0,,,,,,372340430.0,,24712766254.0,,2097678942.0,2097678942.0,0.0,,,,,3083172184.0,252417798.0,,4923597738.0,,-12582205180.0,,,,,0.0,,,,10.144584,,,,37294971434.0,186653774.0,,,,,,1604009010.0,,4502901408.0,,,,,836557070.0,,,,,,,,,,,,,,,,,,8649903392.0,2757253418.0,,,,7772727366.0,,,,7709864696.0,,,,,,,8017408220.0,,,,29636363992.0,836557070.0,,,,15482592062.0,,,,799806586.0,,38286267384.0,,,,,,,0.0,799806586.0,799806586.0,,729206972.0,,,,964216646.0,,,,,,,,,,,,,0.0,15614120110.0,,0.0,,,4423597732.0,,,,3593810488.0,483559000.0,3350096752.0,,,6745648050.0,1604009010.0,10.144584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,,,,3023100906.0,1531352424.0,,,,,,578971914.0,,24701544396.0,,3067419603.0,3067419603.0,0.0,,,,,3936820425.0,238566603.0,,5024042928.0,,-12267792510.0,,,,,0.0,,,,10.676091,,,,36969336906.0,165016425.0,,,,,,1604009010.0,,5281468551.0,,,,,1634134083.0,,,,,,,,,,,,,,,,,,9589811670.0,3023100906.0,,,,9383305401.0,,,,6211218237.0,,,,,,,9565294944.0,,,,29725587324.0,1634134083.0,,,,15594523638.0,,,,952380510.0,,39315398994.0,,,,,,,0.0,952380510.0,952380510.0,,712870956.0,,,,1003299864.0,,,,,,,,,,,,,0.0,16283820819.0,,0.0,,,4908059955.0,,,,4657234989.0,27345579.0,3451200660.0,,,5207918373.0,1604009010.0,10.676091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
