date,trailingGrossProfit,annualNetPPE,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,trailingOperatingCashFlow,annualCapitalStock,annualInventory,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,annualTotalNonCurrentAssets,annualGrossProfit,annualCurrentLiabilities,annualOtherIntangibleAssets,annualEbitda,quarterlyNetPPE,annualPurchaseOfBusiness,annualOtherNonCurrentLiabilities,annualCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,annualChangeInInventory,trailingCapitalExpenditure,annualPurchaseOfInvestment,trailingInvestingCashFlow,annualDilutedEPS,annualInterestExpense,trailingPurchaseOfInvestment,trailingBeginningCashPosition,quarterlyOtherCurrentLiabilities,trailingOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,annualIncomeTaxPayable,quarterlyTotalAssets,annualAccumulatedDepreciation,annualInvestmentsAndAdvances,annualPretaxIncome,quarterlyCurrentDebt,annualGrossPPE,annualDilutedAverageShares,trailingChangeInCashSupplementalAsReported,annualRepaymentOfDebt,quarterlyAccountsPayable,trailingRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,trailingInterestExpense,annualEndCashPosition,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualInvestingCashFlow,annualTotalRevenue,trailingOperatingIncome,annualCostOfRevenue,annualOtherCurrentAssets,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualAccountsPayable,annualGainsLossesNotAffectingRetainedEarnings,trailingCostOfRevenue,trailingTotalRevenue,quarterlyRetainedEarnings,annualOperatingIncome,trailingEndCashPosition,annualCommonStockIssuance,annualCurrentDebt,annualFreeCashFlow,annualOtherShortTermInvestments,annualNetOtherFinancingCharges,trailingTaxProvision,annualCashAndCashEquivalents,annualChangeInWorkingCapital,quarterlyOtherShortTermInvestments,annualNetIncomeContinuousOperations,trailingNetIncomeContinuousOperations,quarterlyTotalNonCurrentAssets,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalLiabilitiesNetMinorityInterest,annualOperatingExpense,quarterlyCurrentAssets,trailingNetIncome,trailingFreeCashFlow,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,annualNetOtherInvestingChanges,trailingPretaxIncome,annualBasicAverageShares,quarterlyLongTermDebt,trailingSellingGeneralAndAdministration,annualCashDividendsPaid,annualAccountsReceivable,annualCurrentAssets,quarterlyOtherCurrentAssets,annualNetIncome,annualBeginningCashPosition,annualLongTermDebt,annualSaleOfInvestment,annualSellingGeneralAndAdministration,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,trailingNetIncomeCommonStockholders,annualDepreciationAndAmortization,annualOtherNonCashItems,annualStockholdersEquity,annualBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyInventory,annualTotalAssets,annualTaxProvision,annualRetainedEarnings,quarterlyStockholdersEquity,trailingSaleOfInvestment,annualCurrentDeferredRevenue,quarterlyOperatingIncome,annualChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,trailingChangesInAccountReceivables,quarterlyBasicEPS,trailingResearchAndDevelopment,annualGoodwill,quarterlyCurrentAccruedExpenses,trailingCommonStockIssuance,quarterlyPurchaseOfBusiness,trailingOtherIncomeExpense,trailingChangeInAccountPayable,annualResearchAndDevelopment,annualStockBasedCompensation,quarterlyNetIncomeContinuousOperations,trailingCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualDeferredIncomeTax,quarterlyChangeInInventory,quarterlyCommonStockIssuance,trailingOtherNonCashItems,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,annualNonCurrentDeferredTaxesLiabilities,trailingPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,trailingRepurchaseOfCapitalStock,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,trailingDilutedEPS,annualRepurchaseOfCapitalStock,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,trailingBasicEPS,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalRevenue,quarterlyEbitda,quarterlyOtherIncomeExpense,trailingCashDividendsPaid,annualChangesInAccountReceivables,trailingDilutedAverageShares,trailingDepreciationAndAmortization,trailingChangeInInventory,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,trailingDeferredIncomeTax,quarterlyCostOfRevenue,annualCurrentAccruedExpenses,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,trailingChangeInWorkingCapital,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,trailingNetOtherInvestingChanges,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,trailingBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,annualNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
1970-01-01 00:00:01.561852800,1405888000.0,886087000.0,153854000.0,,,1175957000.0,404061000.0,245375000.0,263630000.0,,,9447043000.0,402440000.0,1295932000.0,1601000.0,1531048000.0,,,0.0,314458000.0,,,-38524000.0,-1785824000.0,,-2763673000.0,0.719818,13900000.0,-3732838000.0,1236647000.0,,193479000.0,,8083000.0,,-85364000.0,8367150000.0,1482742000.0,,971451000.0,1804750000.0,1536999000.0,-200000000.0,,-1138461000.0,-30876000.0,148627000.0,276388000.0,-40572000.0,-172588000.0,87137000.0,0.0,-163550000.0,1250435000.0,1212409000.0,847995000.0,0.0,30000000.0,449125000.0,3015674000.0,2567154000.0,3973042000.0,,311697000.0,2773646000.0,0.0,390000000.0,-18734000.0,38070000.0,0.0,235535000.0,276388000.0,-95007000.0,,1416440000.0,6681953000.0,,1325932000.0,,90743000.0,,6557559000.0,-1381763000.0,,,,0.0,6917488000.0,1804750000.0,,295495000.0,-250146000.0,562840000.0,1357645000.0,,1299091000.0,316960000.0,30000000.0,0.0,93278000.0,0.0,,,1299091000.0,6557559000.0,34406000.0,4912000.0,9060993000.0,0.719818,,,,10804688000.0,66302000.0,5799944000.0,,2002308000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,919613000.0,308825000.0,3715931000.0,3698141000.0,1724076000.0,,14347000.0,184917000.0,14347000.0,1193000.0,11028055000.0,492953000.0,1595547000.0,1193000.0,2152383000.0,919613000.0,,0.0,3715931000.0,0.0,-131615000.0,78713000.0,,,,1.22,53602000.0,,,0.0,,2118086000.0,8263000.0,15976669000.0,-131615000.0,9806938000.0,2051201000.0,484804000.0,1051228000.0,1509795000.0,,-548573000.0,586875000.0,,3053561000.0,,3698141000.0,3421073000.0,-90644000.0,,0.0,58687000.0,1591382000.0,,1098429000.0,3662000.0,1104000000.0,586875000.0,2118086000.0,,,7521991000.0,365923000.0,,3260934000.0,484804000.0,218181000.0,17790000.0,111951000.0,,3698141000.0,-49222000.0,17790000.0,1978550000.0,,11028055000.0,2699547000.0,2699547000.0,127030000.0,4948614000.0,,,1051228000.0,1595547000.0,8263000.0,-4795000.0,,1509795000.0,1104000000.0,,-190521000.0,813202000.0,4948614000.0,3662000.0,1836786000.0,276388000.0,1104000000.0,20280000.0,129758000.0,0.0,0.0,813202000.0,1836786000.0,,47580000.0,38798000.0,12801011000.0,1.22,1104000000.0,9806938000.0,184917000.0,15976669000.0,72651000.0,7521991000.0,12801011000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,3073209000.0,2305419000.0,,,,,14347000.0,1005000.0,,,,,,1029849000.0,,,,0.0,,,,,,,,,,0.0,,,,16455739000.0,,,,328804000.0,,,,,639832000.0,,,,,,,,,,,,,,,,,,,8290861000.0,,,,,,,,,,,767790000.0,,,12106565000.0,,2390505000.0,,4349174000.0,,,1029849000.0,1650505000.0,,,,,740000000.0,,,,,3190000.0,,,,,,,0.0,793443000.0,,,,,,,740000000.0,,167085000.0,,,,13616495000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1209983000.0,336768000.0,2707583000.0,2057583000.0,,,14347000.0,145659000.0,14347000.0,830000.0,13206837000.0,573641000.0,1776416000.0,830000.0,2595859000.0,1209983000.0,-41700000.0,0.0,2707583000.0,0.0,-186475000.0,39258000.0,,-1400000000.0,,1.24,60755000.0,,,0.0,,,,17206867000.0,-186475000.0,,2479758000.0,670000000.0,1396458000.0,1804750000.0,,-828804000.0,660418000.0,,,,2057583000.0,-1639878000.0,-390093000.0,,0.0,-677254000.0,1747892000.0,,1174251000.0,650000000.0,130000000.0,660418000.0,,,,9665958000.0,483755000.0,,0.0,670000000.0,-53325000.0,650000000.0,-90302000.0,,2057583000.0,-121400000.0,650000000.0,2372813000.0,,13206837000.0,1906416000.0,1906416000.0,89886000.0,4000030000.0,,,1396458000.0,1776416000.0,,-746469000.0,,1804750000.0,130000000.0,,-356528000.0,811522000.0,4000030000.0,650000000.0,2238504000.0,3698141000.0,130000000.0,767790000.0,131650000.0,0.0,0.0,811522000.0,2238504000.0,,55346000.0,-43890000.0,14853647000.0,1.24,130000000.0,,145659000.0,17206867000.0,106945000.0,9665958000.0,14853647000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2953002000.0,2653002000.0,,,,,14347000.0,664000.0,,,,,,1209366000.0,,,,0.0,,,,,,,,,,0.0,,,,18806236000.0,,,,1310000000.0,,,,,757269000.0,,,,,,,,,,,,,,,,,,,10755161000.0,,,,,,,,,,,300000000.0,,,14432490000.0,,2942640000.0,,4373746000.0,,,1209366000.0,2592640000.0,,,,,350000000.0,,,,,0.0,,,,,,,0.0,772675000.0,,,,,,,350000000.0,,198787000.0,,,,15453564000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1202242000.0,65020000.0,2332268000.0,2332268000.0,,,14347000.0,246116000.0,14347000.0,84023000.0,14843259000.0,781619000.0,1270315000.0,84023000.0,2335263000.0,1202242000.0,-86700000.0,0.0,2332268000.0,0.0,-255728000.0,-100457000.0,,,,1.08,38396000.0,,,0.0,,,,18499709000.0,-255728000.0,,2226710000.0,50000000.0,1457970000.0,1804750000.0,,-1400000000.0,847937000.0,,,,2332268000.0,274685000.0,-155352000.0,,0.0,1167249000.0,2057494000.0,,1275875000.0,1745000.0,480000000.0,847937000.0,,,,11573444000.0,611844000.0,,,50000000.0,-90332000.0,,16200000.0,,2332268000.0,-499565000.0,,2059811000.0,,14843259000.0,1750315000.0,1750315000.0,169775000.0,3656450000.0,,,1457970000.0,1270315000.0,,60554000.0,,1804750000.0,480000000.0,,-577204000.0,679012000.0,3656450000.0,1745000.0,1944340000.0,2057583000.0,480000000.0,650000000.0,227487000.0,0.0,0.0,679012000.0,1944340000.0,,70157000.0,-71330000.0,16258446000.0,1.08,480000000.0,,246116000.0,18499709000.0,166899000.0,11573444000.0,16258446000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2342073000.0,1892073000.0,,,,,14347000.0,88956000.0,,,,,,1228175000.0,,,,0.0,,,,,,,,,,0.0,,,,19284119000.0,,,,74783000.0,,,,,760320000.0,,,,,,,,,,,,,,,,,,,12350900000.0,,,,,,,,,,,450000000.0,,,15630658000.0,,2153201000.0,,3653461000.0,,,1228175000.0,1617884000.0,,,,,535317000.0,,,,,450000000.0,,,,,,,0.0,724410000.0,,,,,,,535317000.0,,190655000.0,,,,16604214000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1233100000.0,46331000.0,2165640000.0,2165640000.0,,,14347000.0,164064000.0,14347000.0,279198000.0,16871960000.0,797378000.0,1331216000.0,279198000.0,2384860000.0,1233100000.0,0.0,0.0,2165640000.0,0.0,-328755000.0,75786000.0,,-450000000.0,,1.1,25225000.0,,,0.0,,,,20213073000.0,-328755000.0,,2281837000.0,59833000.0,1561855000.0,1804750000.0,,-52000000.0,874024000.0,,,,2165640000.0,-166628000.0,-230476000.0,,0.0,285787000.0,2032213000.0,,1234835000.0,18175000.0,535267000.0,874024000.0,,,,13491835000.0,694175000.0,,,59833000.0,-184145000.0,,30000000.0,,2165640000.0,-591474000.0,,2127435000.0,,16871960000.0,1866483000.0,1866483000.0,103203000.0,3341113000.0,,,1561855000.0,1331216000.0,,-4054000.0,,1804750000.0,535267000.0,,-467374000.0,683659000.0,3341113000.0,18175000.0,1980612000.0,2332268000.0,535267000.0,450000000.0,173431000.0,0.0,0.0,683659000.0,1980612000.0,,77798000.0,-47688000.0,17747317000.0,1.1,535267000.0,,164064000.0,20213073000.0,154402000.0,13491835000.0,17747317000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019450000.0,2019450000.0,,,,,14347000.0,431429000.0,,,,,,1258709000.0,,,,0.0,,,,,,,,,,0.0,,,,21676369000.0,,,,368392000.0,,,,,1031724000.0,,,,,,,,,,,,,,,,,,,14904472000.0,,,,,,,,,,,,,,18450311000.0,,2406928000.0,,3226058000.0,,,1258709000.0,2203620000.0,,,,,203308000.0,,,,,30495000.0,,,,,,,0.0,719458000.0,,,,,,,203308000.0,,122879000.0,,,,18664759000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1489056000.0,67401000.0,1482745000.0,1457745000.0,,,14347000.0,128193000.0,14347000.0,704408000.0,20551861000.0,723324000.0,1920402000.0,704408000.0,3741062000.0,1489056000.0,,,1482745000.0,,-408160000.0,36532000.0,,-25000000.0,,1.89,24074000.0,,,,,,,23176217000.0,-408160000.0,,3631109000.0,482300000.0,1897216000.0,1804750000.0,,-98300000.0,1011033000.0,,,,1457745000.0,-707895000.0,-571427000.0,,,-144325000.0,2064951000.0,,1341627000.0,,44500000.0,1011033000.0,,,,16846764000.0,637830000.0,,,482300000.0,-504026000.0,25000000.0,1400000.0,,1457745000.0,-504136000.0,25000000.0,3505040000.0,,20551861000.0,1964902000.0,1964902000.0,85494000.0,2624356000.0,,,1897216000.0,1920402000.0,,,,1804750000.0,44500000.0,,-471372000.0,660166000.0,2624356000.0,,3403002000.0,2165640000.0,44500000.0,0.0,217631000.0,,,660166000.0,3403002000.0,,85879000.0,-37350000.0,20577751000.0,1.89,44500000.0,,128193000.0,23176217000.0,126069000.0,16846764000.0,20577751000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
