date,annualOtherCurrentAssets,trailingChangeInAccountPayable,annualCostOfRevenue,trailingOperatingIncome,quarterlyOtherNonCashItems,annualResearchAndDevelopment,annualAccountsPayable,annualChangeInAccountPayable,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingCostOfRevenue,quarterlyCashDividendsPaid,trailingCommonStockIssuance,quarterlyCurrentLiabilities,annualEndCashPosition,quarterlyCurrentAssets,trailingFreeCashFlow,annualTaxProvision,quarterlyRetainedEarnings,trailingEndCashPosition,trailingTaxProvision,quarterlyDepreciationAndAmortization,annualBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualOperatingIncome,quarterlyDilutedAverageShares,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyTotalAssets,quarterlyBasicEPS,annualFreeCashFlow,annualNetIncome,quarterlyTotalNonCurrentAssets,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,annualLongTermDebt,annualCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,trailingPretaxIncome,annualTotalAssets,annualDilutedEPS,quarterlyOtherCurrentAssets,annualSellingGeneralAndAdministration,annualRepurchaseOfCapitalStock,annualOtherNonCurrentAssets,annualCurrentAssets,trailingNetIncomeCommonStockholders,annualStockholdersEquity,quarterlyStockholdersEquity,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,annualDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestingCashFlow,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlyInventory,quarterlyEndCashPosition,annualCurrentAccruedExpenses,annualRetainedEarnings,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyOperatingExpense,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,annualCapitalStock,trailingOtherIncomeExpense,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,annualCashCashEquivalentsAndMarketableSecurities,annualCashFlowFromContinuingFinancingActivities,annualInventory,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,annualCurrentLiabilities,annualGrossProfit,annualNetPPE,quarterlyBeginningCashPosition,trailingRepaymentOfDebt,annualTotalNonCurrentAssets,annualEbitda,quarterlyCapitalStock,annualOtherIncomeExpense,quarterlyCapitalExpenditure,trailingDepreciationAndAmortization,quarterlyInterestExpense,annualOtherNonCashItems,annualOtherNonCurrentLiabilities,annualPurchaseOfBusiness,quarterlyCashFlowFromContinuingFinancingActivities,annualDilutedAverageShares,annualGrossPPE,quarterlyCurrentDebt,annualChangeInInventory,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,trailingOtherNonCashItems,annualBeginningCashPosition,annualPurchaseOfInvestment,trailingInvestingCashFlow,trailingDeferredIncomeTax,quarterlyOperatingCashFlow,annualInterestExpense,annualChangesInAccountReceivables,quarterlyChangeInCashSupplementalAsReported,annualDeferredIncomeTax,annualPretaxIncome,quarterlySaleOfInvestment,trailingBeginningCashPosition,trailingChangesInAccountReceivables,annualInvestingCashFlow,trailingCashDividendsPaid,trailingInterestExpense,quarterlyGrossPPE,annualAccumulatedDepreciation,annualNonCurrentDeferredTaxesLiabilities,trailingNetIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInWorkingCapital,trailingOperatingExpense,quarterlyResearchAndDevelopment,trailingChangeInCashSupplementalAsReported,trailingNetIncomeContinuousOperations,trailingCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,annualBasicAverageShares,quarterlyEbitda,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,annualChangeInCashSupplementalAsReported,annualCapitalExpenditure,trailingGrossProfit,trailingChangeInWorkingCapital,annualRepaymentOfDebt,annualTotalRevenue,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,trailingBasicAverageShares,annualGoodwill,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualInvestmentsAndAdvances,annualIncomeTaxPayable,annualStockBasedCompensation,trailingResearchAndDevelopment,trailingSellingGeneralAndAdministration,trailingSaleOfInvestment,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingPurchaseOfInvestment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,annualOtherShortTermInvestments,quarterlyStockBasedCompensation,quarterlyOtherIntangibleAssets,trailingStockBasedCompensation,annualOtherIntangibleAssets,trailingRepurchaseOfCapitalStock,trailingChangeInInventory,quarterlyGoodwill,trailingBasicEPS
1970-01-01 00:00:00.410140800,,-5000000.0,,73100000.0,,,,,438200000.0,,,290400000.0,,1100000.0,,,,-14300000.0,,,5200000.0,13800000.0,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,58000000.0,,1.12,,,,,,44200000.0,,,,,,,,,,,,,,,,,,,,,,,104900000.0,,,,,,8600000.0,,,,,,-1700000.0,,,,,,,,,-18800000.0,,,,,,52000000.0,,,,,,,,,,,,,,-5300000.0,,,-105800000.0,13500000.0,,,,,,,,7800000.0,11700000.0,,-22100000.0,26600000.0,,,,44200000.0,,,,,,74700000.0,,-2600000.0,44200000.0,-119200000.0,,,,,-2000000.0,,,,,147800000.0,13900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.441676800,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.449539200,,,,,,,,,,,,,,,,,,,,,,,,,,,1522000.0,,,,,,14400000.0,14400000.0,,0.35,,,,,,,,,,,,,1522000.0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.457401600,,,,,,,,,,,,,,,,,,,,,,,,,,,1522000.0,,,,,,11200000.0,11200000.0,,0.22,,,,,,,,,,,,,1522000.0,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.465350400,,,,,,,,,,,,,,,,,,,,,,,,,,,1522000.0,,,,,,14400000.0,14400000.0,,0.35,,,,,,,,,,,,,1522000.0,600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.473299200,,,,,,,,,,,,,,,,,,,,,,,,1.22,,53500000.0,,,2000000.0,,,,13500000.0,13500000.0,,,,2000000.0,,,,,,,,,,,,500000.0,,,,1.22,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53500000.0,,,,,,,,,,1475410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475410.0,13500000.0,,,,,,,,,53500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.481075200,,,,,,,,,,,,,,,,,,,,,,,,,,,1516000.0,,,,,,14600000.0,14600000.0,,0.32,,,,,,,,,,,,,1516000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.488937600,,,,,,,,,,,,,,,,,,,,,,,,,,,1516000.0,,,,,,10800000.0,10800000.0,,0.49,,,,,,,,,,,,,1516000.0,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.496886400,,,,,,,,,,,,,,,,,,,,,,,,,,,1516000.0,,,,,,14600000.0,14600000.0,,0.32,,,,,,,,,,,,,1516000.0,500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970-01-01 00:00:00.504835200,,,,,,,,,,,,,,,,,,,,,,,,1.45,,54200000.0,,,2400000.0,,,,14200000.0,14200000.0,,,,2400000.0,,,,,,,,,,,,600000.0,,,,1.45,,,,,,,,,,2200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54200000.0,,,,,,,,,,1517241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517241.0,14200000.0,,,,,,,,,54200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
