,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualEbitda,annualBeginningCashPosition,annualInterestExpense,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,quarterlyChangesInAccountReceivables,trailingChangesInAccountReceivables,annualSellingGeneralAndAdministration,annualCapitalExpenditure,quarterlyGrossProfit,quarterlyOperatingExpense,trailingCapitalExpenditure,trailingRepaymentOfDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,annualOtherIncomeExpense,annualTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,trailingGrossProfit,annualRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyAccountsPayable,annualCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,annualNetOtherFinancingCharges,annualChangeInInventory,annualStockBasedCompensation,quarterlyStockBasedCompensation,trailingChangeInInventory,quarterlyNetPPE,quarterlyTaxProvision,annualInventory,trailingNetOtherFinancingCharges,quarterlyEbitda,trailingTaxProvision,annualNetIncomeContinuousOperations,quarterlyCommonStockIssuance,annualOtherNonCashItems,annualCapitalStock,trailingDepreciationAndAmortization,trailingOtherNonCashItems,quarterlyDilutedEPS,annualGrossProfit,quarterlyPretaxIncome,quarterlyGrossPPE,trailingFreeCashFlow,annualAccumulatedDepreciation,quarterlyRetainedEarnings,trailingOperatingExpense,quarterlyOperatingCashFlow,annualCostOfRevenue,quarterlyOtherNonCashItems,trailingSellingGeneralAndAdministration,annualOperatingExpense,trailingNetIncomeContinuousOperations,trailingCostOfRevenue,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,annualChangesInAccountReceivables,annualTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,trailingBeginningCashPosition,trailingNetIncome,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentAssets,annualRetainedEarnings,quarterlyAccountsReceivable,annualNetOtherInvestingChanges,annualBasicAverageShares,quarterlyFreeCashFlow,trailingNetOtherInvestingChanges,annualChangeInWorkingCapital,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,trailingChangeInWorkingCapital,annualBasicEPS,annualNetIncome,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualFreeCashFlow,annualPretaxIncome,quarterlyNetIncomeContinuousOperations,annualInvestingCashFlow,annualOperatingIncome,quarterlyNetIncome,annualAccountsPayable,annualTotalRevenue,trailingInvestingCashFlow,trailingChangeInAccountPayable,quarterlyDilutedAverageShares,annualStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,quarterlySellingGeneralAndAdministration,annualTaxProvision,annualEndCashPosition,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualTotalAssets,quarterlyEndCashPosition,annualDilutedAverageShares,annualCurrentLiabilities,annualCurrentAccruedExpenses,quarterlyInventory,trailingCashFlowFromContinuingFinancingActivities,annualCashAndCashEquivalents,trailingOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,quarterlyChangeInAccountPayable,trailingEndCashPosition,quarterlyInvestingCashFlow,annualOtherNonCurrentAssets,quarterlyBasicAverageShares,annualOperatingCashFlow,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualNetPPE,annualCurrentAssets,quarterlyBasicEPS,trailingPretaxIncome,annualCashCashEquivalentsAndMarketableSecurities,annualCommonStockIssuance,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,trailingOtherIncomeExpense,quarterlyGoodwill,trailingCommonStockIssuance,annualResearchAndDevelopment,trailingPurchaseOfBusiness,annualCashDividendsPaid,annualRepurchaseOfCapitalStock,quarterlyRepurchaseOfCapitalStock,annualGainsLossesNotAffectingRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,annualOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyOtherIncomeExpense,annualOtherCurrentAssets,annualLongTermDebt,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,quarterlyResearchAndDevelopment,trailingPurchaseOfInvestment,trailingInterestExpense,annualCurrentDebt,annualPurchaseOfInvestment,annualCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,annualIncomeTaxPayable,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfInvestment,annualPurchaseOfBusiness,annualGoodwill,quarterlyLongTermDebt,annualNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,annualDeferredIncomeTax,trailingCashDividendsPaid,quarterlyOtherCurrentAssets,annualSaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,trailingSaleOfInvestment,annualOtherShortTermInvestments,trailingDeferredIncomeTax,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,quarterlyIncomeTaxPayable,trailingRepurchaseOfCapitalStock,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483142400,59711000.0,,-107164000.0,,,,,-101825000.0,108423000.0,296000.0,,,,,257258000.0,-22272000.0,,,,,,,41000.0,,,,0.0,,,,74731000.0,,-269000.0,-48612000.0,5229000.0,,,,,,,,,-107164000.0,,4336000.0,,,,,149831000.0,,,,,,,,750735000.0,,,257258000.0,,,,,,,,-8015000.0,,,,,,,,,,,,395711689.0,,,99808000.0,,,,,-0.270813,-107164000.0,,,,,-15020000.0,-107164000.0,,-22272000.0,-107427000.0,,,900566000.0,,,,,,,,0.0,168134000.0,5043000.0,,,,395711689.0,,,,,,,,,,,,,,,,7252000.0,105966000.0,,-0.270813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517356800,-87702000.0,,-338057000.0,173100000.0,87972000.0,,,-324965000.0,156469000.0,556000.0,,40158000.0,,,705401000.0,-40282000.0,,,,,,,,70595000.0,,,0.0,,,,187849000.0,,62849000.0,-68876000.0,11209000.0,,,,,166003000.0,,,,-338057000.0,,7823000.0,0.0,,,,367550000.0,,,,-20181000.0,,,,1736737000.0,,,705401000.0,,,,,,,,-19759000.0,586878000.0,,,,,,,,-1324212000.0,,-155522000.0,395711689.0,,,226742000.0,36530000.0,,,,-0.854301,-338057000.0,,,,,-120029000.0,-338057000.0,,-195804000.0,-337851000.0,,335427000.0,2104287000.0,,,,-83703000.0,,,,0.0,68767000.0,12536000.0,,503175000.0,,395711689.0,546720000.0,38193000.0,,,68767000.0,,,,,,,,,2804000.0,,-79747000.0,164173000.0,40158000.0,-0.854301,,,67791000.0,432580000.0,,,68767000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525046400,,9975000.0,,,,,,,,,-32543000.0,,4255000.0,,,,149988000.0,209813000.0,,,,,,,,,,68767000.0,,,,0.0,,,,3273000.0,,,0.0,,,-55097000.0,,,,,,,,-0.151158,,-59815000.0,,,,,,-45273000.0,,2207000.0,,,,,-59825000.0,,325000.0,,-13461000.0,,,4344000.0,763462000.0,,,,,,,,,,-58734000.0,,,,-48434000.0,,,,,4718000.0,,613474000.0,,,,-59815000.0,,,-59815000.0,,,,,395711689.0,,,,209813000.0,,,,,,20333000.0,,,,,,,,325000.0,0.0,-59815000.0,,34317000.0,,-3486000.0,,395711689.0,,,,,,,,,-0.151158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532995200,,26421000.0,,,,,,,,,35000.0,,-3223000.0,,,,165875000.0,229010000.0,,,,,,,,,,20333000.0,,,,0.0,,,,4045000.0,,,0.0,,,-57778000.0,,,,,,,,-0.159495,,-63114000.0,,,,,,-3930000.0,,2978000.0,,,,,-63135000.0,,325000.0,,-14736000.0,,,46804000.0,805587000.0,,,,,,,,,,-18666000.0,,,,8080000.0,,,,,5357000.0,,639712000.0,,,,-63114000.0,,,-63114000.0,,,,,395711689.0,,,,229010000.0,,,,,,28413000.0,,,,,,,,325000.0,,-63114000.0,,27123000.0,,11685000.0,,395711689.0,,,,,,,,,-0.159495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540944000,,23747000.0,,,,,,,,,-19946000.0,,-4811000.0,,,,172041000.0,250538000.0,,,,,,,,,,28413000.0,,,,-10000.0,,,,3229000.0,,,0.0,,,-72187000.0,,,0.0,,,,,-0.198675,,-78618000.0,,,,,,-43174000.0,,2951000.0,,,,,-78497000.0,,315000.0,,-8133000.0,,,22954000.0,875630000.0,,,,,,,,,,-51307000.0,,,,-27245000.0,,,,,6310000.0,,703589000.0,,,,-78618000.0,,,-78618000.0,,,,,395711689.0,,,,250538000.0,,,,,,1168000.0,,,,,,,,325000.0,,-78618000.0,,28594000.0,,15614000.0,,395711689.0,,,,,,,,,-0.198675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1548892800,19564000.0,15855000.0,-267890000.0,233031000.0,134144000.0,,,-244499000.0,68767000.0,181000.0,-2397000.0,63534000.0,-8429000.0,,982571000.0,-44160000.0,226900000.0,293209000.0,,,88331000.0,3930000.0,,93037000.0,88331000.0,,-159000.0,1168000.0,-335942000.0,502880000.0,1141000.0,-149000.0,1300000.0,-54851000.0,14351000.0,3804000.0,,91691000.0,0.0,220855000.0,,-59427000.0,,-267890000.0,,10542000.0,3930000.0,,,,714805000.0,-66343000.0,134144000.0,,-42453000.0,-1651759000.0,,78962000.0,2818032000.0,2406000.0,,982571000.0,,,-66309000.0,233031000.0,176000.0,-42453000.0,-7830000.0,-12208000.0,877564000.0,132270000.0,1088158000.0,,,814030000.0,448585000.0,93037000.0,-1651759000.0,48738000.0,75998000.0,395711689.0,71132000.0,,206372000.0,48738000.0,87163000.0,63534000.0,,-0.68,-267890000.0,6825000.0,541622000.0,861258000.0,78119000.0,-57575000.0,-267890000.0,-66343000.0,31838000.0,-267766000.0,-66343000.0,502880000.0,3532837000.0,,,,-335942000.0,63534000.0,,293209000.0,0.0,88331000.0,23210000.0,,541622000.0,88331000.0,395711689.0,814030000.0,78119000.0,220855000.0,,88331000.0,,325000.0,,-66343000.0,,77419000.0,,8025000.0,1346000.0,,-13415000.0,167453000.0,63534000.0,-0.68,1346000.0,877564000.0,91691000.0,448585000.0,,,88331000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556582400,,4057000.0,,,,,,,,,-33285000.0,,-10246000.0,,,,253890000.0,284160000.0,,,29298000.0,0.0,,,29298000.0,,,88331000.0,-357941000.0,519597000.0,,-52000.0,,,,7230000.0,,250683000.0,0.0,,,-22601000.0,,,,,,,,-0.074145,,-29554000.0,250683000.0,,,-1621656000.0,,-51141000.0,,5832000.0,,,,,-30270000.0,211626000.0,273000.0,,-12222000.0,,,-41598000.0,1108872000.0,,,828651000.0,430125000.0,252188000.0,,58984000.0,,,-63363000.0,,,,-59033000.0,33967000.0,,,,6949000.0,682313000.0,854982000.0,97428000.0,,,-29554000.0,,,-29554000.0,,,,,398600000.0,,211603000.0,,284160000.0,,,,,,29298000.0,,,,254140000.0,,,,325000.0,4000.0,-29554000.0,,16716000.0,,-8165000.0,,398600000.0,,,,,1505000.0,1040254000.0,,,-0.074145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564531200,,-3039000.0,,,,,,,,,-34015000.0,,-1011000.0,,,,272235000.0,355315000.0,,,150844000.0,3451000.0,,,150844000.0,,,29298000.0,-361733000.0,556907000.0,,-53000.0,,,,43783000.0,,279464000.0,0.0,,,-75450000.0,,,,,,,,-0.21,,-82876000.0,279464000.0,,,-1704532000.0,,21807000.0,,5134000.0,,,,,-83080000.0,267410000.0,114719000.0,,-11941000.0,,,48136000.0,1153545000.0,,,938890000.0,531021000.0,282913000.0,,59995000.0,,,9866000.0,,,,121546000.0,33854000.0,,,,7630000.0,813934000.0,881310000.0,114573000.0,,,-82876000.0,,,-82876000.0,,,,,397387000.0,,236777000.0,,355315000.0,,,,,,150844000.0,,,,288155000.0,,,,-456000.0,,-82876000.0,,37311000.0,,-14980000.0,,397387000.0,,,,,3449000.0,1175667000.0,,,-0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572480000,,-12338000.0,,,,-257773000.0,134703000.0,,,,-1781000.0,,-34091000.0,-53777000.0,,,291780000.0,370559000.0,-46369000.0,-267000.0,135871000.0,3451000.0,,,135871000.0,1044805000.0,,150844000.0,-389457000.0,637687000.0,,-13000.0,,,,39348000.0,-71478000.0,288738000.0,0.0,,15019000.0,-70642000.0,0.0,,-4652000.0,,,29541000.0,18052000.0,-0.2,,-79000000.0,288738000.0,4840000.0,,-1783532000.0,1303243000.0,1581000.0,,4680000.0,1303243000.0,,-257773000.0,3535571000.0,-78779000.0,268265000.0,10160000.0,,-14376000.0,,,28416000.0,1229801000.0,1168000.0,-257773000.0,1011431000.0,566214000.0,292473000.0,,94087000.0,,,-12795000.0,4535000.0,,,-14973000.0,34092000.0,167224000.0,,,8137000.0,858687000.0,938021000.0,105479000.0,,,-79000000.0,,,-79000000.0,,,-41834000.0,212226000.0,401317000.0,,236713000.0,4580376000.0,370559000.0,,,,94165000.0,,135871000.0,,,,289935000.0,125328000.0,,51209000.0,14825000.0,,-79000000.0,-258438000.0,80780000.0,135871000.0,-26714000.0,,401317000.0,,,,,3735000.0,1248144000.0,,,-0.2,-257773000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
