date,trailingPretaxIncome,annualNetIncome,annualGoodwill,annualTotalAssets,quarterlyLongTermDebt,quarterlyGoodwill,annualRetainedEarnings,quarterlyOtherNonCurrentLiabilities,annualNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,annualDilutedAverageShares,quarterlyCurrentAccruedExpenses,annualPurchaseOfInvestment,annualAccountsReceivable,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyFreeCashFlow,annualPretaxIncome,annualDilutedEPS,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,trailingChangeInWorkingCapital,quarterlyInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyNetIncome,trailingSaleOfInvestment,annualInvestingCashFlow,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyDilutedEPS,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDebt,annualAccountsPayable,trailingInvestingCashFlow,annualOtherNonCashItems,annualDepreciationAndAmortization,annualOtherCurrentAssets,trailingStockBasedCompensation,annualStockholdersEquity,annualLongTermDebt,annualBasicAverageShares,annualOperatingIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,trailingEndCashPosition,annualTaxProvision,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,trailingCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfInvestment,annualCurrentAccruedExpenses,annualCurrentLiabilities,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualCashAndCashEquivalents,trailingOtherIncomeExpense,trailingOperatingIncome,trailingChangeInAccountPayable,trailingOperatingCashFlow,quarterlyOperatingExpense,quarterlyInventory,quarterlyEndCashPosition,annualCommonStockIssuance,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,annualSaleOfInvestment,annualRepurchaseOfCapitalStock,annualCashCashEquivalentsAndMarketableSecurities,quarterlyTotalLiabilitiesNetMinorityInterest,annualEbitda,annualGainsLossesNotAffectingRetainedEarnings,annualNetPPE,annualOtherIntangibleAssets,annualOtherNonCurrentAssets,quarterlyOtherNonCurrentAssets,annualChangeInAccountPayable,annualOperatingCashFlow,trailingNetOtherInvestingChanges,quarterlyBasicAverageShares,annualCurrentAssets,quarterlyOtherCurrentAssets,trailingChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyBasicEPS,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,annualChangeInCashSupplementalAsReported,trailingNetIncomeCommonStockholders,trailingDeferredIncomeTax,quarterlyChangesInAccountReceivables,annualInterestExpense,annualBeginningCashPosition,quarterlyChangeInInventory,annualOtherNonCurrentLiabilities,trailingRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyGrossProfit,annualInvestmentsAndAdvances,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyBeginningCashPosition,annualTotalNonCurrentAssets,annualRepaymentOfDebt,annualCapitalExpenditure,quarterlyStockholdersEquity,annualSellingGeneralAndAdministration,trailingCapitalExpenditure,quarterlyCashAndCashEquivalents,trailingChangeInCashSupplementalAsReported,annualOtherIncomeExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepaymentOfDebt,annualInventory,annualEndCashPosition,quarterlyTaxProvision,annualChangeInInventory,annualCashFlowFromContinuingFinancingActivities,annualBasicEPS,quarterlyEbitda,trailingNetOtherFinancingCharges,trailingTaxProvision,trailingChangeInInventory,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,annualCostOfRevenue,annualCapitalStock,annualNetIncomeContinuousOperations,trailingGrossProfit,trailingResearchAndDevelopment,annualTotalRevenue,annualNetOtherFinancingCharges,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualFreeCashFlow,annualCurrentDebt,annualStockBasedCompensation,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,annualNonCurrentDeferredTaxesLiabilities,quarterlyRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyRepurchaseOfCapitalStock,annualChangeInWorkingCapital,trailingSellingGeneralAndAdministration,annualOperatingExpense,annualDeferredIncomeTax,quarterlyCapitalExpenditure,annualAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossProfit,annualResearchAndDevelopment,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyIncomeTaxPayable,trailingFreeCashFlow,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCurrentLiabilities,annualChangesInAccountReceivables,trailingNetIncomeContinuousOperations,quarterlyCurrentAssets,quarterlyPurchaseOfBusiness,trailingOperatingExpense,trailingNetIncome,trailingBeginningCashPosition,quarterlyChangeInWorkingCapital,quarterlyNetPPE,trailingPurchaseOfBusiness,quarterlyPretaxIncome,trailingCostOfRevenue,annualNonCurrentDeferredRevenue,trailingInterestExpense,trailingCashDividendsPaid,trailingDilutedAverageShares,annualCashDividendsPaid,trailingBasicEPS,trailingCommonStockIssuance,trailingBasicAverageShares,annualOtherShortTermInvestments,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,quarterlySaleOfInvestment,trailingDilutedEPS,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1970-01-01 00:00:01.577750400,330000000.0,179400000.0,,,,,,,7500000.0,,229069356.0,,0.0,,,,,302200000.0,0.783169,,,,-85100000.0,,,,0.0,-116600000.0,,353000000.0,,,,,-93900000.0,-1500000.0,108700000.0,,15700000.0,,,229069356.0,322600000.0,,4482200000.0,,,,1020500000.0,120700000.0,,,,-158400000.0,,,,,,4400000.0,488200000.0,18200000.0,573100000.0,,,,0.0,,,,,,,,431300000.0,,,,,,10000000.0,236200000.0,-1000000.0,,,,-10100000.0,,,179400000.0,,,-5500000.0,249000000.0,15700000.0,,200000.0,21900000.0,,,-105300000.0,,,,-67100000.0,,,,-400000.0,-124400000.0,,869100000.0,-112500000.0,,320800000.0,-20200000.0,,,,18800000.0,,6100000.0,-125100000.0,0.783169,,-36300000.0,77400000.0,10800000.0,,,3074500000.0,,181500000.0,1564300000.0,70200000.0,4315800000.0,-125100000.0,0.0,-6000000.0,111800000.0,,0.0,,,,,,,,-60600000.0,822100000.0,918700000.0,3500000.0,,,,1241300000.0,49600000.0,,,,,460600000.0,,,,,,-5400000.0,252600000.0,,,1076100000.0,249000000.0,696400000.0,,,-3300000.0,,2917900000.0,,,,,,,,,,,,,,,,,
,,243300000.0,588800000.0,2878600000.0,,,0.0,,6500000.0,,229069356.0,,0.0,681500000.0,,,,393000000.0,1.062124,,,,,,0.0,,,-88200000.0,,,,,,389900000.0,,7600000.0,110700000.0,0.0,,1663400000.0,0.0,229069356.0,409300000.0,,,,,,,145200000.0,,,,,,102600000.0,749300000.0,432300000.0,28700000.0,,,,,,,,0.0,,,,,,28700000.0,,520000000.0,-140900000.0,708800000.0,66900000.0,46800000.0,,54900000.0,388800000.0,,,1354500000.0,,,,,243300000.0,11600000.0,2073600000.0,10000000.0,,,,0.0,18800000.0,,3900000.0,,,,19400000.0,,,,1524100000.0,-700000.0,-94800000.0,,873400000.0,,,,-16300000.0,,,471000000.0,28700000.0,,5700000.0,-290600000.0,1.062124,,,,,,,2932600000.0,0.0,247800000.0,,,4256800000.0,-289900000.0,0.0,,294000000.0,200000.0,0.0,,,1181600000.0,27900000.0,,,,13600000.0,,914900000.0,9100000.0,,-1364800000.0,,1324200000.0,41500000.0,,,,,,,,,,,-58900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,739100000.0,,75300000.0,,,,,87400000.0,,,,5000000.0,,,,,0.02,6400000.0,,,,,,,,,,,,,,5000000.0,-53900000.0,9300000.0,,,276700000.0,,,,-26300000.0,,,,,,,,,310200000.0,,447200000.0,,,0.0,15300000.0,,,,,,,,,,,,,,228100000.0,,,,0.0,0.02,,,,,,,,,,-8400000.0,,,,343700000.0,,,,385200000.0,,,,,,,,,,,-12200000.0,,,-26300000.0,,,,120900000.0,,,,,2900000.0,,,,,,,,,,,,,228100000.0,-13000000.0,,,,12500000.0,,,,,,-27000000.0,,,,,102300000.0,9800000.0,,,,1082800000.0,,33500000.0,,,,,,-600000.0,,,,-15100000.0,,,-19900000.0,,,,,,,,,,,,,,,,,,
,,-224900000.0,1113600000.0,6737100000.0,3874200000.0,1113600000.0,-253900000.0,8800000.0,700000.0,,229069356.0,265100000.0,-22500000.0,637500000.0,706100000.0,637500000.0,56000000.0,-263700000.0,-0.98,6737100000.0,4781500000.0,72700000.0,,20700000.0,25100000.0,-49300000.0,,-5011200000.0,,,,-47000000.0,46700000.0,428800000.0,,154900000.0,300700000.0,0.0,,1142900000.0,3874200000.0,229069356.0,53000000.0,4521900000.0,,-49300000.0,-85100000.0,1200000.0,,-44800000.0,366900000.0,280400000.0,459300000.0,,-28200000.0,265100000.0,1003400000.0,4521900000.0,459300000.0,,,,,397300000.0,550200000.0,459300000.0,1355400000.0,1439600000.0,4300000.0,4200000.0,,,459300000.0,5525300000.0,353700000.0,34000000.0,1622600000.0,1439600000.0,202500000.0,202500000.0,67100000.0,376800000.0,,,1955600000.0,0.0,,0.0,,-224900000.0,1200000.0,1806200000.0,463700000.0,,,,215100000.0,0.0,6800000.0,8800000.0,,428800000.0,400600000.0,20700000.0,,229100000.0,447200000.0,4781500000.0,-46600000.0,-107300000.0,1142900000.0,1040600000.0,,459300000.0,,-76600000.0,34000000.0,-23600000.0,550200000.0,459300000.0,-10400000.0,33900000.0,5098100000.0,-0.98,76000000.0,,,,-183600000.0,4500000.0,2772800000.0,229100000.0,-218900000.0,,,3986800000.0,-156200000.0,-4827600000.0,,269500000.0,46700000.0,7400000.0,,-49300000.0,5525300000.0,280400000.0,-253900000.0,9500000.0,,199200000.0,,1161000000.0,-120800000.0,-56900000.0,-183600000.0,,1214000000.0,40500000.0,112900000.0,9600000.0,,25100000.0,,1106700000.0,1806200000.0,3300000.0,1200000.0,1003400000.0,-6400000.0,,1955600000.0,0.0,,,,119500000.0,1622600000.0,,-57400000.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-116400000.0,,,,,703500000.0,,-117600000.0,,,,,81100000.0,,,,-4300000.0,,,59000000.0,,-0.018772,-3700000.0,,,,,,,,,,,,,,-4300000.0,-52400000.0,-4500000.0,,,246700000.0,,,,,,,,,,,,,279100000.0,,339600000.0,,,-3900000.0,29300000.0,,,,,,,,,,,,,,229069356.0,,,,-2000000.0,-0.018772,,,,,,,-65300000.0,,,-28300000.0,,,,350900000.0,,,,459300000.0,,,,,,,,,,,-9600000.0,,,12000000.0,,,,152900000.0,,,,,1800000.0,,,,,,,,,,,,,229069356.0,-15100000.0,,,,11300000.0,,,,,,-50400000.0,,3200000.0,,,-67200000.0,300000.0,,,,1054400000.0,,71800000.0,,,,,,0.0,,,,-141200000.0,,,8300000.0,,,,,,,,,,,,,,,,,,
,,,,,3857200000.0,1110100000.0,,327900000.0,,15100000.0,,275400000.0,,,742500000.0,722300000.0,30300000.0,,,6690400000.0,4743700000.0,71800000.0,,,,53800000.0,,,54900000.0,,0.234863,55800000.0,43700000.0,,,,,,,,,,,4455500000.0,,53800000.0,-50400000.0,1600000.0,,,250600000.0,270400000.0,333100000.0,,,,,,,,,,,284000000.0,576400000.0,350300000.0,,1394400000.0,-700000.0,30200000.0,,,,5447900000.0,,,,,,227500000.0,,,,229069356.0,,0.0,,200000.0,0.234863,,,,,,,-47000000.0,,,4000000.0,,,527100000.0,391800000.0,,,229100000.0,339600000.0,,,,1173700000.0,,,333100000.0,,,25700000.0,-14700000.0,,,-1300000.0,,,,179600000.0,,,,-279900000.0,2000000.0,,,,,,,,,,,,,229069356.0,1000000.0,,,-218600000.0,12100000.0,,,,,,-50600000.0,,-15400000.0,,,80900000.0,2500000.0,,,,1134300000.0,1901200000.0,107800000.0,0.0,992400000.0,,,1946700000.0,0.0,,,,-30300000.0,1621300000.0,,54500000.0,,,,,,,,,,,,,,,,,,
,,,,,3696100000.0,1046900000.0,,296200000.0,,-108800000.0,,386600000.0,,,728100000.0,718000000.0,-8900000.0,,,6382000000.0,4544100000.0,76200000.0,,,,-19900000.0,,,52600000.0,,-0.086873,-18300000.0,35500000.0,,,,,,,,,,,4251500000.0,,-19900000.0,-46200000.0,-62200000.0,,,249400000.0,259200000.0,233300000.0,,-6500000.0,,,,,,,,,283700000.0,580400000.0,233300000.0,,1339500000.0,0.0,-7100000.0,,,,5169400000.0,,,,,,230500000.0,,,,229069356.0,,0.0,,14900000.0,-0.086873,,,,,,,2600000.0,,,-26300000.0,,,487900000.0,387700000.0,,,229800000.0,350300000.0,,,,1147200000.0,,,233300000.0,,,-200000.0,-120700000.0,,,7500000.0,,,,180200000.0,,,,-312900000.0,2300000.0,,,,,,,,,,,,,229069356.0,-1800000.0,,,-224300000.0,13400000.0,,,,,,-54600000.0,,-108300000.0,,,45700000.0,-13100000.0,2500000.0,,,1115800000.0,1869100000.0,104000000.0,0.0,917900000.0,,,1837900000.0,-6500000.0,,,,-67800000.0,1556200000.0,,-10800000.0,,,,,,,,,,,,,,,,,,
,,27400000.0,1001100000.0,6252800000.0,3656300000.0,1001100000.0,-226500000.0,23200000.0,16600000.0,159800000.0,230300000.0,404800000.0,0.0,820400000.0,723100000.0,820400000.0,159000000.0,36800000.0,0.12,6252800000.0,4379900000.0,79600000.0,,4500000.0,20800000.0,-2200000.0,,-178500000.0,51200000.0,,-0.01,900000.0,40100000.0,494500000.0,,-4300000.0,308700000.0,0.0,,1044700000.0,3656300000.0,229300000.0,369500000.0,4194100000.0,,-2200000.0,-29500000.0,-49900000.0,,2100000.0,244800000.0,208200000.0,382100000.0,,0.0,404800000.0,946700000.0,4194100000.0,382100000.0,,,,,278000000.0,538300000.0,382100000.0,2500000.0,1300000000.0,-600000.0,1200000.0,,,382100000.0,5140800000.0,678200000.0,-103300000.0,1514100000.0,1300000000.0,473700000.0,473700000.0,53600000.0,251400000.0,,229800000.0,1872900000.0,0.0,,3500000.0,-0.01,27400000.0,1500000.0,1858200000.0,-50300000.0,,,69500000.0,217700000.0,459300000.0,25900000.0,23200000.0,,494500000.0,363900000.0,4500000.0,,229800000.0,233300000.0,4379900000.0,-154900000.0,-188600000.0,1044700000.0,991500000.0,,382100000.0,,-115000000.0,-103300000.0,-9900000.0,538300000.0,382100000.0,-16100000.0,-24700000.0,-123200000.0,0.12,106400000.0,,,,-344100000.0,1900000.0,2897200000.0,229800000.0,34700000.0,,,4391500000.0,-5200000.0,-6500000.0,,62800000.0,40100000.0,8000000.0,234700000.0,-22300000.0,5140800000.0,208200000.0,-226500000.0,12700000.0,,-138700000.0,,1124800000.0,-38200000.0,-33000000.0,-344100000.0,-2700000.0,1494300000.0,49500000.0,192000000.0,6000000.0,0.0,20800000.0,,1087000000.0,1858200000.0,85900000.0,1500000.0,946700000.0,-40200000.0,,1872900000.0,0.0,,,,100600000.0,1514100000.0,,-15200000.0,,,,,,,,,,,,,,,,,,
,,,,,3566700000.0,916800000.0,,22300000.0,,-148600000.0,,291700000.0,,,649800000.0,664100000.0,-130200000.0,,,5898400000.0,4147600000.0,72600000.0,,,,45100000.0,,,50000000.0,,0.19,46700000.0,41600000.0,,,,,,,,,,,4052200000.0,,45100000.0,-30200000.0,-3900000.0,,,213000000.0,190600000.0,222900000.0,,,,,,,,,,,245900000.0,541300000.0,222900000.0,,1246800000.0,-3700000.0,-1000000.0,,,,4850200000.0,,,,,,485500000.0,,,,229800000.0,,0.0,,1800000.0,0.2,,,,,,,-53500000.0,,,-25900000.0,,,458300000.0,347700000.0,,,229800000.0,382100000.0,,,,978900000.0,,,222900000.0,,,-215400000.0,-17500000.0,,,1200000.0,,,,174400000.0,,,,-364600000.0,1800000.0,,,,,,,,,,,,,237000000.0,-17200000.0,,,-181400000.0,12900000.0,,,,,,-31500000.0,,-19700000.0,,,-98700000.0,3900000.0,,,,997500000.0,1776300000.0,101800000.0,0.0,798000000.0,,,1750800000.0,-3200000.0,,,,-212500000.0,1411700000.0,,47900000.0,,,,,,,,,,,,,,,,,,
,,,,,3508600000.0,944000000.0,,21400000.0,,120100000.0,,334600000.0,,,679700000.0,702700000.0,78600000.0,,,5930800000.0,4067000000.0,77500000.0,,,,-25100000.0,,,49200000.0,,-0.11,-24300000.0,50700000.0,,,,,,,,,,,3981500000.0,,-25100000.0,-26700000.0,-88600000.0,,,245500000.0,179400000.0,307800000.0,,,,,,,,,,,278400000.0,555000000.0,307800000.0,,1233200000.0,6100000.0,-15200000.0,,,,4818600000.0,,,,,,464700000.0,,,,232300000.0,,0.0,,300000.0,-0.11,,,,,,,-71400000.0,,,-15200000.0,,,445500000.0,421400000.0,,,234600000.0,222900000.0,,,,1042500000.0,,,307800000.0,,,-190100000.0,-9800000.0,,,29500000.0,,,,220500000.0,,,,-409900000.0,12400000.0,,,,,,,,,,,,,232300000.0,10100000.0,,,-206500000.0,12800000.0,,,,,,-25100000.0,,43100000.0,,,103700000.0,8600000.0,,,,1101100000.0,1835000000.0,143000000.0,0.0,837100000.0,,,1863800000.0,-1500000.0,,,,-73000000.0,1425100000.0,,5200000.0,,,,,,,,,,,,,,,,,,
