,trailingRepaymentOfDebt,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,annualRepaymentOfDebt,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,annualEbitda,quarterlyBeginningCashPosition,quarterlyOperatingExpense,annualOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,trailingNetIncomeCommonStockholders,trailingGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,annualChangeInCashSupplementalAsReported,annualCashCashEquivalentsAndMarketableSecurities,annualOtherCurrentLiabilities,annualBasicAverageShares,trailingInterestExpense,quarterlyOtherCurrentAssets,annualCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,annualBeginningCashPosition,trailingOtherIncomeExpense,annualGrossPPE,annualBasicEPS,trailingCapitalExpenditure,annualOtherIncomeExpense,quarterlyCurrentDebt,annualTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,trailingChangeInCashSupplementalAsReported,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyInterestExpense,trailingDepreciationAndAmortization,annualSellingGeneralAndAdministration,trailingCashFlowFromContinuingFinancingActivities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,annualNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,trailingOperatingExpense,trailingOtherNonCashItems,quarterlyTotalRevenue,quarterlyOperatingCashFlow,trailingDeferredIncomeTax,quarterlyIncomeTaxPayable,annualCapitalExpenditure,trailingStockBasedCompensation,quarterlyBasicEPS,trailingSellingGeneralAndAdministration,annualPurchaseOfInvestment,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualChangeInInventory,quarterlyOperatingIncome,quarterlyGrossPPE,annualInvestingCashFlow,trailingNetOtherFinancingCharges,trailingChangesInAccountReceivables,trailingCashDividendsPaid,trailingBeginningCashPosition,annualInterestExpense,trailingNetIncome,annualGoodwill,quarterlyNetPPE,trailingResearchAndDevelopment,annualStockBasedCompensation,trailingCostOfRevenue,quarterlyOtherCurrentLiabilities,annualChangesInAccountReceivables,quarterlyTaxProvision,annualCapitalStock,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,annualDilutedEPS,annualDilutedAverageShares,quarterlyOtherShortTermInvestments,annualResearchAndDevelopment,annualNetOtherFinancingCharges,annualGrossProfit,quarterlyChangeInCashSupplementalAsReported,annualInventory,annualAccumulatedDepreciation,trailingChangeInInventory,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,annualDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTotalLiabilitiesNetMinorityInterest,annualFreeCashFlow,annualCommonStockIssuance,annualChangeInWorkingCapital,quarterlyFreeCashFlow,trailingChangeInWorkingCapital,annualOperatingIncome,quarterlyRetainedEarnings,annualNetOtherInvestingChanges,annualTotalRevenue,quarterlyBasicAverageShares,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentLiabilities,trailingChangeInAccountPayable,annualRetainedEarnings,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyGoodwill,trailingFreeCashFlow,trailingPretaxIncome,annualEndCashPosition,annualNetIncome,annualCurrentDebt,annualNonCurrentDeferredRevenue,annualTaxProvision,quarterlyTotalAssets,annualPretaxIncome,annualTotalAssets,quarterlyNetIncomeCommonStockholders,trailingTotalRevenue,annualCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,annualOtherCurrentAssets,annualCashDividendsPaid,trailingPurchaseOfInvestment,annualCostOfRevenue,annualLongTermDebt,trailingInvestingCashFlow,annualAccountsPayable,trailingOperatingIncome,quarterlyOtherNonCurrentLiabilities,trailingEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,trailingTaxProvision,annualRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,annualIncomeTaxPayable,annualSaleOfInvestment,trailingRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualInvestmentsAndAdvances,annualOtherNonCashItems,annualStockholdersEquity,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,annualDepreciationAndAmortization,annualCashAndCashEquivalents,quarterlyDilutedEPS,trailingSaleOfInvestment,annualCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyInventory,annualCurrentAssets,quarterlyEndCashPosition,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,trailingOperatingCashFlow,annualAccountsReceivable,quarterlyChangeInInventory,annualChangeInAccountPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,annualCurrentLiabilities,annualNetPPE,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualOtherIntangibleAssets,annualOtherShortTermInvestments,quarterlyAccountsReceivable,annualNetIncomeCommonStockholders,trailingBasicAverageShares,trailingBasicEPS,trailingNetOtherInvestingChanges,trailingDilutedEPS,trailingDilutedAverageShares,trailingCommonStockIssuance
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310176000,,,,,,,470000000.0,,,-1900000000.0,,,,,,,248000000.0,452000000.0,1845454545.0,,,,,,0.0,,892000000.0,0.11,,0.0,,-1269000000.0,,,,,,,,857000000.0,,,,,,,,51000000.0,,929000000.0,,,,,,,,,,,,,,,203000000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.11,1845454545.0,,,,1327000000.0,,478000000.0,-301000000.0,,,,,,-1235000000.0,0.0,,,,,398000000.0,,,2361000000.0,,,,,909000000.0,,,,,,0.0,203000000.0,147000000.0,,195000000.0,,398000000.0,0.0,,,,,52000000.0,,,1034000000.0,15000000.0,,,,,,,,,,,,,,,,,,1235000000.0,,,,,248000000.0,,,,,,,,,1269000000.0,,,,,,,,-1834000000.0,,599000000.0,591000000.0,,,0.0,-1860000000.0,,,,203000000.0,,,,,,
341798400,,,,,,,616000000.0,,,0.0,,,,,,,247000000.0,548000000.0,1921428571.0,,,,,,0.0,,1161000000.0,0.14,,0.0,,846000000.0,,,,,,,,1101000000.0,,,,,,,,70000000.0,,1194000000.0,,,,,,,,,,,,,,,269000000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.14,1921428571.0,,,,1717000000.0,,545000000.0,-372000000.0,,,,,,790000000.0,0.0,,,,,523000000.0,,,3099000000.0,,,,,1154000000.0,,,,,,0.0,269000000.0,143000000.0,,254000000.0,,523000000.0,2337000000.0,,,,,77000000.0,,,1382000000.0,29000000.0,,,,,,,,,,,,,,,,,,1547000000.0,,,,,247000000.0,,,,,,,,,1491000000.0,,,,,,,,99000000.0,,691000000.0,789000000.0,,,0.0,57000000.0,,,,269000000.0,,,,,,
373334400,,,,,,,687000000.0,,,35000000.0,,,,,,,290000000.0,581000000.0,1906250000.0,,,,,,0.0,,1448000000.0,0.16,,0.0,,1053000000.0,,,,,,,,1302000000.0,,,,,,,,106000000.0,,1422000000.0,,,,,,,,,,,,,,,305000000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.16,1906250000.0,,,,1989000000.0,,642000000.0,-469000000.0,,,,,,892000000.0,0.0,,,,,567000000.0,,,3578000000.0,,,,,1409000000.0,,,,,,0.0,305000000.0,144000000.0,,262000000.0,,567000000.0,2782000000.0,,,,,115000000.0,,,1589000000.0,26000000.0,,,,,,,,,,,,,,,,,,1890000000.0,,,,,290000000.0,,,,,,,,,1729000000.0,,,,,,,,167000000.0,,725000000.0,979000000.0,,,0.0,74000000.0,,,,305000000.0,,,,,,
404870400,,,,,,,834000000.0,,,42000000.0,,,,,,,684000000.0,707000000.0,1915000000.0,,,,,,0.0,,1760000000.0,0.2,,0.0,,1255000000.0,,,,,,,,1546000000.0,,,,,,,,177000000.0,,1704000000.0,,,,,,,,,,,,,,,383000000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.2,1915000000.0,,,,2380000000.0,,659000000.0,-589000000.0,,,,,,1121000000.0,0.0,,,,,676000000.0,,,4189000000.0,,,,,1762000000.0,,,,,,0.0,383000000.0,156000000.0,,293000000.0,,676000000.0,3470000000.0,,,,,99000000.0,,,1809000000.0,39000000.0,,,,,,,,,,,,,,,,,,2349000000.0,,,,,684000000.0,,,,,,,,,2215000000.0,,,,,,,,258000000.0,,863000000.0,1171000000.0,,,0.0,84000000.0,,,,383000000.0,,,,,,
436406400,,,,,,,919000000.0,,,46000000.0,,,,,,,880000000.0,772000000.0,1963636364.0,,,,,,0.0,,2157000000.0,0.22,,0.0,,1529000000.0,,,,,,,,1787000000.0,,,,,,,,237000000.0,,1978000000.0,,,,,,,,,,,,,,,432000000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.22,1963636364.0,,,,2706000000.0,,748000000.0,-726000000.0,,,,,,1274000000.0,0.0,,,,,728000000.0,,,4710000000.0,,,,,2154000000.0,,,,,,0.0,432000000.0,148000000.0,,296000000.0,,728000000.0,4161000000.0,,,,,53000000.0,,,2004000000.0,71000000.0,,,,,,,,,,,,,,,,,,2887000000.0,,,,,880000000.0,,,,,,,,,2632000000.0,,,,,,,,354000000.0,,920000000.0,1431000000.0,,,0.0,98000000.0,,,,432000000.0,,,,,,
452131200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048800000.0,,,,,,,,,,,,,,,,,,,1545000000.0,,,,,,0.07,,,,,,,1545000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545000000.0,,,,,,,,,,,,,2048800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,141000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048800000.0,,,,,,,,,,,,,,,,,,,1559000000.0,,,,,,0.07,,,,,,,1559000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1559000000.0,,,,,,,,,,,,,2048800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,134000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
468028800,,,,,,,1097000000.0,,,93000000.0,,,,,3545000000.0,,938000000.0,1105000000.0,2015151515.0,,60000000.0,,-923000000.0,,0.0,,2791000000.0,0.33,,0.0,217000000.0,1952000000.0,,,938000000.0,938000000.0,,,,2319000000.0,,,,,,,,112000000.0,,2556000000.0,,,,,,1688000000.0,,,,,,,,,665000000.0,,,,-3496000000.0,2791000000.0,0.0,,,,,,,,1868000000.0,,,,1105000000.0,,,,,,,0.33,2015151515.0,,,,3416000000.0,,1023000000.0,-923000000.0,,,-3496000000.0,,286000000.0,1608000000.0,0.0,,,,,860000000.0,2770000000.0,,6044000000.0,,,1322000000.0,,2770000000.0,,3201000000.0,,,,0.0,665000000.0,217000000.0,,195000000.0,5153000000.0,860000000.0,5153000000.0,,,,1952000000.0,60000000.0,,,2628000000.0,81000000.0,,,,93000000.0,,,,,,,1608000000.0,,,,84000000.0,,,3545000000.0,,,,,938000000.0,,,,,167000000.0,81000000.0,,1023000000.0,3201000000.0,,112000000.0,,,,,,286000000.0,,1322000000.0,1868000000.0,,,0.0,84000000.0,,,,665000000.0,,,,,,
475977600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051824000.0,,,,,,,,,,,,,,,,,,,1531000000.0,,,,,,0.06,,,,,,,1531000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1531000000.0,,,,,,,,,,,,,2051824000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,116000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
