,annualChangeInCashSupplementalAsReported,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,annualNetIncomeCommonStockholders,annualOtherCurrentLiabilities,annualGrossPPE,trailingNetIncomeCommonStockholders,trailingChangeInCashSupplementalAsReported,annualDilutedEPS,annualBeginningCashPosition,annualOtherNonCurrentLiabilities,quarterlyChangeInInventory,annualInterestExpense,quarterlyChangesInAccountReceivables,annualBasicAverageShares,annualSellingGeneralAndAdministration,trailingRepurchaseOfCapitalStock,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCapitalStock,trailingDeferredIncomeTax,annualCapitalExpenditure,trailingRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,annualOtherIncomeExpense,trailingCapitalExpenditure,annualTotalNonCurrentAssets,annualRepaymentOfDebt,trailingGrossProfit,quarterlyStockholdersEquity,quarterlyRepaymentOfDebt,trailingInterestExpense,annualCashFlowFromContinuingFinancingActivities,quarterlyNetPPE,annualStockBasedCompensation,annualChangeInInventory,annualInventory,quarterlyTaxProvision,trailingChangeInInventory,trailingNetOtherFinancingCharges,trailingTaxProvision,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,annualNetIncomeContinuousOperations,annualOtherNonCashItems,annualPurchaseOfBusiness,trailingOtherNonCashItems,annualCostOfRevenue,trailingDepreciationAndAmortization,annualCapitalStock,annualCurrentDebt,annualNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,annualFreeCashFlow,quarterlyPretaxIncome,annualGrossProfit,trailingOperatingExpense,annualAccumulatedDepreciation,annualDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,annualDilutedAverageShares,trailingSellingGeneralAndAdministration,quarterlyOtherNonCashItems,annualOperatingExpense,annualChangeInWorkingCapital,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingCostOfRevenue,trailingNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualChangesInAccountReceivables,quarterlyBasicEPS,quarterlyOperatingCashFlow,trailingCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,annualTotalLiabilitiesNetMinorityInterest,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,trailingBeginningCashPosition,quarterlyGrossPPE,quarterlyCurrentLiabilities,trailingFreeCashFlow,quarterlyCurrentAssets,annualNonCurrentDeferredTaxesLiabilities,annualRetainedEarnings,trailingNetIncome,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,annualNonCurrentDeferredRevenue,quarterlyGoodwill,annualNetIncome,annualNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyLongTermDebt,trailingNetOtherInvestingChanges,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,annualGoodwill,quarterlyCostOfRevenue,annualPretaxIncome,annualCommonStockIssuance,quarterlyDepreciationAndAmortization,annualInvestingCashFlow,annualOperatingIncome,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,trailingChangeInWorkingCapital,annualAccountsPayable,trailingInvestingCashFlow,annualTotalRevenue,annualOtherCurrentAssets,annualPurchaseOfInvestment,trailingTotalRevenue,annualStockholdersEquity,quarterlySellingGeneralAndAdministration,annualLongTermDebt,annualEndCashPosition,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualTaxProvision,annualDepreciationAndAmortization,trailingStockBasedCompensation,annualTotalAssets,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,trailingEndCashPosition,annualCurrentAccruedExpenses,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,trailingCashFlowFromContinuingFinancingActivities,annualCashAndCashEquivalents,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,trailingOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualBasicEPS,quarterlyCurrentDebt,annualTotalNonCurrentLiabilitiesNetMinorityInterest,trailingOtherIncomeExpense,quarterlyInterestExpense,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualIncomeTaxPayable,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,quarterlyOtherIntangibleAssets,quarterlyTotalLiabilitiesNetMinorityInterest,annualRepurchaseOfCapitalStock,quarterlyOtherNonCurrentAssets,annualGainsLossesNotAffectingRetainedEarnings,annualOperatingCashFlow,annualOtherNonCurrentAssets,annualNetPPE,annualEbitda,annualCurrentAssets,trailingPretaxIncome,quarterlyInvestmentsAndAdvances,trailingChangeInAccountPayable,quarterlyCurrentDeferredRevenue,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualInvestmentsAndAdvances,annualSaleOfInvestment,trailingResearchAndDevelopment,annualChangeInAccountPayable,trailingSaleOfInvestment,trailingDilutedEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,annualOtherShortTermInvestments,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302227200,,,,18000000.0,,43500000.0,,,0.134375,0.0,-177700000.0,,5500000.0,,133953488.0,78400000.0,,,,,,,,,,,,-100000.0,,-139200000.0,,,,,,,,,,57800000.0,,,,,,,,,18000000.0,,,,237300000.0,,,,,,0.0,,120500000.0,,-16600000.0,,,,133953488.0,,,82200000.0,,,,,,,,,,,,,,,-70000000.0,,,,,,,,,,61500000.0,,,,,,18000000.0,,,,,,,,,,,,,,32800000.0,,,0.0,38300000.0,,,,,,357800000.0,2000000.0,,,70000000.0,,39300000.0,0.0,,14800000.0,,,0.0,,,,,,68400000.0,,,6400000.0,,,,,0.134375,,-138400000.0,,,,,,,,,,,6400000.0,400000.0,,,,,,0.0,-166500000.0,26900000.0,42100000.0,139200000.0,,,,,,,,,,,,,,,,,,,,,,
333849600,,,,5500000.0,,57500000.0,,,0.040625,0.0,14900000.0,,12700000.0,,135384615.0,102300000.0,,,,,,,,,,,,3400000.0,,60400000.0,,,,,,,,,,58100000.0,,,,,,,,,5700000.0,,,,276300000.0,,,,,,0.0,,123500000.0,,-20700000.0,,,,135384615.0,,,106600000.0,,,,,,,,,,,,,,,113400000.0,,,,,,,,,,61700000.0,,,,,,5700000.0,,,,,,,,,,,,,,7600000.0,,,0.0,16900000.0,,,,,,399800000.0,1300000.0,,,70200000.0,,55300000.0,0.0,,1900000.0,,,183600000.0,,,,,,43200000.0,,,7200000.0,,,,,0.040625,,70200000.0,,,,,,,,,,,7200000.0,1600000.0,,,,,,0.0,22000000.0,36800000.0,21200000.0,123200000.0,,,,,,,,,,,,,,,,,,,,,,
365385600,,,,-14300000.0,,61600000.0,,,-0.106875,0.0,14800000.0,,12300000.0,,133801170.0,98200000.0,,,,,,,,,,,,6300000.0,,57300000.0,,,,,,,,,,50300000.0,,,,,,,,,-12600000.0,,,,165900000.0,,,,,,0.0,,81100000.0,,-26700000.0,,,,133801170.0,,,104400000.0,,,,,,,,,,,,,,,103200000.0,,,,,,,,,1500000.0,44900000.0,,,,,,-12600000.0,,,,,,,,,,,,,,-29300000.0,,,0.0,-23300000.0,,,,,,247000000.0,2500000.0,,,53800000.0,,49300000.0,0.0,,-16700000.0,,,157000000.0,,,,,,37600000.0,,,5900000.0,,,,,-0.106875,,65600000.0,,,,,,,,,,,5900000.0,,,,,,,0.0,22400000.0,34900000.0,-17100000.0,99700000.0,,,,,,,,,,,,,,,,,,,,,,
396921600,,,,-10400000.0,,61600000.0,,,-0.0775,0.0,14900000.0,,11000000.0,,134193548.0,78700000.0,,,,,,,,,,,,6400000.0,,60600000.0,,,,,,,,,,30600000.0,,,,,,,,,-8700000.0,,,,132200000.0,,,,,,0.0,,71600000.0,,-29300000.0,,,,134193548.0,,,83100000.0,,,,,,,,,,,,,,,106700000.0,,,,,,,,,1300000.0,34400000.0,,,,,,-8700000.0,,,,,,,,,,,,,,-16100000.0,,,0.0,-11500000.0,,,,,,203800000.0,1500000.0,,,43500000.0,,47400000.0,0.0,,-7400000.0,,,150200000.0,,,,,,43100000.0,,,6000000.0,,,,,-0.0775,,63600000.0,,,,,,,,,,,6000000.0,,,,,,,0.0,28300000.0,32300000.0,-7100000.0,89600000.0,,,,,,,,,,,,,,,,,,,,,,
428457600,,,,-1600000.0,,63600000.0,,,-0.01125,0.0,14800000.0,,6700000.0,,142222222.0,79100000.0,,,,,,,,,,,,300000.0,,58500000.0,,,,,,,,,,27000000.0,,,,,,,,,100000.0,,,,150600000.0,,,,,,0.0,,90400000.0,,-33800000.0,,,,142222222.0,,,84000000.0,,,,,,,,,,,,,,,97800000.0,,,,,,,,,2200000.0,33300000.0,,,,,,100000.0,,,,,,,,,,,,,,0.0,,,0.0,6400000.0,,,,,,241000000.0,2400000.0,,,53400000.0,,41900000.0,0.0,,-100000.0,,,151200000.0,,,,,,38900000.0,,,12000000.0,,,,,-0.01125,,58900000.0,,,,,,,,,,,12000000.0,,,,,,,0.0,28700000.0,29800000.0,11300000.0,92700000.0,,,,,,,,,,,,,,,,,,,,,,
452131200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,103700000.0,,,,,,,0.025,,,,,,,,,103700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460080000,,,1400000.0,8300000.0,,66900000.0,,,0.040625,0.0,15000000.0,,4400000.0,,204307692.0,87600000.0,,,,,,,,,,,19600000.0,-700000.0,,57000000.0,,,59900000.0,,,,28000000.0,,,38800000.0,,,,,-213300000.0,-38900000.0,,,8300000.0,,,,170700000.0,,,,,,0.0,,109500000.0,,-38900000.0,,39600000.0,,204307692.0,,,92600000.0,,-213300000.0,,,,,,,,,,,,,104300000.0,,,50000000.0,,66900000.0,50500000.0,,107200000.0,2200000.0,39600000.0,,57000000.0,164200000.0,,,8300000.0,,,36600000.0,,,,15000000.0,,,,,,,11900000.0,,,0.0,16900000.0,,1400000.0,,,,280200000.0,1400000.0,,,59900000.0,,36600000.0,0.0,53800000.0,3600000.0,,,164200000.0,,38800000.0,,,,50500000.0,,,19600000.0,,2200000.0,,19600000.0,0.040625,,53800000.0,,,,,,,,,,,19600000.0,,,104300000.0,,29000000.0,,0.0,29000000.0,28000000.0,21900000.0,107200000.0,,,,,,,,,,,,,,,,,,,,,,
468028800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,67200000.0,,,,,,,0.013125,,,,,,,,,67200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.013125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475977600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,79900000.0,,,,,,,0.020625,,,,,,,,,79900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.020625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
