date,annualTotalNonCurrentAssets,annualNetPPE,quarterlyOperatingExpense,trailingGrossProfit,annualCashCashEquivalentsAndMarketableSecurities,annualOtherIntangibleAssets,annualOtherIncomeExpense,quarterlyCashAndCashEquivalents,annualOperatingCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,annualGrossProfit,quarterlyDilutedEPS,annualEbitda,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,trailingChangeInCashSupplementalAsReported,annualChangeInInventory,trailingCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,trailingDepreciationAndAmortization,quarterlyAccumulatedDepreciation,quarterlyCurrentDebt,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,annualBeginningCashPosition,quarterlyNetOtherFinancingCharges,annualDilutedAverageShares,annualPurchaseOfBusiness,annualDilutedEPS,annualIncomeTaxPayable,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,quarterlyGrossPPE,trailingOperatingExpense,annualDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,annualOperatingExpense,quarterlySaleOfInvestment,quarterlyIncomeTaxPayable,trailingCapitalExpenditure,annualAccumulatedDepreciation,quarterlyOperatingCashFlow,annualPurchaseOfInvestment,quarterlyChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualCapitalExpenditure,annualChangesInAccountReceivables,quarterlyBasicAverageShares,trailingCashDividendsPaid,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingInterestExpense,trailingNetIncomeContinuousOperations,quarterlyAccountsPayable,annualNonCurrentDeferredTaxesLiabilities,quarterlyChangeInWorkingCapital,annualBasicAverageShares,trailingNetIncome,trailingPurchaseOfBusiness,quarterlyDeferredIncomeTax,trailingBeginningCashPosition,annualNetOtherFinancingCharges,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,quarterlyEbitda,annualInventory,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,annualChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,annualInterestExpense,annualRepaymentOfDebt,trailingChangeInWorkingCapital,annualCapitalStock,annualGoodwill,annualStockBasedCompensation,quarterlyCurrentLiabilities,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentAssets,quarterlyCashDividendsPaid,annualOperatingIncome,annualOtherShortTermInvestments,trailingFreeCashFlow,quarterlyDepreciationAndAmortization,annualTotalRevenue,quarterlyOtherNonCashItems,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualAccountsPayable,annualChangeInWorkingCapital,quarterlySellingGeneralAndAdministration,annualOtherCurrentAssets,annualTaxProvision,annualTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,trailingTotalRevenue,annualEndCashPosition,trailingCostOfRevenue,quarterlyPurchaseOfInvestment,trailingEndCashPosition,quarterlyTotalRevenue,trailingPretaxIncome,annualNetIncomeContinuousOperations,quarterlyBasicEPS,trailingTaxProvision,annualNetOtherInvestingChanges,annualCashAndCashEquivalents,annualCashDividendsPaid,annualPretaxIncome,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,trailingOperatingIncome,annualCostOfRevenue,quarterlyNetIncomeCommonStockholders,annualNetIncome,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualCurrentDebt,quarterlyTotalAssets,quarterlyNetIncome,annualOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,annualSellingGeneralAndAdministration,quarterlyOtherNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,annualLongTermDebt,annualOtherNonCashItems,annualRepurchaseOfCapitalStock,annualCurrentAssets,quarterlyOtherCurrentAssets,annualTotalAssets,annualStockholdersEquity,annualCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,trailingNetIncomeCommonStockholders,annualBasicEPS,quarterlyStockholdersEquity,annualRetainedEarnings,annualCurrentLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyGrossProfit,annualSaleOfInvestment,annualCommonStockIssuance,quarterlyEndCashPosition,trailingRepurchaseOfCapitalStock,trailingBasicAverageShares,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,trailingCommonStockIssuance,annualResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,trailingOtherNonCashItems,annualNonCurrentDeferredRevenue,annualInvestmentsAndAdvances,trailingBasicEPS,trailingDilutedEPS,trailingRepaymentOfDebt,quarterlyResearchAndDevelopment,trailingStockBasedCompensation,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,annualCurrentDeferredRevenue,trailingChangesInAccountReceivables,trailingNetOtherInvestingChanges,trailingChangeInInventory,trailingChangeInAccountPayable,trailingSaleOfInvestment,trailingDeferredIncomeTax,quarterlyCurrentDeferredRevenue,trailingResearchAndDevelopment,trailingDilutedAverageShares
1979-12-31,571200000.0,507100000.0,,5147400000.0,82200000.0,,-16500000.0,,0.0,,847700000.0,,411900000.0,,,,,,,,,400200000.0,,270500000.0,859000000.0,,397400000.0,,,,,0.0,,296666667.0,,0.48,,-33000000.0,6100000.0,,3129800000.0,0.0,,3129800000.0,,,,505600000.0,,,-254100000.0,-351900000.0,,,,-1780000000.0,,,,-510100000.0,,,243000000.0,1387900000.0,,33200000.0,,284800000.0,1410900000.0,-1525900000.0,,903400000.0,,40300000.0,409000000.0,,845000000.0,,,,,63700000.0,,171000000.0,,,,,,,,342100000.0,,1665400000.0,,2542100000.0,,417400000.0,,,,,17700000.0,112700000.0,1049900000.0,,,16598900000.0,0.0,11451500000.0,,1303600000.0,,1741600000.0,149300000.0,,353700000.0,,82200000.0,,262000000.0,,,2017600000.0,1694400000.0,,149300000.0,0.0,,223500000.0,,,64100000.0,,435800000.0,,,378100000.0,,,1557100000.0,,2128300000.0,1078400000.0,,,,,142400000.0,,,,,,1410900000.0,0.5,,920800000.0,632500000.0,,,,,1919500000.0,,,,,,,-750100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1980-12-31,754100000.0,616400000.0,,,50200000.0,,-14900000.0,,0.0,,955800000.0,,446400000.0,,,,,,,,,,,,991100000.0,,,,,,,0.0,,298058252.0,,0.515,,,6000000.0,,,0.0,,,,,,585600000.0,,,,-374700000.0,,,,,,,,,,,,,,43900000.0,,284259259.0,,,,,,,496900000.0,,942200000.0,,,,,81500000.0,,,,,,,,,,370200000.0,,,,2971000000.0,,639700000.0,,,,,20300000.0,113500000.0,1356500000.0,,,,0.0,,,,,,160300000.0,,,,50200000.0,,273800000.0,,,,2015200000.0,,160300000.0,0.0,,219900000.0,,,137700000.0,,509400000.0,,,589800000.0,,,1772700000.0,,2526800000.0,1170300000.0,,,,,153500000.0,,,,,,,0.54,,1011200000.0,716800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-12-31,825100000.0,657600000.0,,,45900000.0,,9200000.0,,0.0,,1038900000.0,,480600000.0,,,,,,,,,,,,1061500000.0,,,,,,,0.0,,303389831.0,,0.59,,,5600000.0,,,0.0,,,,,,633200000.0,,,,-403900000.0,,,,,,,,,,,,,,56500000.0,,288709677.0,,,,,,,582700000.0,,1035200000.0,,,,,105600000.0,,,,,,,,,,405700000.0,,,,3377600000.0,,626700000.0,,,,,22700000.0,123800000.0,1400500000.0,,,,0.0,,,,,,185300000.0,,,,45900000.0,,309100000.0,,,,2338700000.0,,185300000.0,0.0,,191100000.0,,,167500000.0,,558300000.0,,,564600000.0,,,1853000000.0,,2678100000.0,1277600000.0,,,,,179000000.0,,,,,,,0.62,,1127900000.0,773800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982-12-31,859700000.0,674800000.0,,,83800000.0,,-6900000.0,,0.0,,758000000.0,,245500000.0,,,,,,,,,,,,1120100000.0,,,,,,,0.0,,300645161.0,,0.155,,,1000000.0,,,0.0,,,,,,593000000.0,,,,-445300000.0,,,,,,,,,,,,,,67500000.0,,300645161.0,,,,,,,479800000.0,,856400000.0,,,,,92800000.0,,,,,,,,,,165000000.0,,,,2774700000.0,,658700000.0,,,,,50200000.0,13100000.0,1210100000.0,,,,0.0,,,,,,52300000.0,,,,83800000.0,,65400000.0,,,,2016700000.0,,52300000.0,0.0,,71600000.0,,,184900000.0,,512500000.0,,,590200000.0,,,1571000000.0,,2430700000.0,1220600000.0,,,,,46600000.0,,,,,,,0.155,,1108800000.0,551400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983-12-31,807700000.0,623100000.0,,,220700000.0,,-6800000.0,,0.0,,585000000.0,,127900000.0,,,,,,,,,,,,1103900000.0,,,,,,,0.0,,296190476.0,,-0.105,,,18300000.0,,,0.0,,,,,,538900000.0,,,,-480800000.0,,,,,,,,,,,,,,55100000.0,,296190476.0,,,,,,,545200000.0,,700400000.0,,,,,81700000.0,,,,,,,,,,46100000.0,,,,2274100000.0,,672400000.0,,,,,84600000.0,-17000000.0,1275700000.0,,,,0.0,,,,,,-25400000.0,,,,220700000.0,,-42400000.0,,,,1689100000.0,,-25400000.0,0.0,,58100000.0,,,184600000.0,,457100000.0,,,599000000.0,,,1503500000.0,,2311200000.0,1035500000.0,,,,,-31100000.0,,,,,,,-0.105,,939400000.0,603300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-03-31,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297380000.0,,572500000.0,,,,,,,,,,,,,,,572500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572500000.0,,,0.02,,,,,,,,,,,,,,,,,,7400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297380000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298038000.0,,647400000.0,,,,,,,,,,,,,,,647400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647400000.0,,,0.055,,,,,,,,,,,,,,,,,,16900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298038000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297590000.0,,588800000.0,,,,,,,,,,,,,,,588800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588800000.0,,,0.035,,,,,,,,,,,,,,,,,,11500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-12-31,762300000.0,548800000.0,,,179400000.0,,2700000.0,179400000.0,0.0,179400000.0,672800000.0,,256500000.0,,,,,548800000.0,,,,,,,1047400000.0,,,-498600000.0,167000000.0,,,0.0,,292820513.0,,0.195,,,500000.0,,,0.0,1047400000.0,,,,,495100000.0,,,,-498600000.0,,,,,,,,,-1631000000.0,511200000.0,,,,69100000.0,,292820513.0,,,,,,,511200000.0,-1631000000.0,677600000.0,,,,,75600000.0,,,,,,678200000.0,,1441100000.0,,177700000.0,,,,2478100000.0,,510900000.0,,,,,63800000.0,42300000.0,1189100000.0,941400000.0,510900000.0,,0.0,,,,669400000.0,,62400000.0,,,,179400000.0,,104700000.0,1189100000.0,,,1805300000.0,,62400000.0,0.0,762300000.0,167000000.0,2203400000.0,,213500000.0,26700000.0,416300000.0,213500000.0,500000.0,441300000.0,,,1441100000.0,63800000.0,2203400000.0,1014300000.0,,,,,57100000.0,677600000.0,,,,,,0.195,1014300000.0,941400000.0,678200000.0,441300000.0,,69100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297590000.0,,631200000.0,,,,,,,,,,,,,,,631200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631200000.0,,,0.045,,,,,,,,,,,,,,,,,,14200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297590000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
